source_id,collection,title,url,locator,disposition,reason,atlas_ids,atlas_states,evidence,recommendation,retrieval_leads,source_status
opentcs:3-colorability-of-arrangements-of-great-circles,opentcs,3-Colorability of Arrangements of Great Circles,https://opentcs.cc/problems/3-colorability-of-arrangements-of-great-circles/,,source_already_indexed,"Primary entry topp:44: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0400,TCS-0400:archived,https://topp.openproblem.net/p44,,TCS-0400; TCS-1677; TCS-0594,not_certified
opentcs:3-decomposition-conjecture,opentcs,3-decomposition Conjecture,https://opentcs.cc/problems/3-decomposition-conjecture/,,source_already_indexed,"Primary entry automata:22.12: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0117,TCS-0117:active,https://automata.exchange/22.12-3-decomposition-conjecture/,,TCS-0117; TCS-4836; TCS-0457,not_certified
opentcs:3d-minimum-bend-orthogonal-graph-drawings,opentcs,3D Minimum-Bend Orthogonal Graph Drawings,https://opentcs.cc/problems/3d-minimum-bend-orthogonal-graph-drawings/,,source_already_indexed,"Primary entry topp:46: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0389,TCS-0389:archived,https://topp.openproblem.net/p46,,TCS-0389; TCS-6214; TCS-1084,not_certified
opentcs:3sum-hard-problems,opentcs,3SUM Hard Problems,https://opentcs.cc/problems/3sum-hard-problems/,,represented_target,The posted main target is represented by the named Atlas record. Preserve its active/archive disposition; this is not a fresh open-status certification.,TCS-0557,TCS-0557:active,https://opentcs.cc/problems/3sum-hard-problems/,,TCS-0557; TCS-3197; TCS-0560,not_certified
opentcs:a-fixed-point-combinator-from-b-and-mega,opentcs,A Fixed-Point Combinator from B and ω,https://opentcs.cc/problems/a-fixed-point-combinator-from-b-and-mega/,,defer,Primary entry tlca:4: The fixed-point basis is precise but needs a current combinatory-logic status check.,,,https://tlca.di.unito.it/opltlca/opltlcasu11.html#x16-18000,,TCS-3577; TCS-5448; TCS-0913,not_certified
opentcs:a-streaming-machine-model-for-polyregular-functions,opentcs,A Streaming Machine Model for Polyregular Functions,https://opentcs.cc/problems/a-streaming-machine-model-for-polyregular-functions/,,source_already_indexed,"Primary entry automata:25.28: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0089,TCS-0089:active,https://automata.exchange/25.28-a-streaming-machine-model-for-polyregular-functions/,,TCS-0089; TCS-0967; TCS-0962,not_certified
opentcs:an-easy-ordinal-assignment-for-typed-terms,opentcs,An Easy Ordinal Assignment for Typed Terms,https://opentcs.cc/problems/an-easy-ordinal-assignment-for-typed-terms/,,represented_target,Primary entry tlca:26: The posted main target is represented by the named Atlas record. Preserve its active/archive disposition; this is not a fresh open-status certification.,TCS-0892,TCS-0892:archived,https://tlca.di.unito.it/opltlca/opltlcasu33.html#x38-62000,,TCS-0922; TCS-0798; TCS-0892,not_certified
opentcs:anytime-convergence-rate-of-gradient-descent,opentcs,Anytime Convergence Rate of Gradient Descent,https://opentcs.cc/problems/anytime-convergence-rate-of-gradient-descent/,,source_already_indexed,"This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0719,TCS-0719:active,https://opentcs.cc/problems/anytime-convergence-rate-of-gradient-descent/,,TCS-0719; TCS-5052; TCS-0721,not_certified
opentcs:are-context-unification-and-linear-second-order-unification-decidable,opentcs,Are context unification and linear second order unification decidable?,https://opentcs.cc/problems/are-context-unification-and-linear-second-order-unification-decidable/,,partial_resolution,Primary entry rta:90: Ordinary context unification over a finite signature is in PSPACE. The bundled linear second-order/regular-constraint variants are not certified by that theorem alone.,,,https://arxiv.org/abs/1310.4367,,TCS-0169; TCS-6643; TCS-0171,not_certified
opentcs:are-the-existential-fragment-or-the-positive-fragment-of-the-theory-of-one-step-rewriting-decidable,opentcs,Are the existential fragment or the positive fragment of the theory of,https://opentcs.cc/problems/are-the-existential-fragment-or-the-positive-fragment-of-the-theory-of-one-step-rewriting-decidable/,,source_already_indexed,"Primary entry rta:93: This numbered problem URL, or title together with reference, is already indexed in Atlas. Compare subtargets within that record before adding anything; this is provenance evidence, not a proof of equivalence for every variant.",TCS-0876,TCS-0876:active,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/93.html,,TCS-0876; TCS-0886; TCS-2436,not_certified
