0216 Elementary k-party disjointness communication protocols | SIGACT Open Problems Column
0217 Elementary three-party disjointness communication protocols | SIGACT Open Problems Column
0218 Cryptogenography | Sublinear.info
0219 Equivalence Testing Lower Bound via Communication Complexity | Sublinear.info
0220 External Information and Amortized Expected Communication | Sublinear.info
0221 Frontiers in Structural Communication Complexity | Sublinear.info
0222 Merlin–Arthur Communication Complexity of Connectivity | Sublinear.info
0223 Communication Complexity of Approximating Set-Intersection Join | Sublinear.info
0309 Recognizing evasive Boolean functions | Antoine Amarilli: research questions
1041 CNF lower bounds from bipartite girth | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1042 Explicit graph representations exceeding twice linear size | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1043 Superlogarithmic clique-versus-independent-set communication | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1044 Explicit matrices with large robust rectangle covers | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1045 Rectangle-cover lower bounds for square-free matrices | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1046 Super-log-cubed three-party disjointness lower bounds | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1047 Formula size versus partition complexity | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1048 Explicit bipartite graphs with large partition complexity | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1049 Cube colorings separating every triple | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1050 Explicit pairs with strong monotone approximation hardness | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1051 Logarithmic negation-depth lower bounds for monotone functions | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1052 Depth-three lower bounds beyond the switching-lemma barrier | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1053 Depth-three size bounds beyond exponential square root | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1054 Exponential lower bounds for unrestricted threshold-of-threshold circuits | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1055 Complementation asymmetry in second-level communication complexity | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1056 Majority outside constant-depth modular circuits | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1057 Explicit polynomial-separation lower bounds | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1058 Explicit rigidity at rank n over log log n | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1059 Linearizing arbitrary depth-two circuits efficiently | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1060 Bounding solution counts using partial-matrix minimum rank | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1061 Quadratic decision-tree bounds from block sensitivity | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1062 Balancing tree-like cutting-planes proofs | Boolean Function Complexity: Advances and Frontiers (author's early draft)
1063 Direct geometric proofs of low-rank rectangle bounds | Communication Complexity (author manuscript)
1146 Can Π solve k-Clique for Erdős-Rényi graphs of constant sparsity with O(log n) cost? | Average-Case Hardness of Binary-Encoded Clique in Proof and Communication Complexity
1442 Is there an algebrizing barrier to proving MA ̸⊆ SIZE[nk ]? | New Algebrization Barriers to Circuit Lower Bounds via Communication Complexity of Missing-String
1511 Without a doubt, the most important problem still is: what is it then the most accurate queryrelated quantity which captures the worst-case optimal communication complexity […] | Neither Cover nor Pack: Distributed Worst-Case Optimality of Degree-2 Joins
1540 Is it true that every Boolean function f : {0, 1}n → {0, 1} has noisy query complexity Ω(I(f ) log I(f ))? | Tight Bounds for Noisy Computation of High-Influence Functions, Connectivity, and Threshold
1548 Is it true that for every Boolean function f : {0, 1}n → {0, 1}, sizeuF (f ) ≤ 2(1+o(1))n ? | On the Complexity of Hazard-Free Formulas
1845 What is the exact time-complexity of tt-DT? | The Hardness of Decision Tree Complexity
1928 How small can the rank of M be? | Hard Submatrices for Non-Negative Rank and Communication Complexity
1947 Narrow the gap between the best known upper and lower bounds on the NOF complexity of ExactlyN. | An Improved Protocol for ExactlyN with More Than 3 Players
1964 Find the minimum one-way deterministic communication complexity [N ] of PromEQφ among all φ : [N ] → T , | On the Power of Adaptivity for Function Inversion
2092 We conjecture that polylogarithmic communication per client with negligible security can be achieved by instantiating both OPIR and IPIR with the Reed-Muller PIR construction with […] | Information-Theoretic Single-Server PIR in the Shuffle Model
