key	score	criterion	question	importance
qltc	96	construction	Do quantum locally testable codes exist with constant locality and soundness, constant rate, and constant relative distance?	Would connect efficient quantum error correction with robust local testing and the quantum PCP program.
area-law	97	resources	Does the unique ground state of every uniformly gapped local Hamiltonian on a two-dimensional lattice, with fixed local dimension and uniformly bounded interactions, obey an entanglement area law?	A fundamental boundary on quantum-state complexity and the representations used in numerical simulation.
memory3d	96	construction	Can a geometrically local three-dimensional system with bounded interactions passively store a qubit at a fixed positive temperature for a lifetime diverging with system size, without forbidding otherwise local errors?	Asks whether quantum information can have the passive thermal stability available to classical memories.
npt	96	characterization	Does there exist a bipartite quantum state with nonpositive partial transpose from which entanglement cannot be distilled by local operations and classical communication, even using arbitrarily many copies?	Would settle a basic boundary between the presence of entanglement and its usability as a resource.
depolarizing	96	tightness	What is the unassisted asymptotic quantum capacity of the qubit depolarizing channel, as a function of its noise parameter?	The unresolved capacity of a canonical model of quantum noise is central to quantum information theory.
capacity-computable	95	decision	Is there an algorithm that, given an effective description of any finite-dimensional memoryless quantum channel and a positive accuracy parameter epsilon, approximates its unassisted quantum capacity to additive error at most epsilon?	Asks whether a fundamental communication capacity can be determined algorithmically at all.
dihedral	94	resources	Is there a quantum algorithm for the dihedral hidden subgroup problem, with oracle access to a hiding function, whose running time is polynomial in the logarithm of the group size?	A central challenge for quantum algorithms beyond the abelian setting, connected with lattice problems.
quantum-gi	94	resources	Can isomorphism of arbitrary finite graphs be decided by a bounded-error polynomial-time quantum algorithm?	A canonical target for quantum speedups beyond the problems solved by Shor's algorithm.
kls	98	tightness	Is the Poincare constant of every isotropic log-concave probability measure bounded by a universal constant independent of dimension?	A central conjecture in high-dimensional geometry, with consequences for sampling and optimization.
lang-plaut	94	construction	Does every doubling subset of a Hilbert space admit a bi-Lipschitz embedding into a finite-dimensional Euclidean space, with dimension and distortion depending only on the doubling constant?	Asks whether intrinsic metric dimension permits Euclidean dimension reduction.
gnrs	95	construction	For every fixed graph H, do shortest-path metrics of weighted H-minor-free graphs embed into l_1 with distortion bounded by a constant depending only on H?	Links metric structure to the fundamental gap between multicommodity flow and sparsest cut.
weak-nets	93	tightness	For each fixed dimension d, what is the asymptotic minimum worst-case size, as a function of epsilon, of a weak epsilon-net for a finite point set in R^d with respect to all convex ranges?	A foundational geometric sampling problem with a substantial unresolved gap already in the plane.
steiner-removal	92	construction	Does every weighted graph with designated terminals have a suitably reweighted minor on exactly those terminals whose terminal distances lie between the original distances and a universal constant times those distances?	Asks how far network and metric representations can be compressed while preserving distances.
unknot	95	decision	Can one decide in time polynomial in the length of a knot diagram whether the represented knot is the unknot?	One of the basic computational problems of topology; certificates of triviality do not yet give a polynomial-time algorithm.
earthmover-l1	92	tightness	What is the optimal bi-Lipschitz distortion for embedding the earthmover metric on probability measures on an n by n planar grid into l_1?	Determines a basic limit on representing transport distances and image similarity by simpler metrics.
p-pspace	100	models	Is P equal to PSPACE?	A defining question about the relative power of polynomial time and polynomial working space.
l-p	98	models	Can every problem decidable in polynomial time be decided with logarithmic working space; equivalently, is L equal to P?	A canonical boundary on the amount of memory needed for efficient computation.
ph	99	models	Is the polynomial hierarchy strict at every finite level?	Asks whether each further alternation of existential and universal quantification increases computational power.
nl-ul	95	models	Is every nondeterministic logarithmic-space language decidable by a logarithmic-space nondeterministic machine with at most one accepting computation on each input?	A basic question about unambiguous witnesses and path isolation with very little memory.
berman-hartmanis	96	characterization	Are all languages complete for NP under polynomial-time many-one reductions isomorphic under bijections computable and invertible in polynomial time?	The classical conjecture that NP-complete languages share a single efficiently recognizable structure.
tc0-nc1	97	models	Is nonuniform NC^1 contained in nonuniform TC^0, or is there an NC^1 function family requiring superpolynomial-size constant-depth threshold circuits?	A central unresolved barrier in explicit lower bounds for circuits with majority or threshold gates.
mst-linear	96	resources	Is there a deterministic O(m+n)-time minimum spanning tree algorithm in the comparison model for arbitrary real edge weights?	The remaining basic gap between deterministic and randomized algorithms for a central graph problem.
integer-sort	96	resources	Can n integers occupying one w-bit word each be sorted on a standard word RAM in expected O(n) time for every word length w at least log n?	A basic limit on using word-level operations to accelerate one of the most important algorithmic primitives.
general-matching	96	resources	Can an exact maximum-cardinality matching in an arbitrary undirected graph be found in m^(1+o(1)) time, where m is the number of edges and isolated vertices may be discarded?	A major remaining boundary in fast algorithms for basic combinatorial optimization.
triangle-linear	95	resources	Can triangle existence in an arbitrary undirected graph be decided in O(m+n) time, or at least in (m+n)^(1+o(1)) time?	A fundamental limit on fast graph computation and an important reference problem for fine-grained complexity.
static-cellprobe	96	resources	Can one prove a superlogarithmic worst-case cell-probe lower bound for an explicit static data-structure problem with O(log n)-bit queries, O(log n)-bit memory words, and n polylog n space?	One of the central unbroken barriers in unconditional data-structure lower bounds.
sample-compression	97	construction	Does every binary concept class of VC dimension d admit a sample compression scheme of size O(d), independently of the number of labeled examples?	Asks whether statistical learning complexity is exactly reflected in the amount of information needed to compress a sample.
lpn	96	resources	Can an unknown parity of n bits be learned in polynomial time from uniformly random examples whose labels are independently flipped with a fixed probability eta strictly between zero and one half?	A canonical boundary in computational learning and the foundation of a broad family of cryptographic assumptions.
juntas	95	resources	Can every Boolean k-junta on n variables be learned from uniform random labeled examples in time polynomial in n, 2^k, and 1/epsilon, with error at most epsilon and constant success probability?	The basic task of identifying a small set of relevant variables without restricting the target function on them.
two-halfspaces	92	resources	Is there an improper distribution-independent PAC learning algorithm for intersections of two gamma-margin halfspaces over the unit ball, with running time polynomial in dimension, 1/gamma, and 1/epsilon, at constant confidence?	One of the simplest nonlinear concept classes whose efficient distribution-independent learnability remains unresolved.
owf-pke	98	assumptions	Does the existence of cryptographic one-way functions imply the existence of secure public-key encryption, allowing general non-black-box constructions?	The fundamental boundary between private-key and public-key cryptography.
owf-owp	95	assumptions	Does the existence of cryptographic one-way functions imply the existence of cryptographic one-way permutations?	Asks whether requiring invertible structure adds fundamentally stronger cryptographic assumptions.
owf-crh	96	assumptions	Does the existence of one-way functions imply the existence of collision-resistant hash families, without restricting the construction to be black-box?	Would determine the minimal assumptions for a basic tool in authentication and cryptographic commitments.
cpa-cca	95	assumptions	Does the existence of IND-CPA-secure public-key encryption imply the existence of IND-CCA2-secure public-key encryption without any additional assumption?	Asks whether protection against active decryption attacks requires stronger assumptions than passive secrecy.
pke-ot	97	assumptions	Does the existence of public-key encryption imply the existence of oblivious transfer, allowing general non-black-box constructions?	Asks whether basic public-key secrecy suffices for general secure two-party computation.
io-lwe	97	assumptions	Can indistinguishability obfuscation for all polynomial-size circuits be constructed from the standard Learning With Errors assumption alone?	Would base a powerful general cryptographic primitive on a single widely studied assumption.
fhe-no-circular	95	assumptions	Can compact fully homomorphic encryption for arbitrary polynomial evaluation depth, not fixed at key generation, be constructed from standard LWE alone without an additional circular-security or key-dependent-message assumption?	A basic gap between leveled homomorphic encryption and unrestricted efficient encrypted computation under standard assumptions.
nizk-owf	95	assumptions	Do one-way functions suffice to construct non-interactive zero-knowledge arguments for every NP language in the standard common-reference-string model?	Would identify the minimal assumptions needed to remove interaction from zero-knowledge arguments.
p-nc	99	models	Can every polynomial-time decision problem be solved by a uniform polynomial-size circuit family of polylogarithmic depth; equivalently, is P equal to NC?	The central question of whether efficient computation can be inherently sequential.
distributed-lll	94	resources	Can the distributed Lovasz Local Lemma, with constant dependency degree and sufficiently strong constant polynomial slack, be solved with high probability in O(log log n) worst-case rounds in the LOCAL model?	A canonical obstacle to resolving local conflicts rapidly, with consequences for many distributed graph algorithms.
congest-sssp	94	resources	Can exact single-source distances in a connected n-vertex undirected graph with nonnegative polynomially bounded integer weights and hop diameter D be computed with high probability in O-tilde(sqrt(n)+D) rounds in CONGEST?	A basic distributed graph primitive with an unresolved gap between algorithms and communication lower bounds.
stream-reachability	95	resources	Can directed s-t reachability in an adversarial-order edge stream be decided with O(n polylog n) bits of memory and a polylogarithmic number of passes?	A fundamental limit on processing large directed graphs with restricted memory.
clique-lower	94	resources	Is there an explicit graph decision problem, centrally solvable in polynomial time and requiring one output bit, that needs omega(1) communication rounds in the deterministic unicast congested-clique model?	A central unbroken barrier in unconditional lower bounds for a powerful distributed model.
cerny	98	tightness	Does every synchronizing deterministic finite automaton with n states have a reset word of length at most (n-1)^2?	One of the best-known longstanding conjectures in finite automata theory.
star-height	96	characterization	Is there a regular language that cannot be described by a regular expression allowing complementation and at most one level of nested Kleene stars?	A basic unresolved question about the expressive power of regular expressions with Boolean operations.
sakoda-sipser	97	resources	Can every two-way nondeterministic finite automaton be simulated by a two-way deterministic finite automaton with only polynomially many states?	The principal state-complexity question about the power of nondeterminism with two-way input access.
concat-hierarchy	95	decision	Is membership decidable at every fixed level of the dot-depth, or first-order quantifier-alternation, hierarchy of regular languages?	Asks whether the logical and algebraic complexity of regular languages can be effectively measured throughout a natural hierarchy.
word-length	97	decision	Is satisfiability of systems of word equations together with linear arithmetic constraints on the lengths of variables decidable?	A fundamental gap in string theories with direct consequences for SMT solving and program verification.
macro-transducer	95	decision	Is equivalence decidable for general deterministic macro tree transducers?	A central equivalence problem for an expressive but structured model of tree-transforming programs.
