0005R Does the permanent have polynomial-size arithmetic circuits? | Mathematics and Computation
0007R Is the matrix multiplication exponent equal to two? | Gaussian elimination is not optimal
0009 Explicit univariate arithmetic circuit lower bounds | Mathematics and Computation (2018 draft)
0010 Superlinear constant-degree arithmetic circuit lower bounds | Mathematics and Computation (2018 draft)
0039 Asymptotics of words in partially commutative groups | Algorithmic Problems in Group Theory
0040 Deciding whether a finitely generated subgroup has finite index | Algorithmic Problems in Group Theory
0041 Distinct Baumslag-Solitar groups in the same one-relator group | Algorithmic Problems in Group Theory
0042 Is there an algorithm to compute the stable image of an endomorphism of a free group? | Algorithmic Problems in Group Theory
0043 Membership problems for groups of unitriangular matrices | Algorithmic Problems in Group Theory
0044 Open problems for integral matrix groups | Algorithmic Problems in Group Theory
0045 Rational subsets of Baumslag-Solitar groups BS(1, q) | Algorithmic Problems in Group Theory
0055 Sum of Square Roots | The Open Problems Project
1093 Rational roots in specified polynomial intervals | The Existential Theory of the Reals as a Complexity Class: A Compendium
1101 VP factor closure in positive characteristic | A primer on the closure of algebraic complexity classes under factoring
1102 VBP factor closure in positive characteristic | A primer on the closure of algebraic complexity classes under factoring
1103 Containment of border VP in VNP over arbitrary fields | A primer on the closure of algebraic complexity classes under factoring
1151 Is it decidable whether a given ETP over K has a zero on a given bounded interval [0, T ] with rational endpoints? | On Positivity of Exponential-Trigonometric Polynomials and Irrationality Exponents
1161 Prove that, for some ε > 0, MAX-3-SAT can be solved in conondeterministic time O(2(1−ε)n ). | Conditional Complexity Hardness: Monotone Circuit Size, Matrix Rigidity, and Tensor Rank
1190 Given a blackbox computing the product of sparse irreducible polynomials fi with bounded individual degree, find the fi ’s in deterministic polynomial-time. | On Factorization of Sparse Polynomials of Bounded Individual Degree
1254 The question of proving such lower bounds for general circuits remains open. | Lower Bounds for Noncommutative Circuits with Low Syntactic Degree
1413 Can we characterize the functions f for which such a scheme exists? | Proofs of Useful Work from Arbitrary Matrix Multiplication (Invited Talk)
1424 That is, can formulas be efficiently simulated using bounded-width ABPs over R and R+ ? | VP, VNP and Algebraic Branching Programs over Min-Plus Semirings
1446 For example, is there an algorithm for All-Edges Sparse Triangle running in o(m4/3 ) time on m-edge graphs, assuming optimal matrix multiplication? | Beating Trivial Time for Tricky Triangle Tasks
1513 Specifically, given a polynomial f (x) of sparsity s, can we always lift using a gadget ϕ such that the composed polynomial f (ϕ ◦ […] | On Closure Properties of Read-Once Oblivious Algebraic Branching Programs
1569 What is the smallest possible dimension k(d) of a unital algebra that does not satisfy any identity f P FĀ,C [X] of degree ď d? | Efficient Polynomial Identity Testing over Nonassociative Algebras
1641 We leave open the problem of proving a “basis independent” lower bound (where false can correspond to any value in R). | Sparsity Lower Bounds for Probabilistic Polynomials
1646 For all d ≥ 1 it holds that σ(Td ) = 1. | A Universal Sequence of Tensors for the Asymptotic Rank Conjecture
1763 Recently, this has been partially addressed in [12, 14] but optimality in full generality remains open. | Persistent (Co)Homology in Matrix Multiplication Time
1797 Can we (re)-prove Theorem A.5 for a sparse axiom polynomial? | IPS Lower Bounds for Formulas and Sum of ROABPs
1904 Can one obtain a construction with separating polynomials of degree at most q 1+oq (q) in Gn = GLn or Gn = Un with sets […] | Finite Matrix Multiplication Algorithms from Infinite Groups
1935 Is TISL contained in TI? | On the Complexity of Isomorphism Problems for Tensors, Groups, and Polynomials III: Actions by Classical Groups
1954 What are the optimal bounds in Proposition 14, and for which tensors are they attained ? | Small Sunflowers and the Structure of Slice Rank Decompositions
1959 Is Clo(L × U) ⊆ Clo(L ⊗ U), for all finite nilpotent Mal’tsev algebras L ⊗ U where L and U have coprime size? | The Subpower Membership Problem of 2-Nilpotent Algebras
2134 It is unclear if graded complete p-families for VP or for VNP exist, and we leave this as an open question. | Homogeneous Algebraic Complexity Theory and Algebraic Formulas
2175 Can we show any bounds on the commRO width of a polynomial in terms of its diagRO width? | Explicit Commutative ROABPs from Partial Derivatives
2181 Would we be able to factor polynomials efficiently if we could construct irreducible polynomials? | Pseudo-Deterministic Construction of Irreducible Polynomials over Finite Fields
2248 Is there a polynomial-time ET algorithm for NW? | Testing Equivalence to Design Polynomials
2322 Given a non-commutative monomial α, can addition gates help to compute α? | New Lower Bounds Against Homogeneous Non-Commutative Circuits
2342 Prove exponential lower bounds for constant-depth arithmetic formulas. | Low-Depth Arithmetic Circuit Lower Bounds: Bypassing Set-Multilinearization
2348 Is it true that for every Lie group G, the exponent of matrix multiplication is at most ω(G)? | Matrix Multiplication via Matrix Groups
2350 What is LG ACd (WordG,k ) for a finite group G? | Symmetric Formulas for Products of Permutations
2475 We do not know how to select the matrices G in the optimal way, and the choice in Proposition 12 would be suboptimal by large […] | Algorithms for Matrix Multiplication via Sampling and Opportunistic Matrix Multiplication
2480 Therefore, we conjecture that if f is a transparent polynomial being computed by a size-s monotone circuit with projection gates, then |supp(f )| ≤ 2polylog(s) […] | Monotone Classes Beyond VNP
2506 However, we do not know whether this containment is strict or not. | Towards Optimal Depth-Reductions for Algebraic Formulas
2551 Can preprocessing help improve the matrix multiplication time when Carol is a Boolean circuit? | Bounded Simultaneous Messages
2693 Here we should emphasize that it is an open problem whether some fixed dimension of WL represents a complete invariant. | A Systematic Study of Isomorphism Invariants of Finite Groups via the Weisfeiler-Leman Dimension
2700 For k = 3 and d > 2, coming up with a polynomial PIT algorithm remains an open question here. | On Solving Sparse Polynomial Factorization Related Problems
2721 We do not know whether limk→∞ Ek is strictly larger than limk→∞ Ẽk , although the equality is unlikely to hold. | Integer Complexity and Mixed Binary-Ternary Representation
2860 Can we learn other arithmetic circuit models in the non-degenerate case, for which we already have lower bounds? | Learning Generalized Depth Three Arithmetic Circuits in the Non-Degenerate Case
2864 For example, assuming ETH, can we rule out constant factor approximation algorithms for k-Clique problem running in no(k) time? | Almost Polynomial Factor Inapproximability for Parameterized k-Clique
2882 For n even we have sr(Sn,d ) = n2 + 2 and, consequently, n+2 Bhom (Sn,d ) ≥ (d − 1) + 2. 2 | Degree-Restricted Strength Decompositions and Algebraic Branching Programs
2958 While this question remains open for VP, our result shows that this additional restriction on the coefficients is essentially vital for the existence of efficiently […] | If VNP Is Hard, Then so Are Equations for It
2961 Although a set of persistent generators can be computed in matrix multiplication time [26], we do not know that the lex-optimal cycle can be found […] | On Complexity of Computing Bottleneck and Lexicographic Optimal Cycles in a Homology Class
2977 For example, is it true that if diagonal ROABPs can efficiently simulate commutative ROABPs, then dimension of partial derivatives essentially captures the Waring rank of […] | On Finer Separations Between Subclasses of Read-Once Oblivious ABPs
2987 Closely related to the above, but for higher-order and unbalanced formats, what is the exact value of the generic subrank Q(n1 , . . . […] | Subrank and Optimal Reduction of Scalar Multiplications to Generic Tensors
3024 Many interesting problems in computational invariant theory remain open in the non-commutative case. | Polynomial Time Algorithms in Invariant Theory for Torus Actions
3056 We leave it as an open problem whether similarly efficient deterministic algorithms exist under the presence of negative entries. | Fast n-Fold Boolean Convolution via Additive Combinatorics
3178 In particular, can we give an efficient hittingset construction for the orbits of general commutative ROABPs and constant-width ROABPs? | Hitting Sets for Orbits of Circuit Classes and Polynomial Families
3184 Does Theorem 6 hold in the border sense? | Arithmetic Circuit Complexity of Division and Truncation
3315 Bläser-Jindal method works for the circuit and we do not know whether it works for ABPs or formula. | Schur Polynomials Do Not Have Small Formulas If the Determinant Doesn't
3317 In particular, is the word problem for the Grigorchuk group LOGSPACE-complete? | Groups with ALOGTIME-Hard Word Problems and PSPACE-Complete Circuit Value Problems
3318 It remains an open problem to show that if g(x)p has a small circuit, then g(x) has a small circuit. | Algebraic Hardness Versus Randomness in Low Characteristic
3348 In other words, we conjecture the following: Let H and A be f.g. groups where A is abelian and H is knapsack-semilinear. | The Complexity of Knapsack Problems in Wreath Products
3395 An important problem that continues to remain open is to prove a lower bound of the form Ω(n1+ε ) for some constant ε > 0 […] | Lower Bounds for Matrix Factorization
3432 Yet another question which is natural in the context of this work and remains open is to prove stronger lower bounds for ABPs. | A Quadratic Lower Bound for Algebraic Branching Programs
3454 Is it possible to close the gaps between characteristic zero and characteristic p > 0? | Improved Explicit Hitting-Sets for ROABPs
3516 We leave it an open problem for further improvement of the bound in | From Independent Sets and Vertex Colorings to Isotropic Spaces and Isotropic Decompositions: Another Bridge Between Graphs and Alternating Matrix Spaces
3579 Could our upper bound be improved by constructing circuits for the determinant that are symmetric with respect to larger groups of permutations? | Symmetric Arithmetic Circuits
3731 How crucial is the notion of inseparable degree in the context of testing algebraic independence? | Constructing Faithful Homomorphisms over Fields of Finite Characteristic
4002 In particular, can they be expanded to the use of non-linear mappings L, possibly of low degree? | Barriers for Rank Methods in Arithmetic Complexity
4073 We leave it as an open problem whether the inclusion VPwst 2 ⊆ VPw2 is strict. | On Algebraic Branching Programs of Small Width
4110 Can the algorithm be generalized to 3 or more variables? | Real Stability Testing
4202 Can we reduce the group isomorphism problem to the isomorphism problem for asymmetric groups? | A Polynomial-Time Randomized Reduction from Tournament Isomorphism to Tournament Asymmetry
4279 A somewhat weaker question that also remains open is whether we can bound the degree of Γ in (11) in terms of d only. | On the Structure of Quintic Polynomials
4284 In particular, we do not know if Lemma 3.1 is true over fields of low characteristic. | Arithmetic Circuits with Locally Low Algebraic Rank
4297 Is the dimension of projected shifted partials of a generic homogeneous depth-5 circuit close to the largest possible value? | Finer Separations Between Shallow Arithmetic Circuits
4347 The more difficult case is that of games of imperfect information: corresponding matrix games no longer have a simple structure (independent row uncertainty), and we […] | Entropy Games and Matrix Multiplication Games
4490 We leave as a challenging open problem the complexity of PosMatPow in higher dimensions. | On Matrix Powering in Low Dimensions
4749 On the Complexity of Isomorphism Problems for Tensors, Groups, and Polynomials III: Actions by Classical Groups — Open Question 8 / Which, if any, of TIO , TIU , TISp are equal to TI? | On the Complexity of Isomorphism Problems for Tensors, Groups, and Polynomials III: Actions by Classical Groups
4764 Conditional Complexity Hardness: Monotone Circuit Size, Matrix Rigidity, and Tensor Rank — Open Problem 1 / Prove√ that if NETH is true, then there exists an explicit function of monotone complexity 2ω( n) . | Conditional Complexity Hardness: Monotone Circuit Size, Matrix Rigidity, and Tensor Rank
4836 Expander Decomposition with Almost Optimal Overhead — Conjecture 5.2 / There is a polynomial-time algorithm that constructs a tree flow sparsifier with quality log1+o(1) n for every n-vertex undirected graph. | Expander Decomposition with Almost Optimal Overhead
4837 Low-Depth Arithmetic Circuit Lower Bounds: Bypassing Set-Multilinearization — Open Problem 1 / Prove superpolynomial lower bounds for general formulas or even homogeneous formulas. (A formula is homogeneous if every gate computes a homogeneous polynomial.) | Low-Depth Arithmetic Circuit Lower Bounds: Bypassing Set-Multilinearization
4850 Efficient Polynomial Identity Testing over Nonassociative Algebras — Explicit open question on PDF page 6 / Unfortunately, we do not know if such a depth reduction is possible while preserving unambiguousness. | Efficient Polynomial Identity Testing over Nonassociative Algebras
4865 The Subpower Membership Problem of 2-Nilpotent Algebras — Explicit open question on PDF page 2 / An elementary class of Mal’tsev algebras, for which the question still remains open, are nilpotent algebras. | The Subpower Membership Problem of 2-Nilpotent Algebras
4866 Discreteness of Asymptotic Tensor Ranks (Extended Abstract) — Explicit open question on PDF page 9 / Then Q(T ) ≥ n1/2 . e We do not know whether the lower bound n1/2 in Theorem 9 is optimal. | Discreteness of Asymptotic Tensor Ranks (Extended Abstract)
4896 Isolation Schemes for Problems on Decomposable Graphs — Explicit open question on PDF page 5 / It remains open whether the weights used by the schemes of Theorems 2, 3, and 4 can be reduced to polynomial. | Isolation Schemes for Problems on Decomposable Graphs
4897 When Are Cache-Oblivious Algorithms Cache Adaptive? A Case Study of Matrix Multiplication and Sorting — Explicit open question on PDF page 3 / Their results leave open the question of whether the performance gap between cache-oblivious and cacheadaptive algorithms persists across a larger space of memory profiles. | When Are Cache-Oblivious Algorithms Cache Adaptive? A Case Study of Matrix Multiplication and Sorting
4898 Polynomial Identity Testing via Evaluation of Rational Functions — Explicit open question on PDF page 20 / Given explicit witnesses for p and q, we do not know how to obtain an explicit witness for the product pq. | Polynomial Identity Testing via Evaluation of Rational Functions
4899 If VNP Is Hard, Then so Are Equations for It — Explicit open question on PDF page 2 / The question of understanding the complexity of equations for VP, or in general any natural class of algebraic circuits, continues to remain open. | If VNP Is Hard, Then so Are Equations for It
4935 Market Pricing for Matroid Rank Valuations — Explicit open question on PDF page 4 / While Conjecture 2 remains open in general, we give polynomial-time3 algorithms for two important special cases. | Market Pricing for Matroid Rank Valuations
4940 On the Hardness of Generalized Domination Problems Parameterized by Mim-Width — Open Problem 1 / Is it true that for all σ, ρ ⊆ N, including infinite sets, Max (σ, ρ)- Dominating Set is either polynomial-time solvable or W[1]-hard when […] | On the Hardness of Generalized Domination Problems Parameterized by Mim-Width
4959 Algorithms for Matrix Multiplication via Sampling and Opportunistic Matrix Multiplication — Unresolved-question passage on page 16 / We leave as an open question the benefit of such improvements and whether they can make this algorithm fully practical. | Algorithms for Matrix Multiplication via Sampling and Opportunistic Matrix Multiplication
4978 Graph Pattern Polynomials — Explicit open question on PDF page 4 / However, we do not know how to construct a O(n2 ) size arithmetic circuit for NP4 ,n . | Graph Pattern Polynomials
4979 Almost Polynomial Factor Inapproximability for Parameterized k-Clique — Explicit open question on PDF page 4 / Of course, the big problem with this reduction is that we do not know if PIH is true. | Almost Polynomial Factor Inapproximability for Parameterized k-Clique
4994 Polynomial Time Algorithms in Invariant Theory for Torus Actions — Explicit open question on PDF page 8 / Despite significant progress, for general reductive group actions it is still an open problem to design fast algorithms for these problems. | Polynomial Time Algorithms in Invariant Theory for Torus Actions
5035 Small Sunflowers and the Structure of Slice Rank Decompositions — Explicit open question on PDF page 5 / Finally, in Section 6 we conclude by mentioning some questions which remain open. | Small Sunflowers and the Structure of Slice Rank Decompositions
5081 Constructing Faithful Homomorphisms over Fields of Finite Characteristic — Unresolved-question passage on page 13 / Are the homomorphisms constructed in the paper also F(s)-faithful homomorphisms? | Constructing Faithful Homomorphisms over Fields of Finite Characteristic
5100 Shadows of Newton Polytopes — Open Problem 3 / Find an explicit monotone fn (with polynomially many variables and of a polynomial degree) such that g requires superpolynomial monotone arithmetic circuit whenever g ̸= […] | Shadows of Newton Polytopes
5173 Deterministic Factorization of Constant-Depth Algebraic Circuits in Subexponential Time — Explicit open question on PDF page 3 / It is a very natural question to explore further. c) Closure results for constant-depth circuits.: We do not know if irreducible factors of polynomials with […] | Deterministic Factorization of Constant-Depth Algebraic Circuits in Subexponential Time
5241 The NFA Acceptance Hypothesis: Non-Combinatorial and Dynamic Lower Bounds — Explicit open question on PDF page 6 / Hence, there are several reasons to avoid “combinatorial lower bounds”, as they leave open the very real possibility that faster algorithms exploiting fast matrix multiplication […] | The NFA Acceptance Hypothesis: Non-Combinatorial and Dynamic Lower Bounds
5268 Multivariate to Bivariate Reduction for Noncommutative Polynomial Factorization — Explicit open question on PDF page 2 / Given a simple matrix algebra2 A over rationals, we do not know an efficient algorithm for checking if A is a division algebra or whether […] | Multivariate to Bivariate Reduction for Noncommutative Polynomial Factorization
5350 Finite Matrix Multiplication Algorithms from Infinite Groups — Unresolved-question passage on page 21 / Can one obtain a construction with sets of size q m for m approaching half the ambient dimension and separating polynomials of degree at most […] | Finite Matrix Multiplication Algorithms from Infinite Groups
5351 Balancing Gaussian vectors in high dimension — Explicit open question on PDF page 5 / It is an open question as to whether there exists a polynomial-time algorithm achieving O(1) discrepancy for random {−1, +1} vectors or sparse {0, 1} […] | Balancing Gaussian vectors in high dimension
5352 On Generalized Corners and Matrix Multiplication — Explicit open question on PDF page 2 / In this paper we identify problems in additive combinatorics whose answer we conjecture would rule out obtaining ω = 2 using a large family of […] | On Generalized Corners and Matrix Multiplication
5431 Faster Exponential-Time Approximation Algorithms Using Approximate Monotone Local Search — Unresolved-question passage on page 17 / Can one show that the running time of Approximate-MLS is tight (up to polynomial factors) when one is only given access to a membership oracle […] | Faster Exponential-Time Approximation Algorithms Using Approximate Monotone Local Search
5432 A Lower Bound on Determinantal Complexity — Explicit open question on PDF page 3 / To the best of our knowledge, this conjecture remains open, but it’s worth mentioning that in the context of regular determinantal complexity, another notion defined […] | A Lower Bound on Determinantal Complexity
5433 A Quadratic Lower Bound for Homogeneous Algebraic Branching Programs — Explicit open question on PDF page 3 / However, we do not know how to formally show that there is a nearly linear size ABP which has high complexity in terms of the […] | A Quadratic Lower Bound for Homogeneous Algebraic Branching Programs
5463 A Super-Quadratic Lower Bound for Depth Four Arithmetic Circuits — Explicit open question on PDF page 3 / While going modulo the sparse factors of heavy gates is a natural generalization of this technique for depth four circuits, we do not know how […] | A Super-Quadratic Lower Bound for Depth Four Arithmetic Circuits
5464 Decomposing Permutation Automata — Unresolved-question passage on page 16 / Another way to improve the complexity in the general setting would be to bound the width of DFAs: we defined here a family of DFAs […] | Decomposing Permutation Automata
5569 Reconstruction of Full Rank Algebraic Branching Programs — Explicit open question on PDF page 8 / Keeping the conjecture [1] on pseudo-random polynomial family in mind, the more interesting and challenging scenario is when m w2 d in Problem 3, and […] | Reconstruction of Full Rank Algebraic Branching Programs
5722 On Positivity of Exponential-Trigonometric Polynomials and Irrationality Exponents — Open Problem 2 / Is there a computable discrete subfield of the reals K such that there exists an integer n ∈ N with the property that the Positivity […] | On Positivity of Exponential-Trigonometric Polynomials and Irrationality Exponents
5816 A Characterization of Wreath Products Where Knapsack Is Decidable — Unresolved-question passage on page 7 / Is KP+ (G) or KP± (G) perhaps inter-reducible with KP(G) or ExpEq(G)? | A Characterization of Wreath Products Where Knapsack Is Decidable
5849 Pseudo-Deterministic Construction of Irreducible Polynomials over Finite Fields — Explicit open question on PDF page 2 / Since then, there hasn’t been much progress towards this problem and in particular, the problem of efficient and unconditional deterministic construction of irreducible polynomials over […] | Pseudo-Deterministic Construction of Irreducible Polynomials over Finite Fields
5894 Computing Paths of Large Rank in Planar Frameworks Deterministically — Explicit open question on PDF page 1 / These algorithms are based on Schwartz-Zippel lemma for polynomial identity testing and thus are randomized, and therefore the existence of a deterministic FPT algorithm for […] | Computing Paths of Large Rank in Planar Frameworks Deterministically
5974 On Closure Properties of Read-Once Oblivious Algebraic Branching Programs — Unresolved-question passage on page 17 / This naturally raises the question in the other direction: does there exist a polynomial f := g d that is easy to compute by an […] | On Closure Properties of Read-Once Oblivious Algebraic Branching Programs
6012 On Multilinear Forms: Bias, Correlation, and Tensor Rank — Explicit open question on PDF page 5 / This result of Lovett implies and greatly elucidates the real reason underlying Theorem B, although we do not know if a tensor rank lower bound […] | On Multilinear Forms: Bias, Correlation, and Tensor Rank
6281 Submonoid Membership in n-Dimensional Lamplighter Groups and S-Unit Equations — Explicit open question on PDF page 3 / This is closely related to deciding emptiness of the intersection of a p1 -automatic set and a p2 -automatic set, which to the best of […] | Submonoid Membership in n-Dimensional Lamplighter Groups and S-Unit Equations
6383 On Matrix Powering in Low Dimensions — Unresolved-question passage on page 11 / In four dimensions or higher, the situation worsens: we do not know how to produce a polynomial-time algorithm even for fixed base data M and […] | On Matrix Powering in Low Dimensions
6473 Krylov Methods are (nearly) Optimal for Low-Rank Approximation — Open Question 11 / Perhaps surprisingly, when p is a fixed universal constant, the matrixvector complexity does not grow, even logarithmically, with input size. | Krylov Methods are (nearly) Optimal for Low-Rank Approximation
6611P Superpolynomial determinantal complexity of the permanent | Research reference · drops.dagstuhl.de
6612P VP versus VBP | A primer on the closure of algebraic complexity classes under factoring
6613P Polynomial-size arithmetic formulas for determinant | Research reference · eccc.weizmann.ac.il
6614P Deterministic polynomial-time polynomial factorization over finite fields | Research reference · arXiv 2509.12705
