id,title,authors,year,publication_year,edition_note,kind,area,category_ids,entries,pages,source_url,pdf_url,pdf,note,sha256,inventory_target
vadhan2012,Pseudorandomness,Salil P. Vadhan,2012,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",monograph,Pseudorandomness and derandomization,S04,40,339,https://people.seas.harvard.edu/~salil/pseudorandomness/,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf,pdf/vadhan2012.pdf,notes/vadhan2012.md,bf2ce542208824ebf39ce132aae2d26a3b90bc04d3496a4ec05361f27e62118c,all_explicit_unresolved_statements_in_downloaded_work
odonnell2021,Analysis of Boolean Functions (updated author edition),Ryan O’Donnell,2021,,May 2021 arXiv edition of the 2014 textbook.,book,Analysis of Boolean functions,,8,419,https://arxiv.org/abs/2105.10386,https://arxiv.org/pdf/2105.10386,pdf/odonnell2021.pdf,notes/odonnell2021.md,624b33577351086b7d8140d288af81ea9d60150ee1e56c5645060a45b4c9acb6,selected_explicit_unresolved_statements
raoyehudayoff,Communication Complexity (early author draft),Anup Rao; Amir Yehudayoff,,2020,"120-page early author draft; date not stated, not the complete 2020 published edition.",book_draft,Communication complexity,S06,7,120,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf,pdf/raoyehudayoff.pdf,notes/raoyehudayoff.md,ae7bc14f02e08a82969b6f1ec7f2141f2574e1b51be368da1453ffff9b2d5771,all_explicit_unresolved_statements_in_downloaded_work
jukna2012,Boolean Function Complexity: Advances and Frontiers (author's early draft),Stasys Jukna,2012,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",book_draft,Computational and circuit complexity,,10,587,https://web.vu.lt/mif/s.jukna/boolean/index.html,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf,pdf/jukna2012.pdf,notes/jukna2012.md,c8eef12631c393e1947a82b088670da8445d1a438e2a1b95de2c51d577f1ded7,selected_explicit_unresolved_statements
williamson2011,The Design of Approximation Algorithms,David P. Williamson; David B. Shmoys,2011,,"Electronic web edition, copyright 2011 in page footers; cover carries 2010 prepublication copyright.",book,Approximation algorithms,S01,11,500,https://www.designofapproxalgs.com/,https://www.designofapproxalgs.com/book.pdf,pdf/williamson2011.pdf,notes/williamson2011.md,f890311c5c9f5e6bcee863b59d08d143d79caf79013d8edca80ad426e5d53db3,all_explicit_unresolved_statements_in_downloaded_work
cygan2015,Parameterized Algorithms,Marek Cygan; Fedor V. Fomin; Łukasz Kowalik; Daniel Lokshtanov; Dániel Marx; Marcin Pilipczuk; Michał Pilipczuk; Saket Saurabh,2016,2015,Author manuscript dated 30 May 2016; published book 2015.,book,Parameterized and exact algorithms,,11,629,https://parameterized-algorithms.mimuw.edu.pl/,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf,pdf/cygan2015.pdf,notes/cygan2015.md,ec57506fc78a31c1c717562de834313b553b5a71200000c64b27c3a09fa2699d,selected_explicit_unresolved_statements
goldreich2017,Introduction to Property Testing (April 2017 manuscript),Oded Goldreich,2017,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",book_draft,Property testing and distribution learning,S14,21,466,https://www.wisdom.weizmann.ac.il/~oded/pt-intro.html,https://www.wisdom.weizmann.ac.il/~oded/PDF/pt-v3.pdf,pdf/goldreich2017.pdf,notes/goldreich2017.md,b92fff61d58b2073857e090c6ad1f1d744b0f5c24ed7e94c7d0c1e7ab02200ef,all_explicit_unresolved_statements_in_downloaded_work
cspbook2017,The Constraint Satisfaction Problem: Complexity and Approximability,Andrei Krokhin; Stanislav Živný (editors),2017,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",edited_book,Constraint satisfaction,,11,358,https://drops.dagstuhl.de/entities/volume/DFU-volume-7,https://drops.dagstuhl.de/storage/02dagstuhl-follow-ups/dfu-vol007/DFU.Vol7.15301/DFU.Vol7.15301.pdf,pdf/cspbook2017.pdf,notes/cspbook2017.md,948670b57b6afac5022446081b373fab318160876f20540e5c342b41d91c8cd4,selected_explicit_unresolved_statements
nordstrom2013,"Pebble Games, Proof Complexity, and Time-Space Trade-offs",Jakob Nordström,2013,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",survey,Proof complexity and logic,S05,19,63,https://arxiv.org/abs/1307.3913,https://arxiv.org/pdf/1307.3913,pdf/nordstrom2013.pdf,notes/nordstrom2013.md,9c773f87376b96e3ad4e46acf0adc2d82b4cf378b847fe3703bddb9588dfbd34,all_explicit_unresolved_statements_in_downloaded_work
spanners2020,Graph spanners: a tutorial review,Reyan Ahmed; Greg Bodwin; Faryad Darabi Sahneh; Keaton Hamm; Mohammad Javad Latifi Jebelli; Stephen Kobourov; Richard Spence,2020,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",survey,Graph theory and graph algorithms,,12,75,https://arxiv.org/abs/1909.03152,https://arxiv.org/pdf/1909.03152,pdf/spanners2020.pdf,notes/spanners2020.md,9ad3545e49a9d9e57c9f14fa663abd1030772c79c1e263a89607bac3708db91b,selected_explicit_unresolved_statements
fair2022,Fair Division of Indivisible Goods: A Survey,Georgios Amanatidis; Georgios Birmpas; Aris Filos-Ratsikas; Alexandros A. Voudouris,2022,,"arXiv v2, 4 March 2022, downloaded from a university course page.",survey,Algorithmic game theory and fair division,S16,10,17,https://arxiv.org/abs/2202.07551,https://www.cs.toronto.edu/~nisarg/teaching/2556s22/papers/fair-division-survey.pdf,pdf/fair2022.pdf,notes/fair2022.md,c9c1905f8c3f2db85e32662e061385a1118a7a5e170bb79b7f1728fc113215c2,all_explicit_unresolved_statements_in_downloaded_work
reconfig2020,Reconfiguration of Colourings and Dominating Sets in Graphs: a Survey,C. M. Mynhardt; S. Nasserasr,2020,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",survey,Reconfiguration algorithms,S25,10,20,https://arxiv.org/abs/2003.05956,https://arxiv.org/pdf/2003.05956,pdf/reconfig2020.pdf,notes/reconfig2020.md,4fe00c3eeef78277f2288fdd44d99e48e50a0d7864197d6367e961f14c86f8b1,all_explicit_unresolved_statements_in_downloaded_work
temporal2015,An Introduction to Temporal Graphs: An Algorithmic Perspective,Othon Michail,2015,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",survey,Temporal graph algorithms,,1,42,https://arxiv.org/abs/1503.00278,https://arxiv.org/pdf/1503.00278,pdf/temporal2015.pdf,notes/temporal2015.md,e91e525fbc110e50ab488f335e22e637b5364799b026b8b604c6b261479836ef,selected_explicit_unresolved_statements
scheduling2017,Parameterized complexity of machine scheduling: 15 open problems,Matthias Mnich; René van Bevern,2017,,arXiv submission began in 2017; the downloaded revision includes references from 2018.,survey,Scheduling and packing,S18,15,9,https://arxiv.org/abs/1709.01670,https://arxiv.org/pdf/1709.01670,pdf/scheduling2017.pdf,notes/scheduling2017.md,5898ff544c61d47b37e23b70befca7e2c55bdf0add57b8fcbdf11b796ee1f5c5,all_explicit_unresolved_statements_in_downloaded_work
arora_barak,Computational Complexity: A Modern Approach,Sanjeev Arora; Boaz Barak,2007,2009,January 2007 Internet draft of the book published in 2009.,book_draft,Computational complexity,,10,489,https://theory.cs.princeton.edu/complexity/,https://theory.cs.princeton.edu/complexity/book.pdf,pdf/arora_barak.pdf,notes/arora_barak.md,da0881782a35bde6a0779a2eb1a8d480f39fbddf70bbb92824d1dc5550a033b2,selected_explicit_unresolved_statements
dwork_roth,The Algorithmic Foundations of Differential Privacy,Cynthia Dwork; Aaron Roth,2014,,"Downloaded author or publisher PDF; annotations refer to this exact saved file, identified by SHA-256.",monograph,Differential privacy,S15,3,281,https://www.cis.upenn.edu/~aaroth/privacybook.html,https://www.cis.upenn.edu/~aaroth/Papers/privacybook.pdf,pdf/dwork_roth.pdf,notes/dwork_roth.md,599bb0add9a0ec7bf85a6561dbc7619f45403892a19084eb1fe622352ef91ef7,all_explicit_unresolved_statements_in_downloaded_work
watrous,The Theory of Quantum Information,John Watrous,2018,,2018 prepublication manuscript in standard layout; personal use only.,book_draft,Quantum information,,2,598,https://cs.uwaterloo.ca/~watrous/TQI/,https://cs.uwaterloo.ca/~watrous/TQI/TQI.pdf,pdf/watrous.pdf,notes/watrous.md,c8f30116586435fc265273b09ca2d63f4912a5d4b8901db1ada84b03373c6325,selected_explicit_unresolved_statements
