TCS-2426	Quantum computation	Next, can an analogue of Lemma 38 be shown without assuming the structure on H guaranteed by the Embedding Lemma?	Next, can an analogue of Lemma 38 be shown without assuming the structure on H guaranteed by the Embedding Lemma?
TCS-4882	Quantum computation	Quantum 2-SAT on Low Dimensional Systems Is QMAsubscript{1}-Complete: Direct Embeddings and Black-Box Simulation — Explicit open question on PDF page 1	Abstract Despite the fundamental role the Quantum Satisfiability (QSAT) problem has played in quantum complexity theory, a central question remains open: At which local dimension […]
TCS-2529	Computational geometry and metric spaces	First, is there an exact polynomial time algorithm for embedding into ultrametrics or even a PTAS?	First, is there an exact polynomial time algorithm for embedding into ultrametrics or even a PTAS?
TCS-0348	Computational geometry and metric spaces	Fast separators in Delaunay triangulations and convex hulls	Fast separators in Delaunay triangulations and convex hulls
TCS-5124	Computational geometry and metric spaces	Online Monotone Metric Embeddings — Unresolved-question passage on page 20	What is the tight bound for the distortion of online monotone embeddings into HSTs?
TCS-0340	Computational geometry and metric spaces	Average Distortion Embeddings	Average Distortion Embeddings
TCS-1089	Computational geometry and metric spaces	Exists-R hardness of 2-complex embeddings in 4D	Exists-R hardness of 2-complex embeddings in 4D
TCS-0354	Computational geometry and metric spaces	Recognizing Minkowski sums of zero-one polytopes	Recognizing Minkowski sums of zero-one polytopes
TCS-1397	Computational geometry and metric spaces	Is it NP-hard to find the optimal outlier set size when probabilistically embedding a given metric into HSTs with a small fixed distortion?	Is it NP-hard to find the optimal outlier set size when probabilistically embedding a given metric into HSTs with a small fixed distortion?
TCS-3848	Computational geometry and metric spaces	The parameterized complexity of embedding into trees of unbounded degree, asked in [7], still remains open.	The parameterized complexity of embedding into trees of unbounded degree, asked in [7], still remains open.
TCS-1088	Computational geometry and metric spaces	Complexity of three-dimensional Delaunay realizability	Complexity of three-dimensional Delaunay realizability
TCS-0319	Computational geometry and metric spaces	Morphing Long-Geodesic Embeddings on the Sphere	Morphing Long-Geodesic Embeddings on the Sphere
TCS-0345	Computational geometry and metric spaces	Complexity of recognizing perfect plane grid embeddings of trees	Complexity of recognizing perfect plane grid embeddings of trees
TCS-0347	Computational geometry and metric spaces	Do subcubic trees always admit perfect plane grid embeddings?	Do subcubic trees always admit perfect plane grid embeddings?
TCS-0349	Computational geometry and metric spaces	Hamiltonian cycles in first-order Delaunay graphs	Hamiltonian cycles in first-order Delaunay graphs
TCS-0372	Computational geometry and metric spaces	Slicing Axes-Parallel Rectangles	Slicing Axes-Parallel Rectangles
TCS-1433	Computational geometry and metric spaces	Are there similar characterizations for other online problems with monotone recourse?	Are there similar characterizations for other online problems with monotone recourse?
TCS-2050	Computational geometry and metric spaces	In light of Lemma 11, we do not know whether the △pab has a circumcircle, so we run the test from △abc.	In light of Lemma 11, we do not know whether the △pab has a circumcircle, so we run the test from △abc.
TCS-2197	Computational geometry and metric spaces	What is the complexity of finding non-strict upward planar embeddings of trees on a given grid?	What is the complexity of finding non-strict upward planar embeddings of trees on a given grid?
TCS-2420	Computational geometry and metric spaces	Establishing the complexity of the problem when a planar embedding (neither rectilinear nor upward) is fixed remains an open question.	Establishing the complexity of the problem when a planar embedding (neither rectilinear nor upward) is fixed remains an open question.
TCS-2905	Computational geometry and metric spaces	How do results extend to non-Rademacher matrices?	How do results extend to non-Rademacher matrices?
TCS-2982	Computational geometry and metric spaces	If yes, does even the representation of these integers need to be exponential in the input size?	If yes, does even the representation of these integers need to be exponential in the input size?
TCS-3101	Computational geometry and metric spaces	It is an open problem to design an algorithm that runs in 𝑂 (|𝑉 | 2 ) time or better.	It is an open problem to design an algorithm that runs in 𝑂 (|𝑉 | 2 ) time or better.
TCS-3103	Computational geometry and metric spaces	We leave finding such an algorithm, even for the case of Schatten-p norms with p ≥ 2, as an open problem.	We leave finding such an algorithm, even for the case of Schatten-p norms with p ≥ 2, as an open problem.
TCS-3273	Computational geometry and metric spaces	Rounding the weights simplifies the proofs, but it is an open question as to whether it is necessary for the correctness of the construction. α […]	Rounding the weights simplifies the proofs, but it is an open question as to whether it is necessary for the correctness of the construction. α […]
TCS-3974	Computational geometry and metric spaces	The question remains, what other algorithms or analysis can we use to improve the routing ratio of the Delaunay triangulation?	The question remains, what other algorithms or analysis can we use to improve the routing ratio of the Delaunay triangulation?
TCS-4047	Computational geometry and metric spaces	If f is non-orientable, the same argument works, except that there are two possibilities for the cyclic ordering of the vertices along the new boundary […]	If f is non-orientable, the same argument works, except that there are two possibilities for the cyclic ordering of the vertices along the new boundary […]
TCS-4352	Computational geometry and metric spaces	On a theoretical side, we are planning to reduce the gap between the lower bound 32 and the upper bound 128 in Proposition 24; we […]	On a theoretical side, we are planning to reduce the gap between the lower bound 32 and the upper bound 128 in Proposition 24; we […]
TCS-4373	Computational geometry and metric spaces	We conjecture that for ≤ 0.143, this full-dimensional MF complex is homotopy equivalent to Σ.	We conjecture that for ≤ 0.143, this full-dimensional MF complex is homotopy equivalent to Σ.
TCS-4571	Computational geometry and metric spaces	That is, does applying this principle to other protocols that stabilize a topology (e.g., rings, skip-graphs, Delaunay graphs) directly yield monotonic searchability, or do other […]	That is, does applying this principle to other protocols that stabilize a topology (e.g., rings, skip-graphs, Delaunay graphs) directly yield monotonic searchability, or do other […]
TCS-5006	Computational geometry and metric spaces	Dimension Reduction for Clustering: The Curious Case of Discrete Centers — Explicit open question on PDF page 5	However, we do not know if a “for all partitions” guarantee is possible without the log log n term.
TCS-5034	Computational geometry and metric spaces	Dimension Reduction for Polynomials over Gaussian Space and Applications — Explicit open question on PDF page 10	The question of showing the computability of the Shannon capacity remains open to this day [4].
TCS-5222	Computational geometry and metric spaces	Approximating Distance Measures for the Skyline — Explicit open question on PDF page 9	Because of the complexity of their graph we could not find such a geometric embedding, and hence we leave it as an open problem.
TCS-5555	Computational geometry and metric spaces	Probabilistic Metric Embedding via Metric Labeling — Explicit open question on PDF page 2	Note that though there are LP formulations that embed metrics into trees [11, 27], we do not know how to solve them to a o(log […]
TCS-5747	Computational geometry and metric spaces	Online Embedding of Metrics — Explicit open question on PDF page 4	Currently, we do not know how tight is the above bound, and whether is it at all possible to obtain a polynomially small in n […]
TCS-5794	Computational geometry and metric spaces	Moderate Dimension Reduction for k-Center Clustering — Explicit open question on PDF page 5	We do not know whether our bounds are tight, and in fact, proving lower bounds for dynamic geometric streams is a challenging open problem (apparently, […]
TCS-6120	Computational geometry and metric spaces	Hardness Results for Laplacians of Simplicial Complexes via Sparse-Linear Equation Complete Gadgets — Explicit open question on PDF page 6	Recent work [3] has shown that simplicial complexes with a known embedding into R3 have non-trivial linear equation solvers, but the full extent to which […]
TCS-6347	Computational geometry and metric spaces	On Using Toeplitz and Circulant Matrices for Johnson-Lindenstrauss Transforms — Explicit open question on PDF page 4	While Theorem 2 already shows that one cannot tighten the analysis of Vybíral for preserving the norm of just one vector, Theorem 2 does leave […]
TCS-6071	Computational complexity	Upward Pointset Embeddings of Planar st-Graphs — Unresolved-question passage on page 15	Given a directed tree T on n vertices and a set S of n points in general position, is it NP-hard to decide whether T […]
TCS-6508	Algorithms & data structures	Do splay trees support deque operations in constant amortized time?	Start from an arbitrary binary search tree containing $n$ ordered keys, and perform $m$ legal double-ended queue operations. Insert-min creates a new minimum as the root with the old tree as its right child; insert-max is symmetric. Delete-min splays the minimum to the root, removes it, and keeps its right subtree; delete-max is symmetric. Is the t
TCS-1183	Algorithms & data structures	– Series-parallel graphs Theorem 7 Negative examples – Same rotation system – Different rotation systems, Theorem 11 all implementing embeddings	– Series-parallel graphs Theorem 7 Negative examples – Same rotation system – Different rotation systems, Theorem 11 all implementing embeddings
TCS-3601	Algorithms & data structures	What additional properties of the embedding may be modeled?	What additional properties of the embedding may be modeled?
