review_order	id	title	category	type_label	confidence	reason	condition	retain_ids	reader_url
1	TCS-3114	Thus, the case that remains open concerns uncountable X and general (random) sequences X.	Learning theory	Later result answers the historical target	high	Blanchard's COLT 2022 result explicitly closes the COLT 2021 universal-online-learning questions, including weak and strong learning on general spaces. The card still extracts the earlier unresolved case.	The solved target uses deterministic target functions. Preserve the distinction from TCS-2654, which permits arbitrarily dependent responses.	TCS-2654	https://vaclavrozhon.github.io/atlas/#TCS-3114
2	TCS-3347	Complexity of conditional-independence implication	Coding and information theory	Later result answers the historical target	high	The 2020 source leaves conditional-independence implication undecided. Li's later undecidability theorem covers finite-support random variables with unrestricted alphabet sizes, so the standard historical question has an answer.	A separately specified fixed-alphabet or other restricted complexity problem would need its own assessment; the theorem is not about unconditional Shannon inequalities.		https://vaclavrozhon.github.io/atlas/#TCS-3347
3	TCS-6418	Simultaneously time- and message-optimal distributed MST	Distributed, parallel and sublinear algorithms	Later result answers the historical target	high	The saved 2011 target asks for simultaneous near-optimal time and message complexity for distributed MST. Pandurangan, Robinson and Scquizzato give precisely these randomized bounds; this historical target should leave the open-problem pool.	The result permits Las Vegas randomization. Do not reinterpret the old card as a new deterministic target.		https://vaclavrozhon.github.io/atlas/#TCS-6418
4	TCS-6737	Polynomial-query testing of minor-closed bounded-degree properties	Property testing and distribution learning	Later result answers the historical target	high	Kumar, Seshadhri and Stolman provide a tester with polynomial dependence on degree and inverse proximity for each fixed minor-closed property. This answers the historical polynomial-query target.	The theorem permits two-sided error and property-dependent constants. A one-sided tester is a different target, not an implicit replacement.		https://vaclavrozhon.github.io/atlas/#TCS-6737
5	TCS-0054	Tensor decomposition at the uniqueness threshold	Algebraic computation	Duplicate target	high	This is another entry for the same Bhaskara–Charikar–Moitra–Vijayaraghavan tensor-decomposition open-problem paper and its uniqueness-threshold target. Keep the question once under the more specific Kruskal-threshold entry.	Transfer any unique provenance and preserve the precise robustness and computational-model requirements.	TCS-4949	https://vaclavrozhon.github.io/atlas/#TCS-0054
6	TCS-0691	Recursive Teaching Dimension Versus VC Dimension	Learning theory	Duplicate target	high	Its saved question is exactly the universal linear bound of recursive teaching dimension by VC dimension for finite classes. TCS-2339 already states that same inequality explicitly.	Transfer the Simon–Zilles source; retain recursive teaching, rather than substituting non-clashing teaching or sample compression.	TCS-2339	https://vaclavrozhon.github.io/atlas/#TCS-0691
7	TCS-6007	Explicit noncommutative circuit lower bounds	Algebraic computation	Duplicate target	high	The saved summary identifies general explicit noncommutative circuit lower bounds, already represented by TCS-6890. The paper's restricted ABP and formula results provide context rather than a different selected target.	Agree on the field and explicitness convention when developing the surviving general circuit question.	TCS-6890	https://vaclavrozhon.github.io/atlas/#TCS-6007
8	TCS-3685	Average-case formula hardness of the majority Andreev function	Computational complexity	Invalid or non-independent extraction	high	The current reviewed card records a direct contradiction of its literal average-case target: a single input-table bit already gives inverse-polynomial advantage. This is stronger evidence for retirement than an ordinary unfinished statement.	A corrected distribution, encoding or advantage target would be a new source-supported formulation to assess; the paper's worst-case theorem is not being refuted.		https://vaclavrozhon.github.io/atlas/#TCS-3685
9	TCS-5777	Monotone versus general spanning-tree polynomial circuits	Algebraic computation	Invalid or non-independent extraction	high	The extracted sentence is the broad introductory question about monotone versus unrestricted computation. The same paper then proves concrete strong monotone separations for spanning-tree polynomials; the card identifies no additional independent residual conjecture.	Retire this extraction, not the general study of cancellation or every question in the paper. Its solved theorems can remain context elsewhere.		https://vaclavrozhon.github.io/atlas/#TCS-5777
10	TCS-0133	Stronger versions of inclusion of probabilistic automata	Automata and formal languages	Consolidation requiring scope alignment	medium	Both this seminar entry and TCS-3863 target unconditional containment for finitely ambiguous probabilistic automata. Their shared numerical-comparison obstacle is a better single benchmark entry than two loosely specified occurrences.	Compare pointwise probability containment, acceptance conventions and ambiguity bounds before merging; this is a proposed consolidation, not a certified equivalence.	TCS-3863	https://vaclavrozhon.github.io/atlas/#TCS-0133
11	TCS-0171	Complexity of word unification	Automated reasoning, rewriting and unification	Consolidation requiring scope alignment	medium	Word unification and the word-equation satisfiability entry cover the same basic string-substitution complexity question in their ordinary unconstrained reading. The extra general label has little independent selection value.	First align constants, empty words and equation-system conventions. Do not merge additional regular or length constraints into the ordinary problem.	TCS-0163	https://vaclavrozhon.github.io/atlas/#TCS-0171
12	TCS-2783	Erdős girth conjecture	Structural graph theory and graph algorithms	Consolidation requiring scope alignment	medium	This repeats the Erdős girth-conjecture theme in TCS-6500, with valuable routing provenance. One carefully reconciled girth entry would preserve the scientific challenge and avoid two slots for its near-identical extremal formulation.	The current cards differ: all sufficiently large n versus arbitrarily large n, and girth at least 2k+2 versus greater than 2k. Preserve or explicitly decide these quantifiers; no equivalence is asserted here.	TCS-6500	https://vaclavrozhon.github.io/atlas/#TCS-2783
13	TCS-6937	Randomized APSP hypothesis	Fine-grained complexity	Consolidation requiring scope alignment	medium	The integer-weight randomized APSP hypothesis and the real-weight APSP card organize the same main exponent barrier. I would consider presenting their model variants together instead of keeping a separate textbook occurrence.	The integer word model and comparison-addition real RAM are different. Preserve both model-specific claims; a generic statement that these cards are duplicates would be incorrect.	TCS-6510	https://vaclavrozhon.github.io/atlas/#TCS-6937
14	TCS-6953	Cryptographic primitives from worst-case or average-case hardness	Cryptography	Consolidation requiring scope alignment	medium	This broad source question bundles worst-case hardness, average-case hardness, one-way functions and trapdoors. Several sharper active cards already separate those foundational implications; retain its source and missing branches within that cluster.	Map every assumption and conclusion first. Infinitely-often one-wayness and public-key encryption are not automatically equivalent to all branches of the original trapdoor question.	TCS-0022, TCS-6453, TCS-6545	https://vaclavrozhon.github.io/atlas/#TCS-6953
15	TCS-7033	Polynomial kernels for directed feedback sets	Parameterized complexity and algorithms	Consolidation requiring scope alignment	medium	The survey bundles directed feedback vertex and arc kernelization, while TCS-6379 already carries the central solution-size kernel question. A consolidated entry can avoid spending a separate slot on the survey occurrence.	Preserve the arc branch and explicitly verify the parameter-preserving reductions and deterministic kernel convention before removing the bundled entry.	TCS-6379	https://vaclavrozhon.github.io/atlas/#TCS-7033
