TCS-6446	Quantum computation	Quantum PCP: a constant promise gap for local Hamiltonians	Are there constants $k$ and $\varepsilon>0$ for which the following promise problem is QMA-hard? The input is $H=\frac1m\sum_{i=1}^m H_i$ on $n$ qubits, with each term acting on at most $k$ qubits and $0\preceq H_i\preceq I$. Distinguish $\lambda_{\min}(H)\le a$ from $\lambda_{\min}(H)\ge b$, promised $b-a\ge\varepsilon$. The reduction must be effi
TCS-0036	Quantum computation	BPP versus BQP	BPP versus BQP
TCS-6448	Quantum computation	Does a quantum witness have more power than a classical witness?	Is $\mathrm{QMA}=\mathrm{QCMA}$? Both classes have a polynomial-time quantum verifier and bounded error. QMA permits a polynomial-size quantum witness; QCMA permits only a polynomial-length classical string. The question concerns the standard classes without an oracle.
TCS-0029	Quantum computation	Maximum randomized-versus-quantum gap for total functions	Maximum randomized-versus-quantum gap for total functions
TCS-6449	Quantum computation	Quantum versus classical nonuniform advice	Is $\mathrm{BQP/qpoly}=\mathrm{BQP/poly}$? Advice for inputs of length $n$ depends only on $n$: a state on $\operatorname{poly}(n)$ qubits on the left, or $\operatorname{poly}(n)$ classical bits on the right. The computation must succeed on every input of that length.
TCS-0033	Quantum computation	Quantum query complexity versus bounded approximate degree	Quantum query complexity versus bounded approximate degree
TCS-6447	Quantum computation	Strong quantum IOPs with polynomial communication	Does every QMA promise problem admit a constant-round strong quantum interactive oracle proof with a uniform polynomial-time verifier, total prover-message length polynomial in the input length n, total query complexity O(1), completeness at least 2/3, and soundness at most 1/3? The strong access model is defined below. The prover may be computatio
TCS-0031	Quantum computation	Oracle separation of BQP from IP	Oracle separation of BQP from IP
TCS-0034	Quantum computation	Quantum query–space tradeoffs for collisions and distinctness	Quantum query–space tradeoffs for collisions and distinctness
TCS-0866	Quantum computation	Learning Quantum Circuits with Queries	Learning Quantum Circuits with Queries
TCS-0027	Quantum computation	Black-box unitary synthesis	Black-box unitary synthesis
TCS-0858	Quantum computation	Complexity of the EPR Hamiltonian	Complexity of the EPR Hamiltonian
TCS-0860	Quantum computation	Find the complexity of Quantum Approximate Counting (QXC)	Find the complexity of Quantum Approximate Counting (QXC)
TCS-0030	Quantum computation	Oracle separation of BQP from efficient-prover interactive proofs	Oracle separation of BQP from efficient-prover interactive proofs
TCS-0857	Quantum computation	Can the QAOA optimize the SK Hamiltonian?	Can the QAOA optimize the SK Hamiltonian?
TCS-0028	Quantum computation	Injective quantum oracles: standard versus erasing access	Injective quantum oracles: standard versus erasing access
