id,origin,title,authors,kind,category_ids,availability,local_path,source_url,pages,sha256,note,review_status
personal-270,personal_library,Quantum Computation and Quantum Information,Michael A. Nielsen; Isaac L. Chuang,book,L01,local_file,"/home/vasek/zalohovano/knizky/informatika/quantum computing/Michael A. Nielsen, Isaac L. Chuang  - Quantum Computation and Quantum Information_ 10th Anniversary Edition-Cambridge University Press  (2011).pdf",,710,1970b0e0b311b48b4fe8d74f53a887dbdf49bc61aa27d4a2839c39b6f30fb334,10th Anniversary Edition; široký základ kvantových výpočtů a informace.,bibliographic_discovery_only
personal-274,personal_library,Quantum Computing since Democritus,Scott Aaronson,book,"L01,L03",local_file,/home/vasek/zalohovano/knizky/informatika/quantum computing/Aaronson S.-Quantum Computing since Democritus-Cambridge University Press (2013).pdf,,400,5b3a54c4e1c6beec51a31aa245d65302fa8d88b39558ade524d285277e250d22,Kvantové výpočty propojené se složitostí a vyčíslitelností.,bibliographic_discovery_only
personal-275,personal_library,Quantum Computing: Lecture Notes,Ronald de Wolf,lecture_notes,L01,local_file,/home/vasek/zalohovano/knizky/informatika/quantum computing/wolf - quantum computing.pdf,,163,950456232a16c1233382d2480dfe64b6776982cca3c3d47a45600be7b482370f,Algoritmy a složitost kvantových výpočtů.,bibliographic_discovery_only
personal-48,personal_library,Computational Geometry,David M. Mount,lecture_notes,L02,local_file,/home/vasek/zalohovano/knizky/informatika/geometry/computational geometry.pdf,,122,4b03722e66b46eb6264ded9395d89c4bcc462972a91a22402bb35337735d31be,"Soubor je kurz CMSC 754 z roku 2002, nikoli kniha de Berga a spoluautorů.",bibliographic_discovery_only
personal-10,personal_library,The Discrepancy Method: Randomness and Complexity,Bernard Chazelle,book,"L02,S04",local_file,/home/vasek/zalohovano/knizky/informatika/algorithms/Bernard Chazelle - The Discrepancy Method (2002).pdf,,491,fb61125458d070cd169a18d79e2ec830c7912470b670625d2c57c0f5a1c87a0f,"Discrepancy a geometrické algoritmy; identita ověřena z titulní stránky, textová vrstva má chybné kódování.",bibliographic_discovery_only
personal-107,personal_library,Using the Borsuk–Ulam Theorem,Jiří Matoušek,book,"L02,S23",local_file,/home/vasek/zalohovano/knizky/math/algebra/topology/Using the Borsuk-Ulam theorem.pdf,,221,1962304f40076d4a9e73dc9a34423bf5f6321fae5c897674780eb3bd006e0ef9,Topologické metody v kombinatorice a geometrii.,bibliographic_discovery_only
personal-21,personal_library,Computational Complexity,Christos H. Papadimitriou,book,L03,local_file,/home/vasek/zalohovano/knizky/informatika/complexity/Christos H. Papadimitriou-Computational Complexity-Addison-Wesley (1994).djvu,,540,e89431c4ab8fed0e1dfa9f89268175d1f7bf024ca7985f615f0f9d0051646e1e,"Samostatná učebnice složitosti, odlišná od Arora–Barak.",bibliographic_discovery_only
personal-25,personal_library,Computational Complexity: A Conceptual Perspective,Oded Goldreich,book,L03,local_file,/home/vasek/zalohovano/knizky/informatika/complexity/Oded Goldreich - Computational complexity_ A conceptual perspective-Cambridge University Press (2008).pdf,,632,11e73e2d83216b2c2a19af169cc0270c58d2a0cc284fa3976cbd0fc6bbb17ec7,Další systematická učebnice složitosti.,bibliographic_discovery_only
personal-26,personal_library,The Nature of Computation,Cristopher Moore; Stephan Mertens,book,"L03,S24",local_file,/home/vasek/zalohovano/knizky/informatika/complexity/moore.pdf,,1001,005da37659b5a7c2cd80eb1df249c9083edfe617bc5cb08ae5c9220ff5cc4ed3,Soubor moore.pdf obsahuje rozsáhlou knihu; identita ověřena na titulní stránce skenu.,bibliographic_discovery_only
personal-20,personal_library,Computers and Intractability: A Guide to the Theory of NP-Completeness,Michael R. Garey; David S. Johnson,book,"L03,S02",local_file,"/home/vasek/zalohovano/knizky/informatika/complexity/M. R. Garey, D. S. Johnson-Computers and Intractability_ A Guide to the Theory of NP-Completeness.djvu",,347,1e868acd2a04c1a94eec57dd2cff496d06752e918505c769eea3450e55cda950,Redukce a klasické NP-úplné problémy.,bibliographic_discovery_only
