id,title,group,category,batch,slug,proposal
TCS-6516,Area law for general gapped 2D Hamiltonians,large,Quantum computation,fundamental-20260910,area-law,research/fundamental-additions-20260910/candidates.json
TCS-6580,Information-theoretic classical verification of quantum computation,large,Quantum computation,fundamental-20260910,classical-quantum-verification,research/fundamental-additions-20260910/candidates.json
TCS-6515,Asymptotically good quantum locally testable codes,large,Quantum computation,fundamental-20260910,qltc,research/fundamental-additions-20260910/candidates.json
TCS-6517,Self-correcting quantum memory in three dimensions,large,Quantum computation,fundamental-20260910,memory3d,research/fundamental-additions-20260910/candidates.json
TCS-6518,NPT bound entanglement,large,Quantum computation,fundamental-20260910,npt,research/fundamental-additions-20260910/candidates.json
TCS-6519,Quantum capacity of the qubit depolarizing channel,large,Quantum computation,fundamental-20260910,depolarizing,research/fundamental-additions-20260910/candidates.json
TCS-6520,Computability of quantum channel capacity,large,Quantum computation,fundamental-20260910,capacity-computable,research/fundamental-additions-20260910/candidates.json
TCS-6521,Polynomial-time quantum algorithm for the dihedral hidden subgroup problem,large,Quantum computation,fundamental-20260910,dihedral,research/fundamental-additions-20260910/candidates.json
TCS-6522,Graph isomorphism in BQP,large,Quantum computation,fundamental-20260910,quantum-gi,research/fundamental-additions-20260910/candidates.json
TCS-6523,Kannan–Lovász–Simonovits conjecture,large,Computational geometry and metric spaces,fundamental-20260910,kls,research/fundamental-additions-20260910/candidates.json
TCS-6525,Gupta–Newman–Rabinovich–Sinclair conjecture,large,Computational geometry and metric spaces,fundamental-20260910,gnrs,research/fundamental-additions-20260910/candidates.json
TCS-6528,Unknot recognition in polynomial time,large,Computational geometry and metric spaces,fundamental-20260910,unknot,research/fundamental-additions-20260910/candidates.json
TCS-6524,Lang–Plaut problem,large,Computational geometry and metric spaces,fundamental-20260910,lang-plaut,research/fundamental-additions-20260910/candidates.json
TCS-6526,Optimal size of weak ε-nets for convex ranges,large,Computational geometry and metric spaces,fundamental-20260910,weak-nets,research/fundamental-additions-20260910/candidates.json
TCS-6527,Constant-distortion Steiner point removal,large,Computational geometry and metric spaces,fundamental-20260910,steiner-removal,research/fundamental-additions-20260910/candidates.json
TCS-6529,Optimal ℓ₁ distortion of planar Earth Mover Distance,large,Computational geometry and metric spaces,fundamental-20260910,earthmover-l1,research/fundamental-additions-20260910/candidates.json
TCS-6530,Does P equal PSPACE?,large,Computational complexity,fundamental-20260910,p-pspace,research/fundamental-additions-20260910/candidates.json
TCS-6532,Is the polynomial hierarchy strict at every finite level?,large,Computational complexity,fundamental-20260910,ph,research/fundamental-additions-20260910/candidates.json
TCS-6531,L versus P,large,Computational complexity,fundamental-20260910,l-p,research/fundamental-additions-20260910/candidates.json
TCS-6535,TC⁰ versus NC¹,large,Computational complexity,fundamental-20260910,tc0-nc1,research/fundamental-additions-20260910/candidates.json
TCS-6534,Berman–Hartmanis isomorphism conjecture,large,Computational complexity,fundamental-20260910,berman-hartmanis,research/fundamental-additions-20260910/candidates.json
TCS-6533,NL versus UL,large,Computational complexity,fundamental-20260910,nl-ul,research/fundamental-additions-20260910/candidates.json
TCS-6536,Deterministic linear-time minimum spanning tree,large,Algorithms & data structures,fundamental-20260910,mst-linear,research/fundamental-additions-20260910/candidates.json
TCS-6537,Linear-time integer sorting,large,Algorithms & data structures,fundamental-20260910,integer-sort,research/fundamental-additions-20260910/candidates.json
TCS-6538,Almost-linear-time maximum matching in general graphs,large,Algorithms & data structures,fundamental-20260910,general-matching,research/fundamental-additions-20260910/candidates.json
TCS-6540,Superlogarithmic static cell-probe lower bounds,large,Algorithms & data structures,fundamental-20260910,static-cellprobe,research/fundamental-additions-20260910/candidates.json
TCS-6539,Linear-time triangle detection,large,Algorithms & data structures,fundamental-20260910,triangle-linear,research/fundamental-additions-20260910/candidates.json
TCS-6586,Deterministic linear-time construction of static dictionaries,large,Algorithms & data structures,fundamental-20260910,deterministic-static-dictionary,research/fundamental-additions-20260910/candidates.json
TCS-6541,Linear-size sample compression conjecture,large,Learning theory,fundamental-20260910,sample-compression,research/fundamental-additions-20260910/candidates.json
TCS-6542,Efficient learning parity with noise,large,Learning theory,fundamental-20260910,lpn,research/fundamental-additions-20260910/candidates.json
TCS-6543,Breaking the computational barrier for learning juntas,large,Learning theory,fundamental-20260910,juntas,research/fundamental-additions-20260910/candidates.json
TCS-6581,Mansour’s conjecture,large,Learning theory,fundamental-20260910,mansour,research/fundamental-additions-20260910/candidates.json
TCS-6544,Distribution-free learning of intersections of two halfspaces,large,Learning theory,fundamental-20260910,two-halfspaces,research/fundamental-additions-20260910/candidates.json
TCS-6545,Public-key encryption from one-way functions,large,Cryptography,fundamental-20260910,owf-pke,research/fundamental-additions-20260910/candidates.json
TCS-6549,Oblivious transfer from public-key encryption,large,Cryptography,fundamental-20260910,pke-ot,research/fundamental-additions-20260910/candidates.json
TCS-6550,Indistinguishability obfuscation from LWE alone,large,Cryptography,fundamental-20260910,io-lwe,research/fundamental-additions-20260910/candidates.json
TCS-6547,Collision-resistant hashing from one-way functions,large,Cryptography,fundamental-20260910,owf-crh,research/fundamental-additions-20260910/candidates.json
TCS-6546,One-way permutations from one-way functions,large,Cryptography,fundamental-20260910,owf-owp,research/fundamental-additions-20260910/candidates.json
TCS-6548,Chosen-ciphertext security from ordinary public-key encryption,large,Cryptography,fundamental-20260910,cpa-cca,research/fundamental-additions-20260910/candidates.json
TCS-6551,Unleveled FHE without circular-security assumptions,large,Cryptography,fundamental-20260910,fhe-no-circular,research/fundamental-additions-20260910/candidates.json
TCS-6552,Non-interactive zero knowledge from one-way functions,large,Cryptography,fundamental-20260910,nizk-owf,research/fundamental-additions-20260910/candidates.json
TCS-6553,Can every polynomial-time decision problem be efficiently parallelized?,large,"Distributed, parallel and sublinear algorithms",fundamental-20260910,p-nc,research/fundamental-additions-20260910/candidates.json
TCS-6584,The Li–Li undirected network coding conjecture,large,"Distributed, parallel and sublinear algorithms",fundamental-20260910,li-li-network-coding,research/fundamental-additions-20260910/candidates.json
TCS-6556,Pass complexity of directed reachability in semi-streaming,large,"Distributed, parallel and sublinear algorithms",fundamental-20260910,stream-reachability,research/fundamental-additions-20260910/candidates.json
TCS-6554,Distributed Lovász Local Lemma in O(log log n) rounds,large,"Distributed, parallel and sublinear algorithms",fundamental-20260910,distributed-lll,research/fundamental-additions-20260910/candidates.json
TCS-6555,Optimal exact single-source shortest paths in CONGEST,large,"Distributed, parallel and sublinear algorithms",fundamental-20260910,congest-sssp,research/fundamental-additions-20260910/candidates.json
TCS-6557,Explicit superconstant lower bounds in the congested clique,large,"Distributed, parallel and sublinear algorithms",fundamental-20260910,clique-lower,research/fundamental-additions-20260910/candidates.json
TCS-6558,Černý conjecture,large,Automata and formal languages,fundamental-20260910,cerny,research/fundamental-additions-20260910/candidates.json
TCS-6560,Sakoda–Sipser problem,large,Automata and formal languages,fundamental-20260910,sakoda-sipser,research/fundamental-additions-20260910/candidates.json
TCS-6562,Word equations with linear length constraints,large,Automata and formal languages,fundamental-20260910,word-length,research/fundamental-additions-20260910/candidates.json
TCS-6559,Generalized star-height problem,large,Automata and formal languages,fundamental-20260910,star-height,research/fundamental-additions-20260910/candidates.json
TCS-6561,Decidability of the full concatenation hierarchy,large,Automata and formal languages,fundamental-20260910,concat-hierarchy,research/fundamental-additions-20260910/candidates.json
TCS-6563,Equivalence of deterministic macro tree transducers,large,Automata and formal languages,fundamental-20260910,macro-transducer,research/fundamental-additions-20260910/candidates.json
TCS-6582,Equivalence of higher-order recursion schemes,large,Automata and formal languages,fundamental-20260910,hors-equivalence,research/fundamental-additions-20260910/candidates.json
TCS-6564,First-order definability of regular tree languages,large,Automata and formal languages,fundamental-20260910,fo-trees,research/fundamental-additions-20260910/candidates.json
TCS-6571,Is rational solvability of polynomial equations decidable?,large,"Semantics, logic and verification",fundamental-20260910,h10q,research/fundamental-additions-20260910/candidates.json
TCS-6565,Decidability of Positivity for linear recurrences,large,"Semantics, logic and verification",fundamental-20260910,positivity,research/fundamental-additions-20260910/candidates.json
TCS-6567,Simple stochastic games in polynomial time,large,"Semantics, logic and verification",fundamental-20260910,ssg,research/fundamental-additions-20260910/candidates.json
TCS-6568,Mean-payoff games in polynomial time,large,"Semantics, logic and verification",fundamental-20260910,mean-payoff,research/fundamental-additions-20260910/candidates.json
TCS-6566,Unbounded Continuous Skolem Problem,large,"Semantics, logic and verification",fundamental-20260910,continuous-skolem,research/fundamental-additions-20260910/candidates.json
TCS-6569,Internal semisimplicial types in ordinary HoTT,large,"Semantics, logic and verification",fundamental-20260910,semisimplicial,research/fundamental-additions-20260910/candidates.json
TCS-6570,Scott-continuous model with exactly λβ equational theory,large,"Semantics, logic and verification",fundamental-20260910,scott-lambda,research/fundamental-additions-20260910/candidates.json
TCS-6583,Barendregt–Geuvers–Klop conjecture,large,"Semantics, logic and verification",fundamental-20260910,bgk,research/fundamental-additions-20260910/candidates.json
TCS-6572,A polynomial-time pivot rule for the simplex method,large,Optimization and numerics,fundamental-20260910,poly-simplex,research/fundamental-additions-20260910/candidates.json
TCS-6574,Polynomial-time exact semidefinite feasibility,large,Optimization and numerics,fundamental-20260910,exact-sdp,research/fundamental-additions-20260910/candidates.json
TCS-6575,Deterministic k-server conjecture,large,Optimization and numerics,fundamental-20260910,det-k-server,research/fundamental-additions-20260910/candidates.json
TCS-6585,Nearly linear-time solution of general sparse linear systems,large,Optimization and numerics,fundamental-20260910,general-sparse-linear-systems,research/fundamental-additions-20260910/candidates.json
