Communication complexity
TCS-0221 [index;problem_family;uncertain] Frontiers in Structural Communication Complexity
TCS-6450 [reviewed;;source_open] A polynomial relation between classical and quantum communication for total functions
TCS-0216 [index;focused;uncertain] Elementary k-party disjointness communication protocols
TCS-0217 [index;focused;uncertain] Elementary three-party disjointness communication protocols
TCS-0218 [index;focused;uncertain] Cryptogenography
TCS-0219 [index;focused;uncertain] Equivalence Testing Lower Bound via Communication Complexity
TCS-0220 [index;focused;uncertain] External Information and Amortized Expected Communication
TCS-0222 [index;focused;uncertain] Merlin–Arthur Communication Complexity of Connectivity
TCS-0223 [index;focused;uncertain] Communication Complexity of Approximating Set-Intersection Join
TCS-1043 [index;focused;uncertain] Superlogarithmic clique-versus-independent-set communication
TCS-1044 [index;focused;uncertain] Explicit matrices with large robust rectangle covers
TCS-1045 [index;focused;uncertain] Rectangle-cover lower bounds for square-free matrices
TCS-1046 [index;focused;uncertain] Super-log-cubed three-party disjointness lower bounds
TCS-1048 [index;focused;uncertain] Explicit bipartite graphs with large partition complexity
TCS-1055 [index;focused;uncertain] Complementation asymmetry in second-level communication complexity
TCS-1063 [index;focused;uncertain] Direct geometric proofs of low-rank rectangle bounds
TCS-1146 [index;source_question_passage;uncertain] Average-Case Hardness of Binary-Encoded Clique in Proof and Communication Complexity | Can Π solve k-Clique for Erdős-Rényi graphs of constant sparsity with O(log n) cost?
TCS-1442 [index;source_question_passage;uncertain] New Algebrization Barriers to Circuit Lower Bounds via Communication Complexity of Missing-String | Is there an algebrizing barrier to proving MA ̸⊆ SIZE[nk ]?
TCS-1511 [index;source_question_passage;uncertain] Neither Cover nor Pack: Distributed Worst-Case Optimality of Degree-2 Joins | Without a doubt, the most important problem still is: what is it then the most accurate queryrelated quantity which captures the worst-case optimal communication complexity […]
TCS-1928 [index;source_question_passage;uncertain] Hard Submatrices for Non-Negative Rank and Communication Complexity | How small can the rank of M be?
TCS-1947 [index;source_question_passage;uncertain] An Improved Protocol for ExactlyN with More Than 3 Players | Narrow the gap between the best known upper and lower bounds on the NOF complexity of ExactlyN.
TCS-1964 [index;source_question_passage;uncertain] On the Power of Adaptivity for Function Inversion | Find the minimum one-way deterministic communication complexity [N ] of PromEQφ among all φ : [N ] → T ,
TCS-2092 [index;source_question_passage;uncertain] Information-Theoretic Single-Server PIR in the Shuffle Model | We conjecture that polylogarithmic communication per client with negligible security can be achieved by instantiating both OPIR and IPIR with the Reed-Muller PIR construction with […]
TCS-2263 [index;source_question_passage;uncertain] Communication Complexity vs Randomness Complexity in Interactive Proofs | We leave it as an open question if such a result is possible without relying on complexity assumptions (or using weaker ones), and if quantitative […]
