id,title,group,category,batch,slug,proposal
TCS-6659,The optimal approximation threshold for metric k-Median,small,Approximation algorithms and hardness of approximation,fundamental-small-second-20260910,metric-k-median-optimal,research/fundamental-small-second-20260910/candidates.json
TCS-6660,A polynomial kernel for Edge Multiway Cut,small,Parameterized and exact algorithms,fundamental-small-second-20260910,edge-multiway-cut-kernel,research/fundamental-small-second-20260910/candidates.json
TCS-6661,The Hyperclique Hypothesis,small,Fine-grained complexity,fundamental-small-second-20260910,hyperclique-hypothesis,research/fundamental-small-second-20260910/candidates.json
TCS-6662,Optimal deterministic restricted-isometry matrices,small,Pseudorandomness and derandomization,fundamental-small-second-20260910,optimal-rip,research/fundamental-small-second-20260910/candidates.json
TCS-6663,Frege versus Extended Frege,small,Proof complexity,fundamental-small-second-20260910,frege-extended-frege,research/fundamental-small-second-20260910/candidates.json
TCS-6664,The asymptotic Gotsman–Linial conjecture,small,Communication complexity and Boolean function analysis,fundamental-small-second-20260910,asymptotic-gotsman-linial,research/fundamental-small-second-20260910/candidates.json
TCS-6665,The capacity region of the general two-receiver broadcast channel,small,Coding and information theory,fundamental-small-second-20260910,broadcast-capacity,research/fundamental-small-second-20260910/candidates.json
TCS-6666,The Shub–Smale τ-conjecture,small,Algebraic computation,fundamental-small-second-20260910,shub-smale-tau,research/fundamental-small-second-20260910/candidates.json
TCS-6667,"Polynomial-time, polynomial-factor approximation of Euclidean SVP",small,Lattices and computational number theory,fundamental-small-second-20260910,polynomial-factor-svp-algorithm,research/fundamental-small-second-20260910/candidates.json
TCS-6668,Polynomial mixing of critical three-dimensional Ising dynamics,small,Randomized algorithms and sampling,fundamental-small-second-20260910,critical-ising-3d,research/fundamental-small-second-20260910/candidates.json
TCS-6669,Breaking factor two for sum-of-pairs multiple sequence alignment,small,String algorithms and bioinformatics,fundamental-small-second-20260910,msa-below-two,research/fundamental-small-second-20260910/candidates.json
TCS-6670,Polylogarithmic maintenance of the exact global minimum cut,small,Dynamic graph algorithms,fundamental-small-second-20260910,dynamic-global-mincut,research/fundamental-small-second-20260910/candidates.json
TCS-6671,An FPRAS for counting undirected Euler tours,small,Counting and enumeration,fundamental-small-second-20260910,euler-tours-fpras,research/fundamental-small-second-20260910/candidates.json
TCS-6672,Sublinear testing of bounded-degree graph isomorphism,small,Property testing and distribution learning,fundamental-small-second-20260910,bounded-degree-isomorphism-testing,research/fundamental-small-second-20260910/candidates.json
TCS-6673,Optimal error for pure-DP continual counting,small,Differential privacy,fundamental-small-second-20260910,pure-dp-continual-counting,research/fundamental-small-second-20260910/candidates.json
TCS-6674,The power of randomization in truthful unrelated-machine scheduling,small,"Algorithmic game theory, mechanism design and fair division",fundamental-small-second-20260910,randomized-truthful-scheduling,research/fundamental-small-second-20260910/candidates.json
TCS-6675,Search-to-decision equivalence for finite promise CSPs,small,Constraint satisfaction,fundamental-small-second-20260910,pcsp-search-decision,research/fundamental-small-second-20260910/candidates.json
TCS-6676,Breaking factor two for precedence-constrained makespan,small,Scheduling and packing,fundamental-small-second-20260910,precedence-makespan-below-two,research/fundamental-small-second-20260910/candidates.json
TCS-6677,The isomorphism problem for one-relator groups,small,Automated reasoning and unification,fundamental-small-second-20260910,one-relator-isomorphism,research/fundamental-small-second-20260910/candidates.json
TCS-6678,FO model checking on hereditary monadically dependent graph classes,small,Database theory and finite model theory,fundamental-small-second-20260910,monadic-nip-model-checking,research/fundamental-small-second-20260910/candidates.json
TCS-6679,Universality of Turing equivalence,small,Computability and algorithmic information,fundamental-small-second-20260910,turing-equivalence-universal,research/fundamental-small-second-20260910/candidates.json
TCS-6680,Decidability of conjunctive-query entailment in SROIQ,small,Knowledge representation and reasoning,fundamental-small-second-20260910,sroiq-cq-decidability,research/fundamental-small-second-20260910/candidates.json
TCS-6681,DNF versus d-DNNF succinctness,small,Knowledge representation and reasoning,fundamental-small-second-20260910,dnf-ddnnf-succinctness,research/fundamental-small-second-20260910/candidates.json
TCS-6682,Reed's χ–ω–Δ conjecture,small,Structural graph theory,fundamental-small-second-20260910,reed-colouring,research/fundamental-small-second-20260910/candidates.json
TCS-6683,The optimal quantitative Excluded Grid Theorem,small,Structural graph theory,fundamental-small-second-20260910,optimal-excluded-grid,research/fundamental-small-second-20260910/candidates.json
TCS-6684,The computational Kesten–Stigum threshold for sparse community recovery,small,Beyond worst-case and average-case analysis,fundamental-small-second-20260910,sbm-ks-threshold,research/fundamental-small-second-20260910/candidates.json
