
Algebraic computation
TCS-0005 | VP versus VNP
TCS-0007 | Matrix multiplication exponent
TCS-0009 | Explicit univariate arithmetic circuit lower bounds
TCS-0010 | Superlinear constant-degree arithmetic circuit lower bounds
TCS-0046 | Complexity of solving tropical or min-plus linear systems
TCS-0047 | Complexity of testing membership to Kronecker polytopes
TCS-0055 | Sum-of-square-roots problem
TCS-0095 | Efficient LRS evaluation
TCS-0481 | Cubic min-plus circuit lower bounds for shortest paths
TCS-1058 | Explicit rigidity at rank n over log log n
TCS-1069 | Complexity of testing Zariski-closure membership
TCS-1101 | VP factor closure in positive characteristic
TCS-1102 | VBP factor closure in positive characteristic
TCS-1103 | Containment of border VP in VNP over arbitrary fields
TCS-1151 | Bounded-interval zero testing for exponential-trigonometric polynomials
TCS-1544 | Complexity classification of finite-semigroup membership
TCS-2039 | Decidability of freeness in automaton groups
TCS-2077 | Deterministic divisibility testing by a constant-degree polynomial
TCS-2506 | Algebraic branching programs versus formulas
TCS-2718 | A uniform exponent saving for arbitrary generalized convolution
TCS-2958 | Efficient equations for VP with unrestricted complex coefficients
TCS-3318 | Arithmetic circuit closure under pth roots
TCS-3959 | Approximate polynomial satisfiability in AM under GRH
TCS-4350 | Uniform compressed word problem for graph groups
TCS-4490 | Complexity of positive matrix powers
TCS-4523 | Complexity of dimension expansion
TCS-4949 | Tensor decomposition at Kruskal’s uniqueness threshold
TCS-5240 | Transferring arithmetic hardness to constantly many variables
TCS-5260 | Explicit rigid matrices over low-degree number fields
TCS-5520 | Unconditional hardness of PosSLP
TCS-5739 | Collapse of rational recurrence systems to single recurrences
TCS-5921 | Membership in \(2\times 2\) integer matrix semigroups
TCS-6401 | Finiteness of automaton semigroups
TCS-6493 | Complexity of tensor orbit-closure intersection
TCS-6611 | Permanent versus determinant
TCS-6612 | VP versus VBP over the complex numbers
TCS-6613 | Polynomial-size arithmetic formulas for the determinant
TCS-6614 | Deterministic polynomial-time factorization over finite fields
TCS-6615 | Polynomial-time finite-group isomorphism in the Cayley-table model
TCS-6616 | Breaking the \(2^{n}\) barrier for exact permanent computation
TCS-6641 | Word problem for one-relation monoids
TCS-6642 | Conjugacy problem for one-relator groups
TCS-6666 | Shub–Smale \(\tau\)-conjecture
TCS-6677 | Isomorphism problem for one-relator groups
TCS-6882 | Homogeneous versus unrestricted arithmetic formulas
TCS-6883 | Multilinear versus general arithmetic circuits
TCS-6884 | Semantic versus syntactic multilinear circuits
TCS-6885 | Constant-overhead second differentiation of circuits
TCS-6888 | Superpolynomial arithmetic formula lower bounds
TCS-6890 | Superpolynomial noncommutative circuit lower bounds
TCS-6893 | Superpolynomial multilinear circuit lower bounds
TCS-6895 | Explicit three-dimensional tensors of superlinear rank
TCS-6897 | Permanent lower bounds from identity testing
TCS-6898 | Derandomizing black-box depth-four PIT
TCS-6903 | Derandomizing noncommutative PIT
TCS-6914 | Multivariate polynomial factorization from PIT derandomization
TCS-7113 | Derandomizing polynomial identity testing
TCS-7174 | Bit complexity of integer multiplication
TCS-7175 | Unrestricted arithmetic lower bounds for the discrete Fourier transform
TCS-7223 | Linear-size circuits for integer multiplication
TCS-7224 | Polynomial-time computation of addition-chain length
TCS-7262 | Strassen’s asymptotic rank conjecture
TCS-7269 | Optimal multilinear-formula size of the permanent

Algorithmic game theory, mechanism design and fair division
TCS-0011 | Existence of complete EFX allocations for additive valuations
TCS-0056 | Best \(\alpha\) for \(\alpha\)-MMS existence
TCS-0073 | Complexity of mixed equilibria in identical-payoff polymatrix games
TCS-0571 | Positional Nash Equilibria
TCS-1108 | EF1 existence for arbitrary mixed-item utilities
TCS-1109 | EF1 and Pareto optimality for additive mixed items
