TCS-1230	We conjecture that full abstraction extends to a language with arbitrary (non-affine) classical control, with respect to the equivalence induced by possible measurement outcomes.	We conjecture that full abstraction extends to a language with arbitrary (non-affine) classical control, with respect to the equivalence induced by possible measurement outcomes.
TCS-4615	The difficult question of whether or not the quantum entropy satisfies inequalities beyond positivity and SSA remains open for four or more parties.	The difficult question of whether or not the quantum entropy satisfies inequalities beyond positivity and SSA remains open for four or more parties.
TCS-4813	The coherent measurement cost of coherence distillation — Conjecture 2	For any ρ, there exists a sequence En of maximally-distilling IO channels with all but an asymptotically-vanishing fraction of measurements individually attaining the bound of […]
TCS-4846	Dictionary-based Block Encoding of Sparse Matrices with Low Subnormalization and Circuit Depth — Unresolved-question passage on page 17	While our block-encoding scheme achieved an efficient time metric, two fundamental questions remain open: (1) the optimality of our circuit depth O(log(ns)), and (2) the […]
TCS-4951	Robust Quantum Entanglement at (Nearly) Room Temperature — Explicit open question on PDF page 6	In addition, it would be insightful to understand the actual coherence time of such a system as a self-correcting quantum memory - we conjecture that […]
TCS-2106	When the Hausdorff distance between S and M is very small, however, we conjecture to have homotopy equivalent shadow of Rβ (S), hence providing a […]	When the Hausdorff distance between S and M is very small, however, we conjecture to have homotopy equivalent shadow of Rβ (S), hence providing a […]
TCS-2766	Moreover, the setting of unweighted graphs remains open, but is believed to be NP-hard by some.	Moreover, the setting of unweighted graphs remains open, but is believed to be NP-hard by some.
TCS-4373	We conjecture that for ≤ 0.143, this full-dimensional MF complex is homotopy equivalent to Σ.	We conjecture that for ≤ 0.143, this full-dimensional MF complex is homotopy equivalent to Σ.
TCS-4390	Are topologically partially enriched categories a nice model of (∞, 1)-categories ?	Are topologically partially enriched categories a nice model of (∞, 1)-categories ?
TCS-5565	Topological Universality of the Art Gallery Problem — Explicit open question on PDF page 2	They leave as an open question whether P can be constructed so that V (P ) is not just homotopy-equivalent, but homeomorphic to S.
TCS-5596	Minimum Height Drawings of Ordered Trees in Polynomial Time: Homotopy Height of Tree Duals — Unresolved-question passage on page 15	As one such property, we conjecture that for unweighted trees there always exists an optimal drawing without spiraling edges.
TCS-6199	Parametrized Complexity of Expansion Height — Explicit open question on PDF page 4	Hence, any pair of contractible 2-complexes can be connected by a simple-homotopy equivalence of dimension at most four – but determining whether we can always […]
TCS-2376	On the other hand, the treewidth-boundedness of a SLR-definable set is an open problem, that we conjecture decidable.	On the other hand, the treewidth-boundedness of a SLR-definable set is an open problem, that we conjecture decidable.
TCS-3519	Is there a meaningful hierarchy between parity and mean payoff games?	Is there a meaningful hierarchy between parity and mean payoff games?
TCS-3672	That is, if the sum of path from s0init to t is below L and the edge corresponding to action α is taken in t, […]	That is, if the sum of path from s0init to t is below L and the edge corresponding to action α is taken in t, […]
TCS-0147	Deciding upperboundedness of \(\bbZ\)-CCRA	Deciding upperboundedness of \(\bbZ\)-CCRA
TCS-5773	Skolem Meets Schanuel — Explicit open question on PDF page 1	Although the Skolem-Mahler-Lech Theorem is almost 90 years old, decidability of the Skolem Problem remains open.
TCS-0637	Universal Positivity Set	Universal Positivity Set
TCS-0634	Is Markov reachability problem Skolem-Hard for Ergodic Markov chains?	Is Markov reachability problem Skolem-Hard for Ergodic Markov chains?
TCS-0617	Fine Grained Complexity for VAS Boundedness	Fine Grained Complexity for VAS Boundedness
TCS-0621	Bi-reachability in Petri nets with ordered data	Bi-reachability in Petri nets with ordered data
TCS-0895	Give decidable criteria for left-linear rewriting systems to be Church-Rosser.	Give decidable criteria for left-linear rewriting systems to be Church-Rosser.
TCS-0896	Has any full, finitely-generated and Church-Rosser term-rewriting system (or system with bound variables) a recursive, one-step, normalizing reduction strategy?	Has any full, finitely-generated and Church-Rosser term-rewriting system (or system with bound variables) a recursive, one-step, normalizing reduction strategy?
TCS-0872	Design new termination methods based on the gap-embedding theorems of Friedman and Kriz.	Design new termination methods based on the gap-embedding theorems of Friedman and Kriz.
TCS-0892	Can strong normalization of the typed lambda calculus be proved by a reasonably straightforward mapping from typed terms to a well-founded ordering?	Can strong normalization of the typed lambda calculus be proved by a reasonably straightforward mapping from typed terms to a well-founded ordering?
TCS-1601	However, the question of how to choose an optimal tick interval, if possible, remains an open issue.	However, the question of how to choose an optimal tick interval, if possible, remains an open issue.
TCS-2083	We conjecture that a similar condition, namely the quasi-concavity of utility functions, plays a vital role in the non-emptiness of the core in concurrent multi-player […]	We conjecture that a similar condition, namely the quasi-concavity of utility functions, plays a vital role in the non-emptiness of the core in concurrent multi-player […]
TCS-2789	However, we are not aware of an explicit internal proof that division by two implies excluded middle, so that we leave it as an interesting […]	However, we are not aware of an explicit internal proof that division by two implies excluded middle, so that we leave it as an interesting […]
TCS-2855	The extension of these results, notably normalization and consistency, to the entirety of theory U is still an open question.	The extension of these results, notably normalization and consistency, to the entirety of theory U is still an open question.
TCS-3031	We conjecture that Coq’s restriction preventing large elimination principles for non-sub-singleton propositions makes LEM and CT consistent in Coq.	We conjecture that Coq’s restriction preventing large elimination principles for non-sub-singleton propositions makes LEM and CT consistent in Coq.
TCS-3133	Another avenue for potentially extending Cantor normal forms would be using superleaves [19]; we do not know how such a “bigger” version of Cnf would […]	Another avenue for potentially extending Cantor normal forms would be using superleaves [19]; we do not know how such a “bigger” version of Cnf would […]
TCS-3141	We conjecture that the canonicity and normalisation displayed models from the corresponding proofs for type theory [10, 6] can be formalised in pure intensional type […]	We conjecture that the canonicity and normalisation displayed models from the corresponding proofs for type theory [10, 6] can be formalised in pure intensional type […]
TCS-3437	Normalization of higher-order queries in the presence of all of these features simultaneously remains an open problem, which we plan to consider next.	Normalization of higher-order queries in the presence of all of these features simultaneously remains an open problem, which we plan to consider next.
TCS-3462	What is the precise complexity of control-state reachability, deadlock, unboundedness, and termination for input-bounded FIFO machines?	What is the precise complexity of control-state reachability, deadlock, unboundedness, and termination for input-bounded FIFO machines?
