id,group,name,question_cs,wikipedia_article,wikipedia_url,revision_url,revision_timestamp,retrieved,status,status_note,evidence_locator,evidence_format
WIKI-001,Složitost a derandomizace,P versus NP,Platí P = NP?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,P versus NP problem,wikitext
WIKI-002,Složitost a derandomizace,NP versus coNP,Platí NP = coNP?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,NP = co-NP,wikitext
WIKI-003,Složitost a derandomizace,P versus PSPACE,Platí P = PSPACE?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,P = PSPACE,wikitext
WIKI-004,Složitost a derandomizace,NC versus P,Platí NC = P?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,NC = P,wikitext
WIKI-005,Složitost a derandomizace,L versus NL,Platí L = NL?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,L = NL,wikitext
WIKI-006,Složitost a derandomizace,L versus P,Platí L = P?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,L = P,wikitext
WIKI-007,Složitost a derandomizace,L versus RL,Platí L = RL?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,L = RL,plain_text
WIKI-008,Složitost a derandomizace,P versus BPP,Lze efektivní randomizované rozhodování obecně derandomizovat?,List of unsolved problems in computer science,https://en.wikipedia.org/wiki/List_of_unsolved_problems_in_computer_science,https://en.wikipedia.org/w/index.php?oldid=1345711618,2026-03-27T17:59:15Z,2026-09-11,open_as_presented_by_wikipedia,,P = BPP,wikitext
WIKI-009,Složitost a derandomizace,PH versus PSPACE,Platí PH = PSPACE?,Polynomial hierarchy,https://en.wikipedia.org/wiki/Polynomial_hierarchy,https://en.wikipedia.org/w/index.php?oldid=1356064152,2026-05-25T14:40:36Z,2026-09-11,open_as_presented_by_wikipedia,,PH is contained,wikitext
WIKI-010,Složitost a derandomizace,Non-collapse of the polynomial hierarchy,Má polynomiální hierarchie nekonečně mnoho různých úrovní?,Polynomial hierarchy,https://en.wikipedia.org/wiki/Polynomial_hierarchy,https://en.wikipedia.org/w/index.php?oldid=1356064152,2026-05-25T14:40:36Z,2026-09-11,open_as_presented_by_wikipedia,,open question whether any,wikitext
