TCS-0318	k -sets	The Open Problems Project
TCS-0406	Edge-Unfolding Convex Polyhedra	The Open Problems Project
TCS-0403	Euclidean Minimum Spanning Tree	The Open Problems Project
TCS-0408	Minimum Euclidean Matching in 2D	The Open Problems Project
TCS-0378	Chromatic Number of the Plane	The Open Problems Project
TCS-0427	NP certificates for homeomorphism of three-manifolds	Triangulations in Geometry and Topology
TCS-0410	Output-sensitive Convex Hull in \R^d	The Open Problems Project
TCS-0973	Sketching Earth Mover Distance	Sublinear.info
TCS-0417	Voronoi Diagram of Lines in 3D	The Open Problems Project
TCS-0419	coNP certificates for three-manifold homeomorphism	Triangulations in Geometry and Topology
TCS-0411	Point Location in 3D Subdivision	The Open Problems Project
TCS-0402	Distances among Point Sets in \R^2 and \R^3	The Open Problems Project
TCS-0391	Thrackles	The Open Problems Project
TCS-0430	NP-hardness of three-manifold homeomorphism	Triangulations in Geometry and Topology
TCS-0416	Visibility Graph Recognition	The Open Problems Project
TCS-0990	Estimating Earth-Mover Distance	Sublinear.info
TCS-0377	Smallest Universal Set of Points for Planar Graphs	The Open Problems Project
TCS-0423	Efficient algorithms for multiparameter persistence	Applied and Combinatorial Topology
TCS-0322	Plane (1 + ε)-spanners in R2	Metric Sketching and Dynamic Algorithms for Geometric and Topological Graphs
TCS-0388	Sorting X+Y (Pairwise Sums)	The Open Problems Project
TCS-0373	Zipper Unfoldings of Convex Polyhedra	The Open Problems Project
TCS-0405	Vertex-Unfolding Polyhedra	The Open Problems Project
TCS-0321	Planar Spanners	Metric Sketching and Dynamic Algorithms for Geometric and Topological Graphs
TCS-0399	Union of Fat Objects in 3D	The Open Problems Project
TCS-0415	Vertical Decompositions in \R^d	The Open Problems Project
TCS-0434	Proving guarantees for manifold reconstruction	Applied and Combinatorial Topology
TCS-0326	Similarity of Curves (Fréchet Distance)	Metric Sketching and Dynamic Algorithms for Geometric and Topological Graphs
TCS-0412	Polygonal Curve Simplification	The Open Problems Project
TCS-0432	Polynomial flip-distance bounds for three-manifold triangulations	Triangulations in Geometry and Topology
TCS-0433	Polynomial height paths between three-manifold triangulations	Triangulations in Geometry and Topology
TCS-2529	First, is there an exact polynomial time algorithm for embedding into ultrametrics or even a PTAS?	Probabilistic Metric Embedding via Metric Labeling
TCS-0348	Fast separators in Delaunay triangulations and convex hulls	Computational Geometry
TCS-0353	Near-linear-time weighted planar centerpoints	Computational Geometry
TCS-0344	Additivity of extension complexity under Cartesian products	Computational Geometry
TCS-0414	Surface Reconstruction	The Open Problems Project
TCS-5124	Online Monotone Metric Embeddings — Unresolved-question passage on page 20	Online Monotone Metric Embeddings
TCS-0428	NP recognition of closed hyperbolic three-manifolds	Triangulations in Geometry and Topology
TCS-0429	NP recognition of small Seifert-fibred spaces	Triangulations in Geometry and Topology
TCS-0381	Flip Graph Connectivity in 3D	The Open Problems Project
TCS-0382	General Unfoldings of Nonconvex Polyhedra	The Open Problems Project
TCS-0385	Hamiltonian Tetrahedralizations	The Open Problems Project
TCS-0435	Subcubic representative computation in persistent homology	Applied and Combinatorial Topology
TCS-0328	Sparse (1 + ϵ)-emulator for Euclidean Point Sets	Metric Sketching and Dynamic Algorithms for Geometric and Topological Graphs
TCS-0330	Tree Cover for Unit Ball Graphs	Metric Sketching and Dynamic Algorithms for Geometric and Topological Graphs
TCS-0340	Average Distortion Embeddings	Computational Geometry
TCS-0387	Dynamic Planar Nearest Neighbors	The Open Problems Project
TCS-0690	Valid cost functions for nonlinear dimensionality reduction	Foundations of Unsupervised Learning
TCS-0413	Simple Linear-Time Polygon Triangulation	The Open Problems Project
TCS-0339	Why Are Polytime and NP-Hard Switched for Fréchet and Hausdorff?	Computational Geometry
TCS-0363	Negative cycles on surface embedded graphs	Computational Geometry
TCS-0401	Compatible Triangulations	The Open Problems Project
TCS-2932	Is there a constant t ∈ N for which every intersection graph of n disks or rectangles admits t-hop spanner with O(n) edges?	Hop-Spanners for Geometric Intersection Graphs
TCS-0418	Compact monodromy descriptions from triangulated surface bundles	Triangulations in Geometry and Topology
TCS-0420	Counting hyperbolic three-manifolds of bounded triangulation complexity	Triangulations in Geometry and Topology
TCS-0421	Counting triangulations of the three-sphere	Triangulations in Geometry and Topology
TCS-0425	Manifold dependence of triangulation flip-distance growth	Triangulations in Geometry and Topology
TCS-0431	Optimal discrete Morse extensions of partial matchings	Applied and Combinatorial Topology
TCS-1089	Exists-R hardness of 2-complex embeddings in 4D	The Existential Theory of the Reals as a Complexity Class: A Compendium
TCS-0312	Counting Polyominoes	The Open Problems Project
TCS-0315	Fat Minors	Metric Sketching and Dynamic Algorithms for Geometric and Topological Graphs
TCS-0317	Is Finding Positive Euler Characteristic Normal Surfaces FPT?	Computational Geometry
TCS-0324	Precision of continuous distance problems	Precision in Geometric Algorithms
