id,source_id,source_title,source_locator,source_pages,title,question,kind,current_status,selection,catalogue_ids,verification_note,selection_note,verification_urls
personal-234:Survey Question 1,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 1,1491,P versus NP,Is P different from NP?,question,source_open_unchecked,existing_record,TCS-0001,,Same target is already represented; retain its existing identifier.,
personal-234:Survey Question 2,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 2,1491,P versus NP intersect coNP,Does P equal NP intersect coNP?,question,source_open_unchecked,existing_record,TCS-0018,,Same target is already represented; retain its existing identifier.,
personal-234:Survey Question 3,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 3,1491,Linear Hirsch bound,Does every d-dimensional polytope with m facets have edge diameter at most m-d?,question,resolved_negative,not_imported_resolved,,Santos disproved the Hirsch diameter bound; the author’s errata also records the correction.,,https://arxiv.org/abs/1006.2814; https://homepages.cwi.nl/~lex/co/
personal-234:Survey Question 4,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 4,1491,O(nm) maximum flow,Can a maximum flow be found in O(nm) time in the source network model?,question,resolved_positive,not_imported_resolved,,Orlin obtained O(nm) maximum flow; Schrijver explicitly marks Survey Question 4 answered.,,https://homepages.cwi.nl/~lex/co/
personal-234:Survey Question 5,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 5,1491,Berge path-partition conjecture,"For every minimum k-truncated-size directed path partition, are there k disjoint stable sets meeting each path in min(k, its number of vertices) distinct sets?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 6,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 6,1491,Packing common transversals,Determine the maximum number of common transversals of two set families whose summed incidence vectors obey a specified integral capacity vector.,question,resolved_reported,not_imported_resolved,,Schrijver’s author errata says this question was already solved by Weinberger (1976). The original proof was not reread.,,https://homepages.cwi.nl/~lex/co/
personal-234:Survey Question 7,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 7,1491,Small matching extended formulations,Does every matching polytope admit an extended linear formulation of polynomial size?,question,resolved_negative,not_imported_resolved,,Rothvoss proves exponential extension complexity for the perfect-matching polytope. This rules out the proposed polynomial extended formulation.,,https://arxiv.org/abs/1311.2369
personal-234:Survey Question 8,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 8,1491,Tutte five-flow conjecture,Does every bridgeless graph admit a nowhere-zero 5-flow?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 9,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 9,1492,Tutte four-flow conjecture,Does every bridgeless graph with no Petersen minor admit a nowhere-zero 4-flow?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 10,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 10,1492,Tutte three-flow conjecture,Does every 4-edge-connected graph admit a nowhere-zero 3-flow?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 11,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 11,1492,Weak three-flow conjecture,Is there an absolute edge-connectivity threshold that guarantees a nowhere-zero 3-flow?,question,resolved_positive,not_imported_resolved,,"Thomassen proves a fixed edge-connectivity threshold, settling the weak three-flow conjecture; this does not settle Tutte’s exact four-edge-connectivity conjecture.",,https://orbit.dtu.dk/en/publications/the-weak-3-flow-conjecture-and-the-weak-circular-flow/
personal-234:Survey Question 12,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 12,1492,Jaeger circular-flow conjecture,"For each k at least one, does every 4k-connected graph admit an orientation with outdegree minus indegree divisible by 2k+1 at every vertex? Consult the source for its connectivity convention.",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 13,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 13,1492,Generalized Fulkerson conjecture,"In every k-regular graph whose odd cuts have size at least k, do 2k perfect matchings cover every edge exactly twice?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 14,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 14,1493,Fulkerson six-matchings conjecture,Do six perfect matchings cover every edge of every bridgeless cubic graph exactly twice?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 15,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 15,1493,Berge five-matchings conjecture,Can every bridgeless cubic graph be covered by five perfect matchings?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 16,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 16,1493,Goldberg–Seymour conjecture,Is the chromatic index of every multigraph at most the maximum of maximum degree plus one and the ceiling of its fractional chromatic index?,question,resolved_positive,not_imported_resolved,,The Goldberg–Seymour bound was proved by Chen–Jing–Zang; the 2024 short proof supplies a further primary reference.,,https://arxiv.org/abs/1901.10316; https://arxiv.org/abs/2407.09403
personal-234:Survey Question 17,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 17,1493,Edge-colouring planar k-graphs,"Is every planar k-regular graph with every odd cut of size at least k, k-edge-colourable?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 18,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 18,1493,Edge-colouring Petersen-minor-free k-graphs,"Is every Petersen-minor-free k-regular graph with every odd cut of size at least k, k-edge-colourable?",question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 19,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 19,1493,Vizing planar degree-six question,Is there a simple planar graph with maximum degree six requiring seven edge colours?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 20,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 20,1493,Kempe changes to an optimal edge-colouring,Can any edge-colouring be transformed into a minimum edge-colouring using only alternating-path or alternating-cycle colour swaps and removal of unused colours?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 21,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 21,1493,List-edge-colouring conjecture,Does the list chromatic index equal the ordinary chromatic index for every graph?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 22,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 22,1493; 1494,Total colouring of simple graphs,Does every simple graph have a total colouring using at most maximum degree plus two colours?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 23,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 23,1494,Total colouring of multigraphs,Is the total chromatic number at most maximum degree plus maximum edge multiplicity plus one?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 24,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 24,1494,Integral points in the circuit cone,Is every even integral vector in a graph circuit cone a nonnegative integral sum of circuit incidence vectors?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 25,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 25,1494,Cycle double cover conjecture,Does every bridgeless graph have a multiset of circuits covering each edge exactly twice?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 26,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 26,1494,Quarter-integrality of T-join constraints,Is the system of T-join constraints totally dual quarter-integral?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 27,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 27,1494,Shortest odd paths with conservative weights,What is the complexity of a shortest odd s-t path when rational edge lengths give every circuit nonnegative total length?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 28,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 28,1494,Two-factors without short circuits,What is the complexity of deciding whether a graph has a 2-factor with no circuit of length at most four?,question,source_open_unchecked,not_imported,,,,
personal-234:Survey Question 29,personal-234,Combinatorial Optimization: Polyhedra and Efficiency,Survey Question 29,1494,Weighted triangle-free two-factors,What is the complexity of finding a maximum-weight 2-factor with no circuit of length at most three?,question,source_open_unchecked,not_imported,,,,
