id,title,category,state,reason_code,reason,duplicate_of,source
TCS-1263,"In general, we do not know how to compute local density matrices of an accepting history state.",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “In general, we do not know how to compute local density matrices of an accepting history state.”.",,https://doi.org/10.4230/LIPIcs.ITCS.2026.83
TCS-1334,"Moreover, such hardness results appear unlikely: we do not know of any complete problems for even NP ∩ coNP and if the ∃∀-MLH problem were […]",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Moreover, such hardness results appear unlikely: we do not know of any complete problems for even NP ∩ coNP and if the ∃∀-MLH problem …”.",,https://doi.org/10.4230/LIPIcs.ICALP.2026.103
TCS-1495,"Unfortunately, the standard techniques to simulate the controlled-phase gates in this manner do not naively work in our setting (see [17, Subsection 4.1]), and we […]",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Unfortunately, the standard techniques to simulate the controlled-phase gates in this manner do not naively work in our setting (see [17, Subsection 4.1]), and …”.",,https://doi.org/10.4230/LIPIcs.ITCS.2026.73
TCS-1824,Is there a procedure to decide the opposite?,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Is there a procedure to decide the opposite?”.",,https://doi.org/10.4230/LIPIcs.ITCS.2025.33
TCS-2426,"Next, can an analogue of Lemma 38 be shown without assuming the structure on H guaranteed by the Embedding Lemma?",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Next, can an analogue of Lemma 38 be shown without assuming the structure on H guaranteed by the Embedding Lemma?”.",,https://doi.org/10.4230/LIPIcs.ITCS.2023.53
TCS-2642,"Since we are working backwards from the end of the branching program and we do not know how many segments are included in each block, […]",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Since we are working backwards from the end of the branching program and we do not know how many segments are included in each …”.",,https://doi.org/10.4230/LIPIcs.ICALP.2023.17
TCS-2769,Finding a general understanding of which circuits behave best is an open question.,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Finding a general understanding of which circuits behave best is an open question.”.",,https://doi.org/10.4230/LIPIcs.TQC.2022.4
TCS-2957,"Furthermore, such an approach does not work for the task of finding an ε2 -minimizer of f , as we do not know how to […]",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Furthermore, such an approach does not work for the task of finding an ε2 -minimizer of f , as we do not know how …”.",,https://doi.org/10.4230/LIPIcs.STACS.2022.35
TCS-3028,"Although it is efficient in practice, its complexity is still an open problem, as is left in existing literature [9, 26].",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Although it is efficient in practice, its complexity is still an open problem, as is left in existing literature [9, 26].”.",,https://doi.org/10.4230/LIPIcs.CONCUR.2021.13
TCS-3033,Is it the same as iterating the A[⊥] construction to a fixpoint?,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Is it the same as iterating the A[⊥] construction to a fixpoint?”.",,https://doi.org/10.4230/LIPIcs.CSL.2021.5
TCS-3057,We emphasize that we do not bound the degree of Q(d) because we do not know how to represent it as a polynomial in d.,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “We emphasize that we do not bound the degree of Q(d) because we do not know how to represent it as a polynomial in …”.",,https://doi.org/10.4230/LIPIcs.ICALP.2021.55
TCS-3449,"We conjecture this to be the case, but finding a formal proof has been elusive.",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “We conjecture this to be the case, but finding a formal proof has been elusive.”.",,https://doi.org/10.4230/LIPIcs.TQC.2020.6
TCS-3652,"Unfortunately, we do not know if tf(d,qiskit) performs better at larger sizes because Qiskit’s circuit transformation is not fast enough to generate the relevant data.",Quantum computation,quarantined,fragment,The text reports that Qiskit was too slow to run a larger benchmark. Missing experimental measurements are not an open TCS problem.,,https://doi.org/10.4230/LIPIcs.TQC.2019.3
TCS-3702,In this setting there are still many classical tools which we do not know how to extend to the quantum case.,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “In this setting there are still many classical tools which we do not know how to extend to the quantum case.”.",,https://doi.org/10.4230/LIPIcs.ITCS.2019.10
TCS-3704,"This seems a difficult problem to approach however, and thus we leave the following open problem.",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “This seems a difficult problem to approach however, and thus we leave the following open problem.”.",,https://doi.org/10.4230/LIPIcs.MFCS.2019.70
TCS-3758,Can one prove that unconditionally?,Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Can one prove that unconditionally?”.",,https://doi.org/10.4230/LIPIcs.ITCS.2019.23
TCS-3880,"The problem of determining its exact value, posed in [25], remains open.",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “The problem of determining its exact value, posed in [25], remains open.”.",,https://doi.org/10.4230/LIPIcs.ITCS.2018.3
TCS-4028,"Or, can a relatively general result be proven that excludes some of such functions?",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “Or, can a relatively general result be proven that excludes some of such functions?”.",,https://doi.org/10.4230/LIPIcs.TQC.2018.3
TCS-4048,"The problem is that we do not know how to fix those holes later on: our characterization of 2D − CLH ∗ (k, 2) instances […]",Quantum computation,quarantined,fragment,"The saved passage does not identify a sufficiently independent research target: its meaning depends on surrounding proof, algorithm or source-specific context. Reinstatement needs a precise question and a case for its independent significance. Saved target: “The problem is that we do not know how to fix those holes later on: our characterization of 2D − CLH ∗ (k, 2) …”.",,https://doi.org/10.4230/LIPIcs.TQC.2018.2
