id,venue,year,title,authors,area,url,doi,source_url,metadata_url,classification_method,classification_note,initial_area,rule_area
FOCS-2021-001,FOCS,2021,A Better-than-2 Approximation for Weighted Tree Augmentation,"Vera Traub (ETH Zurich, Switzerland), Rico Zenklusen (ETH Zurich, Switzerland)",Approximation algorithms,https://doi.org/10.1109/FOCS52979.2021.00010,10.1109/FOCS52979.2021.00010,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Approximation algorithms,Approximation algorithms
FOCS-2021-002,FOCS,2021,Integer Programs with Bounded Subdeterminants and Two Nonzeros Per Row,"Samuel Fiorini (Université libre de Bruxelles, Belgium), Gwenaël Joret (Université libre de Bruxelles, Belgium), Stefan Weltge (Technical University of Munich, Germany), Yelena Yuditsky (Université libre de Bruxelles, Belgium)",Optimization and mathematical programming,https://doi.org/10.1109/FOCS52979.2021.00011,10.1109/FOCS52979.2021.00011,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Optimization and mathematical programming
FOCS-2021-003,FOCS,2021,A Constant-Factor Approximation Algorithm for Nash Social Welfare with Submodular Valuations,"Wenzheng Li (Stanford University, USA), Jan Vondrak (Stanford University, USA)",Algorithmic game theory and fair division,https://doi.org/10.1109/FOCS52979.2021.00012,10.1109/FOCS52979.2021.00012,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Algorithmic game theory and fair division,Algorithmic game theory and fair division
FOCS-2021-004,FOCS,2021,A Polynomial Lower Bound on the Number of Rounds for Parallel Submodular Function Minimization,"Deeparnab Chakrabarty (Dartmouth College), Yu Chen (University of Pennsylvania), Sanjeev Khanna (University of Pennsylvania)",Optimization and mathematical programming,https://doi.org/10.1109/FOCS52979.2021.00013,10.1109/FOCS52979.2021.00013,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Optimization and mathematical programming,Optimization and mathematical programming
FOCS-2021-005,FOCS,2021,Post-Quantum Succinct Arguments: Breaking the Quantum Rewinding Barrier,"Alessandro Chiesa (EPFL & UC Berkeley, Switzerland), Fermi Ma (UC Berkeley & Simons Institute), Nicholas Spooner (Boston University), Mark Zhandry (Princeton & NTT Research)",Cryptography,https://doi.org/10.1109/FOCS52979.2021.00014,10.1109/FOCS52979.2021.00014,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Primary subject selected in title review; overlapping techniques do not receive additional counts.,Quantum computation,Quantum computation
FOCS-2021-006,FOCS,2021,On the Impossibility of Post-Quantum Black-Box Zero-Knowledge in Constant Round,"Nai-Hui Chia (Indiana University Bloomington, USA), Kai-Min Chung (Academia Sinica, Taiwan), Qipeng Liu (Simons Institute for the Theory of Computing, USA), Takashi Yamakawa (NTT Corporation, Japan)",Cryptography,https://doi.org/10.1109/FOCS52979.2021.00015,10.1109/FOCS52979.2021.00015,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,Quantum computation,Cryptography
FOCS-2021-007,FOCS,2021,SNARGs for P from LWE,"Arka Rai Choudhuri (Johns Hopkins University, USA), Abhishek Jain (Johns Hopkins University, USA), Zhengzhong Jin (Johns Hopkins University, USA)",Cryptography,https://doi.org/10.1109/FOCS52979.2021.00016,10.1109/FOCS52979.2021.00016,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Cryptography
FOCS-2021-008,FOCS,2021,Fine-Grained Cryptanalysis: Tight Conditional Bounds for Dense k-SUM and k-XOR,"Itai Dinur (Ben-Gurion University), Nathan Keller (Bar-Ilan University), Ohad Klein (Bar-Ilan University)",Fine-grained complexity,https://doi.org/10.1109/FOCS52979.2021.00017,10.1109/FOCS52979.2021.00017,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Primary subject selected in title review; overlapping techniques do not receive additional counts.,Fine-grained complexity,Cryptography
FOCS-2021-009,FOCS,2021,Demystifying the Border of Depth-3 Algebraic Circuits,"Pranjal Dutta (Chennai Mathematical Institute, India), Prateek Dwivedi (Indian Institute of Technology Kanpur, India), Nitin Saxena (Indian Institute of Technology Kanpur, India)",Algebraic and numerical computation,https://doi.org/10.1109/FOCS52979.2021.00018,10.1109/FOCS52979.2021.00018,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Algebraic and numerical computation
FOCS-2021-010,FOCS,2021,Fooling Constant-Depth Threshold Circuits,"Pooya Hatami (The Ohio State University, USA), William Hoza (UC Berkeley, USA), Avishay Tal (UC Berkeley, USA), Roei Tell (MIT, USA)",Pseudorandomness and derandomization,https://doi.org/10.1109/FOCS52979.2021.00019,10.1109/FOCS52979.2021.00019,https://ieee-focs.org/FOCS-2021-Papers/,https://ieee-focs.org/FOCS-2021-Papers/data/data.js,LLM_reviewed_title,Title reviewed; candidate primary category retained.,General algorithm design,Pseudorandomness and derandomization
