0012R Does P≠NP imply a samplable NP problem outside AvgP? | Mathematics and Computation
0355 Self-improving sorting beyond independent input distributions | Computational Geometry
0422 Detecting planted cliques using topological data analysis | Applied and Combinatorial Topology
0941 Linear space for random-order Max-Cut approximation | SIGACT Open Problems Column
0997 Semi-Random Streams | Sublinear.info
1149 Is there such an average-case to average-case hardness amplification pheonomemon, possibly by proving reduction between different instances of Remote-Point? | Range Avoidance and Remote Point: New Algorithms and Hardness
1224 Can the assumption of known copt in online TSP be removed without degrading the results? | Learning-Augmented Online Sorting and TSP
1458 Is there either an algorithm with improved expected approximation guarantee or is it possible to prove a stronger lower bound? | Unit Interval Selection in Random Order Streams
1461 What guarantees are possible when points are drawn i.i.d. from an unknown distribution, or when inputs arrive in uniformly random order with no distributional assumptions? | A Polylogarithmic Competitive Algorithm for Stochastic Online Sorting and TSP
1694 We conjecture that the lower bound is the looser part, requiring more sophisticated combinatorial estimates (as in Lemma 24) and decomposition arguments. | Detecting Arbitrary Planted Subgraphs in Random Graphs
1699 The first one had already been posed by Feige in the original formulation of the problem: is it possible to prove any hardness result under […] | On Finding Randomly Planted Cliques in Arbitrary Graphs
1899 Can you give a reduction which shows that if (counting, directed) k-hypercycle in a u-uniform graph requires T (n) time then so does (counting, directed) […] | Worst-Case and Average-Case Hardness of Hypercycle and Database Problems
2126 In particular, we do not know if the value iteration algorithm has polynomial smoothed complexity and we leave this problem as an open question. | Smoothed Analysis of Deterministic Discounted and Mean-Payoff Games
2133 Our algorithm efficiently recovers the unknown parameters for smoothed instances of mixtures of zero-mean Gaussians. | Learning Arithmetic Formulas in the Presence of Noise: A General Framework and Applications to Unsupervised Learning
2155 That is, what is the correlation between linear-size AC0d+k circuits and near-exponential-size AC0d circuits? | A Technique for Hardness Amplification Against AC⁰
2313 To be precise: given an instance of k-means clustering on the line and an initial clustering, does there always exist a sequence of iterations of […] | Worst-Case and Smoothed Analysis of the Hartigan-Wong Method for k-Means Clustering
2455 Of course, we do not know which rows belong to G, so it remains to show how to choose a “competitive” wt . | Semi-Random Sparse Recovery in Nearly-Linear Time
2499 While the results for Renyi divergence are optimal up to polylogarithmic factors, we leave as an interesting open direction the question of whether the regret […] | The Sample Complexity of Approximate Rejection Sampling With Applications to Smoothed Online Learning
2502 For the problem of refuting q-colorability, a particular SoS formulation √ is known to fail when q ≫ n (Kothari and Manohar, 2021); however, it […] | Is Planted Coloring Easier than Planted Clique?
2528 However, it remains an open question to determine lower bounds and verify how tight our obtained bounds are. | Primal-Dual Algorithms with Predictions for Online Bounded Allocation and Ad-Auctions Problems
2676 However, in general it remains open as to whether or not a sharp threshold exists when H is sparse (i.e., ∆ = O(log n)). | A Fully Adaptive Strategy for Hamiltonian Cycles in the Semi-Random Graph Process
2696 However, it remains open whether an improved consistency or an error-dependent competitive ratio are possible. | Learning-Augmented Query Policies for Minimum Spanning Tree with Uncertainty
2786 The issue is therefore to choose the right size of interval α, because we do not know the order of magnitude of |MG | in […] | Maximum Weight b-Matchings in Random-Order Streams
3042 The estimation error ED(s, z) in Theorem 1 can be reduced to O(ϵpn) for arbitrarily small ϵ > 0, using poly(1/ϵ) traces. | Approximate Trace Reconstruction via Median String (In Average-Case)
3115 We also note that while SME is often a good approximation, obtaining convergence rates from it is an open problem. | SGD in the Large: Average-case Analysis, Asymptotics, and Stepsize Criticality
3176 For example, can the guarantees of [3, 2] for monotone target functions and product distributions be further strengthened in the smoothed setting? | Decision Tree Heuristics Can Fail, Even in the Smoothed Setting
3185 How about the exact case? | SOS Lower Bound for Exact Planted Clique
3220 Can one get a subpolynomial (i.e., no(1) ) upper bound for the average case? | Circular Trace Reconstruction
3304 Can gradient-descent learn neural-networks when the target function is a k- Junta, in the smoothed analysis setting? | ID3 Learns Juntas for Smoothed Product Distributions
3366 We conjecture that for many problems, upper-bounding the joint density of the input values suffices for smoothed-efficient algorithms to exist. | Smoothed Efficient Algorithms and Reductions for Network Coordination Games
3482 Can we improve the approximation ratio to 2/3 in weighted graphs? | Improved Bounds for Matching in Random-Order Streams
3507 What were the properties of MaxCLIQUE that we utilized to prove the result? | Hardness Amplification of Optimization Problems
3954 Since we do not know how to obtain a deterministic version of Lemma 12, we turn our attention to Lemma 13. | Non-Convex Matrix Completion Against a Semi-Random Adversary
4001 Can the term O(n log log(mn) + (n/ε) log κ) be reduced? | Extensions of Self-Improving Sorters
4495 Figure 2: The simple (green), hard (red), impossible (gray) regimes for recovering planted dense subgraphs, and the hardness in the blue regime remains open. | Computational Lower Bounds for Community Detection on Random Graphs
4583 Intuitively, in every iteration, S is the set of vertices that are known to belong to A, B is the set of vertices that belong […] | Smoothed Analysis on Connected Graphs
4666 Do lower bounds similar to ours hold for any sufficiently large feasible set S? | Lower Bounds for the Average and Smoothed Number of Pareto Optima
4851 Hardness of Computing Nondeterministic Kolmogorov Complexity — Explicit open question on PDF page 4 / Yet, it is unknown if ΣP2 is average-case easy under the assumption that NP is average-case easy. | Hardness of Computing Nondeterministic Kolmogorov Complexity
4876 Sharp Thresholds for the Overlap Gap Property: Ising p-Spin Glass and Random k-SAT — Explicit open question on PDF page 4 / Given the existence of satisfying assignments for α = Ok (2k ), a natural algorithmic question arises: can we find such an assignment efficiently? | Sharp Thresholds for the Overlap Gap Property: Ising p-Spin Glass and Random k-SAT
4908 Random Max-CSPs Inherit Algorithmic Hardness from Spin Glasses — Unresolved-question passage on page 23 / It is an open question to completely classify which spin glasses (and thus which Max-CSPs) have an OGP. | Random Max-CSPs Inherit Algorithmic Hardness from Spin Glasses
4931 A Fully Adaptive Strategy for Hamiltonian Cycles in the Semi-Random Graph Process — Explicit open question on PDF page 3 / When ∆ is constant in n, such as in both the perfect matching and Hamiltonian cycle setting, determining the optimal dependence on ∆ for the […] | A Fully Adaptive Strategy for Hamiltonian Cycles in the Semi-Random Graph Process
4941 One-Way Functions and Polynomial-Time Dimension — Unresolved-question passage on page 21 / Can one obtain finite-length separation theorems between efficient betting and efficient compression that characterize one-way functions, average-case hardness, or other standard assumptions? | One-Way Functions and Polynomial-Time Dimension
4942 Approximate Trace Reconstruction via Median String (In Average-Case) — Explicit open question on PDF page 3 / We conjecture that the estimation error ED(s, z) can be reduced further using more than three traces. | Approximate Trace Reconstruction via Median String (In Average-Case)
5011 Algorithms and Barriers in the Symmetric Binary Perceptron Model — Conjecture 1 / As κ → 0, the algorithmic threshold for the 2 ). SBP is at Θ(κ In particular, we conjecture that up to factors that are […] | Algorithms and Barriers in the Symmetric Binary Perceptron Model
5069 Worst-Case and Average-Case Hardness of Hypercycle and Database Problems — Unresolved-question passage on page 17 / Can you give a faster algorithm for the unweighted k-hypercycle problem than what we offer in this paper for any k and u? | Worst-Case and Average-Case Hardness of Hypercycle and Database Problems
5070 Black-Box Hypotheses and Lower Bounds — Unresolved-question passage on page 16 / What results can be derived from average-case or randomized lower bounds? | Black-Box Hypotheses and Lower Bounds
5101 Hardness Amplification of Optimization Problems — Unresolved-question passage on page 8 / Can we obtain a trade-off between gap amplification and hardness amplification? | Hardness Amplification of Optimization Problems
5223 Theoretical Compression Bounds for Wide Multilayer Perceptrons — Explicit open question on PDF page 4 / Namely, showing that one can find sparse subnetworks of dense networks at initialization with good approximation error is an open problem. SLTH results, as presented […] | Theoretical Compression Bounds for Wide Multilayer Perceptrons
5257 On Finding Randomly Planted Cliques in Arbitrary Graphs — Explicit open question on PDF page 3 / While it remains an open question whether some assumption on the degree is inherently necessary, we provide some preliminary evidence in Theorem 5, see Section […] | On Finding Randomly Planted Cliques in Arbitrary Graphs
