id	title	category	disposition	sha256
TCS-0001	P versus NP	Computational complexity	not_shortlisted	dcf52e48702a458c629523cb3581f6445c57f840ca5a07072287eba63a24d435
TCS-0002	NP versus coNP	Computational complexity	not_shortlisted	d3d050382c3e54bd7164cceaff7aca1e4251745e48bc86842f36cc2ac15db231
TCS-0003	P versus BPP	Pseudorandomness and derandomization	not_shortlisted	a7ae303a80fa003252a69e429c59fd6a42cd8c89a2e4d5173a5e25e0eee61974
TCS-0004	L versus NL	Computational complexity	not_shortlisted	f2232bcc489e4204025c17fcf1cb640ce1cf66b2e408204937ee78a749bdd0b2
TCS-0005	VP versus VNP	Algebraic computation	not_shortlisted	bdae7abbb467a76361829cd5d7fe087d18c116ddfa1a3c902e5f0f24adff8758
TCS-0006	Unique Games Conjecture	Approximation algorithms and inapproximability	not_shortlisted	9eb969b6dd109b687924349165442cd33e2f8439bd274d1b4776d3eeeaee9b75
TCS-0007	Matrix multiplication exponent	Algebraic computation	not_shortlisted	c79b7dcd14902f6926baa95af03ea3d84f8074ea290ea961f57d75c14345c189
TCS-0008	Strongly polynomial linear programming	Optimization and numerical computation	not_shortlisted	0e6d5d45e0f14bb438db1655720208134084d03a7c5fe69168a96dded084d0c4
TCS-0009	Explicit univariate arithmetic circuit lower bounds	Algebraic computation	not_shortlisted	4de7e4bbed69190713787a4190e95afeb1fac111ccbee759a8a75caf30db3492
TCS-0010	Superlinear constant-degree arithmetic circuit lower bounds	Algebraic computation	not_shortlisted	c5761c5fe21613716f7ac56decd978311939c66bb74d6d5a06ebb6e5be97cc26
TCS-0011	Existence of complete EFX allocations for additive valuations	Game theory, social choice and fair division	not_shortlisted	3499b29f3d5dee85a1294cb9502a47c3441803033aa4658ceb7a5e469bc7eee3
TCS-0012	Average-case NP hardness from \(\mathrm{P} \ne  \mathrm{NP}\)	Beyond worst-case and average-case analysis	not_shortlisted	c412e4dff100dbd8c699ce13f7822faef6f10847bde363c52b7f0b80752cff2e
TCS-0013	Efficient explicit constant-rate tree codes	Coding and information theory	not_shortlisted	98e18061a4a3525adce4ff47b04e74b1b544ef67c8e891ec58a3baf650071cc5
TCS-0015	Superlinear Boolean circuit lower bounds	Computational complexity	not_shortlisted	ddf22253b9348eb0574a01f085ac72f5be83f970c250dfae9faecb70a759e5f4
TCS-0016	Exponential circuit lower bounds for 3-SAT	Computational complexity	not_shortlisted	d0104f4d22e76e0d09da6ccc4b9d1e5284a799ad35b2c64616070281e8b35a27
TCS-0017	Karchmer–Raz–Wigderson conjecture	Computational complexity	not_shortlisted	08f3c1c0e7dcfad0b46c5aa3f6602b4d36b1bcad1bb97c892d788f5aa7588a1f
TCS-0018	P versus NP intersect coNP	Computational complexity	not_shortlisted	eea67a86c82ea87a72320450a7b7233db1f32d67d89f78839b3fa297ccd83f8f
TCS-0019	Polynomial formulas versus linear circuits	Computational complexity	not_shortlisted	2452d5d9086009d1def16d67e77766d8bac64be9bd70dd3bd2a02f355efc88b2
TCS-0020	Polynomial-size circuits for EXP	Computational complexity	not_shortlisted	b8b390ad9ecc9ec29c6e427b158a0c68f421d0484732ae75f7575a5157d01dd5
TCS-0021	NP versus P/poly	Computational complexity	not_shortlisted	6091738a0e7ba41d02e669a4396205632d6787f158bea23340cb793f714f012b
TCS-0022	One-way functions from \(\mathrm{P} \ne  \mathrm{NP}\)	Cryptography	not_shortlisted	da0e8e9df0c6ba7a66bd530e247e344fe025c15895e0cae9b791ca2057951d99
TCS-0024	Frege lower bounds from circuit hardness	Proof complexity	not_shortlisted	7fcb16a797f9316b7f96a6720e42026b866d7d60f0baf1b4aab31fa7e1ad5577
