TCS-6448	Does a quantum witness have more power than a classical witness?	Is $\mathrm{QMA}=\mathrm{QCMA}$? Both classes have a polynomial-time quantum verifier and bounded error. QMA permits a polynomial-size quantum witness; QCMA permits only a polynomial-length classical string. The question concerns the standard classes without an oracle.
TCS-3102	In fact, if minimizing distance is not a concern, we conjecture that no reversals are necessary.	In fact, if minimizing distance is not a concern, we conjecture that no reversals are necessary.
TCS-4210	A final open question concerns routing schemes in general: what is the time needed by a data packet to travel through the graph?	A final open question concerns routing schemes in general: what is the time needed by a data packet to travel through the graph?
TCS-5650	Computational Complexity of Swish Is Solved — Explicit open question on PDF page 2	The second concern is the role of geometric transformations: how does the complexity change when flip and rotation are selectively allowed or forbidden?
TCS-5314	An Improved Version of Hmelevskii’s Theorem on Three-Variable Word Equations — Explicit open question on PDF page 1	It is also known to be NP-hard, but it is an open question whether it is in NP.
TCS-0475	Does ordinary median-of-medians selection with groups of three run in linear time?	Is there an absolute constant C such that the fixed deterministic comparison algorithm Select3 below uses at most Cn key comparisons on every sequence A of n distinct ordered keys and every requested rank $1\le k\le n$? Its output must be the k-th smallest key. The question concerns the one-grouping
TCS-1184	A natural question that remains open is the cut-off: if there is a number n such that we cannot synchronize almost surely n tokens, how […]	A natural question that remains open is the cut-off: if there is a number n such that we cannot synchronize almost surely n tokens, how […]
TCS-2300	Concerning the problems studied in this paper, we leave two main open questions:	Concerning the problems studied in this paper, we leave two main open questions:
TCS-2316	Finally, we end this paper by leaving the biggest open problem concerning mim-width: Given a graph G, is there a polynomial-time algorithm that computes a […]	Finally, we end this paper by leaving the biggest open problem concerning mim-width: Given a graph G, is there a polynomial-time algorithm that computes a […]
TCS-5775	How to Meet at a Node of Any Connected Graph — Unresolved-question passage on page 14	For approach, three problems remain open: the first concerns the scope, the second concerns information available to the agents, and the third concerns complexity.
TCS-5906	Random Subgroups of Rationals — Explicit open question on PDF page 2	Concerning question (C), it is still unknown whether the first order theory of algorithmically random graphs (or trees) is decidable.
TCS-1284	As an orthogonal concern, it remains open whether more sophisticated classifiers (e. g. graph neural networks) with less interpretable features may boost Claim sensitivity.	As an orthogonal concern, it remains open whether more sophisticated classifiers (e. g. graph neural networks) with less interpretable features may boost Claim sensitivity.
TCS-1575	Finding efficient ways to explore multiple discrepancy choices for globally optimal distributions remains an open challenge for future work.	Finding efficient ways to explore multiple discrepancy choices for globally optimal distributions remains an open challenge for future work.
TCS-3114	Thus, the case that remains open concerns uncountable X and general (random) sequences X.	Thus, the case that remains open concerns uncountable X and general (random) sequences X.
TCS-3427	Although they concern causal learning problems that involve only categorical variables, we conjecture that they can be generalized to cover some other causal learning problems, […]	Although they concern causal learning problems that involve only categorical variables, we conjecture that they can be generalized to cover some other causal learning problems, […]
TCS-4988	An Oracle with no UP-Complete Sets, but NP = PSPACE — Explicit open question on PDF page 3	The search for a complete problem in TFNP is of primary concern to certain fields such as cryptography, but it remains open whether such a […]
