0581 Four-coloring parameterized by crossing number or genus | SIGACT Open Problems Column
0586 Longest Cycle Problem Parameterized Above Combinatorial Bounds | Solving Problems on Graphs: From Structure to Algorithms
0593 Parameterized complexity of k-Coloring on P5 -free graphs | Vertex Partitioning in Graphs: From Structure to Algorithms
0597 Parameterized complexity of the coloring problems for H-free graphs | Graph Colouring: from Structure to Algorithms
0604 Cops and Robbers, parameterized algorithms | Theory and Applications of Graph Searching Problems (GRASTA 2011)
0730 Extending 1-Planar Drawings by a Few Vertices | New Tools in Parameterized Complexity: Paths, Cuts, and Decomposition
0731 Complexity of balanced hypergraph partitioning and its variants | Recent Trends in Graph Decomposition
0732 Depth-first search trees of minimum height | New Frontiers of Parameterized Complexity in Graph Drawing
0733 Drawing Hypergraphs “Nicely” | New Frontiers of Parameterized Complexity in Graph Drawing
0734 FPT Inapproximability Results Beyond Gap-ETH | Parameterized Approximation: Algorithms and Hardness
0735 Graph embeddings: Drawing vs. learning | New Frontiers of Parameterized Complexity in Graph Drawing
0736 On Left-Aligned BFS Trees | New Frontiers of Parameterized Complexity in Graph Drawing
0737 Parameterized approximability of clustering problems | Parameterized Approximation: Algorithms and Hardness
0738 Parameterized Approximation for the Santa Claus Problem | Parameterized Approximation: Algorithms and Hardness
0739 Planar F -Augmentation of Clustered Graphs | New Frontiers of Parameterized Complexity in Graph Drawing
0740 Sequential Crossing Number | New Frontiers of Parameterized Complexity in Graph Drawing
0741 The complexity of recognizing Witness Graphs | New Frontiers of Parameterized Complexity in Graph Drawing
0742 The Maximum Bimodal Subgraph Problem | New Frontiers of Parameterized Complexity in Graph Drawing
0743 The parameterized complexity of Queue Number using structural parameters | New Frontiers of Parameterized Complexity in Graph Drawing
0744 The st-Planar Graph Augmentation Problem | New Frontiers of Parameterized Complexity in Graph Drawing
0745 TSP with line-neighborhoods in R3 | Parameterized Approximation: Algorithms and Hardness
0746 Bundled Crossings | Parameterized Complexity in Graph Drawing
0747 Complexity of extending linked sequences | SIGACT Open Problems Column
0748 Complexity of linked sequences over arbitrary finite sets | SIGACT Open Problems Column
0749 Computing optimal linked-sequence length | SIGACT Open Problems Column
0750 Count k-Walks | New Horizons in Parameterized Complexity
0751 Counting forests with few components | New Horizons in Parameterized Complexity
0752 Counting optimal linked sequences | SIGACT Open Problems Column
0753 k-exchange TSP parameterized by k + d | New Horizons in Parameterized Complexity
0754 Makespan Minimization on Identical Machines (P ||Cmax ) by #job types | New Horizons in Parameterized Complexity
0755 Polynomial-time construction of longest linked sequences | SIGACT Open Problems Column
0756 Shortest Three Disjoint Path | New Horizons in Parameterized Complexity
0757 Tight bound for the number of multibudgeted important separators | New Horizons in Parameterized Complexity
0758 Better approximation of Dominating Set | Randomization in Parameterized Complexity
0759 Disjoint paths / minor testing | Randomization in Parameterized Complexity
0760 Fine-grained complexity of Hitting Set w.r.t. VC dimension | Randomization in Parameterized Complexity
0761 Fine-grained complexity of k-LCS | Randomization in Parameterized Complexity
0762 Fixed parameter tractability of Weighted Low Rank Approximation | Randomization in Parameterized Complexity
0763 FPT-approximation of bandwidth | Randomization in Parameterized Complexity
0764 FPT-approximation of VC dimension | Randomization in Parameterized Complexity
0765 Orthogonal Vectors for Subset Sum | Randomization in Parameterized Complexity
0766 Polynomial (Turing) Kernels | Randomization in Parameterized Complexity
0768 Small universal Steiner tree covers | Randomization in Parameterized Complexity
0769 Square root phenomenon | Randomization in Parameterized Complexity
0770 Time and space complexity of k-LCS | Randomization in Parameterized Complexity
0771 Computational complexity of planar treewidth | Algorithms for Optimization Problems in Planar Graphs
0772 Faster planar Steiner Tree algorithms parameterized by terminals | Algorithms for Optimization Problems in Planar Graphs
0773 Near-linear algorithms for many-terminal vertex-disjoint surface paths | Algorithms for Optimization Problems in Planar Graphs
0774 Near-linear-time minimum-cost Steiner perfect matching in planar graphs | Algorithms for Optimization Problems in Planar Graphs
0775 Optimal exact-distance labels for planar graphs | Algorithms for Optimization Problems in Planar Graphs
0776 Planar graph immersion algorithms | Algorithms for Optimization Problems in Planar Graphs
