id,title,category,decision,reason_code,reason,saved_target,source_url,source_locator,evidence,importance_score,review_cohort,decision_references
TCS-1165,Is there an algorithm with O(1) recourse?,Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “Is there an algorithm with O(1) recourse?”.",Is there an algorithm with O(1) recourse?,https://doi.org/10.4230/LIPIcs.ICALP.2026.141,Question 19; PDF page 18,index,50,original,
TCS-1176,Is there a constant α > 0 such that there exists a polynomial-time α- approximation algorithm for MMRO?,Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “Is there a constant α > 0 such that there exists a polynomial-time α- approximation algorithm for MMRO?”.",Is there a constant α > 0 such that there exists a polynomial-time α- approximation algorithm for MMRO?,https://doi.org/10.4230/LIPIcs.STACS.2026.53,Question 1; PDF page 15,index,50,original,
TCS-1220,We conjecture that √ Ω( n) is necessary to achieve approximation ratio 2.,Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “We conjecture that √ Ω( n) is necessary to achieve approximation ratio 2.”.",We conjecture that √ Ω( n) is necessary to achieve approximation ratio 2.,https://doi.org/10.4230/LIPIcs.ESA.2026.27,Unresolved-question passage on page 15; PDF page 15,index,50,original,
TCS-1225,"For example, can we remove the log(m + n) factor in Theorem 2 so that it matches the lower bound in Theorem 3?",Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “For example, can we remove the log(m + n) factor in Theorem 2 so that it matches the lower bound in Theorem 3?”.","For example, can we remove the log(m + n) factor in Theorem 2 so that it matches the lower bound in Theorem 3?",https://doi.org/10.4230/LIPIcs.ESA.2026.85,Unresolved-question passage on page 11; PDF page 11,index,50,original,
TCS-1236,"Is torso treewidth the “best possible” structural parameter on (G, χ) that, when bounded, Steiner Tree can be solved in polynomial time?",Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “Is torso treewidth the “best possible” structural parameter on (G, χ) that, when bounded, Steiner Tree can be solved in polynomial time?”.","Is torso treewidth the “best possible” structural parameter on (G, χ) that, when bounded, Steiner Tree can be solved in polynomial time?",https://doi.org/10.4230/LIPIcs.ICALP.2026.149,Unresolved-question passage on page 13; PDF page 13,index,50,original,
TCS-1245,A general analysis of unhappy paths in 2D remains open for future work.,Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “A general analysis of unhappy paths in 2D remains open for future work.”.",A general analysis of unhappy paths in 2D remains open for future work.,https://doi.org/10.4230/LIPIcs.ICALP.2026.47,Unresolved-question passage on page 19; PDF page 19,index,50,original,
TCS-1350,"None of the known techniques for computing or approximating treewidth [1, 41, 13, 14, 34] seem directly applicable to bilateral treewidth, and in fact the […]",Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “None of the known techniques for computing or approximating treewidth [1, 41, 13, 14, 34] seem directly applicable to bilateral treewidth, and in fact the […]”.","None of the known techniques for computing or approximating treewidth [1, 41, 13, 14, 34] seem directly applicable to bilateral treewidth, and in fact the […]",https://doi.org/10.4230/LIPIcs.SAT.2026.16,Unresolved-question passage on page 16; PDF page 16,index,50,original,
TCS-1384,"Finding sufficient conditions for this variant, as well as developing approximation algorithms, remains an open problem.",Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “Finding sufficient conditions for this variant, as well as developing approximation algorithms, remains an open problem.”.","Finding sufficient conditions for this variant, as well as developing approximation algorithms, remains an open problem.",https://doi.org/10.4230/LIPIcs.MFCS.2026.81,Unresolved-question passage on page 13; PDF page 13,index,50,original,
TCS-1407,"For example, can we show that Ω( 1ϵ ) matching computations are necessary to obtain a (1 − ϵ)-approximation?",Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “For example, can we show that Ω( 1ϵ ) matching computations are necessary to obtain a (1 − ϵ)-approximation?”.","For example, can we show that Ω( 1ϵ ) matching computations are necessary to obtain a (1 − ϵ)-approximation?",https://doi.org/10.4230/LIPIcs.ESA.2026.120,Unresolved-question passage on page 11; PDF page 11,index,50,original,
TCS-1411,"Moreover, does the problem admit a PTAS?",Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “Moreover, does the problem admit a PTAS?”.","Moreover, does the problem admit a PTAS?",https://doi.org/10.4230/LIPIcs.ESA.2026.152,Unresolved-question passage on page 17; PDF page 17,index,50,original,
