FOCS-2021-001 | approx | A Better-than-2 Approximation for Weighted Tree Augmentation
FOCS-2021-002 | opt | Integer Programs with Bounded Subdeterminants and Two Nonzeros Per Row
FOCS-2021-003 | game | A Constant-Factor Approximation Algorithm for Nash Social Welfare with Submodular Valuations
FOCS-2021-004 | opt | A Polynomial Lower Bound on the Number of Rounds for Parallel Submodular Function Minimization
FOCS-2021-005 | crypto | Post-Quantum Succinct Arguments: Breaking the Quantum Rewinding Barrier
FOCS-2021-006 | crypto | On the Impossibility of Post-Quantum Black-Box Zero-Knowledge in Constant Round
FOCS-2021-007 | crypto | SNARGs for P from LWE
FOCS-2021-008 | fg | Fine-Grained Cryptanalysis: Tight Conditional Bounds for Dense k-SUM and k-XOR
FOCS-2021-009 | alg | Demystifying the Border of Depth-3 Algebraic Circuits
FOCS-2021-010 | prg | Fooling Constant-Depth Threshold Circuits
FOCS-2021-011 | cx | Unambiguous DNFs and Alon–Saks–Seymour
FOCS-2021-012 | prg | Hardness vs Randomness, Revised: Uniform, Non-Black-Box, and Instance-Wise
FOCS-2021-013 | count | Rapid Mixing of Glauber Dynamics via Spectral Independence for all Degrees
FOCS-2021-014 | count | Spectral Independence via Stability and Applications to Holant-Type Problems
FOCS-2021-015 | count | A Matrix Trickle-Down Theorem on Simplicial Complexes and Applications to Sampling Colorings
FOCS-2021-016 | count | Towards the Sampling Lovász Local Lemma
FOCS-2021-017 | param | A Single-Exponential Time 2-Approximation Algorithm for Treewidth
FOCS-2021-018 | param | Parameterized Problems Complete for Nondeterministic FPT Time and Logarithmic Space
FOCS-2021-019 | param | PPSZ is Better than you Think
FOCS-2021-020 | game | At Most 3.55^n Stable Matchings
FOCS-2021-021 | comb | An Invariance Principle for the Multi-slice, with Applications
FOCS-2021-022 | approx | Applications of Random Algebraic Constructions to Hardness of Approximation
FOCS-2021-023 | approx | Almost Optimal Inapproximability of Multidimensional Packing Problems
FOCS-2021-024 | graph | Random Walks and Forbidden Minors III: poly(dε^-1)-time Partition Oracles for Minor-free Graph Classes
FOCS-2021-025 | test | Non-adaptive vs Adaptive Queries in the Dense Graph Testing Model
FOCS-2021-026 | count | Exact and Approximate Pattern Counting in Degenerate Graphs: New Algorithms, Hardness Results, and Complexity Dichotomies
FOCS-2021-027 | test | Testability of Relations Between Permutations
FOCS-2021-028 | avg | The Algorithmic Phase Transition of Random k-SAT for Low Degree Polynomials
FOCS-2021-029 | avg | One-step Replica Symmetry Breaking of Random Regular NAE-SAT
FOCS-2021-030 | temp | Sharp Thresholds in Random Simple Temporal Graphs
FOCS-2021-031 | avg | Proof of the Contiguity Conjecture and Lognormal Limit for the Symmetric Perceptron
FOCS-2021-032 | approx | Approximating Maximum Independent Set for Rectangles in the Plane
FOCS-2021-033 | approx | A Gap-ETH-Tight Approximation Scheme for Euclidean TSP
FOCS-2021-034 | ds | Optimal Approximate Distance Oracle for Planar Graphs
FOCS-2021-035 | geom | Covering Polygons is Even Harder
FOCS-2021-036 | learn | Robust Recovery for Stochastic Block Models
FOCS-2021-037 | learn | On Statistical Inference when Fixed Points of Belief Propagation are Unstable
FOCS-2021-038 | proof | Sum-of-Squares Lower Bounds for Sparse Independent Set
FOCS-2021-039 | learn | Chow-Liu++: Optimal Prediction-Centric Learning of Tree Ising Models
FOCS-2021-040 | cx | The Minimum Formula Size Problem is (ETH) Hard
FOCS-2021-041 | cx | The Hardest Explicit Construction
FOCS-2021-042 | proof | Tradeoffs for Small-Depth Frege Proofs
FOCS-2021-043 | alg | Group Isomorphism is Nearly-Linear Time for Most Orders
FOCS-2021-044 | approx | Fitting Distances by Tree Metrics Minimizing the Total Error Within a Constant Factor
FOCS-2021-045 | approx | Embeddings of Planar Quasimetrics into Directed ℓ_1 and Polylogarithmic Approximation for Directed Sparsest-Cut
FOCS-2021-046 | approx | Hop-Constrained Metric Embeddings and Their Applications
FOCS-2021-047 | online | A Hitting Set Relaxation for k-Server and an Extension to Time-Windows
FOCS-2021-048 | dyn | Fully Dynamic Electrical Flows: Sparse Maxflow Faster Than Goldberg-Rao
FOCS-2021-049 | graph | Faster Sparse Minimum Cost Flow by Electrical Flow Localization
FOCS-2021-050 | graph | 2-Norm Flow Diffusion in Near-Linear Time
FOCS-2021-051 | learn | On the Power of Preconditioning in Sparse Linear Regression
FOCS-2021-052 | q | Quantum Learning Algorithms Imply Circuit Lower Bounds
FOCS-2021-053 | q | Exponential Separations Between Learning With and Without Quantum Memory
FOCS-2021-054 | q | Quantum Soundness of Testing Tensor Codes
FOCS-2021-055 | q | Quasi-Polynomial Time Approximation of Output Probabilities of Geometrically-Local, Shallow Quantum Circuits
FOCS-2021-056 | prg | Improved Extractors for Small-Space Sources
FOCS-2021-057 | prg | Affine Extractors for Almost Logarithmic Entropy
FOCS-2021-058 | dist | Tight Bounds for General Computation in Noisy Broadcast Networks
FOCS-2021-059 | cx | Constructive Separations and Their Consequences
FOCS-2021-060 | learn | A Theory of PAC Learnability of Partial Concept Classes
FOCS-2021-061 | learn | Optimal Sub-Gaussian Mean Estimation in R
