0169 Is unification modulo the theory of allegories decidable? | RTA Open Problems
0170 Is the satisfiablity of ordering constraints (lpo) in conjunction with predicates like irreducibility by a fixed rewrite system or membership in a regular tree language decidable? | RTA Open Problems
0171 What is the exact complexity of word unification? | RTA Open Problems
0172 Does a system that is nonoverlapping under unification with infinite terms have unique normal forms? | RTA Open Problems
0173 Is unification of patterns modulo any set of variable-preserving equations decidable? | RTA Open Problems
0174 Can the application condition on the Merge rule in the computation of dag-solved forms of unification problems be improved? | RTA Open Problems
0175 Does AC unification terminate under more flexible control? | RTA Open Problems
0176 Is satisfiability of lpo or rpo ordering constraints decidable in case of non-total precedences? | RTA Open Problems
1162 Do sublinear-query algorithms exist for satisfiability testing of all boundedwidth CSPs? | Unbounded-Width CSPs Are Untestable in a Sublinear Number of Queries
1226 Deduction is decidable for VBFD equational theories. | How Term Rewriting Structures Shape the Decidability of Knowledge Problems
1280 We conjecture that WhyUnsat gets directed to the better small g-MUSes thanks to its hitting set algorithm for handling clauses belonging to several constraints. | WhyUnsat: A Practical Explanation Tool (Tool Paper)
1336 We leave open whether there is any strengthening of MSOs [<, Σ, A] which retains decidable satisfiability, while going beyond the class of NRAg [Σ, […] | Scoped MSO, Register Automata, and Expressions: Equivalence over Data Words
1467 Perhaps a discrete relaxation of the cut problem, like those studied in earlier work on Almost 2-SAT [9, 10], can provide a better bound? | Search-Space Reduction for Boolean MinCSPs via Essential Constraints
1562 Is there a polynomial-time algorithm for the satisfiability problem of systems of weak linear inequalities where the coefficients of the inequalities are of the form […] | Polynomial-Time Tractable Problems over the p-Adic Numbers
1577 Translating UPTL to CoT causes a non-elementary blowup on formula trees, but using DAGs and a Tseitin-like encoding, we conjecture an exponential equisatisfiability reduction. | Expressive Equivalence Between Decidable Freeze and Metric Timed Temporal Logics.
1665 We conjecture that the denser array structure of the coupling graph is the main factor. | CNOT-Optimal Clifford Synthesis as SAT
1728 We conjecture that the value of β(k) is polynomial in log(bl(k) + 1), which would provide a more precise characterization of the relationship between the […] | CNFs and DNFs with Exactly k Solutions
1770 What is the broadest class of algorithms that OGP can provably rule out? | Sharp Thresholds for the Overlap Gap Property: Ising p-Spin Glass and Random k-SAT
1776 Is the satisfiability problem for the guarded adjacent fragment with counting decidable? | On Homogeneous Models of Fluted Languages
1804 Is there a directed acyclic outerpath that is not upward 1-planar? | OOPS: Optimized One-Planarity Solver via SAT
1837 In other words, can we detect when a prefix is unlikely to yield a good partition? | Problem Partitioning via Proof Prefixes
1992 It remains open whether Presburger arithmetic with the primes predicate (P ) is decidable; see, e.g., [31, 93]. | An Introduction to the Theory of Linear Integer Arithmetic (Invited Paper)
2007 What about the satisfiability problem? | Decidability of Graph Neural Networks via Logical Characterizations
2091 Note that in Lemma 22 we require the number of maj vertices to be nonzero as otherwise the graph has only or vertices, which we […] | Easier Ways to Prove Counting Hard: A Dichotomy for Generalized #SAT, Applied to Constraint Graphs
2141 Though we do not know if it is for the functions that we use to prove our results. | On the Relative Efficiency of Dynamic and Static Top-Down Compilation to Decision-DNNF
2302 In this case, can we design an FPT-AS for the problem running in time single-exponential in k? | Satisfiability to Coverage in Presence of Fairness, Matroid, and Global Constraints
2311 Given that OV can be solved with a cube-root speedup in our wire-delay VLSI model (Theorem 12), and given the reduction from CNF-SAT to OV […] | A VLSI Circuit Model Accounting for Wire Delay
2361 In modern SAT solvers, variants of clause management heuristics are based on size and LBD, but a question remains open: which has a greater impact […] | Explaining SAT Solving Using Causal Reasoning
2438 Note however, that we do not know how to check a given formula for robustness. | Deciding Predicate Logical Theories Of Real-Valued Functions
2444 There are however still many potential bijections between orbits: indeed, we do not know how each cyclic order should be rotated. | Algorithms Transcending the SAT-Symmetry Interface
2493 Yet, even if all rewards, transition probabilities, and γ are given as rational values, but the basis b equals e, we do not know how […] | Entropic Risk for Turn-Based Stochastic Games
2599 Finally, we leave open (i) the extension of this work with Past modalities, (ii) FOL-like characterizations of TPTL0,∞ , and (iii) whether adding multiple clocks […] | Satisfiability Checking of Multi-Variable TPTL with Unilateral Intervals Is PSPACE-Complete
2633 Here, it seems, symmetry-breaking could help, but we have a chicken-and-egg problem: if symmetry-breaking is sometimes hard for the minimality check, will it be feasible […] | A SAT Solver’s Opinion on the Erdős-Faber-Lovász Conjecture
2643 Apart from this and the obvious question of whether (polynomial) decidability could be obtained for ⊢, perhaps based on some pumping argument, there are also […] | The Calculus of Temporal Influence
2667 Does there exist a finite nilpotent Malcev algebra with tractable PolSat and intractable CSat? | Satisfiability of Circuits and Equations over Finite Malcev Algebras
2745 Since Horn-Sat is P-complete, we conclude that Enum-Horn-Sat ̸∈ Del∗ ·AC0 , and we conjecture that it is not in DelP ·AC0 . | Enumeration Classes Defined by Circuits
2791 Instead of fixing a derivation algorithm ∇ ⊢ . . ., we will use the semantic variant ∇ ⊨ . . . and mean it […] | Nominal Anti-Unification with Atom-Variables
2817 In particular, we conjecture that the reason that most of the generated formulas (for every model) are trivially UNSAT may be due to a small […] | On the Performance of Deep Generative Models of Realistic SAT Instances
2944 Which generalization relation is best suited to be applied at a given moment and whether this depends on the underlying constraint context remain open questions […] | Anti-Unification of Unordered Goals
2972 Is there a polynomial time deterministic algorithm solving ProgramSatpGq and ListPolSatpGq for G such that there is a prime p and a normal p-subgroup Gp […] | Satisfiability Problems for Finite Groups
2991 For example, would it be more efficient to drive search to keep a number of disjoint covers or to grow a single cover at each […] | Analysis of Core-Guided MaxSat Using Cores and Correction Sets
3079 Likewise, we do not know whether the NEXP upper bounds for p-existence can be improved. | On Deciding Linear Arithmetic Constraints Over p-adic Integers for All Primes
3311 We note in Appendix E of our full version [25] that finding the value of k ? | Faster Random k-CNF Satisfiability
3330 For formulas of HyperLTL1 (F, G), we leave decidability open, but prove intractability. | The Keys to Decidable HyperLTL Satisfiability: Small Models or Very Simple Formulas
3386 We leave open designing an approximation algorithm for minimizing the seen area, as well as the complexity of the integral version of the problem. | Geometric Secluded Paths and Planar Satisfiability
3475 Are unrestricted ACUI and UI infinitary or nullary? | Unital Anti-Unification: Type and Algorithms
3484 Is the satisfiability problem of word equations in NP? | Hardness Results for Constant-Free Pattern Languages and Word Equations
3552 While weak definability is an interesting problem in its own right, another motivation for our work stems from the fact it is an open problem […] | On the Power of Ordering in Linear Arithmetic Theories
3790 We finally remark that we do not know if our small model construction, producing finite models of size bounded triply exponentially in the size of […] | Finite Satisfiability of Unary Negation Fragment with Transitivity
3962 Does SAT ∈ P/poly imply that NP ⊆ ZPPMCSP ? | The Power of Natural Properties as Oracles
4007 What is the exact complexity of SAT(FO2k (∼))? | On the Complexity of Team Logic and Its Two-Variable Fragment
4027 Is HScore -satisfiability decidable over (<,Dis)? | Computational Complexity of a Core Fragment of Halpern-Shoham Logic
4040 Natural attempts to simulate this construction with smaller alphabets, e.g. by replacing each letter with a random sequence, do not seem to work, and we […] | Tighter Connections Between Formula-SAT and Shaving Logs
4051 Is there a more direct method for proving circuit lower bounds that “corresponds” to the split-and-list paradigm, without having to go through a generic connection […] | Limits on Representing Boolean Functions by Linear Combinations of Simple Functions: Thresholds, ReLUs, and Low-Degree Polynomials
4098 Is there an IOP for succinct circuit satisfiability with linear proof length and query complexity? | Interactive Oracle Proofs with Constant Rate and Query Complexity
4109 5 Beyond Accelerated Gradient Methods Providing an intuitive, yet complete interpretation of accelerated gradient methods is an open question in Optimization [17]. | Linear Coupling: An Ultimate Unification of Gradient and Mirror Descent
4177 However, we conjecture that using techniques from [8], we can obtain similar decidability results, for this subclass for rational/real cases. | Complexity of Restricted Variants of Skolem and Related Problems
4190 Can we show that formulas with a unique solution are the worst case for RandomDecode under every “reasonable” heuristic P ? | PPSZ for General k-SAT - Making Hertli's Analysis Simpler and 3-SAT Faster
4197 Is Inv-SAT(ΓXSAT ) tractable or co-NP-complete? | A Dichotomy Theorem for the Inverse Satisfiability Problem
4207 Similarly, can we achieve such a running time for 3-SAT with a deterministic algorithm? | Solving and Sampling with Many Solutions: Satisfiability and Other Hard Problems
4294 We conjecture an NExptime-upper bound for rank 1 restricted unification, in which variables are substituted by intersections of simple types. | The Intersection Type Unification Problem
4295 We leave an open question whether there exists a representation in which both ./τ and τ ./ are automatic i.e. whether ./ is semi-automatic. | Decidability and Complexity of Tree Share Formulas
4317 We leave it as an open problem whether Feedback Vertex Set is serf reducible to 3-CNF-Sat. | On Existential MSO and its Relation to ETH
4318 Note that it is an open problem to find an explicit construction of quadratic disperser or extractor over F2 with r = n − o(n). | Circuit Size Lower Bounds and #SAT Upper Bounds Through a General Framework
4380 Is there a way to get nontrivial SAT algorithms from natural properties? | Learning Algorithms from Natural Proofs
4414 In particular, can the classification in Theorem 9 be used to improve algorithms for 1-in-3-SAT? | A Preliminary Investigation of Satisfiability Problems Not Harder than 1-in-3-SAT
4439 It seems worthwhile to investigate the complexity issue deeper, and look at ways of extending this towards full XPath, for which decidability of satisfiability remains […] | Reasoning About Integrity Constraints for Tree-Structured Data
4488 Also, even the complexity of deciding SAT on instances of bounded β-hypertree width is an open problem [17]. | Understanding Model Counting for beta-acyclic CNF-formulas
4533 In particular, what is the complexity of satisfiability and validity of MTL? | A Van Benthem Theorem for Modal Team Semantics
4545 First, can we show a (randomized) polynomial space algorithm that runs super-polynomially faster than 2n for instances with ω(n2 ) clauses? | Improved Exact Algorithms for Mildly Sparse Instances of Max SAT
4554 Is there any connection with the tractable cases of generalized SAT problems? | Homomorphism Reconfiguration via Homotopy
4577 While smaller instances have been shown to be decidable, the full decidability of Skolem’s problem is still an open question [15]. | Information Leakage of Non-Terminating Processes
4623 So, to the best of our knowledge, the finite satisfiability problem for FO2T remains open. | FO^2 with one transitive relation is decidable
4624 It remains open whether #SAT becomes tractable when these parameters are bounded. | Model Counting for CNF Formulas of Bounded Modular Treewidth
4671 Is it possible to close this gap, maybe even in terms of a purely algorithmic analog of Valiant and Vazirani’s result? | An Approximation Algorithm for #k-SAT
4678 We do not know if a more refined choice of H (similar to [10]), possibly depending on ∆, allows us to close that gap. | Improving PPSZ for 3-SAT using Critical Variables
5469 Satisfiability of Circuits and Equations over Finite Malcev Algebras — Question 1 / Does tractability of CSat for a finite algebra L from a congruence distributive variety implies tractability of CSat for all quotients of L? | Satisfiability of Circuits and Equations over Finite Malcev Algebras
5539 Knowledge Problems vs Unification and Matching: Dichotomy Results — Explicit open question on PDF page 6 / It is unknown if the reduction can be done without the addition. | Knowledge Problems vs Unification and Matching: Dichotomy Results
5603 On the Complexity Dichotomy for the Satisfiability of Systems of Term Equations over Finite Algebras — Explicit open question on PDF page 5 / We do not know whether the quasi-polynomial time algorithms in Theorem 3 can be improved to polynomial time. | On the Complexity Dichotomy for the Satisfiability of Systems of Term Equations over Finite Algebras
5644 How Term Rewriting Structures Shape the Decidability of Knowledge Problems — Conjecture 25 / Static equivalence problem for DPVP theory is decidable. | How Term Rewriting Structures Shape the Decidability of Knowledge Problems
5759 Explaining SAT Solving Using Causal Reasoning — Unresolved-question passage on page 17 / We also answered questions closely related to SAT solving, for instance, which factor, size or LBD, has a greater impact on clause utility? | Explaining SAT Solving Using Causal Reasoning
5834 The Pseudo-Skolem Problem is Decidable — Explicit open question on PDF page 1 / The latter is in contrast to the Skolem problem for linear dynamical systems, which remains open for proper orbits. | The Pseudo-Skolem Problem is Decidable
5872 Near-Optimal Complexity Bounds for Fragments of the Skolem Problem — Unresolved-question passage on page 16 / They leave open the precise complexity of the Skolem problem for PolyRat sequences. | Near-Optimal Complexity Bounds for Fragments of the Skolem Problem
5978 Computational Complexity of a Core Fragment of Halpern-Shoham Logic — Unresolved-question passage on page 15 / Is there a class of frames over which HS core -satisfiability is computationally easier than HS horn -satisfiability? | Computational Complexity of a Core Fragment of Halpern-Shoham Logic
6016 Weak MSO+U over infinite trees — Explicit open question on PDF page 1 / It is an open problem whether satisfiability is decidable over infinite words. | Weak MSO+U over infinite trees
6097 Depth-3 Circuit Lower Bounds for k-OV — Explicit open question on PDF page 2 / Even for functions such as SAT that do not have any polynomial time running algorithms till date, we do not know how to show super-linear […] | Depth-3 Circuit Lower Bounds for k-OV
6098 Model Counting for CNF Formulas of Bounded Modular Treewidth — Explicit open question on PDF page 4 / At this time, it remains open whether #SAT is polynomial-time tractable on formulas for which one of these parameters is bounded. | Model Counting for CNF Formulas of Bounded Modular Treewidth
6122 A Comparison of SAT Encodings for Acyclicity of Directed Graphs — Explicit open question on PDF page 1 / While efficient algorithms exist for checking the acyclicity of directed graphs, it is still unknown which method performs well for encoding acyclicity of directed graphs […] | A Comparison of SAT Encodings for Acyclicity of Directed Graphs
6145 A Preliminary Investigation of Satisfiability Problems Not Harder than 1-in-3-SAT — Unresolved-question passage on page 12 / Is it possible to strengthen this even further and prove that there exists an uncountably infinite number of such weak partial co-clones? | A Preliminary Investigation of Satisfiability Problems Not Harder than 1-in-3-SAT
6202 Lower Bounds Against Sparse Symmetric Functions of ACC Circuits: Expanding the Reach of #SAT Algorithms — Explicit open question on PDF page 6 / 4 A notable exception (as far as we know) is the class of depth-d exact threshold circuits for a fixed d ≥ 2, because we […] | Lower Bounds Against Sparse Symmetric Functions of ACC Circuits: Expanding the Reach of #SAT Algorithms
6224 Quadratic Time-Space Lower Bounds for Computing Natural Functions with a Random Oracle — Explicit open question on PDF page 2 / In fact it remains open whether Circuit Sat has a generic algorithm in a random-access machine model running in O(n1.9999 ) time and O(log n) […] | Quadratic Time-Space Lower Bounds for Computing Natural Functions with a Random Oracle
6225 Counting Independent Sets and Colorings on Random Regular Bipartite Graphs — Explicit open question on PDF page 1 / Despite its great importance, it is still unknown whether #BIS admits a fully polynomial-time approximation scheme (FPTAS) or it is as hard as counting the […] | Counting Independent Sets and Colorings on Random Regular Bipartite Graphs
6240 More Than 0s and 1s: Metric Quantifiers and Counting over Timed Words — Unresolved-question passage on page 13 / Is it possible to add (or perhaps restricted versions of) the modalities F frac and P frac to GQMLO while retaining the decidability of the […] | More Than 0s and 1s: Metric Quantifiers and Counting over Timed Words
6259 On the Skolem Problem for Reversible Sequences — Explicit open question on PDF page 2 / In summary, all known proofs of the Skolem–Mahler–Lech Theorem (as it is now known) are non-constructive and so the decidability of the Skolem Problem remains […] | On the Skolem Problem for Reversible Sequences
6392 Understanding Model Counting for beta-acyclic CNF-formulas — Unresolved-question passage on page 13 / For example, is there any uniform explanation for tractability of bounded cliquewidth #SAT and β-acyclic #SAT, similarly to the way in which the framework of […] | Understanding Model Counting for beta-acyclic CNF-formulas
6641P The word problem for one-relation monoids | Research reference · link.springer.com
6642P The conjugacy problem for one-relator groups | Research reference · arXiv 2501.18306
6643P Decidability of unification in the basic modal logic K | Research reference · www.mathnet.ru
6644P Decidability of termination for one-rule string rewriting | Research reference · epubs.siam.org
6677P The isomorphism problem for one-relator groups | The theory of one-relator groups: history and recent progress
