rank,researcher,slot,id,title,area,action,affinity,status,evidence,formulation_status,formulation_reviewed_on,current_batch_scope,researcher_bibliography,problem_sources
1,Ryan Williams,1,TCS-7161,NEXP versus nonuniform \(\mathrm{TC}^{0}\),Computational complexity,reused,Circuit lower bounds beyond the ACC frontier of his algorithms-to-lower-bounds program.,open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/w/RyanWilliams.html,https://doi.org/10.1109/CCC.2011.36; https://en.wikipedia.org/wiki/Circuit_complexity; https://en.wikipedia.org/w/index.php?oldid=1328197464; https://people.csail.mit.edu/rrw/acc-lbs-ccc.pdf; https://eccc.weizmann.ac.il/report/2026/039/; https://eccc.weizmann.ac.il/report/2026/167/; https://eccc.weizmann.ac.il/report/2026/118/
1,Ryan Williams,2,TCS-0303,Stronger log-space time lower bounds for SAT,Computational complexity,reused,Quantitative time-space lower bounds for SAT connect directly to his work on time and space.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/w/RyanWilliams.html,https://www.cs.umd.edu/~gasarch/open/lbfornp.pdf
2,Irit Dinur,1,TCS-6738,Linear-length locally testable codes and proofs,Coding and information theory,reused,Linear-length local testability is a central frontier after her constructions of good locally testable codes.,source_open,source,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/18/3891.html,https://www.wisdom.weizmann.ac.il/~oded/pt-intro.html
2,Irit Dinur,2,TCS-7268,Sliding-scale PCP conjecture,Computational complexity,reused,PCP soundness and alphabet tradeoffs extend her foundational PCP work.,source_open,reviewed,revised,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/18/3891.html,https://arxiv.org/abs/1505.06362
3,Avi Wigderson,1,TCS-0003,P versus BPP,Pseudorandomness and derandomization,reused,Derandomization is a central theme across his complexity and pseudorandomness work.,uncertain,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/w/AviWigderson.html,https://www.math.ias.edu/files/mathandcomp.pdf; https://www.math.ias.edu/~avi/PUBLICATIONS/MYPAPERS/IW97/proc.pdf; https://eccc.weizmann.ac.il/report/2026/082/; https://arxiv.org/abs/2308.09549v9
3,Avi Wigderson,2,TCS-0005,VP versus VNP,Algebraic computation,reused,General arithmetic circuit lower bounds are a core target of his algebraic complexity program.,source_open,reviewed,not individually completed,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/w/AviWigderson.html,https://www.math.ias.edu/files/mathandcomp.pdf; https://doi.org/10.1145/800135.804419; https://eccc.weizmann.ac.il/report/2021/081/; https://eccc.weizmann.ac.il/report/2026/138/
4,Venkatesan Guruswami,1,TCS-1011,Full-length Reed–Solomon list decoding beyond Johnson,Coding and information theory,reused,Reed-Solomon list decoding beyond Johnson is directly in his coding research.,uncertain,index,not individually completed,,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/g/VenkatesanGuruswami.html,https://people.seas.harvard.edu/~salil/pseudorandomness/
4,Venkatesan Guruswami,2,TCS-6637,Constant-colour polynomial-time colouring of 3-colourable graphs,Constraint satisfaction,reused,Coloring promised 3-colorable graphs connects his work on promise CSPs and inapproximability.,source_open,reviewed,not individually completed,2026-09-11,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/g/VenkatesanGuruswami.html,https://arxiv.org/abs/2406.00357; https://arxiv.org/abs/1811.00970; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2020.62; https://arxiv.org/abs/2602.05904; https://arxiv.org/abs/2504.03523
5,Daniel Spielman,1,TCS-7285,Strongly explicit Ramanujan families for every degree,Structural graph theory,reused,Strongly explicit Ramanujan families continue his spectral and interlacing-polynomial constructions.,source_open,reviewed,revised,2026-09-13,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/s/DanielASpielman.html,https://arxiv.org/abs/2003.11673
5,Daniel Spielman,2,TCS-6585,Nearly linear-time solution of general sparse linear systems,Optimization and numerics,reused,General sparse linear systems extend the scope of his fast Laplacian-solving program.,source_open,reviewed,revised,2026-09-10,"active-card and source-locator review; existing status is carried through, not independently recertified",https://dblp.org/pid/s/DanielASpielman.html,https://arxiv.org/abs/2007.10254; https://epubs.siam.org/doi/10.1137/090771430; https://arxiv.org/abs/2111.05553; https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2022.53; https://arxiv.org/abs/2602.05394
