TCS-0861	Quantum computation	Is QMA(2) in BQEXP?	Is QMA(2) in BQEXP?
TCS-1263	Quantum computation	In general, we do not know how to compute local density matrices of an accepting history state.	In general, we do not know how to compute local density matrices of an accepting history state.
TCS-2229	Quantum computation	What is the relationship of QMA and QMA(2)?	What is the relationship of QMA and QMA(2)?
TCS-2650	Quantum computation	Assuming QETH or QSETH, is MQCSP, UMCSP, or SMCSP quantumly hard?	Assuming QETH or QSETH, is MQCSP, UMCSP, or SMCSP quantumly hard?
TCS-3135	Quantum computation	We expect most natural properties to be compression oblivious, but leave as an open question what complexity-theoretic assumptions are needed to show that, e.g., the […]	We expect most natural properties to be compression oblivious, but leave as an open question what complexity-theoretic assumptions are needed to show that, e.g., the […]
TCS-3886	Quantum computation	Indeed, whether ∃ · BPP = MA remains an open question [11].	Indeed, whether ∃ · BPP = MA remains an open question [11].
TCS-4374	Quantum computation	It is an open problem if cases like this can be tackled, e.g., by considering multi-register algorithms.	It is an open problem if cases like this can be tackled, e.g., by considering multi-register algorithms.
TCS-4730	Quantum computation	A little bit of self-correction — Unresolved-question passage on page 7	One important question which we leave open is whether some weaker forms of protection can be seen in these systems as the chain length grows.
TCS-4753	Quantum computation	Quantum Space, Ground Space Traversal, and How to Embed Multi-Prover Interactive Proofs into Unentanglement — Explicit open question on PDF page 12	We remark that it remains an open problem whether QMA(2) is equal to NEXP, though an oracle separation to coNP exists [26].
TCS-4789	Quantum computation	Quantum Generalizations of the Polynomial Hierarchy with Applications to QMA(2) — Explicit open question on PDF page 6	However, whether QCΠ2 = QCΣ2 collapses QCPH remains open due to the same “∃ · BPP versus MA phenomenon”.
TCS-4811	Quantum computation	How Hard Is Deciding Trivial Versus Nontrivial in the Dihedral Coset Problem? — Explicit open question on PDF page 2	It is unknown how to compute the measurement they find without quantum sampling subset sum solutions.
TCS-4813	Quantum computation	The coherent measurement cost of coherence distillation — Conjecture 2	For any ρ, there exists a sequence En of maximally-distilling IO channels with all but an asymptotically-vanishing fraction of measurements individually attaining the bound of […]
TCS-4855	Quantum computation	Subsystem CSS codes, a tighter stabilizer-to-CSS mapping, and Goursat&apos;s Lemma — Unresolved-question passage on page 8	This code cannot be two copies of the double semion code due to the sign problem, but we conjecture that this code is equivalent to […]
TCS-4857	Quantum computation	The Pure-State Consistency of Local Density Matrices Problem: In PSPACE and Complete for a Class Between QMA and QMA(2) — Explicit open question on PDF page 8	It can be shown that with a single check PureSuperQMA(1, poly , 0) = 5 QMA as there is no single check passed by a […]
TCS-4878	Quantum computation	Efficient validation of Boson Sampling from binned photon-number distributions — Unresolved-question passage on page 17	If we do not trust that the data is coming from an actual physical experiment, can we guarantee that no efficient classical algorithm exists that […]
TCS-4951	Quantum computation	Robust Quantum Entanglement at (Nearly) Room Temperature — Explicit open question on PDF page 6	In addition, it would be insightful to understand the actual coherence time of such a system as a self-correcting quantum memory - we conjecture that […]
TCS-5170	Quantum computation	Another Subexponential-time Quantum Algorithm for the Dihedral Hidden Subgroup Problem — Explicit open question on PDF page 5	All known subexponential algorithms for the hidden subgroup problems make no use of the output when the target set X is unstructured. (We do not […]
TCS-6130	Quantum computation	A Distillation–Teleportation Protocol for Fault-Tolerant QRAM — Unresolved-question passage on page 21	We expect that in the single-pass constant-storage setting, our protocol is essentially optimal, but we leave this problem of optimality as an open question.
TCS-6459	Quantum computation	Cost of quantum secret key — Explicit open question on PDF page 3	So far, it is known that separable, i.e., disentangled states, are useless [43], while it remains open if entangled but key-undistillable states exist.
TCS-4385	Computational complexity	What can be done if Alice and Bob switch roles, and the shared randomness should be a function of Y ?	What can be done if Alice and Bob switch roles, and the shared randomness should be a function of Y ?
TCS-2100	Optimization and numerics	It should be noted that whether generalized self-concordance holds for the logarithm of the trace inverse (potentially limited to a subset of its domain) is […]	It should be noted that whether generalized self-concordance holds for the logarithm of the trace inverse (potentially limited to a subset of its domain) is […]
TCS-4315	Approximation algorithms and hardness of approximation	It remains open whether one is able to provide a 2-approximation algorithm for (IP), which does not need to solve linear programs.	It remains open whether one is able to provide a 2-approximation algorithm for (IP), which does not need to solve linear programs.
TCS-5307	Approximation algorithms and hardness of approximation	Fast Approximation Algorithms for the Generalized Survivable Network Design Problem — Explicit open question on PDF page 2	The authors leave as an open problem the design of a primal-dual 2-approximation for the survivable network design problem.
TCS-3284	Pseudorandomness and derandomization	Is there some natural natural class of non-abelian, non-simple groups for which algorithms can efficiently find expanding generating sets near (or even below) the Alon-Roichman […]	Is there some natural natural class of non-abelian, non-simple groups for which algorithms can efficiently find expanding generating sets near (or even below) the Alon-Roichman […]
TCS-6118	Communication complexity and Boolean function analysis	Tight Bounds for Communication-Assisted Agreement Distillation — Explicit open question on PDF page 6	Our methods imply a communication lower bound of (1 − s∗ (Y ; X))k − o(k) for an arbitrary channel, though we do not know […]
TCS-5698	Property testing and distribution learning	Canonization for Bounded and Dihedral Color Classes in Choiceless Polynomial Time — Explicit open question on PDF page 2	There is a notable class for which we have polynomial-time isomorphism testing and canonization algorithms, but for which we do not know how to canonize […]
TCS-1628	Database theory and finite model theory	First, while the containment problems studied here are known to be NPTime-hard [24], identifying tighter lower bounds remains an open challenge.	First, while the containment problems studied here are known to be NPTime-hard [24], identifying tighter lower bounds remains an open challenge.
