TCS-1309	Quantum computation	However, it remains open to study protocols with entangled measurements on a large number of samples (e.g. c = poly(d)).	However, it remains open to study protocols with entangled measurements on a large number of samples (e.g. c = poly(d)).
TCS-1427	Quantum computation	Can we find more applications of the samplizer for pure states?	Can we find more applications of the samplizer for pure states?
TCS-1823	Quantum computation	Can we construct a decision tree of height poly(d) which, on input y, outputs one of the influential coordinates of fy with high probability?	Can we construct a decision tree of height poly(d) which, on input y, outputs one of the influential coordinates of fy with high probability?
TCS-3229	Quantum computation	Is there a more interesting class of functions on which we can achieve a quantum speedup?	Is there a more interesting class of functions on which we can achieve a quantum speedup?
TCS-4074	Quantum computation	Classically, it is still an open question whether the log(1/ε)-factor in the upper bound of [17] for (ε, δ)-proper PAC learning is necessary.	Classically, it is still an open question whether the log(1/ε)-factor in the upper bound of [17] for (ε, δ)-proper PAC learning is necessary.
TCS-4767	Quantum computation	Sample-optimal classical shadows for pure states — Unresolved-question passage on page 24	That is, can we get the lower bounds to have the correct dependence on δ (which we conjecture to be log(δ −1 )) and remove […]
TCS-4843	Quantum computation	Optimal Quantum Sample Complexity of Learning Algorithms — Unresolved-question passage on page 28	Can we find more such examples of quantum improvements in sample complexity in fixeddistribution settings?
TCS-4848	Quantum computation	The geometry of the Hermitian matrix space and the Schrieffer–Wolff transformation — Unresolved-question passage on page 46	An additional question is the ‘lowest k state property’: for given neighborhoods U0 and V0 such that f : U0 → V0 is a bijection, […]
TCS-4990	Quantum computation	Two New Results About Quantum Exact Learning — Explicit open question on PDF page 2	In particular, they showed that the concept class of DNF-formulas can be learned in polynomial time from quantum examples under the uniform distribution, something we […]
TCS-1356	Computational geometry and metric spaces	Diameter-∆ of the intersection graph of low-complexity geometric objects (regardless of the dimension) can be solved in truly-subquadratic time if the VC dimension of ∆-neighborhoods […]	Diameter-∆ of the intersection graph of low-complexity geometric objects (regardless of the dimension) can be solved in truly-subquadratic time if the VC dimension of ∆-neighborhoods […]
TCS-2112	Computational geometry and metric spaces	Therefore we conjecture that the same lower bound holds for the topological expressivity of neural networks with sigmoidal activation function, which would generalise the lower […]	Therefore we conjecture that the same lower bound holds for the topological expressivity of neural networks with sigmoidal activation function, which would generalise the lower […]
TCS-1571	Computational complexity	We leave open the intriguing possibility that the information complexity approach can be adapted to parity decision trees.	We leave open the intriguing possibility that the information complexity approach can be adapted to parity decision trees.
TCS-2434	Computational complexity	Establishing a super-polynomial separation between randomness and pseudo-determinism remains open for Parity decision trees.	Establishing a super-polynomial separation between randomness and pseudo-determinism remains open for Parity decision trees.
TCS-4468	Computational complexity	The best separation between subcube partition complexity and query complexity remains open, even in the deterministic case.	The best separation between subcube partition complexity and query complexity remains open, even in the deterministic case.
TCS-5342	Computational complexity	Direct Sums for Parity Decision Trees — Explicit open question on PDF page 4	We leave it as an open question whether a perfect direct sum theorem holds for deterministic parity decision trees.
TCS-4891	Algorithms & data structures	Open Problem: Properly learning decision trees in polynomial time? — Open Problem 1	Design a poly(n, s, 1/ε)-time membership query algorithm for properly learning size-s decision trees over n variables to error ε under the uniform distribution.
TCS-6263	Algorithms & data structures	Fourier Growth of Parity Decision Trees — Explicit open question on PDF page 10	It remains open for small values whether the bound can be further improved to O p d · log(1/p) , which is the optimal bound […]
TCS-0023	Learning theory	Learning growing-size DNFs under uniform inputs	Learning growing-size DNFs under uniform inputs
TCS-0677	Learning theory	Properly learning decision trees in polynomial time?	Properly learning decision trees in polynomial time?
TCS-0691	Learning theory	Recursive Teaching Dimension Versus VC Dimension	Recursive Teaching Dimension Versus VC Dimension
TCS-0670	Learning theory	Can Local Regularization Learn All Multiclass Problems?	Can Local Regularization Learn All Multiclass Problems?
TCS-0664	Learning theory	Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent?	Is the Power of Deep Learning over Linear Models Inherently Distribution Dependent?
TCS-0668	Learning theory	Optimal Instance-Dependent Sample Complexity for finding Nash Equilibrium in Two Player Zero-Sum Matrix games	Optimal Instance-Dependent Sample Complexity for finding Nash Equilibrium in Two Player Zero-Sum Matrix games
TCS-0678	Learning theory	Running time complexity of accelerated $\ell_1$-regularized PageRank	Running time complexity of accelerated $\ell_1$-regularized PageRank
TCS-1392	Learning theory	We leave this problem of tightly characterizing the transition time in general dimension open for future work.	We leave this problem of tightly characterizing the transition time in general dimension open for future work.
TCS-1441	Learning theory	Likewise, is there a variant of Littlestone dimension that characterizes the optimal mistake bound against efficient online adversaries?	Likewise, is there a variant of Littlestone dimension that characterizes the optimal mistake bound against efficient online adversaries?
TCS-1539	Learning theory	Does there exist an adversarially robust compression scheme of size O(f (dVC )) for C?	Does there exist an adversarially robust compression scheme of size O(f (dVC )) for C?
TCS-1629	Learning theory	Importantly, how about other activations than ReLU [34]?	Importantly, how about other activations than ReLU [34]?
TCS-1774	Learning theory	Is there a way to eliminate the additional α in the sample complexity?	Is there a way to eliminate the additional α in the sample complexity?
TCS-1862	Learning theory	Can the analysis be improved for some of those algorithms?	Can the analysis be improved for some of those algorithms?
TCS-1942	Learning theory	Is it true that for every d ∈ N there exists an extremal class C with vc(C) = d and vc⋆ (C) = 2d + […]	Is it true that for every d ∈ N there exists an extremal class C with vc(C) = d and vc⋆ (C) = 2d + […]
TCS-2065	Learning theory	Fix a function class F ⊆ {0, 1}X with VC dimension d.	Fix a function class F ⊆ {0, 1}X with VC dimension d.
