id,title,area,scope,source_year,year_basis,source_age_years,status,status_note,source_collection,source_locator,authors,source_url,pdf_url,additional_source_urls,source_title,accessed,reading_note
TCS-0001,P versus NP,Computational and circuit complexity,landmark,,undated current listing,,maintainer_lists_open,Listed among CMI’s unsolved Millennium Prize Problems when accessed 2026-09-09.,Landmark reference,Millennium Prize Problem,Clay Mathematics Institute,https://www.claymath.org/millennium/p-vs-np/,,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0002,NP versus coNP,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 3.8,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=39,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0003,P versus BPP,Pseudorandomness and derandomization,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 7.5,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=89,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0004,L versus NL,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 14.8,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=181,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0005,VP versus VNP,Algebraic and numerical computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 12.21,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=152,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0006,Unique Games Conjecture,Approximation algorithms,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 4.3,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=55,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0007,Matrix multiplication exponent two,Algebraic and numerical computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 12.13,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=150,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0008,Linear Programming: Strongly Polynomial?,Optimization and mathematical programming,landmark,2010,latest listed revision year,16,source_open_unverified,The source presents this as open; no exhaustive search for later resolutions was performed.,The Open Problems Project,Problem 8,Erik D. Demaine; Joseph S. B. Mitchell; Joseph O’Rourke (editors),https://topp.openproblem.net/p8,,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0009,Explicit univariate arithmetic circuit lower bounds,Algebraic and numerical computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 12.1,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=145,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
TCS-0010,Superlinear constant-degree arithmetic circuit lower bounds,Algebraic and numerical computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 12.4,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=147,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions."
