0546 Enumerating mutually diverse feasible solutions | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0547 Enumeration across primal and dual representations | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0548 Enumeration of k-colorable induced subgraphs | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0549 Enumeration of minimal dominating sets for graph classes | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0550 Enumeration of tree width-t-modulators | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0551 Enumeration of vertex subsets with non-local properties | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0552 Generation of representative solutions | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0553 Minimal dominating sets enumeration and hypergraph colorings | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0554 Minimal separators in graphs | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0555 Output-sensitive enumeration complexity classifications | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0556 Strong polynomial delay conjectures | Algorithmic Enumeration: Output-sensitive, Input-Sensitive, Parameterized, Approximative
0584 Counting Graphs with Vertex Cover of Size k | Solving Problems on Graphs: From Structure to Algorithms
0610 Counting antichains in restricted posets | Antoine Amarilli: research questions
1004 Deterministic relative counting for DNF | Pseudorandomness
1143 What is the complexity of the counting problem #GpEpi? | Algorithms for Finite Group Epimorphism Testing
1188 However, establishing the complexity of clique counting (when RandomEdge is available along with local queries) remains an open question. | Arboricity Matters in Triangle Counting with Random Edges
1205 Closing the gap between the lower bound and the upper bound of size O(n/t) is an open problem. | A Game for Counting Logic Formula Size and an Application to Linear Orders
1434 Can join tree enumeration achieve worst-case constant delay? | Algorithms for Optimizing Acyclic Queries
1558 Can the maximal signatures of an XOR-CNF be listed with polynomial delay? | On the Enumeration of Signatures of XOR-CNF’s
1610 For any ε > 0, there is no O(m2−ε )-time algorithm for computing SubH△ (G). | Subgraph Counting in Subquadratic Time for Bounded Degeneracy Graphs
1615 Can the time complexity for finding the 5, 6, 7-profiles be improved further, perhaps by utilising techniques along the lines of Section 4? | Counting Permutation Patterns with Multidimensional Trees
1653 Moreover, it is unknown whether minimal cyclic rotation queries can be implemented efficiently in the packed model. | Counting Distinct Square Substrings in Sublinear Time
1688 We leave open the existence of polynomial-delay algorithms for Dom-Enum and TDom- Enum in bipartite graphs, and for CDom-Enum in chordal bipartite graphs. | Enumerating Minimal Dominating Sets and Variants in Chordal Bipartite Graphs
1710 We leave it open whether a subcubic algorithm for Boolean-OMv would imply subcubic OMv algorithms for, e.g., the counting variants of the equality and dominance […] | Non-Boolean OMv: One More Reason to Believe Lower Bounds for Dynamic Problems
1980 Can broadcast with termination detection be achieved without solving exact counting? | Memory Lower Bounds and Impossibility Results for Anonymous Dynamic Broadcast
2010 We leave it as an open question to achieve an exponential lower bound on the permanent assuming the τ -conjecture. | Exponential Lower Bounds via Exponential Sums
2021 We leave it as an open question if it is possible to improve the asymptotic bound given by Theorem 6. | Matching (Multi)Cut: Algorithms, Complexity, and Enumeration
2084 We conjecture that in order to capture the NE concept in its generality, the reduction to 2.5-player games should feature concurrent actions to account for […] | Concurrent Stochastic Lossy Channel Games
