key,kind,title,authors,year,area,source_url,pdf_url,updates_url
cygan2015,book,Parameterized Algorithms,Marek Cygan; Fedor V. Fomin; Łukasz Kowalik; Daniel Lokshtanov; Dániel Marx; Marcin Pilipczuk; Michał Pilipczuk; Saket Saurabh,2015,Parameterized and exact algorithms,https://parameterized-algorithms.mimuw.edu.pl/,https://parameterized-algorithms.mimuw.edu.pl/parameterized-algorithms.pdf,https://parameterized-algorithms.mimuw.edu.pl/errata.html
vadhan2012,book,Pseudorandomness,Salil P. Vadhan,2012,Pseudorandomness and derandomization,https://people.seas.harvard.edu/~salil/pseudorandomness/,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf,
jukna2012,book_draft,Boolean Function Complexity: Advances and Frontiers (author's early draft),Stasys Jukna,2012,Computational and circuit complexity,https://web.vu.lt/mif/s.jukna/boolean/index.html,https://web.vu.lt/mif/s.jukna/boolean/bool-V7.pdf,https://web.vu.lt/mif/s.jukna/boolean/misprints-BFC.html
juknasergeev2013,monograph,Complexity of Linear Boolean Operators,Stasys Jukna; Igor Sergeev,2013,Computational and circuit complexity,https://web.vu.lt/mif/s.jukna/Knizka/index.html,https://web.vu.lt/mif/s.jukna/Knizka/linear.pdf,https://web.vu.lt/mif/s.jukna/Knizka/index.html
goldreich2017,book_draft,Introduction to Property Testing (April 2017 manuscript),Oded Goldreich,2017,Property testing and distribution learning,https://www.wisdom.weizmann.ac.il/~oded/pt-intro.html,https://www.wisdom.weizmann.ac.il/~oded/PDF/pt-v3.pdf,https://www.wisdom.weizmann.ac.il/~oded/pt-intro.html
raoyehudayoff,book_draft,Communication Complexity (author manuscript),Anup Rao; Amir Yehudayoff,2020,Communication complexity,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf,https://yehudayoff.net.technion.ac.il/files/2016/03/book.pdf,
pitassitzameret2016,survey,"Algebraic Proof Complexity: Progress, Frontiers and Challenges",Toniann Pitassi; Iddo Tzameret,2016,Proof complexity and logic,https://eccc.weizmann.ac.il/report/2016/101/,https://www.doc.ic.ac.uk/~itzamere/siglog.pdf,
oliveira2025,survey,Meta-Mathematics of Computational Complexity Theory,Igor C. Oliveira,2025,Proof complexity and logic,https://arxiv.org/abs/2504.04416,https://arxiv.org/pdf/2504.04416,
etr2024,survey,The Existential Theory of the Reals as a Complexity Class: A Compendium,,2024,Existential theory of the reals,https://arxiv.org/abs/2407.18006,https://arxiv.org/pdf/2407.18006,
edgemod2020,survey,A survey of parameterized algorithms and the complexity of edge modification,,2020,Parameterized and exact algorithms,https://arxiv.org/abs/2001.06867,https://arxiv.org/pdf/2001.06867,
scheduling2017,survey,Parameterized complexity of machine scheduling: 15 open problems,,2017,Scheduling and packing,https://arxiv.org/abs/1709.01670,https://arxiv.org/pdf/1709.01670,
