TCS-6498	Are splay trees dynamically optimal?	Splay trees are almost dynamically optimal
TCS-6510	Can exact weighted all-pairs shortest paths be computed in truly subcubic time?	Subcubic Equivalences between Path, Matrix and Triangle Problems
TCS-6503	The online Boolean matrix–vector multiplication conjecture	Unifying and Strengthening Hardness for Dynamic Problems via the Online Matrix-Vector Multiplication Conjecture
TCS-6511	Is Exact Matching on general graphs in deterministic polynomial time?	Exact Matching: Algorithms and Related Problems
TCS-0590	Hill’s formula for complete-graph crossing numbers	SIGACT Open Problems Column
TCS-0595	Computing disjoint paths	Graph Colouring: from Structure to Algorithms
TCS-0611	Bipartite Exact Matching: deterministic polynomial time	Exact Matching: Algorithms and Related Problems
TCS-6508	Do splay trees support deque operations in constant amortized time?	Splay Trees, Davenport-Schinzel Sequences, and the Deque Conjecture
TCS-0474	Can pointer-machine working-set heaps have constant amortized insertion and decrease-key?	Adaptive and Scalable Data Structures (Dagstuhl Seminar 25191)
TCS-0589	Finding H-Induced Minors	Vertex Partitioning in Graphs: From Structure to Algorithms
TCS-6512	Does splaying every BST preorder take linear total time?	Splaying Preorders and Postorders
TCS-6509	Does recursively splitting a splay tree always take linear total time?	Splay trees are almost dynamically optimal
TCS-0594	Colouring Graphs of Bounded Diameter	Graph Colouring: from Structure to Algorithms
TCS-1141	Can reachability diameter be approximated within a constant in near-linear time?	Revisiting Diameter in Directed Graphs
TCS-0477	Can the final survivors of an offline heap sequence be found with linear comparisons?	Scalable Data Structures (Dagstuhl Seminar 21071)
TCS-0479	Can an acyclic subgraph preserve a constant fraction of the optimal reachable pairs?	Data Structures and Advanced Models of Computation on Big Data (Dagstuhl Seminar 16101)
TCS-0585	Hardness/tractability radius of Hamiltonian Cycle	Solving Problems on Graphs: From Structure to Algorithms
TCS-0475	Does ordinary median-of-medians selection with groups of three run in linear time?	Adaptive and Scalable Data Structures (Dagstuhl Seminar 25191)
TCS-0612	Order-based labels for directed reachability	Antoine Amarilli: research questions
TCS-6514	Do pure pairing heaps support O(log log n) amortized decrease-key?	Pure Pairing Heaps
TCS-0480	Does the expected redundancy of optimal alphabetic trees with random weights converge?	Data Structures and Advanced Models of Computation on Big Data (Dagstuhl Seminar 16101)
TCS-0596	Odd cycle transversal in P5 -free graphs	Graph Colouring: from Structure to Algorithms
TCS-0598	Precoloring extension of graphs	Graph Colouring: from Structure to Algorithms
TCS-1468	Can four-sided skyline reporting match ordinary range reporting?	New Results on Three-Sided Skyline Range Counting and Reporting
TCS-6502	Can lazy B-tree priority queues keep their I/O bounds with stable handles?	Towards Lazy B-Trees, revised version with erratum
TCS-0471	Reporting object intersections inside half-plane queries	Adaptive and Scalable Data Structures
TCS-0576	A spectral bound on the $k$-token graph of G	TCS Open Problems
TCS-0577	Complexity of four-coloring with one crossing	SIGACT Open Problems Column
TCS-0578	Crossing threshold for four-coloring hardness	SIGACT Open Problems Column
TCS-0591	k-Community	Vertex Partitioning in Graphs: From Structure to Algorithms
TCS-0600	Best strategy to catch the drunk robber	Theory and Applications of Graph Searching Problems (GRASTA 2011)
TCS-0601	Computing edge and nodes search numbers on special graph classes	Theory and Applications of Graph Searching Problems (GRASTA 2011)
TCS-0602	Connected node search number	Theory and Applications of Graph Searching Problems (GRASTA 2011)
TCS-0605	Escaping from random cops	Theory and Applications of Graph Searching Problems (GRASTA 2011)
TCS-0607	Optimal randomized ray-search strategies without order restrictions	Theory and Applications of Graph Searching Problems (GRASTA 2011)
TCS-0613	Regular-language constrained linear extensions	Antoine Amarilli: research questions
TCS-1000	Degenerate and slowly evolving dynamic networks	Temporal Graphs: Structure, Algorithms, Applications
TCS-1002	Temporal communities, multistage meta-theorems and burstiness	Temporal Graphs: Structure, Algorithms, Applications
TCS-1003	Temporal matching in O ∗ (2n ) FPT time?	Temporal Graphs: Structure, Algorithms, Applications
TCS-1142	Can we remove the term |{(u, v) : D[u, v] ̸= d(u, v)}| from the definition of the prediction error η?	Warm-Starting All-Pairs Shortest Paths with Predictions
TCS-1147	Can one obtain deterministic algorithms for 2-DSP and Min-2-DSP, which match the time bounds guaranteed by the current fastest randomized algorithms?	Efficient Algorithms for the Disjoint Shortest Paths Problem and Its Extensions
TCS-1152	Is Upper Clique Transversal polynomial-time solvable on permutation graphs or, more generally, on graphs of (linear) mim-width 1?	Upper Clique Transversal on Interval Graphs and Beyond
TCS-1153	For a given temporal graph G, how to compute the minimum number of time-labels to be modified in order to obtain a comparability temporal graph?	Extending Ghouila-Houri’s Characterization of Comparability Graphs to Temporal Graphs
TCS-1154	Is there an algorithm that solves Face Cover in 2O( k) time, where k is the face cover number?	A Polynomial Kernel for Face Cover on Non-Embedded Planar Graphs
TCS-1174	If yes, can f be polynomial?	A Polynomial Bound on the Pathwidth of Graphs Edge-Coverable by k Shortest Paths
TCS-1178	Does the membership problem exhibit a qAC0 vs. NL-complete dichotomy?	Efficient Compression in Semigroups
TCS-1183	– Series-parallel graphs Theorem 7 Negative examples – Same rotation system – Different rotation systems, Theorem 11 all implementing embeddings	Rerouting Curves on Surfaces
TCS-1184	A natural question that remains open is the cut-off: if there is a number n such that we cannot synchronize almost surely n tokens, how […]	Optimally Controlling a Random Population
TCS-1185	Is there an algorithm that, given a digraph D, decides whether sinv⩽p 1 (D) ⩽ 1 holds in time f (p) · nO(1) for some […]	Increasing Arc-Connectivity by Bounded- and Fixed-Size Inversions
TCS-1208	We leave the open problem, whether the antichain case can also be generalized to all k > 3.	Maximum Coverage k-Antichains and Chains: A Greedy Approach
TCS-1232	It is an open question whether WST can be updated in O(log n) worst-case time per insert or delete operation.	Weak Binary Search Trees
TCS-1246	The class of Eulerian digraphs is well-quasi-ordered by weak immersion.	Well-Quasi-Ordering Eulerian Digraphs: Bounded Carving Width
TCS-1251	Although there is an output-sensitive algorithm for listing triangles [6], it remains open whether it can be extended to arbitrary cyclic queries.	Output-Sensitive Evaluation of Acyclic Conjunctive Regular Path Queries
TCS-1265	Can a 2-edge-connected outerplane graph be augmented to 3-edge-connectivity in near-linear or better time?	Connectivity Augmentation of Plane Graphs
TCS-1278	Every 2-CNF formula φ on n variables has a 2-CNF encoding φ′ such 2 that |φ′ | ≤ ( 41 + o(1)) lgn n .	Automated Reencoding Meets Graph Theory
TCS-1292	It is unknown whether there exists a deterministic algorithm to reconstruct bounded-degree graphs in o(n2 ) queries.	Cutwidth Versus BFS-Width with Applications to Graph Reconstruction from Distance Queries
TCS-1307	However, understanding whether κT is large only for “pathological” constructions remains an open question.	Limitations of SGD for Multi-Index Models Beyond Statistical Queries
TCS-1317	Extending the theory to values of α close to 0 remains an open problem.	CONVERGENCE RATES FOR DISTRIBUTION MATCHING WITH SLICED OPTIMAL TRANSPORT
TCS-1322	If p = ω(1/ n) is at most 1/2 and G ∼ G(n, p) or G ∼ G(n, 1 − p), then √ G is […]	Almost All Graphs Are Vertex-Minor Universal
TCS-1338	For a set system S Ď 2rms , weights w : rms Ñ Rě0 and ϵ ą 0, there exists a p1 ˘ ϵq sparsifier […]	Multiplicative Error Set System Sparsification: A Simpler Proof via Chain Length Contraction
TCS-1345	It should be mentioned that for general A and B, it is unknown whether the relation A ▷ B (or, equivalently, the existence of a […]	Generalized Snarks, Disjoint Perfect Matchings, and Graph Covers
TCS-1346	The expressive power of order-invariant cluster FO on more general classes is also of interest; we conjecture that the same upper bound can be shown […]	Order-Invariant Cluster First-Order Logic on Graph Classes of Bounded Degree
TCS-1347	As a consequence, it remains open whether a label correcting algorithm can guarantee termination within a predefined number of iterations in general while still identifying […]	Label Correcting Algorithms for the Multiobjective Temporal Shortest Path Problem
TCS-1348	We leave open whether the TIM width of a temporal graph is computable in polynomial time, but are optimistic that choosing the grouping of vertices […]	Families of Tractable Problems with Respect to Vertex-Interval-Membership Width and Its Generalisations
TCS-1373	Generalizing our algorithmic results to this min-variant is non-trivial and remains open.	Revisiting Graph Modification via Disk Scaling: From One Radius to Interval-Based Radii
TCS-1379	While this update time is close to the conjectured lower bound, several directions remain open for future investigation.	Near-Optimal Dynamic Data Structures for Maximum Depth and Klee’s Measure of Boxes
TCS-1390	This appears extremely difficult, if not impossible, so we leave this as an open problem.	Constructing Incompatibility Graphs of Pairs of Trees in Optimal Output-Sensitive Time
TCS-1408	Are there other natural classes that admit fixed parameter algorithms?	Maximizing Reachability via Shifting of Temporal Paths
TCS-1412	Are there efficient algorithms for special cases?	Hardness of Multi-Agent Path Finding on Trees: A Unified Approach
TCS-1415	In particular, can Corollary 4.2 be generalized to wider interesting graph classes?	Conflict-Free Coloring Planar Graphs with 4 Colors
TCS-1418	Can we design a data structure of size 2 o(n ) that provides a good approximation for the shortest path under three faults?	Approximate Single Source Dual Fault Tolerant Distance Oracle
TCS-1422	Do polynomial-time algorithms exist for planar graphs?	Nemesis, an Escape Game in Graphs
TCS-1425	Can one achieve the conditionally optimal update time O(k 2 )?	Connectivity Oracle Under Vertex Failures by Shortcutting Unbreakable Decomposition
TCS-1430	Which Reasoning Principle is Best?	Persistent Amortised Analysis, Operationally
TCS-1447	A related question is the following: given a graph G, what is the maximal k such that G contains a k + -branching spanning tree?	Burning Graph Powers and Branching Trees
TCS-1451	For example, can STGR be solved in polynomial time on planar graphs?	Brief Announcement: Revisiting the Realizability of Periodic Temporal Graphs with Bounded Stretch
