1439 What is the smallest Single-Step cycle that can directly simulate general computation? | General Computation Using Slidable Tiles with Deterministic Global Forces
1926 In general, computable analysis allows us to ask and answer questions of this form: if we are given a certain (limited) amount of information about […] | Deciding Robust Instances of an Escape Problem for Dynamical Systems in Euclidean Space
2185 Given n players and k rounds, what’s the highest someone may be rated after all games have finished? | Achieving the Highest Possible Elo Rating
2231 In particular, can we recognize the upper 𝐻-free switching class in polynomial time when 𝐻 is 𝐶4 , 𝐾4 , or diamond? | Switching Classes: Characterization and Computation
2403 We conjecture that unary diameter is ΠP2 -complete for input instances (A, k), where A generates the full symmetric group Sn . | On the Complexity of Diameter and Related Problems in Permutation Groups
3684 We stress that, unlike in Theorem 3.1, here we do not know whether a %-strong canonical PCP with arbitrary % for S implies that S […] | Every Set in P Is Strongly Testable Under a Suitable Encoding
3853 We leave it as an open question whether there exists a simple construction admitting both direct product testability and distance amplification. | Towards a General Direct Product Testing Theorem
4066 Could this be lowered to O(1) tile types by calibrating the temperature and glue strengths, or is there some super-constant lower bound that cannot be […] | Self-Assembly of Any Shape with Constant Tile Types using High Temperature
4199 What is the exact complexity of RotC-Transformability? | On the Transformation Capability of Feasible Mechanisms for Programmable Matter
4228 However, the upper bound no longer works; while taking a difference, what is ∞ − ∞? | Computing the Maximum using (min, +) Formulas
4229 Is a faster algorithm for r = 1 possible? | Being Even Slightly Shallow Makes Life Hard
4232 Can we separate the notion of elimination from weak regularity, and weak regularity from regularity? | Lower Bounds for Elimination via Weak Regularity
4277 There is one obvious question which we leave open: what is the high score? | Building a Better Mouse Maze
4589 We conjecture that results in the line of the second parts of our theorems (and similar proofs) hold also for general literal morphisms. | Testing Generalised Freeness of Words
4591 Can the dependence on r be improved? | The Power of Super-logarithmic Number of Players
4636 Further if F[<] is decidable, does it imply that F[<, MOD] is also decidable? | Two-variable first order logic with modular predicates over words
4640 The problem: does the sequence beginning with x0 reach a given value y? | Mortality of Iterated Piecewise Affine Functions over the Integers: Decidability and Complexity (Extended Abstract)
4688 If not, does such a quotient qW exists for each regular (non-observable) winning condition W separately? | A Perfect-Information Construction for Coordination in Games
5897 Building Squares with Optimal State Complexity in Restricted Active Self-Assembly — Unresolved-question passage on page 16 / While we show optimal bounds can be achieved without cooperative binding, can we simulate so-called zig-zag aTAM systems? | Building Squares with Optimal State Complexity in Restricted Active Self-Assembly
6134 Lower Bounds for Elimination via Weak Regularity — Unresolved-question passage on page 12 / Is there a function f which is weakly-regular but not regular? | Lower Bounds for Elimination via Weak Regularity
6229 Searching for Regularity in Bounded Functions — Explicit open question on PDF page 3 / However there is a noticeable gap between the two results, and we conjecture that Lemma 27 is closer to being tight, and that Theorem 1 […] | Searching for Regularity in Bounded Functions
6420 Constant Degree Direct Product Testers with Small Soundness — Unresolved-question passage on page 5 / 3 The cones method also requires sufficient good transitive symmetry from the complex, which holds for free in the case of the spherical buildings we […] | Constant Degree Direct Product Testers with Small Soundness
