id	type	confidence	reason	retain_ids	condition
TCS-6418	later_result	high	The saved 2011 target asks for simultaneous near-optimal time and message complexity for distributed MST. Pandurangan, Robinson and Scquizzato give precisely these randomized bounds; this historical target should leave the open-problem pool.		The result permits Las Vegas randomization. Do not reinterpret the old card as a new deterministic target.
TCS-3347	later_result	high	The 2020 source leaves conditional-independence implication undecided. Li's later undecidability theorem covers finite-support random variables with unrestricted alphabet sizes, so the standard historical question has an answer.		A separately specified fixed-alphabet or other restricted complexity problem would need its own assessment; the theorem is not about unconditional Shannon inequalities.
TCS-6737	later_result	high	Kumar, Seshadhri and Stolman provide a tester with polynomial dependence on degree and inverse proximity for each fixed minor-closed property. This answers the historical polynomial-query target.		The theorem permits two-sided error and property-dependent constants. A one-sided tester is a different target, not an implicit replacement.
TCS-3114	later_result	high	Blanchard's COLT 2022 result explicitly closes the COLT 2021 universal-online-learning questions, including weak and strong learning on general spaces. The card still extracts the earlier unresolved case.	TCS-2654	The solved target uses deterministic target functions. Preserve the distinction from TCS-2654, which permits arbitrarily dependent responses.
TCS-0054	duplicate	high	This is another entry for the same Bhaskara–Charikar–Moitra–Vijayaraghavan tensor-decomposition open-problem paper and its uniqueness-threshold target. Keep the question once under the more specific Kruskal-threshold entry.	TCS-4949	Transfer any unique provenance and preserve the precise robustness and computational-model requirements.
TCS-0691	duplicate	high	Its saved question is exactly the universal linear bound of recursive teaching dimension by VC dimension for finite classes. TCS-2339 already states that same inequality explicitly.	TCS-2339	Transfer the Simon–Zilles source; retain recursive teaching, rather than substituting non-clashing teaching or sample compression.
TCS-6007	duplicate	high	The saved summary identifies general explicit noncommutative circuit lower bounds, already represented by TCS-6890. The paper's restricted ABP and formula results provide context rather than a different selected target.	TCS-6890	Agree on the field and explicitness convention when developing the surviving general circuit question.
TCS-0133	consolidation	medium	Both this seminar entry and TCS-3863 target unconditional containment for finitely ambiguous probabilistic automata. Their shared numerical-comparison obstacle is a better single benchmark entry than two loosely specified occurrences.	TCS-3863	Compare pointwise probability containment, acceptance conventions and ambiguity bounds before merging; this is a proposed consolidation, not a certified equivalence.
TCS-0171	consolidation	medium	Word unification and the word-equation satisfiability entry cover the same basic string-substitution complexity question in their ordinary unconstrained reading. The extra general label has little independent selection value.	TCS-0163	First align constants, empty words and equation-system conventions. Do not merge additional regular or length constraints into the ordinary problem.
TCS-6953	consolidation	medium	This broad source question bundles worst-case hardness, average-case hardness, one-way functions and trapdoors. Several sharper active cards already separate those foundational implications; retain its source and missing branches within that cluster.	TCS-0022,TCS-6453,TCS-6545	Map every assumption and conclusion first. Infinitely-often one-wayness and public-key encryption are not automatically equivalent to all branches of the original trapdoor question.
