entry_key,source_id,source_title,source_year,kind,summary,locator,pdf_page,local_pdf_url,source_pdf_url,status
vadhan2012/01,vadhan2012,Pseudorandomness,2012,question,Does P=RP?,Open Problem 2.10,22,pdf/vadhan2012.pdf#page=22,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=22,as_presented_in_source; current_status_not_checked
vadhan2012/02,vadhan2012,Pseudorandomness,2012,question,Does P=BPP?,Open Problem 2.14,23,pdf/vadhan2012.pdf#page=23,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=23,as_presented_in_source; current_status_not_checked
vadhan2012/03,vadhan2012,Pseudorandomness,2012,question,"Which inclusions among P, ZPP, RP and BPP are strict?",Open Problem 2.17,24,pdf/vadhan2012.pdf#page=24,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=24,as_presented_in_source; current_status_not_checked
vadhan2012/04,vadhan2012,Pseudorandomness,2012,question,Deterministically approximate the number of satisfying DNF assignments in polynomial time.,Open Problems 2.36 and 7.32,34,pdf/vadhan2012.pdf#page=34,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=34,as_presented_in_source; current_status_not_checked
vadhan2012/05,vadhan2012,Pseudorandomness,2012,question,Do RL and BPL equal L?,Open Problem 2.47,38,pdf/vadhan2012.pdf#page=38,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=38,as_presented_in_source; current_status_not_checked
vadhan2012/06,vadhan2012,Pseudorandomness,2012,question,Place BPP in quasipolynomial or subexponential deterministic time.,Open Problem 3.4,55,pdf/vadhan2012.pdf#page=55,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=55,as_presented_in_source; current_status_not_checked
vadhan2012/07,vadhan2012,Pseudorandomness,2012,question,"Explicitly construct the universal determinant-evaluation points, ideally in NC, to derandomize perfect matching.",Open Problem 3.7,57,pdf/vadhan2012.pdf#page=57,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=57,as_presented_in_source; current_status_not_checked
vadhan2012/08,vadhan2012,Pseudorandomness,2012,question,Construct polynomial-length universal traversal sequences for arbitrary edge labelings.,Open Problems 3.9 and 4.48; p.124,57,pdf/vadhan2012.pdf#page=57,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=57,as_presented_in_source; current_status_not_checked
vadhan2012/09,vadhan2012,Pseudorandomness,2012,question,Construct averaging samplers simultaneously optimal in randomness and sample count.,Open Problem 4.24,104,pdf/vadhan2012.pdf#page=104,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=104,as_presented_in_source; current_status_not_checked
vadhan2012/10,vadhan2012,Pseudorandomness,2012,question,Give combinatorial constructions of Ramanujan or comparably strong constant-degree expanders.,Open Problem 4.42,119,pdf/vadhan2012.pdf#page=119,https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-published-Dec12.pdf#page=119,as_presented_in_source; current_status_not_checked
