# Individually selected removals; ranking and category size do not protect a card.
TCS-0477	The final-survivor problem for an offline heap sequence isolates one deliberately restricted output interface. Its comparison bound has less independent reach than the retained general sorting and data-structure barriers, despite its former focus position.
TCS-0585	The edge-edit sidestep radius for Hamiltonian Cycle optimizes an input-perturbation convention. The saved motivation does not establish consequences broad enough for the stricter collection.
TCS-0596	Odd Cycle Transversal on P5-free graphs fills one induced-path boundary between adjacent special graph classes. This isolated classification endpoint has insufficient independent breadth.
TCS-1163	The saved rectangle-cover question concerns coordinating rectangular patterns in a particular matrix-coding setting. It supplies no distinctive general approximation or representation barrier warranting a place in the smaller atlas.
TCS-1345	Deciding implication between graph-cover targets with loops, parallel edges and semi-edges studies a specialized structural relation. The saved consequences remain internal to that graph-cover framework.
TCS-1503	Adjacency detection through effective-resistance queries sharpens a local query task inside one graph-inference interface. Its separate importance is limited compared with general graph reconstruction and spectral inference questions.
TCS-7190	Replacing total codeword length by maximum codeword length in the short-uncompletable-word bound is a parameter refinement within finite-code combinatorics.
TCS-0139	The recovered cost-register-automata question seeks a decidable ordered subclass that retains minimum updates. This particular register-dependency restriction has insufficient demonstrated general consequences.
TCS-7307	Absolute unorderability under embeddings into arbitrary combinatory algebras is a specialized algebraic obstruction in lambda semantics. Its saved motivation is too remote from a broad computational or verification boundary for the smaller collection.
TCS-0590	The exact crossing formula for complete graphs is primarily an extremal counting target. Its benchmark role in drawing theory does not supply enough direct computational significance for this stricter TCS selection.
TCS-0679	The simultaneous conditional-information and empirical-loss guarantee for proper agnostic learners refines a particular information measure of already learnable VC classes. It has less independent scope than the retained learnability and sample-compression barriers, despite its former focus position.
TCS-1094	Formalizing a specified parity lower bound in PV1 is a theory-strength refinement of an established restricted-circuit result. The broader arithmetic separation and circuit-hardness questions remain represented.
TCS-1095	Formalizing the monotone-clique lower bound in PV1 is a second theorem-specific weak-arithmetic target. Its independent payoff is insufficient alongside broader proof-system and arithmetic separation questions.
TCS-0764	The proposal is a parameterized-approximation program for computing VC dimension, without a selected general learning consequence or one consequential approximation threshold.
TCS-0929	Feedback Arc Set with near-metric weights adds a specialized cost restriction to an existing optimization problem. The saved entry does not motivate an independently central tractability boundary for that restriction.
TCS-7173	Optimizing the expected running time of Shellsort over gap schedules concerns one fixed sorting architecture. The collection retains general sorting complexity instead of this method-specific asymptotic endpoint.
TCS-1381	The logarithmic stretch question simultaneously fixes exact marginals and rounded cardinality in hypersimplex correlated sampling. It is a specialized rounding tradeoff rather than a general sampling or discrepancy barrier.
TCS-2973	Domain sparsification from higher-order marginals of fractionally log-concave distributions extends one sampling framework. Its significance remains tied to that technique and its oracle assumptions.
TCS-0547	Enumeration across primal and dual representations is an umbrella program covering unspecified objects and dualities. It does not select a single consequential transfer theorem; concrete polytope and hypergraph enumeration questions remain eligible.
TCS-0551	Enumeration of vertex subsets with non-local properties is a research direction, rather than one independently motivated mathematical target. The smaller atlas cannot reserve a card for this umbrella topic.
TCS-0554	The inherited minimal-separator entry offers a topic-level enumeration objective without identifying a distinctive open barrier beyond the general enumeration questions retained elsewhere.
TCS-6502	Maintaining stable handles while preserving particular lazy-B-tree I/O bounds is an interface refinement of one priority-queue architecture. Its complete formulation does not make its scientific scope broad enough.
TCS-6512	Linear splaying cost for preorder access sequences is a restricted workload supporting the broader dynamic-optimality program. This additional splay-specific test does not warrant a separate place at the stricter threshold.
TCS-6509	Linear total cost for recursive splay splitting is an auxiliary decomposition conjecture within the same adaptive-tree program. Retain the broader dynamic-optimality challenge rather than several supporting workload conjectures.
TCS-1418	Moving a fault-tolerant distance oracle from two failures to three is a local extension of a specified oracle construction. The saved proposal does not establish an independent general robustness barrier.
TCS-0956	Succinct representations of graph functions groups several cut, flow and terminal interfaces into a research program. It does not select one sufficiently consequential separation between representations.
TCS-6451	Removing the remaining loss for selection through a Gaussian-only query interface is a restricted-mechanism accuracy refinement. It is lower priority than general privacy, learning and release limitations in the smaller collection.
TCS-6452	Optimal selection under a fixed Laplace-query accounting interface is another mechanism-specific accuracy target. The saved rationale does not justify its separate place at the stricter importance threshold.
TCS-7176	Exact pancake numbers optimize the diameter of one restricted permutation operation system. This classical puzzle-like extremal target has insufficient wider computational consequences for the smaller atlas, despite its former focus position.
TCS-7178	The gold-partition condition sharpens comparison balance through exactly two consecutive comparisons. The retained general balance question carries the main comparison-sorting motivation without this extra local variant.
TCS-7258	Polylogarithmic reconfiguration in the joint-movement amoebot model depends on a specialized mechanical motion convention. Its generality over shapes does not by itself establish broad TCS significance beyond that model.
TCS-7291	The planar halving-line bound is a specialized extremal endpoint within the k-set and level-complexity program already retained as TCS-0318. It does not receive a second card under the stricter independent-significance threshold.
TCS-1662	Recognizing blocking sets for restless exploration of vertex-permuted temporal graphs is an auxiliary algorithmic step inside a specialized temporal model.
TCS-2439	The host-by-host recognition dichotomy for H-intersection graphs is a specialized representation classification. Its saved consequences are narrower than the structural graph and general recognition barriers retained.
TCS-2483	The Cycle-Plus-Triangles subcase of constrained independent-set search fills one special configuration within a topological search framework. The saved entry does not establish a broader consequence for total search complexity.
TCS-2543	A cubic all-pairs bound for battery-constrained energetic paths with negative cycles improves one application-specific path model, rather than a general shortest-path barrier.
TCS-2691	The size-versus-stretch program for temporal cliques adds quantitative variants to the more basic temporal-spanner existence question. It lacks a separately selected consequential endpoint.
TCS-2975	Testing a fixed additive distance deterioration under connected spanning deletions is a specialized robustness refinement, rather than a general resilience or distance-computation barrier.
TCS-3195	Advancing linear-time component computation from four-edge to five-edge connectivity is a single small-parameter extension of a graph decomposition algorithm.
TCS-3545	Measuring the gap of the particular Guillotine lower bound evaluates one analytic proxy for optimal BST cost. The retained dynamic-optimality problem carries the broader adaptive-search question.
TCS-4441	The saved entry groups remaining forbidden-path and subdivided-claw cases of independent-set algorithms. This umbrella follow-up does not isolate a separate central target beyond retained structural tractability questions.
TCS-5949	Recognition of twin-width at most two or three fills two small parameter values. The general fixed-parameter approximation and structural complexity of twin-width remain represented.
TCS-5992	Sub-log-squared nondeterministic space for list coloring at treewidth two is a tightly restricted memory refinement following the tree case.
TCS-0134	The entry combines stronger unambiguous-Buchi state lower bounds with testing particular temporal formulas. The saved request is a representation-bound program without a separately chosen major barrier.
TCS-0143	Succinctness gaps involving good-for-games pushdown automata refine one history-resolved stack model and its conversions. Their independent breadth is insufficient for the smaller pool.
TCS-0105	Tree automata equipped with arbitrary subtree-comparison relations form an open-ended model-extension program covering several decision and closure questions.
TCS-0129	An internal-operation characterization of several register-automaton subclasses is a specialized algebraic classification of infinite-data languages, without enough wider computational consequences in the saved record.
TCS-0130	Recognizing the number of counters needed by unambiguous counter languages is a specialized storage-minimization hierarchy within one automaton model.
TCS-0152	Logical-class membership across several succinct automaton encodings is a collection of conversion-complexity questions. No single independently important target is selected.
TCS-0166	The request to characterize languages with polynomial-size length-specific DFAs supplies no selected structural characterization theorem. It is a nonuniform representation program rather than a fixed benchmark question.
TCS-0089	Designing a streaming machine model for polyregular functions asks for a preferred representation of an already defined class. Its model-design objective has insufficient independent scope under the stricter selection.
TCS-0091	Making every state of a polynomial automaton commutative is a specialized representation-normalization property, with consequences confined to that automaton framework.
TCS-0101	A matching complexity lower bound for recognizing guidable parity tree automata sharpens one specialized simulation predicate rather than a broad verification boundary.
TCS-0102	The equivalence of visible finite-token exploration and one randomized invisible token is confined to a particular safety-automaton game. Its saved consequences do not justify an independent place in the smaller collection.
TCS-0113	Eliminating right-endmarker transitions from prefix-monotone regular transducers is a syntax-normalization refinement of a known function class.
TCS-0148	Preservation of regular inverse images of every semilinear cost set is a specialized closure-recognition property of min-plus automata.
TCS-1536	The computational power of one-way cellular automata under one alpha-asynchronous update rule is a specialized timing-model frontier, without enough demonstrated consequences beyond that convention.
TCS-1582	Intersection and complementation closure for two-way one-counter nets are auxiliary language-class properties within one narrow machine model.
TCS-1832	Replacing a history-dependent parity resolver by a memoryless randomized resolver with exactly the same state count sharpens a specific automaton conversion.
TCS-1963	Dropping well-pointedness from categorical recognition of lambda-term languages tests one semantic representation hypothesis. Its saved motivation remains internal to that categorical recognition framework.
TCS-0634	Preserving Skolem hardness after imposing ergodicity on a Markov-chain encoding is a restricted-instance reduction refinement. The general Skolem and stochastic verification barriers remain represented.
TCS-0628	Making coverability-witness length linear in endpoint sizes while allowing arbitrary dependence on the VASS refines one witness-bound parameterization.
TCS-0639	The one-counter case of binary-bounded branching VASS fills a small-dimensional complexity endpoint in a compound counter model.
TCS-0620	Semilinearity of two-dimensional branching-VASS backward reachability is a specialized set-representation property supporting the broader reachability program.
TCS-0636	Universal coverability for sign-dependent orthant VAS adds a specialized transition convention and universal-start condition to counter reachability.
TCS-0565	Generalized reachability with target sets of size exactly two fills a single small-arity gap between neighboring game subclasses.
TCS-0873	Word-problem decidability for proper combinators below arity three is a restricted-combinator classification subordinate to broader equality and normalization questions.
TCS-0874	Seeking a nonterminating but nonlooping one-rule string system isolates one possible obstruction to termination certificates. The broader one-rule termination decision problem remains represented.
TCS-0876	Classifying two logical fragments of the one-step rewriting relation is a specialized meta-theory program, with insufficient independent consequences in the saved entry.
TCS-0886	Confluence of ordered rewriting conditional on decidability of its ordering theory is a technical interaction between two particular symbolic-reasoning mechanisms.
TCS-0894	The request to classify ground reducibility over equational theories is an open-ended combination-of-formalisms program without a single selected consequential target.
TCS-0902	NP-completeness of strong-sequentiality recognition for orthogonal systems refines the preprocessing complexity of a specialized evaluator property.
