0079 Nonbinary phylogenetic reconstruction parameterized by reticulation count | Algorithms and Complexity in Phylogenetics
0080 Orienting unrooted networks into tree-child or stack-free networks | Algorithms and Complexity in Phylogenetics
0081 Parameterized reconstruction from non-dense trinet sets | Algorithms and Complexity in Phylogenetics
0082 Polynomial-time trinet reconstruction of tree-child networks | Algorithms and Complexity in Phylogenetics
0083 Reconstructing low-level phylogenetic networks from trinets | Algorithms and Complexity in Phylogenetics
0084 Single-exponential reticulation algorithms for four binary trees | Algorithms and Complexity in Phylogenetics
0085 Temporal phylogenetic reconstruction parameterized by reticulations | Algorithms and Complexity in Phylogenetics
0086 Tree-child networks displaying three or more binary trees | Algorithms and Complexity in Phylogenetics
0087 Triplet reconstruction parameterized by network level | Algorithms and Complexity in Phylogenetics
0466R Can a supplied Karp–Rabin fingerprint be verified in near-linear time? | Adaptive and Scalable Data Structures — Detecting collisions in Karp-Rabin fingerprinting
0467R Can LZ77 random access use linear compressed space and logarithmic query time? | Adaptive and Scalable Data Structures — Two problems on Lempel-Ziv compression
0468R Can pattern matching run in linear time in the LZ77 input size? | Adaptive and Scalable Data Structures
0470R Can grammar random access use O(g log g) bits with logarithmic query time? | Adaptive and Scalable Data Structures (Dagstuhl Seminar 25191)
0827 Fixed Parameter Tractability of Protein Folding | Exploiting graph structure to cope with hard problems
1199 While v = o(z) for even Fibonacci words, it is unknown if v = O(z) in general. | Sensitivity of Repetitiveness Measures to String Reversal
1200 However, since 1 = i, we do not know how far to the left the run r goes within w. | Improved Bounds on the Sum of Exponents of Runs in a String
1214 Finally, are there other alternatives to measure ℓq that better describe the less compressible areas of S? | Incongruity-Sensitive Access to Highly Compressed Strings
1299 Additionally, the existence of a locked sequence for a given target represents an interesting problem, whose complexity remains open. | RNA Inverse Folding Under Stacked Base Pair Maximization
1301 Probably the most interesting theoretical problem we leave open is the existence, or non-existence, of an O(n)-time k-mer set union algorithm. | Fast Set Operations for Compact k-mer Sets
1327 For arbitrary alphabets, following Example 7 and Remark 23, we leave open the problem of characterizing words that have both a totally unclustered BWT and […] | Totally Unclustered BWT Images of Any Length over Non-Binary Alphabets
1328 Specifically, we leave open the problem of designing an algorithm running in time O n1.5−α for some α > 0 that finds all maximal palindromes […] | On Time-Memory Tradeoffs for Maximal Palindromes with Wildcards and k-Mismatches
1387 Narrowing this gap is an interesting problem, which we leave open for future research. | Relative Compressed Reverse Suffix Array
1402 Second, which kinds of graphs admit polynomial-size Wheelerizations with the same k-mer set? | Computing k-mers in Graphs
1403 Especially, can we construct it without explicitly computing array MEPal of O(n log n) bits? | Compact Representation of Maximal Palindromes
1464 What is the complexity of finding a parametric solution for a given constant-free equation on three variables? | An Improved Version of Hmelevskii’s Theorem on Three-Variable Word Equations
1475 First, can we push the density of constant-space 10-minimizers further down, while keeping the key-retrieval time on the same level? | 10-Minimizers: A Promising Class of Constant-Space Minimizers
1685 As such, we leave finding an efficient way to compute D and N as an open research question. | Estimation of Substitution and Indel Rates via k-mer Statistics
1702 The complexity gap between the two problems remains open; it may be an interesting challenge to study the complexity of analogous problems with inputs that […] | Doubly-Periodic String Comparison
1704 It remains an open problem if there exists a linear-time algorithm for pattern matching on iterative straight-line programs [25], which are a further extension of […] | Pattern Matching on Run-Length Grammar-Compressed Strings in Linear Time
