# mode | editorial family | IDs (star: first is the center; clique: every pair)
S | P versus NP and direct neighboring separations | 0001 0002 0016 0018 0021 6530 6532 6534 6832 6686 6979 7167 7321 6595
C | Nondeterministic circuit hardness | 0016 0021 3718
C | EXP circuit hardness and derandomization consequences | 0020 1021 1022 6168 6696
C | Deterministic and unambiguous logarithmic space | 0004 6533 6531 6817
C | Time-space reachability bounds | 6817 0293 6978
C | PSPACE and polynomial hierarchy | 6530 6532 7158
C | Bounded depth versus formulas and general circuits | 0019 0308 6712 6535
C | Formula lower bounds and composition | 0017 0305 0019
C | Explicit superlinear circuits and gate elimination | 0015 4412 5417
C | Linear Boolean circuit models | 1035 1039 1040
C | XOR asymmetry and separation | 1034 1036 1037
C | Negations in formulas and monotone functions | 1051 4466
C | Depth-three exponential lower bounds | 1052 1053 6091
C | Threshold circuits and derandomization | 1054 3958 6495 7161
C | Modular circuits | 1056 1131 6693
C | Monotone span programs and circuits | 6715 6716 1144
C | Parallel matching versus monotone matching | 6714 6717
C | DNNF representation and negation | 0306 7260 6681
C | Prime implicate and implicant compilation | 7129 7130 7131 7132
C | Deterministic compilation succinctness | 6681 7131 3873
C | Range avoidance | 2319 2644 4961
C | TFNP completeness and search classification | 4988 1494 3228
C | Tarski search classes | 2537 2681 3509
C | Continuous local search | 3509 7286
C | Pseudodeterministic function classes | 2029 4778 5328
C | Parity decision trees | 2434 5342
C | Direct sum and composition of query complexity | 3568 5342
C | Local sampling versus shallow circuits | 0295 2464 2914 5397 4716
C | Graph nonisomorphism certificates and randomness | 6747 6699
C | MCSP hardness | 4786 5312 5501 6168
C | MCSP circuit restrictions and gap hardness | 3743 4268 6091
C | Circuit minimization and obfuscation | 2532 4786
C | MKTP and randomized circuit minimization oracles | 3832 3962
C | Sorting and compaction circuits | 3205 7243
C | Reversible circuit and simulation overhead | 4219 7256
C | NP intersection coNP and ARRIVAL | 0018 6006
C | Doubly efficient interactive proofs | 0298 6455
C | Randomized classes and certificates | 1510 2331 3886
C | SAT time-space lower bounds | 0301 0302 0303 6934 6977
C | SAT uniform formula and threshold bounds | 0304 0305
C | Frege and Extended Frege | 0025 6601 6663 7163
C | Circuit hardness and Frege lower bounds | 0024 0021 0025
C | Frege subtheories | 0025 6602 5933
C | Short general propositional proofs | 0002 6601 7162
C | Optimal proof systems and disjoint pairs | 7162 7273 5292
C | Arithmetic independence of NP circuit bounds | 1096 1097 1098 1099
C | Provability of proof lower bounds | 1100 1098 6979
C | Resolution space decision complexity | 6759 6772
C | Resolution space-length tradeoffs | 2889 6764 6766 6768
C | Resolution width and space tradeoffs | 6767 4585 5275
C | Resolution and polynomial calculus space | 6765 6764
C | Cutting planes coefficients and space | 4528 5333 6770 3183
C | Cutting planes simulations | 3919 5114 1062
C | Polynomial calculus size and degree | 2380 3560 4187
C | Resolution extensions and lower bounds | 1253 5413 6771
C | Arithmetic proof complexity and algebraic circuits | 1905 5933
C | SETH and fast proof systems | 4539 6595
C | Deterministic and randomized SETH | 6595 6935 0562
C | SETH and nondeterministic MAX SAT | 0562 1161
C | SAT for richer circuits | 6949 7270 6595
C | OV and hitting set hypotheses | 6596 6599 6942
C | SETH lower-bound family | 6595 6596 0815 7179
C | 3SUM and hitting set reductions | 0557 0560 6599 6952
C | APSP and related shortest path hypotheses | 6510 6937 6940 3123
C | Comparison of central fine-grained hypotheses | 6946 6950 0557 6510
C | Clique time exponents | 6597 6661 6944 6945
C | Matrix-vector conjectures | 6503 5691
C | Deterministic randomized decision classes | 0003 6686 6832
C | Polynomial and subexponential derandomization | 0003 1005 1137
C | Promise derandomization | 0854 1021 5341
C | Logspace pseudorandomness | 0026 6600 1125 1132
C | Randomized logspace models | 0026 6139 5492
C | Cryptographic PRG black-box efficiency | 0855 0856 1136
C | Hardness to randomness seed efficiency | 1018 2663 1137
C | CNF pseudorandom generators | 1133 1134 1124
C | Small bias and polynomial tests | 1121 1122
C | Shallow-circuit pseudorandomness | 1019 1131 6693
C | Quadratic dispersers | 0051 4318
C | Seeded extraction parameters | 1014 1015 1016
C | Two-source extractors | 1566 7271
C | Lossless vertex expansion | 1008 1009 1013 6879
C | Expansion with symmetry | 4713 1009
C | Derandomizing AM | 1135 5144 5267 6699
C | Arithmetic hardness versus identity testing | 3222 5287 5618
C | Permanent determinant and arithmetic classes | 0005 6611 6612 6613
C | Arithmetic formulas versus circuits | 6888 6613 6882 0010
C | Univariate circuits and integer roots | 0009 6666 2010
C | Permanent lower bounds | 0005 2010 7269
C | Multilinear arithmetic models | 6883 6884 6893 7269
C | Noncommutative lower bounds | 6890 6007 5329
C | Noncommutative arithmetic models | 6890 3432 1424
C | Small depth arithmetic lower bounds | 2342 4551 6888
C | Factor closure in positive characteristic | 1101 1102 3318
C | Factorization and derandomization | 6614 2181 6914
C | Restricted arithmetic factor closure | 5173 1101 1102
C | Identity testing and arithmetic hardness | 7113 6897 5287 0005
C | Restricted identity testing | 7113 6898 6903
C | Identity testing hitting sets | 3178 5618 6898
C | Arithmetic lower bounds from learning | 6912 6897
C | Low characteristic hardness randomness | 5240 5287 1101
C | Explicit rank and rigidity lower bounds | 1058 5260 5571 3007
C | Tensor rank and subrank | 6895 7262 4866 2987
C | Tensor decomposition uniqueness | 0054 4949
C | Orbit closure algorithms | 1069 6493 1750
C | Fast arithmetic multiplication | 7174 7223
C | Addition chain complexity | 7170 7224
C | Arithmetic transformations | 6885 7175 0010
C | Exact permanent running time | 6616 0815 3076
C | Tropical and min-plus computation | 0046 0481 6598
C | Integer arithmetic sign complexity | 0055 5520 1562
C | Recurrence positivity and matrix powers | 0633 4490 6565
C | Rational recurrence collapse | 2447 5739
C | Semigroup membership classification | 1178 1544 4867
C | Group isomorphism and reductions | 6615 4202 6133
C | Graph embedding of groups | 3414 5269
C | One-relator word and conjugacy problems | 6641 6642 6677
C | Conjugacy algorithms for groups | 6642 6985
C | Automatic group decision problems | 2039 6401 6026
C | Algebraic satisfiability classification | 2667 2972 5603 5523
C | Word equation complexity | 0163 0171 3484 5314 7194
C | Word equations with additional constraints | 6562 0114 5697
C | Word equations length and size bounds | 6562 7194
C | Distributive unification | 7125 7126 0173
C | Compiled negation algorithms | 0306 7135 7260
C | Compiled equivalence algorithms | 6650 7134 0306
C | Logarithmic space and compressed word problems | 3317 4350
C | Shortest vector exact algorithms | 6619 7169 0652
C | Quantum versus classical lattice approximation | 6667 7234 7169
