1175	Index-based pivot rules with many memory states	Dolní mez je vázána na konkrétní paměťově omezenou rodinu pivotovacích pravidel; obecný polynomiální simplex zůstává hlavní otázkou.
1219	A 3/2-competitive incremental vertex cover on forests	Přesný faktor pro lesy a inkrementální vstup je úzká online varianta; hlavní obecné vertex-cover a online optimalizační bariéry mají přednost.
1267	Greedy packet forwarding on a line	Konstantní konkurenceschopnost jednoho greedy postupu při neomezené délce paketů je optimalita konkrétní heuristiky ve specifické síti.
1362	Conditions for efficient bilinear saddle-point solving	Hledá vhodné podmínky pro subrutinu swap-regret algoritmu, ale neurčuje konkrétní hlavní třídu ani mez.
1394	Optimality across FTPL perturbation schemes	Porovnává dosažitelné rychlosti uvnitř jedné algoritmické rodiny; obecný minimaxový regret má větší samostatný dosah.
1416	Adversarial min-prophet with few expected choices	Počet výběrů, adversariální pořadí a minimální prophet cíl vytvářejí velmi specifický kompromis online modelu.
1810	Online base packing without knowing f(N)	Rozšiřuje algoritmus po odstranění jedné předchozí informace; hlavní online matroidové a stromové balicí problémy mají přednost.
1919	Loopless metabolic flux analysis with enzyme constraints	Konkrétní biologický optimalizační model navíc ponechává předpoklady neurčené; nevymezuje hlavní obecnou optimalizační bariéru.
2086	Competitive bounds for a weighted-k-server subproblem	Pomocný dekompoziční model má nižší prioritu než samotný weighted k-server a rozdíl mezi náhodnými a deterministickými algoritmy.
2100	Self-concordance of log trace inverse	Analytická vlastnost jedné účelové funkce podporuje konkrétní metodu experimentálního návrhu; nejde o obecnou optimalizační hranici.
2338	Maximum entropy for Bayesian swap regret	Efektivní vyhodnocení konkrétní pomocné veličiny je subrutina jedné approachability metody; hlavní regretové bariéry mají přednost.
2362	The 2k-minus-one All-or-One paging ratio	Přesný faktor specifického modelu heterogenních cache slotů je užší než hlavní pagingové a k-server otázky.
2544	Beating 0.745 in non-iid threshold testing	Přenáší konkrétní aproximační práh do dalšího rozdělovacího režimu jedné semi-online prophet varianty.
2549	Rent minimization versus machine minimization	Rozlišení dvou nákladových cílů při jednotkových úlohách je úzká schedulingová varianta, nikoli hlavní online optimalizační bariéra.
2570	Lower bounds against partition-based secretary algorithms	Omezuje cíl na jednu rodinu kandidátních algoritmů; samotný matroid secretary problém má větší význam než eliminace konkrétní strategie.
2737	Exact completeness at level n of a coding LP hierarchy	Ověřuje přesnou sílu jedné navržené hierarchie; obecné dekódovací a LP-relaxační bariéry jsou zásadnější.
2751	Line search with unknown target direction	Přesné meze jedné pohybující se cílové konfigurace jsou modelová hledací otázka s omezeným širším dosahem.
2857	Dimension dependence of Thompson sampling for LQR	Ladí dimenzionální závislost jedné metody v konkrétním řídicím modelu; obecná efektivní adaptivní kontrola má přednost.
3174	Secretary matching without rankability	Rozšiřuje jeden probing-with-commitment model po odstranění strukturálního předpokladu; jde o navazující modelovou variantu.
3239	Structural obstacles to online domination	Neurčuje kandidátní charakterizaci ani cílový competitive ratio; jde o výzkumný program hledání překážek.
3387	Logarithmic regret for a reparameterized expert method	Otázka hodnotí konkrétní změnu parametrizace jedné metody, nikoli obecně dosažitelný regret.
3505	The 2k-plus-one k-server-with-delays ratio	Přidává prodlevy a přesný faktor k již zásadnímu k-server tématu; obecnou k-server domněnku ponechávám jako silnější prioritu.
3638	Optimal line chasing with memory	Přesná konkurenceschopnost v úzkém lineárním paměťovém modelu má menší dosah než hlavní convex-body chasing bariéra.
3663	Beta dependence of Thompson sampling on logistic bandits	Vyjasňuje jeden parametr analýzy konkrétního algoritmu; obecný optimální regret a adaptivita banditů jsou zásadnější.
3775	Diamond-cactus subgraphs via matroid parity	Jde o zachycení specifické grafové podstruktury jedním algoritmickým primitivem; hlavní matroidové problémy mají přednost.
3815	Optimality without knowing future resources	Hledá vhodné problémy a modely budoucích zdrojů bez jednoho konkrétního cíle; je to klasifikační program.
3893	Recognizing minimal Dantzig-Wolfe reformulations	Kontrola minimálnosti již vyřešené reformulace je technická optimalita jednoho modelovacího postupu.
4106	The meta-algorithm behind Physarum dynamics	Žádá obecné vysvětlení jedné dynamické metody; konkrétní konvergenční a LP-složitostní otázky jsou vhodnější samostatné problémy.
4377	AUSO outside a particular layering bound	Hledá příklad porušující technický vrstevnatostní odhad; obecná složitost optimalizace na unique-sink orientacích má přednost.
4487	Advice for weighted minASG	Přesná nápověda pro jednu abstraktní online úlohu je užší než obecné advice-complexity a prediction-augmented bariéry.
4852	Circuits of worst-case combinatorial resultant trees	Charakterizuje výstupy jedné algebraické eliminační konstrukce; hlavní resultantové a algebraické výpočetní otázky mají větší dosah.
4943	ALS overparameterization lower bounds — companion record	Jde o formulaci dolní meze uvnitř stejného COLT problému jako TCS-0038; další samostatné místo tématu nepřidávám.
5024	Polynomial-time recognition of instance optimizability	Konkrétní polynomiální cíl se týká stejného rozhodovacího problému jako TCS-3363; nepočítám ho jako další samostatnou otázku.
5049	A Lipschitz-normalization condition for piecewise optimization	Navrhuje příklad možného postačujícího předpokladu bez pevné domněnky; jde o hledání vhodného modelového zobecnění.
5051	MPH versus supermodular-width valuation classes	Jemné zahrnutí mezi odvozenými třídami valuací má menší dosah než hlavní optimalizační hranice submodularity a komplementarity.
5066	Littlestone-dimension regret — second record	Stejnou otázku optimálního regretu pro libovolnou třídu již obsahuje TCS-2336 ze stejného zdroje.
5080	Unknown-parameter heavy-tailed bandits — second record	Tentýž COLT problém již zastupuje TCS-0701; druhý import jeho formulace nepřidává další bariéru.
5185	Adaptive bandit regret without knowing change count	Stejný otevřený cíl neznámého počtu změn již obsahuje TCS-3690 ze stejného článku.
5300	Energy tradeoffs for constant-memory search robots	Kombinuje energetický kompromis, konstantní paměť a skupinové hledání na přímce; jde o velmi specifický robotický model.
5301	Constant-competitive online matching on the line	Stejný základní cíl bez recourse již obsahuje TCS-5158; další formulaci nepočítám jako nový problém.
5535	Contextual-bandit model selection — second record	Konkrétní formulace ze stejného otevřeného COLT problému doplňuje již ponechaný TCS-0711.
5552	Chosen-order versus random-arrival secretary with predictions	Porovnává dvě informační varianty již rozšířeného secretary modelu; obecné secretary bariéry mají větší prioritu.
5570	Physarum meta-algorithm — another program record	Opakuje požadavek vysvětlit meta-algoritmus z TCS-4106; oba záznamy vyřazuji jako neurčený metodický program, nikoli dvě domněnky.
5588	Linear-space optimal puppy-chasing strategies	Prostorový popis optimální strategie člověka a majáku na křivce je specifická geometrická hledací konstrukce.
5599	Conditions for positive geodesic exponential kernels	Žádá nějaké podmínky napříč několika parametry geometrie a dat; bez jedné vymezené rodiny a pravděpodobnostního cíle jde o program.
6136	Constant upper/lower gap for temporal-feedback regret	Stejnou konstantní mezeru mezi UB a ILB pro časové feedback grafy již formuluje TCS-2070.
6400	A modified haystack dimension for stochastic queries	Navrhuje upravit pomocnou dimenzi tak, aby lépe vystihovala informace; definice výsledné míry ani přesná charakterizace zatím nejsou zadány.
