category,category_name,rank_in_category,title,question,importance,sources,novelty_note
1,Approximation algorithms and hardness of approximation,1,Constant-factor approximation for Densest k-Subgraph,"Does a polynomial-time algorithm always find k vertices inducing at least OPT/C edges, for one universal constant C?",A central unresolved approximation barrier behind dense-subgraph optimization and many reductions.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITCS.2023.38,"TCS-1909 concerns ordinary densest subgraph in implicit geometric graphs, not the cardinality-constrained DkS problem."
1,Approximation algorithms and hardness of approximation,2,Polylogarithmic approximation for Directed Steiner Tree,"Is there a polynomial-time O(log^C k)-approximation, for some constant C, for connecting a root to k terminals in an arbitrary nonnegatively weighted directed graph?",The defining gap in directed network-design approximation.,https://arxiv.org/abs/2412.10744,"TCS-5442, TCS-5961 and TCS-5098 concern special graph classes or relaxations. Current v3 explicitly says the general problem remains unresolved; the earlier claimed solution was withdrawn."
1,Approximation algorithms and hardness of approximation,3,The 4/3 conjecture for the metric TSP subtour relaxation,"Is the supremum, over all finite symmetric metric TSP instances, of the optimal tour cost divided by the subtour-LP optimum exactly 4/3?",A central conjecture about the principal relaxation of one of the canonical optimization problems.,https://arxiv.org/abs/2607.01536,The 4/3 keyword matches concern other optimization problems; no metric-TSP integrality-gap question was found.
1,Approximation algorithms and hardness of approximation,4,The factor-2 integrality-gap conjecture for the ATSP subtour LP,"For every directed metric, is the minimum Hamiltonian-tour cost at most twice the optimum of the standard subtour-elimination linear program?",Would identify the fundamental relaxation gap for asymmetric travelling salesman.,https://epubs.siam.org/doi/10.1137/20M1339313,Distinct from the undirected 4/3 conjecture; these are the two classical TSP relaxation barriers.
1,Approximation algorithms and hardness of approximation,5,Constant-factor approximation for Directed Feedback Vertex Set,Does a polynomial-time constant-factor approximation exist for minimum-weight directed feedback vertex set in arbitrary directed graphs?,A defining approximation problem for directed cycle hitting.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.STACS.2016.55,"TCS-6379 asks for a polynomial kernel, which is a different computational target; final search must also exclude another approximation record."
2,Parameterized and exact algorithms,1,FPT versus W[1],Is there a computable f and a constant c such that k-Clique can be decided in f(k)n^c time?,The defining tractability-versus-intractability question of parameterized complexity.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.MFCS.2018.73,"Existing FPT/W[1] matches concern particular problems or deriving PIH from the class separation, not the separation itself."
2,Parameterized and exact algorithms,2,The Exponential Time Hypothesis,Is there c>0 such that no deterministic algorithm solves all 3-CNF satisfiability instances with n variables and m clauses in 2^{cn}poly(n+m) time?,"The principal hypothesis distinguishing polynomial, subexponential and genuinely exponential exact computation.",https://epubs.siam.org/doi/10.1137/1.9781611977554.ch124,"Existing ETH matches use it as an assumption for a different question. ETH is distinct from SETH, which concerns the limiting exponential base across clause widths."
2,Parameterized and exact algorithms,3,The Set Cover Conjecture,"For every epsilon>0, does some fixed d make it impossible to solve d-Set Cover on an n-element universe in (2-epsilon)^n poly(n) time?",One of the few central exact-algorithm barriers not simply interchangeable with SAT hypotheses.,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ICALP.2024.34,"The formulation is for bounded set size, quantified after epsilon; it is not a parameterized approximation or an online geometric variant."
3,Fine-grained complexity,1,The Strong Exponential Time Hypothesis,"For every epsilon>0, is there a fixed k for which k-SAT has no deterministic (2-epsilon)^n poly(n+m)-time algorithm?",A central organizing hypothesis for tight running-time lower bounds throughout algorithms.,https://epubs.siam.org/doi/10.1137/1.9781611977554.ch124,"Existing entries ask about consequences, reductions, NSETH, or relations to other problems, not the main SETH statement."
3,Fine-grained complexity,2,The Orthogonal Vectors Hypothesis,"Is it true that for every epsilon>0 there is a constant c such that no randomized bounded-error word-RAM algorithm decides whether two n-element sets in {0,1}^{c log n} contain an orthogonal pair in O(n^{2-epsilon}) time?","One of the central foundations for conditional lower bounds for strings, geometry and data structures.",https://arxiv.org/abs/1909.11068,TCS-6094 concerns restricted computational models; the proposed target is unrestricted word-RAM complexity.
