title,source_url,reason,solution_url
23.5 Linear loop synthesis: When d variables are not enough.,https://automata.exchange/23.05-linear-loop-synthesis/,Duplicate of Automata Exchange 23.8.,
20.6 Branching Immediate Observation nets,https://automata.exchange/20.06-bio/,"Broad application agenda, not a sufficiently specific open mathematical problem.",
Problem 10: Multi-Round Communication of Gap-Hamming Distance,https://sublinear.info/index.php?title=Open_Problems:10,Resolved in the source update (Chakrabarti–Regev).,
Problem 23: Approximate 2D Width,https://sublinear.info/index.php?title=Open_Problems:23,Resolved in the source update (Andoni–Nguyen).,
Problem 25: Communication Complexity and Metric Spaces,https://sublinear.info/index.php?title=Open_Problems:25,The implication is settled positively for norms and negatively for general metrics in the source update.,
Problem 29: Strong Lower Bounds for Graph Problems,https://sublinear.info/index.php?title=Open_Problems:29,The source update supplies the requested multipass lower bounds.,
Problem 31: Gap-Hamming Information Cost,https://sublinear.info/index.php?title=Open_Problems:31,Linear information lower bound supplied in the source update.,
Problem 38: Query Complexity of Local Partitioning Oracles,https://sublinear.info/index.php?title=Open_Problems:38,Polynomial-query partition oracles were subsequently obtained; stale formulation excluded.,
Problem 39: Approximating Maximum Matching Size,https://sublinear.info/index.php?title=Open_Problems:39,Source update explicitly reports a negative resolution (FOCS 2023).,
Problem 40: Testing Monotonicity and the Lipschitz Property,https://sublinear.info/index.php?title=Open_Problems:40,Source update explicitly reports a positive resolution.,
Problem 47: Annotated Streaming,https://sublinear.info/index.php?title=Open_Problems:47,Source update reports an affirmative answer (Thaler).,
Problem 54: Faster JL Dimensionality Reduction,https://sublinear.info/index.php?title=Open_Problems:54,Later fast Johnson–Lindenstrauss results supersede this old target; excluded pending exact comparison.,
Problem 60: Single-Pass Unweighted Matchings,https://sublinear.info/index.php?title=Open_Problems:60,The one-pass cardinality approximation barrier was resolved in 2026; remaining variants need separate formulations.,https://arxiv.org/abs/2607.14656
Problem 64: Matchings in the Turnstile Model,https://sublinear.info/index.php?title=Open_Problems:64,Turnstile matching lower bounds and algorithms have since changed substantially; excluded pending exact comparison.,
Problem 65: Communication Complexity of Connectivity,https://sublinear.info/index.php?title=Open_Problems:65,"Source update reports a resolution (Yu, 2021).",
Problem 67: Difficult Instance for Max-Cut in the Streaming Model,https://sublinear.info/index.php?title=Open_Problems:67,Streaming Max-Cut hard-instance question has since had substantial resolutions; excluded pending exact comparison.,
Problem 100: Effective Support Size Estimation in the Dual Model,https://sublinear.info/index.php?title=Open_Problems:100,"Source update reports a resolution (Narayanan–Tětek, 2022).",
Binary Space Partition Size (Problem 14),https://topp.openproblem.net/p14,"Source status: Solved by Csaba Tóth [Tót09] , [Tót11] . ",
Pushing Disks Together (Problem 18),https://topp.openproblem.net/p18,Source status: Solved by K. Bezdek and R. Connelly. See . (Update as of 3 Aug. 2000.) ,
Dynamic Planar Convex Hull (Problem 12),https://topp.openproblem.net/p12,Source status: Solved (in a certain sense) by Gerth Brodal and Riko Jacob in a FOCS 2002 paper [BJ02] . See also Jacob’s PhD thesis [Jac02] for further details. Their data structure supports insertions and deletions in O(\log n) amorti,
Inplace Convex Hull of a Simple Polygonal Chain (Problem 36),https://topp.openproblem.net/p36,Source status: Solved [BC04] . ,
Stretch-Factor for Points in Convex Position (Problem 71),https://topp.openproblem.net/p71,Source status: Now closed: false. [This entry awaiting updating.] ,
Voronoi Diagram of Moving Points (Problem 2),https://topp.openproblem.net/p2,"Source status: Long conjectured to be nearly quadratic. Solved now: [Rub15] . Natan Rubin proved an upper bound of O(n^{2+\epsilon}) , and a quadratic lower bound is known. ",
Yao-Yao Graph a Spanner? (Problem 70),https://topp.openproblem.net/p70,The general Yao–Yao spanner question has subsequent resolutions; old unspecific formulation excluded.,
Isoceles Planar Graph Drawing (Problem 69),https://topp.openproblem.net/p69,Source status: Settled negatively in 2010: [Fra10] . ,
Linear-Volume 3D Grid Drawings of Planar Graphs (Problem 51),https://topp.openproblem.net/p51,Linear-volume 3D grid drawings follow from subsequent bounded queue-number results.,
Queue-Number of Planar Graphs (Problem 52),https://topp.openproblem.net/p52,"Planar graphs have bounded queue-number (Dujmović et al., 2020).",
Minimum-Turn Cycle Cover in Planar Grid Graphs (Problem 53),https://topp.openproblem.net/p53,Source status: Solved: proved NP-hard by Fekete and Krupke [FK19] ,
Hexahedral Meshing (Problem 27),https://topp.openproblem.net/p27,"Source status: Partially closed, Fall 2006. ",
Bounded-Degree Minimum Euclidean Spanning Tree (Problem 48),https://topp.openproblem.net/p48,Source status: Solved: Proved NP-hard in [FH09] . ,
Freeze-Tag: Optimal Strategies for Awakening a Swarm of Robots (Problem 35),https://topp.openproblem.net/p35,The cited NP-hardness question was subsequently resolved; extensions need separate statements.,
Packing Unit Squares in a Simple Polygon (Problem 56),https://topp.openproblem.net/p56,Source status: Solved: proved NP-hard by Abrahamsen and Stade [AS24] . ,
Bar-Magnet Polyhedra (Problem 32),https://topp.openproblem.net/p32,"Source status: Settled by Bojan Mohar, Apr. 2004. ",
Pointed Spanning Trees in Triangulations (Problem 50),https://topp.openproblem.net/p50,"Source status: Settled negatively, January 2004. ",
Magic Configurations (Problem 65),https://topp.openproblem.net/p65,"Source status: Settled positively, 2007: [ABK+08] ",
Hinged Dissections (Problem 47),https://topp.openproblem.net/p47,Source status: Now settled: Hinged dissections exist [AAC+08] . Update to this entry soon. ,
Shortest Paths among Obstacles in 2D (Problem 21),https://topp.openproblem.net/p21,"Source status: Solved by Haitao Wang [Wan23] , who gives an optimal O(n + h \log h) time and O(n) space algorithm. ",
Minimum Stabbing Spanning Tree (Problem 20),https://topp.openproblem.net/p20,"Source status: Solved, October 2003: the problem is NP-complete. Significant advance on approximability in 2009. ",
Minimum Weight Triangulation (Problem 1),https://topp.openproblem.net/p1,"Source status: Just solved by Wolfgang Mulzer and Günter Rote, January 2006! http://arxiv.org/abs/cs.CG/0601002 . Entry to be updated later... This problem is one of the few from Garey and Johnson [GJ79] , p. 288 whose complexity statu",
Investigate the properties of spectri for special classes of rewrite systems.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/2.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
[Solved] What is the complexity of deciding ground-reducibility?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/3.html,Marked solved in the RTA source.,
[Solved] Is it decidable whether a term is is typable in the second-order λ 2 calculus?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/4.html,Marked solved in the RTA source.,
Does surjective pairing conservatively extend λβη-conversion?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/5.html,The source comment reports a positive solution for the stated calculus.,
[Solved] Is unicity of normal forms with respect to reduction a modular property of left-linear term-rewriting systems?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/6.html,Marked solved in the RTA source.,
[Solved] Is it possible to decide whether the set of ground normal forms with respect to a given (finite) term-rewriting system is a regular tree language?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/7.html,Marked solved in the RTA source.,
[Solved] Is unicity of normal forms a modular property of standard conditional systems?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/11.html,Marked solved in the RTA source.,
[Solved] What is the complexity of the decision problem for the confluence of ground term-rewriting systems?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/12.html,Marked solved in the RTA source.,
[Solved] Does “almost-confluence” hold for convergent infinite reduction sequences?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/18.html,Marked solved in the RTA source.,
[Solved] What is the best bound on the length of a derivation for a one-rule length-preserving string-rewriting system?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/20.html,Marked solved in the RTA source.,
[Solved] Devise practical methods for proving termination of conditional rewriting systems.,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/22.html,Marked solved in the RTA source.,
[Solved] Must any termination ordering used for proving termination of the Battle of Hydra and Hercules -system have the Howard ordinal as its order type?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/23.html,Marked solved in the RTA source.,
[Solved] Is the Σ 2 -fragment of the first-order theory of ground terms modulo AC decidable?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/25.html,Marked solved in the RTA source.,
Develop effective methods to decide whether a system decreases with respect to some exponential interpretation .,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/28.html,"Research programme or underspecified request, rather than one clearly delimited problem.",
[Solved] How can completion modulo ACUI be made effective?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/33.html,Marked solved in the RTA source.,
"[Solved] Is there a set of inference rules that always succeeds in computing a convergent set of rewrite rules for a given set of equations and an ordering, provided that it exists?",https://www.cs.tau.ac.il/~nachum/rtaloop/problems/34.html,Marked solved in the RTA source.,
[Solved] Can completion be incomplete when the ordering is changed en route?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/35.html,Marked solved in the RTA source.,
[Solved] Is unification modulo distributivity decidable?,https://www.cs.tau.ac.il/~nachum/rtaloop/problems/38.html,Marked solved in the RTA source.,
