0557 Truly subquadratic algorithms for 3SUM | The Open Problems Project
0558 Fine-grained complexity as the number of OV sets grows | SIGACT Open Problems Column
0559 Fine-grained reductions between OV, 3SUM and APSP | SIGACT Open Problems Column
0560 Fine-grained reductions from Hitting Set to 3SUM | SIGACT Open Problems Column
0561 Improving the dependence on clause width in k-SAT | SIGACT Open Problems Column
0562 Refuting nondeterministic SETH | SIGACT Open Problems Column
0563 Subexponential savings for balanced quantified Boolean formulas | SIGACT Open Problems Column
1160 For which patterns H can Triangle Detection in H-free graphs be solved combinatorially in truly subcubic time? | Equivalent Dichotomies for Triangle Detection in Subgraph, Induced, and Colored H-Free Graphs
1326 For any α, β, γ, ε > 0, there is no combinatorial algorithm for multiplying an nα × nβ matrix with an nβ × nγ […] | Hamming Distance Oracles
1768 We do not know if this log-factor can be avoided, and it could be interesting to characterize the fine grained behavior at this transition. | Quantifying Overfitting along the Regularization Path for Two-Part-Code MDL in Supervised Classification
1792 Can we improve the O∗ (1.7088n ) time complexity for Equal Subset Sum [16]? | New Algorithms for Pigeonhole Equal Subset Sum
2022 The previous two propositions settle the fine-grained complexity of k-Pattern Domination in sparse graphs, but leave open an interesting research direction. | Fine-Grained Complexity of Multiple Domination and Dominating Patterns in Sparse Graphs
2131 We leave it as an open problem whether Directed/Undirected Edge-C(n)-Colored Walk for C(n) ≫ no(1) is also equivalent to the above problems. | The NFA Acceptance Hypothesis: Non-Combinatorial and Dynamic Lower Bounds
2206 Can we obtain faster algorithms for other problems in PPP (e.g., [5, 21])? | A Faster Algorithm for Pigeonhole Equal Sums
2402 Finding emb(Km,n ) and subw(Km,n ) in the most general case is still an open question. | The Fine-Grained Complexity of Boolean Conjunctive Queries and Sum-Product Problems
2486 Under the SETH, there exists a fixed constant d ∈ N such that (Weighted) Dominating Set cannot be solved in (3 − ϵ)twd · nf […] | Sidestepping Barriers for Dominating Set in Parameterized Complexity
2488 Although we can run Algorithm 2 to f ∗ , we do not know how to relate deg g (f ∗ ) and deg g […] | On the Fine-Grained Query Complexity of Symmetric Functions
2587 Moreover, can the framework be adapted to cope with dynamic, counting, or enumerating problems? | Parameterized Lower Bounds for Problems in P via Fine-Grained Cross-Compositions
2627 Although we have ruled out subquadratic algorithms for Euclidean discrete 2-center in R13 , could geometry still help in beating nω time if ω > […] | On the Fine-Grained Complexity of Small-Size Geometric Set Cover and Discrete k-Center for Small k
2899 How about AP-Ver-LCA? | Listing, Verifying and Counting Lowest Common Ancestors in DAGs: Algorithms and Fine-Grained Lower Bounds
2928 What is the fine-grained complexity of evaluating other points of the Tutte polynomial (modulo p)? | Tight Bounds for Counting Colorings and Connected Edge Sets Parameterized by Cutwidth
3011 Can RPQ-Enum be solved with O(| D |) preprocessing and O(|VD |) delay in data complexity? | Fine-Grained Complexity of Regular Path Queries
3048 Unfortunately, we do not know how to explicitly construct a and κ within the given time. | Knapsack and Subset Sum with Small Items
