0440 Beating meet-in-the-middle for partial-Maltsev SAT | PACS 2024 workshop
0441 Characterizing CSP languages with linear non-redundancy | PACS 2024 workshop
0442 Edge-deletion list homomorphisms to the specified mixed graph | PACS 2024 workshop
0443 FPT approximation for deleting negative directed cycles | PACS 2024 workshop
0444 Polynomial kernels for Boolean MinCSP | PACS 2024 workshop
0445 SETH lower bounds for partial-near-unanimity SAT | PACS 2024 workshop
0446 Sub-base-two algorithms for symmetric Boolean CSPs | PACS 2024 workshop
0447 Sub-base-two CSP algorithms for Sidon-set relations | PACS 2024 workshop
1173 Assuming P ̸= NP, does there exist an NP-intermediate ω-categorical CSP? | The Polynomial Hierarchy and ω-Categorical CSPs
1238 What is the complexity of deciding whether a given structure has an abelian Maltsev polymorphism? | The Complexity of Finding Coset-Generating Polymorphisms and the Promise Metaproblem
1377 Based on this, we conjecture that Monotone-CSP(Γ) is FPT if and only if Γ has the connector property. | Going Beyond Twin-Width? CSPs with Unbounded Domain and Few Variables
1404 Can it be characterized as a homomorphism indistinguishability relation or via a game comonad [1]? | Arity Hierarchies for Quantifiers Closed Under Partial Polymorphisms
1555 In particular, is VCSP(A) in P whenever A does not pp-construct K3 ? | Temporal Valued Constraint Satisfaction Problems
1900 What is the precise computational complexity the Meta-Problem of deciding whether the CSP of a given finite structure B can be solved by a slam […] | Symmetric Linear Arc Monadic Datalog and Gadget Reductions
1907 Is there a universal algorithm that would solve all tractable PCSPs stemming from Theorem 10, even when Ab = (Q ≀ A)̸= is replaced by […] | Three Fundamental Questions in Modern Infinite-Domain Constraint Satisfaction
1930 Can we prove PIH under W[1] ̸= FPT using some appropriate form of direct product testing theorems? | Baby PIH: Parameterized Inapproximability of Min CSP
1978 It is unknown whether it is always true that a PCSP(A, B) that is solvable by BLP is also polynomially solvable in its search variant. | Promise and Infinite-Domain Constraint Satisfaction
2240 Given a constraint language, can one decide if it is (uniformly) blockwise decomposable? | A Characterization of Efficiently Compilable Constraint Languages
2351 Then, does ∆ also have short pp-definitions? | Short Definitions in Constraint Languages
2428 Take any Max-CSP and consider the associated spin glass SGξ , where ξ is defined as in Equation (1). | Random Max-CSPs Inherit Algorithmic Hardness from Spin Glasses
2466 It remains an open question as to whether there is a family of TI instances of constraint satisfaction on general graphs for which it is […] | Translationally Invariant Constraint Optimization Problems
2467 We do not know whether the structures Aev od n (G) and An (G) can be separated by a PTIME- computable CSP-quantifier, but, in any […] | The Expressive Power of CSP-Quantifiers
