id,area,title,evidence,status,screening,decision,destination
TCS-6498,Algorithms & data structures,Are splay trees dynamically optimal?,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-6537,Algorithms & data structures,Expected linear-time integer sorting for every word length,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-6540,Algorithms & data structures,An explicit static problem requiring superlogarithmically many cell probes,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-6586,Algorithms & data structures,Deterministic linear-time construction of static dictionaries,source,source_open,topic_screen,retain,Algorithms & data structures
TCS-0474,Algorithms & data structures,Can pointer-machine working-set heaps have constant amortized insertion and decrease-key?,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-7177,Algorithms & data structures,The 1/3–2/3 conjecture,source,source_open,boundary_read,move,Miscellaneous
TCS-0949,Algorithms & data structures,Data Structure Lower Bound in the Cell Probe Model,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6508,Algorithms & data structures,Do splay trees support deque operations in constant amortized time?,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-7178,Algorithms & data structures,The gold partition conjecture,source,source_open,boundary_read,move,Miscellaneous
TCS-7176,Algorithms & data structures,Determine the pancake numbers,source,source_open,boundary_read,move,Miscellaneous
TCS-0388,Algorithms & data structures,Sorting X+Y (Pairwise Sums),index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6512,Algorithms & data structures,Does splaying every BST preorder take linear total time?,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-0946,Algorithms & data structures,Cut-Sparsification of Hypergraphs,index,uncertain,topic_screen,retain,Algorithms & data structures
TCS-6509,Algorithms & data structures,Does recursively splitting a splay tree always take linear total time?,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-1141,Algorithms & data structures,Can reachability diameter be approximated within a constant in near-linear time?,reviewed,open,topic_screen,retain,Algorithms & data structures
TCS-0477,Algorithms & data structures,Can the final survivors of an offline heap sequence be found with linear comparisons?,reviewed,source_open,topic_screen,retain,Algorithms & data structures
TCS-0585,Algorithms & data structures,Hardness/tractability radius of Hamiltonian Cycle,index,uncertain,topic_screen,retain,Algorithms & data structures
