id,title,category,decision,reason
TCS-6446,Quantum PCP: a constant promise gap for local Hamiltonians,Quantum computation,retained,Not selected for removal in this pass.
TCS-0036,Does BPP differ from BQP?,Quantum computation,retained,Not selected for removal in this pass.
TCS-6516,An entanglement entropy area law for general gapped two-dimensional Hamiltonians,Quantum computation,retained,Not selected for removal in this pass.
TCS-6580,Information-theoretic classical verification of quantum computation,Quantum computation,retained,Not selected for removal in this pass.
TCS-6515,Asymptotically good quantum locally testable codes,Quantum computation,retained,Not selected for removal in this pass.
TCS-6517,Self-correcting quantum memory in three dimensions,Quantum computation,retained,Not selected for removal in this pass.
TCS-6518,NPT bound entanglement,Quantum computation,retained,Not selected for removal in this pass.
TCS-6519,Quantum capacity of the qubit depolarizing channel,Quantum computation,retained,Not selected for removal in this pass.
TCS-0037,NP outside BQP,Quantum computation,retained,Not selected for removal in this pass.
TCS-6448,Does a quantum witness have more power than a classical witness?,Quantum computation,retained,Not selected for removal in this pass.
TCS-6520,Computability of quantum channel capacity,Quantum computation,retained,Not selected for removal in this pass.
TCS-6521,Polynomial-time quantum algorithm for the dihedral hidden subgroup problem,Quantum computation,retained,Not selected for removal in this pass.
TCS-6522,Graph isomorphism in BQP,Quantum computation,retained,Not selected for removal in this pass.
TCS-0029,Maximum randomized-versus-quantum gap for total functions,Quantum computation,retained,Not selected for removal in this pass.
TCS-6449,Quantum versus classical nonuniform advice,Quantum computation,retained,Not selected for removal in this pass.
TCS-0033,Quantum query complexity versus bounded approximate degree,Quantum computation,retained,Not selected for removal in this pass.
TCS-0861,Is QMA(2) in BQEXP?,Quantum computation,retained,Not selected for removal in this pass.
TCS-6447,Strong quantum IOPs with polynomial communication,Quantum computation,retained,Not selected for removal in this pass.
TCS-0031,Oracle separation of BQP from IP,Quantum computation,retained,Not selected for removal in this pass.
TCS-0034,Quantum query–space tradeoffs for collisions and distinctness,Quantum computation,retained,Not selected for removal in this pass.
TCS-0862,Is QRG with constant rounds in PSPACE?,Quantum computation,retained,Not selected for removal in this pass.
TCS-0866,Learning Quantum Circuits with Queries,Quantum computation,retained,Not selected for removal in this pass.
TCS-0027,Black-box unitary synthesis,Quantum computation,retained,Not selected for removal in this pass.
TCS-0858,Complexity of the EPR Hamiltonian,Quantum computation,retained,Not selected for removal in this pass.
TCS-0860,Find the complexity of Quantum Approximate Counting (QXC),Quantum computation,retained,Not selected for removal in this pass.
TCS-0030,Oracle separation of BQP from efficient-prover interactive proofs,Quantum computation,retained,Not selected for removal in this pass.
TCS-0857,Can the QAOA optimize the SK Hamiltonian?,Quantum computation,retained,Not selected for removal in this pass.
TCS-0028,Injective quantum oracles: standard versus erasing access,Quantum computation,retained,Not selected for removal in this pass.
TCS-0032,Quantum hardness of finding an entire glued-tree path,Quantum computation,quarantined,"Kvantová výhoda na glued trees je důležitá, ale požadavek vypsat celou cestu je zvláštní výstupní varianta; obecnou hranici kvantového zrychlení nevystihuje."
TCS-0035,Query complexity of high-score cross-entropy sampling,Quantum computation,retained,Not selected for removal in this pass.
TCS-0859,Does the position of a fanout gate affect the power of QAC0?,Quantum computation,quarantined,"Řeší umístění jedné brány v konkrétním obvodovém modelu. Přednost má obecná síla QAC0 a implementovatelnost fanoutu, které zůstávají zastoupené."
TCS-0863,Errors during Non-Clifford Logical Gates,Quantum computation,quarantined,"Záznam označuje oblast chyb při logických branách, ale nevymezuje konkrétní práh, nemožnost ani úlohu. Samostatné místo v žebříčku mu nelze věcně zdůvodnit."
TCS-1230,"We conjecture that full abstraction extends to a language with arbitrary (non-affine) classical control, with respect to the equivalence induced by possible measurement outcomes.",Quantum computation,quarantined,Rozšiřuje plnou abstrakci jedné sémantiky stabilizátorových programů o další řídicí konstrukce; nepředkládá obecnou překážku sémantiky kvantových jazyků.
TCS-1259,"10 In fact, it is an open problem to exactly implement FANOUT using QAC0 circuits of any size.",Quantum computation,retained,Not selected for removal in this pass.
TCS-1262,The bounded-error randomized complexity of the Extremal Forrelation Problem is Ω̃(2n/2 ).,Quantum computation,retained,Not selected for removal in this pass.
TCS-1298,Every element of the Clifford hierarchy is generalized semi-Clifford.,Quantum computation,retained,Not selected for removal in this pass.
TCS-1309,"However, it remains open to study protocols with entangled measurements on a large number of samples (e.g. c = poly(d)).",Quantum computation,retained,Not selected for removal in this pass.
TCS-1324,"A proof of the quantum games PCP conjecture was claimed by [25], but it has since been established that the proof had errors, and as […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-1341,"An important complexity-theoretic question is whether symmetric quantum circuits are universal for implementing symmetric operations: Given some finite group Γ, can we perform arbitrary Γ-symmetric […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-1342,We leave it is an interesting open problem to come up with an algorithms – even ones that run in subexponential time – for cloning […],Quantum computation,retained,Not selected for removal in this pass.
TCS-1490,"Our protocol moreover relies on the no-PE assumption for soundness; if malicious provers are allowed to share unbounded prior entanglement, known techniques for instantaneous non-local […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-1543,"Given the learned unitary Csew , which is 1/poly(n)-close to QAC0 circuit C, does there exist a quasi-polynomial time algorithm to learn a QAC0 circuit […]",Quantum computation,quarantined,Jde o převedení již naučené aproximace zpět do požadované třídy obvodů. Obecný problém učení kvantových obvodů má pro atlas větší dosah.
TCS-1681,Embedded PermInv requires at least Ω(N ) queries to an in-place oracle.,Quantum computation,quarantined,Dolní mez se týká vložené inverze permutace a speciálního přístupu k orákulu; významnější je obecné porovnání standardních a mazacích kvantových orákul.
TCS-1735,"The tightness of Theorem 8 remains an open question, either by showing a strategy attaining n the value (11), or if strong parallel repetition holds […]",Quantum computation,quarantined,"Zpřesnění hodnoty opakování jedné klonovací hry je užší než obecný problém paralelního opakování provázaných her, který ponechávám."
TCS-1769,Can the class of problems with a quantum asymmetric direct sum property be characterized in some generality?,Quantum computation,retained,Not selected for removal in this pass.
TCS-1773,"For example, does QIPU L contain space-bounded classical interactive proofs with ω(log n) public coins, as studied in [20, 28, 11]?",Quantum computation,quarantined,"Otázka kombinuje prostorové omezení, konkrétní kvantovou třídu a nadlogaritmický počet veřejných mincí. Pro samostatné místo je příliš závislá na této kombinaci modelů."
TCS-1800,"Do there exist an 1/2 < ϵ ≤ 1 and a 0 < τ < 1 for which AddGapHGPDistτ,ϵ is in coNP?",Quantum computation,quarantined,Hledá vhodné konstanty pro certifikaci vzdálenosti specifické rodiny kvantových kódů. Základní konstrukční a testovatelnostní problémy kvantových kódů mají přednost.
TCS-1823,"Can we construct a decision tree of height poly(d) which, on input y, outputs one of the influential coordinates of fy with high probability?",Quantum computation,retained,Not selected for removal in this pass.
TCS-1864,"We leave this question open, and conjecture that a similar result holds in the quantum setting with a 1 lower bound of Ω N 2 […]",Quantum computation,quarantined,Přenáší konkrétní dolní mez testování řídkých orientovaných grafů do kvantového modelu; samostatný zásadní důsledek nad rámec tohoto přenosu v záznamu není.
TCS-1881,"This interesting model resembles classical catalytic space classes with small errors in resetting, and we leave it as an open question to determine how it […]",Quantum computation,quarantined,"Zkoumá variantu katalytické paměti s chybami při obnově. Nejprve má být zastoupena obecná síla katalytického prostoru, ne další volba jeho chybového modelu."
TCS-1882,"Any algorithm that distinguishes p = ud from dTV (p, ud ) > ε with success probability at least .99 requires Ω(min{d1/3 /ε4/3 , d1/2 […]",Quantum computation,retained,Not selected for removal in this pass.
TCS-1950,Establish a quantum information-theoretic characterization of the performance in learning quantum-to-quantum channels in a query input model.,Quantum computation,quarantined,"Požaduje obecnou informačněteoretickou charakterizaci učení kanálů, ale neurčuje kandidátní veličinu ani testovatelné tvrzení; je to výzkumný program místo jedné otázky."
TCS-1955,"Then we ask, is W≥t [F ] ∈ O(exp(−t))?",Quantum computation,retained,Not selected for removal in this pass.
TCS-1961,Are OWSGs and EFI pairs (or PRSGs) equivalent?,Quantum computation,retained,Not selected for removal in this pass.
TCS-2029,"In the other direction, we leave open whether FBPP ⊂ FBPPnegl or whether the two classes are incomparable.",Quantum computation,retained,Not selected for removal in this pass.
TCS-2200,Does the optimal such relation (i.e. one precisely describing the feasible space) arise at a constant level k (with respect to d)?,Quantum computation,quarantined,"Řeší, zda konkrétní relaci popíše konstantní úroveň relaxační hierarchie. To je pomocná geometrie jedné aproximační metody, nikoli samotná aproximační hranice Quantum Max-Cut."
TCS-2221,Do other families of quantum states achieve tightly tuned pseudoentanglement across any cut?,Quantum computation,quarantined,Žádá další rodiny stavů s již sledovaným typem pseudoentanglementu. Bez nové bariéry nebo silnějšího cíle jde o rozšíření repertoáru konstrukcí.
TCS-2229,What is the relationship of QMA and QMA(2)?,Quantum computation,retained,Not selected for removal in this pass.
TCS-2349,Is there a poly(k)-query algorithm for property testing stabilizer-extent-k states?,Quantum computation,retained,Not selected for removal in this pass.
TCS-2398,We also leave open the optimal communication complexity of equality with small error in the entanglement-assisted setting.,Quantum computation,quarantined,Optimalizuje závislost na malé chybě u equality v modelu se sdíleným provázáním; obecné separace kvantové a klasické komunikace představují výrazně větší problém.
TCS-2408,"For instance, would it be possible to perform an RSP-like protocol assuming only the existence of quantum-secure one-way functions?",Quantum computation,retained,Not selected for removal in this pass.
TCS-2451,It is worth mentioning that it is unknown whether the adaptive postselection can be efficiently done in PostBQP as discussed in [2].,Quantum computation,retained,Not selected for removal in this pass.
