TCS-1642	Quantum computation	Can the qubit count be improved beyond I + O(F ) without exceeding gate complexity O(I)?	Can the qubit count be improved beyond I + O(F ) without exceeding gate complexity O(I)?
TCS-2810	Quantum computation	High Dimensional Position Verification We conjecture that the following construction, inspired by the position verification protocol of Unruh [25], could be secure in higher dimensions […]	High Dimensional Position Verification We conjecture that the following construction, inspired by the position verification protocol of Unruh [25], could be secure in higher dimensions […]
TCS-2950	Quantum computation	We view the existence of a dual-mode CVQC in the QROM as evidence that our construction template is sound, and we leave constructing quantum null-iO […]	We view the existence of a dual-mode CVQC in the QROM as evidence that our construction template is sound, and we leave constructing quantum null-iO […]
TCS-3218	Quantum computation	Would it be possible to establish the post-quantum security of memory hard functions through a similar reduction in the parallel quantum random oracle model?	Would it be possible to establish the post-quantum security of memory hard functions through a similar reduction in the parallel quantum random oracle model?
TCS-3517	Quantum computation	Can we give faster sampling-based algorithms for solving LPs?	Can we give faster sampling-based algorithms for solving LPs?
TCS-3709	Quantum computation	We do not know how to lift Q or Q0 to their analogous communication measures; this is likely to be significantly harder.	We do not know how to lift Q or Q0 to their analogous communication measures; this is likely to be significantly harder.
TCS-4499	Quantum computation	It is an open question whether a similar result for maximum matching in a general nonbipartite graph can be proven, perhaps by applying Theorem 5.2 […]	It is an open question whether a similar result for maximum matching in a general nonbipartite graph can be proven, perhaps by applying Theorem 5.2 […]
TCS-4696	Quantum computation	Quantum Merkle Trees — Open Problem 2	Is there an analog of Micali’s non-interactive succinct argument for Gapk-LH?
TCS-4715	Quantum computation	Succinct Arguments for QMA from Standard Assumptions via Compiled Nonlocal Games — Explicit open question on PDF page 3	The best of both worlds The essential reason that two-prover succinct verification remains an open problem is that nonlocal answer reduction is hard.
TCS-4751	Quantum computation	Proofs of Quantumness from Trapdoor Permutations — Explicit open question on PDF page 5	We do not know how to construct proofs of quantumness from such a superposition of many computational-basis states.
TCS-4772	Quantum computation	Simpler Proofs of Quantumness — Explicit open question on PDF page 7	Unfortunately, we do not know how to construct such “clean” trapdoor claw-free functions.
TCS-1421	Computational geometry and metric spaces	Can similar timeline-based ideas be adapted to other geometric graph classes?	Can similar timeline-based ideas be adapted to other geometric graph classes?
TCS-2113	Computational geometry and metric spaces	Of course, a number of interesting questions remain open, e.g., are there computationally efficient ways to implement doubly-optimistic strategies for large U ; or if […]	Of course, a number of interesting questions remain open, e.g., are there computationally efficient ways to implement doubly-optimistic strategies for large U ; or if […]
TCS-2239	Computational geometry and metric spaces	For the problem variants MFDSC and MIFD, can we find all ∞-safe paths in polynomial time?	For the problem variants MFDSC and MIFD, can we find all ∞-safe paths in polynomial time?
TCS-2952	Computational geometry and metric spaces	That is, empirically it seems that we do not lose anything by fixing t = 1/2 and only varying r.6 We leave proving this as […]	That is, empirically it seems that we do not lose anything by fixing t = 1/2 and only varying r.6 We leave proving this as […]
TCS-3539	Computational geometry and metric spaces	How should we define 3D spiroplots?	How should we define 3D spiroplots?
TCS-5596	Computational geometry and metric spaces	Minimum Height Drawings of Ordered Trees in Polynomial Time: Homotopy Height of Tree Duals — Unresolved-question passage on page 15	As one such property, we conjecture that for unweighted trees there always exists an optimal drawing without spiraling edges.
TCS-0308	Computational complexity	Formula versus circuit succinctness	Formula versus circuit succinctness
TCS-5964	Computational complexity	Making Life More Confusing for Firefighters — Explicit open question on PDF page 7	For the same reason, we can determine that Temporal Firefighter is NP-Complete on AT-free graphs, a class for which the complexity of Firefighter is still […]
TCS-1729	Algorithms & data structures	Efficiently optimizing divisions for 64 bit (and larger) integers is an open problem, but perhaps existing schemes for shorter integers[9] could be applied to larger […]	Efficiently optimizing divisions for 64 bit (and larger) integers is an open problem, but perhaps existing schemes for shorter integers[9] could be applied to larger […]
TCS-2018	Algorithms & data structures	Every submodular hypergraph admits a (1+ϵ)-sparsifier of size O(ϵ−2 n2 ), which is in fact a reweighted sub-hypergraph.	Every submodular hypergraph admits a (1+ϵ)-sparsifier of size O(ϵ−2 n2 ), which is in fact a reweighted sub-hypergraph.
TCS-2101	Algorithms & data structures	It remains open, where exactly the change from polynomial to exponential size increase occurs, e.g., whether bi-implication can be eliminated with polynomial size increase when […]	It remains open, where exactly the change from polynomial to exponential size increase occurs, e.g., whether bi-implication can be eliminated with polynomial size increase when […]
TCS-2449	Algorithms & data structures	We conjecture that coSafety-LTL can be n! (n factorial) more succinct than F(pLTL).	We conjecture that coSafety-LTL can be n! (n factorial) more succinct than F(pLTL).
TCS-2730	Algorithms & data structures	Thus, even in the non-succinct case, designing worst-case update operations is an open problem.	Thus, even in the non-succinct case, designing worst-case update operations is an open problem.
TCS-2868	Algorithms & data structures	Can we compute alphabetical variants of minimal closure size?	Can we compute alphabetical variants of minimal closure size?
TCS-2926	Algorithms & data structures	What are the loose ends of the present work?	What are the loose ends of the present work?
TCS-3381	Algorithms & data structures	The question of whether protocols with poly(|ϕ|) states exist for every PA formula ϕ, possibly with quantifiers, also remains open.	The question of whether protocols with poly(|ϕ|) states exist for every PA formula ϕ, possibly with quantifiers, also remains open.
TCS-3409	Algorithms & data structures	How and if level-order rank/select and generating a word of BP or DFUDS can be simultaneously supported to run in constant time remains an open […]	How and if level-order rank/select and generating a word of BP or DFUDS can be simultaneously supported to run in constant time remains an open […]
TCS-3445	Algorithms & data structures	First, can our analysis be applied to recently developed dictionary compression methods for trees like Top-Trees/Top-Dags [8, 29] or other dictionary based methods on trees?	First, can our analysis be applied to recently developed dictionary compression methods for trees like Top-Trees/Top-Dags [8, 29] or other dictionary based methods on trees?
TCS-3969	Algorithms & data structures	How do MTLk and FO2k (∼) differ in terms of succinctness?	How do MTLk and FO2k (∼) differ in terms of succinctness?
TCS-4093	Algorithms & data structures	An interesting next question is the complexity of the reachability problem for two-dimensional BVASS, which we conjecture decidable.	An interesting next question is the complexity of the reachability problem for two-dimensional BVASS, which we conjecture decidable.
TCS-4288	Algorithms & data structures	Regarding the case of words we leave some open questions, the most important of which is if F1 is more succinct than FO2 .	Regarding the case of words we leave some open questions, the most important of which is if F1 is more succinct than FO2 .
TCS-4998	Algorithms & data structures	Cut Sparsification and Succinct Representation of Submodular Hypergraphs — Unresolved-question passage on page 9	In the sparsification setting, we obtain smaller sparsifiers for several families (monotone and finite-spread), however characterizing the optimal sparsifier size for each family remains open.
TCS-5273	Algorithms & data structures	Using Statistical Encoding to Achieve Tree Succinctness Never Seen Before — Unresolved-question passage on page 16	Finally, can the additional space required for level_ancestor query be lowered?
TCS-5411	Algorithms & data structures	Optimal Static Fully Indexable Dictionaries — Explicit open question on PDF page 4	For polynomial universe sizes U = n1+Θ(1) , it remains open whether a succinct data structure with O(log n/ log log n) time per operation […]
TCS-1284	Learning theory	As an orthogonal concern, it remains open whether more sophisticated classifiers (e. g. graph neural networks) with less interpretable features may boost Claim sensitivity.	As an orthogonal concern, it remains open whether more sophisticated classifiers (e. g. graph neural networks) with less interpretable features may boost Claim sensitivity.
