id,title,area,scope,source_year,year_basis,source_age_years,status,status_note,source_collection,source_locator,authors,source_url,pdf_url,additional_source_urls,source_title,accessed,reading_note,review_level,statement_form,source_kind,question_excerpt,excerpt_truncated,candidate_id,doi,source_page,selection_method,extraction_flags,classification_basis
TCS-0001,P versus NP,Computational and circuit complexity,landmark,,undated current listing,,maintainer_lists_open,Listed among CMI’s unsolved Millennium Prize Problems when accessed 2026-09-09.,Landmark reference,Millennium Prize Problem,Clay Mathematics Institute,https://www.claymath.org/millennium/p-vs-np/,,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0002,NP versus coNP,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 3.8,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=39,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0003,P versus BPP,Pseudorandomness and derandomization,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 7.5,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=89,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0004,L versus NL,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 14.8,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=181,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0005,VP versus VNP,Algebraic and numerical computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 12.21,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=152,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0006,Unique Games Conjecture,Approximation algorithms,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 4.3,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=55,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0007,Matrix multiplication exponent two,Algebraic and numerical computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 12.13,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=150,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0008,Linear Programming: Strongly Polynomial?,Optimization and mathematical programming,landmark,2010,latest listed revision year,16,source_open_unverified,The source presents this as open; no exhaustive search for later resolutions was performed.,The Open Problems Project,Problem 8,Erik D. Demaine; Joseph S. B. Mitchell; Joseph O’Rourke (editors),https://topp.openproblem.net/p8,,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0009,Explicit univariate arithmetic circuit lower bounds,Algebraic and numerical computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 12.1,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=145,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0010,Superlinear constant-degree arithmetic circuit lower bounds,Algebraic and numerical computation,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 12.4,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=147,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0011,Does EFX always exist?,Algorithmic game theory and fair division,landmark,2026,source publication or workshop year,0,source_open_unverified,Explicitly posed as open in this source; later literature has not been exhaustively checked.,TCS Open Problems,Problem 3,,https://tcsopenproblems.com/problem/3,,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0012,Worst-case versus average-case NP hardness,Average-case complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 4.5,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=57,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0013,Efficient explicit constant-rate tree codes,Coding and information theory,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 15.34,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=206,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0014,Cubic monotone formulas for majority,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 5.19,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=70,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0015,Explicit superlinear Boolean circuit lower bounds,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 5.8,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=66,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0016,Exponential circuit lower bounds for SAT,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 5.7,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=65,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0017,Karchmer–Raz–Wigderson formula composition conjecture,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 5.13,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=68,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0018,P versus NP intersect coNP,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 3.9,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=41,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0019,Polynomial formulas versus linear circuits,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 5.11,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=68,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0020,Polynomial-size circuits for EXP,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 8.6,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=106,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0021,Polynomial-size circuits for NP,Computational and circuit complexity,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Conjecture 5.4,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=64,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0022,One-way functions from NP hardness,Cryptography,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 4.9,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=61,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0023,Learning growing-size DNFs under uniform inputs,Learning theory,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 17.9,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=233,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0024,Frege lower bounds from circuit hardness,Proof complexity and logic,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 6.12,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=85,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
TCS-0025,Superpolynomial Frege proof lower bounds,Proof complexity and logic,landmark,2018,source publication or workshop year,8,source_open_unverified,Standard open problem stated in the cited reference; later literature not exhaustively checked.,Mathematics and Computation (2018 draft),Open Problem 6.10,Avi Wigderson,https://www.math.ias.edu/files/mathandcomp.pdf,https://www.math.ias.edu/files/mathandcomp.pdf#page=83,,,2026-09-09,"Short index label; consult the source locator for the full formulation, definitions and assumptions.",inherited_v1,index_label,original_collection,,False,,,,v1 retained,,v1 classification
