sequence,id,name,original_title,category,state,reason_code,reason,duplicate_of,related_retained_ids,saved_question,source,url
1,TCS-0032,Finding the entire glued-tree path,Quantum hardness of finding an entire glued-tree path,Quantum computation,quarantined,individual_review,"Kvantová výhoda na glued trees je důležitá, ale požadavek vypsat celou cestu je zvláštní výstupní varianta; obecnou hranici kvantového zrychlení nevystihuje.",,,Quantum hardness of finding an entire glued-tree path,Open Problems Related to Quantum Query Complexity,https://www.scottaaronson.com/papers/open.pdf
2,TCS-0859,Position of a fanout gate in QAC0,Does the position of a fanout gate affect the power of QAC0?,Quantum computation,quarantined,individual_review,"Řeší umístění jedné brány v konkrétním obvodovém modelu. Přednost má obecná síla QAC0 a implementovatelnost fanoutu, které zůstávají zastoupené.",,,Does the position of a fanout gate affect the power of QAC0?,TCS Open Problems,https://tcsopenproblems.com/problem/10
3,TCS-0863,Errors during non-Clifford logical gates,Errors during Non-Clifford Logical Gates,Quantum computation,quarantined,individual_review,"Záznam označuje oblast chyb při logických branách, ale nevymezuje konkrétní práh, nemožnost ani úlohu. Samostatné místo v žebříčku mu nelze věcně zdůvodnit.",,,Errors during Non-Clifford Logical Gates,Quantum Error Correction Meets ZX-Calculus,https://doi.org/10.4230/DagRep.15.9.58
4,TCS-1230,Full abstraction with non-affine classical control,"We conjecture that full abstraction extends to a language with arbitrary (non-affine) classical control, with respect to the equivalence induced by possible measurement outcomes.",Quantum computation,quarantined,individual_review,Rozšiřuje plnou abstrakci jedné sémantiky stabilizátorových programů o další řídicí konstrukce; nepředkládá obecnou překážku sémantiky kvantových jazyků.,,,"We conjecture that full abstraction extends to a language with arbitrary (non-affine) classical control, with respect to the equivalence induced by possible measurement outcomes.",Denotational Semantics for Stabiliser Quantum Programs,https://doi.org/10.4230/LIPIcs.FSCD.2026.8
5,TCS-1543,Proper learning of QAC0 circuits,"Given the learned unitary Csew , which is 1/poly(n)-close to QAC0 circuit C, does there exist a quasi-polynomial time algorithm to learn a QAC0 circuit […]",Quantum computation,quarantined,individual_review,Jde o převedení již naučené aproximace zpět do požadované třídy obvodů. Obecný problém učení kvantových obvodů má pro atlas větší dosah.,,,"Given the learned unitary Csew , which is 1/poly(n)-close to QAC0 circuit C, does there exist a quasi-polynomial time algorithm to learn a QAC0 circuit […]",Learning shallow quantum circuits with many-qubit gates,https://proceedings.mlr.press/v291/vasconcelos25a.html
6,TCS-1681,Embedded PermInv with in-place queries,Embedded PermInv requires at least Ω(N ) queries to an in-place oracle.,Quantum computation,quarantined,individual_review,Dolní mez se týká vložené inverze permutace a speciálního přístupu k orákulu; významnější je obecné porovnání standardních a mazacích kvantových orákul.,,,Embedded PermInv requires at least Ω(N ) queries to an in-place oracle.,Quantum Search with In-Place Queries,https://doi.org/10.4230/LIPIcs.TQC.2025.1
7,TCS-1735,Tight repetition bound for a quantum cloning game,"The tightness of Theorem 8 remains an open question, either by showing a strategy attaining n the value (11), or if strong parallel repetition holds […]",Quantum computation,quarantined,individual_review,"Zpřesnění hodnoty opakování jedné klonovací hry je užší než obecný problém paralelního opakování provázaných her, který ponechávám.",,,"The tightness of Theorem 8 remains an open question, either by showing a strategy attaining n the value (11), or if strong parallel repetition holds […]",A Quantum Cloning Game with Applications to Quantum Position Verification,https://doi.org/10.4230/LIPIcs.TQC.2025.2
8,TCS-1773,Public-coin proofs inside QIPUL,"For example, does QIPU L contain space-bounded classical interactive proofs with ω(log n) public coins, as studied in [20, 28, 11]?",Quantum computation,quarantined,individual_review,"Otázka kombinuje prostorové omezení, konkrétní kvantovou třídu a nadlogaritmický počet veřejných mincí. Pro samostatné místo je příliš závislá na této kombinaci modelů.",,,"For example, does QIPU L contain space-bounded classical interactive proofs with ω(log n) public coins, as studied in [20, 28, 11]?",Space-Bounded Quantum Interactive Proof Systems,https://doi.org/10.4230/LIPIcs.CCC.2025.17
9,TCS-1800,Additive-gap HGP distance in coNP,"Do there exist an 1/2 < ϵ ≤ 1 and a 0 < τ < 1 for which AddGapHGPDistτ,ϵ is in coNP?",Quantum computation,quarantined,individual_review,Hledá vhodné konstanty pro certifikaci vzdálenosti specifické rodiny kvantových kódů. Základní konstrukční a testovatelnostní problémy kvantových kódů mají přednost.,,,"Do there exist an 1/2 < ϵ ≤ 1 and a 0 < τ < 1 for which AddGapHGPDistτ,ϵ is in coNP?",On the Hardness of Approximating Distances of Quantum Codes,https://doi.org/10.4230/LIPIcs.FSTTCS.2025.34
10,TCS-1864,Quantum testing in sparse directed graphs,"We leave this question open, and conjecture that a similar result holds in the quantum setting with a 1 lower bound of Ω N 2 […]",Quantum computation,quarantined,individual_review,Přenáší konkrétní dolní mez testování řídkých orientovaných grafů do kvantového modelu; samostatný zásadní důsledek nad rámec tohoto přenosu v záznamu není.,,,"We leave this question open, and conjecture that a similar result holds in the quantum setting with a 1 lower bound of Ω N 2 […]",Quantum Property Testing in Sparse Directed Graphs,https://doi.org/10.4230/LIPIcs.APPROX/RANDOM.2025.32
