0478R Can exact fully dynamic APSP have edge-linear amortized updates and polylogarithmic queries? | Scalable Data Structures (Dagstuhl Seminar 21071)
0536 An Open Problem in Dynamic Edge Coloring | Graph Algorithms: Distributed Meets Dynamic
0537 Open Problem: Dynamic Brooks’ Theorem | Graph Algorithms: Distributed Meets Dynamic
0538 Open Problem: Low-Degree Spanning Tree | Graph Algorithms: Distributed Meets Dynamic
0539 Breaking CountMin Sketches Inside a Greedy Outer Loop | Dynamic Graph Algorithms
0540 Communication Complexity of Max-Flow | Dynamic Graph Algorithms
0541 Dynamic Complexity of Low-Stretch Spanning Trees | Dynamic Graph Algorithms
0542 Dynamic Derandomization | Dynamic Graph Algorithms
0543 Dynamic Maximal Matching | Dynamic Graph Algorithms
0544 Polylog query time for a dynamic all-pairs problem in plane directed graphs | Dynamic Graph Algorithms
0545 Reducing weighted matching to unweighted matching | Dynamic Graph Algorithms
1001 Minimal complexity of MaxFlow on dynamic graphs | Temporal Graphs: Structure, Algorithms, Applications
1382 We leave it open to close this gap and achieve a polynomial dependence on λ. | Maximum-Flow and Minimum-Cut Sensitivity Oracles for Directed Graphs
1426 Is there an alternative approach – possibly abandoning the black-box paradigm – that avoids limitations (1) and (2)? | Dynamic Set Cover with Worst-Case Recourse
1469 Second, can we obtain a runtime bound where the exponent of log Φ (or log n) is independent of d? | Dynamic Light Spanners in Doubling Metrics
1472 Can we remove the α(n) factor in its edge count? | Near-Optimal Dynamic Steiner Spanners for Constant-Curvature Spaces
2046 So we conjecture that the lower bound is the same for any cost function in UO. | Online Space-Time Travel Planning in Dynamic Graphs
2104 It remains open whether there is a dynamic nearest/farthest neighbor data structure in constant dimensions d ≥ 2 with worst-case polylogarithmic update and query time: […] | Fully Dynamic Maximum Independent Sets of Disks in Polylogarithmic Update Time
2169 Can all-pairs and multi-source cases benefit from the relaxation to (1 + ϵ)-approximation? | A Nearly Linear Time Construction of Approximate Single-Source Distance Sensitivity Oracles
2180 Second, can we tighten the bounds in the one-pass setting? | Matchings in Low-Arboricity Graphs in the Dynamic Graph Stream Model
2188 How do they extend to geospatial and dynamic graphs where the data are expected to obey spatial and/or temporal constraints? | GraphTrials: Visual Proofs of Graph Properties
2421 However, the hardness of DISC-SC-k for general k > 1 remains open. | Temporal Separators with Deadlines
2628 Note that during the update procedure, if G has no negative cycles, then for each “negative” path πs,t , we have V (πs,t ) ∩ […] | Fully Dynamic Shortest Paths and Reachability in Sparse Digraphs
2713 Is there an efficient sensitivity oracle for the k-Tree problem? | Parameterized Sensitivity Oracles and Dynamic Algorithms Using Exterior Algebras
2794 Since we do not know how to maintain such weights directly, as in Section 4, we convert the static non-zero circulation weights to dynamic isolating […] | Dynamic Meta-Theorems for Distance and Matching
2834 Hence, can we achieve this for other dynamic graph streaming problems such as dominating set [26] and spectral sparsification [24]? | Space Optimal Vertex Cover in Dynamic Streams
3061 Can we preprocess a DSO in Õ(nω M ) time on undirected graphs? | Constructing a Distance Sensitivity Oracle in O(n^2.5794 M) Time
3474 Can we improve the preprocessing time for directed graphs to Õ(n2.58 M ), matching the current best algorithm for APSP in directed graphs [20]? | Improved Distance Sensitivity Oracles with Subcubic Preprocessing Time
3679 1 λ(P ) Varπ ρ(0) − Varπ ρ(t) ⩾ EP (ρ(0) , ρ(0) ) ⩾ . 15t 15t We remark we do not know if […] | Random Walks on Dynamic Graphs: Mixing Times, Hitting Times, and Return Probabilities
4211 Can one design a strategy with δσ = o(α log n)? | A Simple Greedy Algorithm for Dynamic Graph Orientation
