id,title,category,decision,reason_code,reason,saved_target,source_url,source_locator,evidence,importance_score,review_cohort,decision_references
TCS-6587,Constant-factor approximation for Densest k-Subgraph,Approximation algorithms and hardness of approximation,retained,retained_reviewed_or_approved,Preserve the individually reviewed card or previously approved fundamental proposal. This pruning pass does not reverse its existing importance assessment.,"Does a polynomial-time algorithm always find k vertices inducing at least OPT/C edges, for one universal constant C?",https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ITCS.2023.38,,source,97,original,
TCS-0006,Unique Games: is near-satisfiability NP-hard to distinguish from low value?,Approximation algorithms and hardness of approximation,retained,retained_reviewed_or_approved,Preserve the individually reviewed card or previously approved fundamental proposal. This pruning pass does not reverse its existing importance assessment.,"For every pair of rational constants ε,δ>0 with ε+δ<1, does there exist an integer q≥2 such that it is NP-hard to distinguish Unique Games instances with $\operatorname{val}(G)\ge1-\varepsilon$ from instances with $\operatorname{val}(G)\le\delta$? Here q is the alphabet size, fixed independently of the input graph, and val(G) is the largest fraction of constraints simultaneously satisfied by any labeling.",https://cs.nyu.edu/~khot/papers/UGCSurvey.pdf,"Section 2.4, Definition 2.4 and Conjecture 2.5; CCC 2010 invited survey",reviewed,96,original,
TCS-6588,Polylogarithmic approximation for Directed Steiner Tree,Approximation algorithms and hardness of approximation,retained,retained_reviewed_or_approved,Preserve the individually reviewed card or previously approved fundamental proposal. This pruning pass does not reverse its existing importance assessment.,"Is there a polynomial-time O(log^C k)-approximation, for some constant C, for connecting a root to k terminals in an arbitrary nonnegatively weighted directed graph?",https://arxiv.org/abs/2412.10744,,source,96,original,
TCS-6589,The 4/3 conjecture for the metric TSP subtour relaxation,Approximation algorithms and hardness of approximation,retained,retained_reviewed_or_approved,Preserve the individually reviewed card or previously approved fundamental proposal. This pruning pass does not reverse its existing importance assessment.,"Is the supremum, over all finite symmetric metric TSP instances, of the optimal tour cost divided by the subtour-LP optimum exactly 4/3?",https://arxiv.org/abs/2607.01536,,source,95,original,
TCS-6659,The optimal approximation threshold for metric k-Median,Approximation algorithms and hardness of approximation,retained,retained_reviewed_or_approved,Preserve the individually reviewed card or previously approved fundamental proposal. This pruning pass does not reverse its existing importance assessment.,"For general finite metrics, does every fixed ε>0 admit a polynomial-time (1+2/e+ε)-approximation for k-Median, opening at most k facilities? If not, determine the stronger inapproximability threshold.",https://people.idsia.ch/~grandoni/Pubblicazioni/CGLSS25stoc.pdf,"Introduction, paragraph beginning 'However, a major open problem remains'",source,95,original,
TCS-6590,The factor-2 integrality-gap conjecture for the ATSP subtour LP,Approximation algorithms and hardness of approximation,retained,retained_reviewed_or_approved,Preserve the individually reviewed card or previously approved fundamental proposal. This pruning pass does not reverse its existing importance assessment.,"For every directed metric, is the minimum Hamiltonian-tour cost at most twice the optimum of the standard subtour-elimination linear program?",https://epubs.siam.org/doi/10.1137/20M1339313,,source,94,original,
TCS-6591,Constant-factor approximation for Directed Feedback Vertex Set,Approximation algorithms and hardness of approximation,retained,retained_reviewed_or_approved,Preserve the individually reviewed card or previously approved fundamental proposal. This pruning pass does not reverse its existing importance assessment.,Does a polynomial-time constant-factor approximation exist for minimum-weight directed feedback vertex set in arbitrary directed graphs?,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.STACS.2016.55,,source,93,original,
TCS-0088,Best approximation ratio for Max Di-Cut,Approximation algorithms and hardness of approximation,retained,retained_foundational_or_broad,"Keep central approximation thresholds, general relaxations and hardness barriers, and broad algorithmic primitives. Preserve major questions even when their current bucket is imperfect.",Best approximation ratio for Max Di-Cut,https://tcsopenproblems.com/problem/1,Problem 1,index,83,original,
TCS-1165,Is there an algorithm with O(1) recourse?,Approximation algorithms and hardness of approximation,quarantined,lower_editorial_priority,"The saved topic is a specialized variant, a paper-specific approximation refinement, or a secondary methodological extension; it has lower priority than the retained general approximation thresholds and barriers. Saved target: “Is there an algorithm with O(1) recourse?”.",Is there an algorithm with O(1) recourse?,https://doi.org/10.4230/LIPIcs.ICALP.2026.141,Question 19; PDF page 18,index,50,original,
TCS-1168,"For a constant k > 3, what is the computational complexity of coloring a 2-colorable digraph using at most k colors?",Approximation algorithms and hardness of approximation,retained,retained_foundational_or_broad,"Keep central approximation thresholds, general relaxations and hardness barriers, and broad algorithmic primitives. Preserve major questions even when their current bucket is imperfect.","For a constant k > 3, what is the computational complexity of coloring a 2-colorable digraph using at most k colors?",https://doi.org/10.4230/LIPIcs.ICALP.2026.53,Question 2; PDF page 19,index,50,original,
