0482R Does naive evaluation over p-stable semirings converge in O((p+1)n) rounds? | Semirings in Databases, Automata, and Logic (Dagstuhl Seminar 25081)
0483 Subreducts of monus semirings | Semirings in Databases, Automata, and Logic
0485 A problem on unambiguous DNFs | Representation, Provenance, and Explanations in Database Theory and Logic
0486 A question about representatability of probabilistic databases | Representation, Provenance, and Explanations in Database Theory and Logic
0487 Complexity of polymatroid query-size bounds | Algorithmic Aspects of Information Theory
0488 Computability of entropic query-size bounds | Algorithmic Aspects of Information Theory
0489 Find C3-equivalent graphs with a factor-2 gap in the size of their minimum vertex covers | Finite and Algorithmic Model Theory
0490 Proof length for Shannon-flow inequalities | Algorithmic Aspects of Information Theory
0492R Is containment of conjunctive queries under bag semantics decidable? | List of open questions: Decidability of conjunctive query containment under bag semantics
0493 Decidable constraint separability | Antoine Amarilli: research questions
0494 Finite controllability from bounded derivation | Antoine Amarilli: research questions
0495 Linear rules with transitive predicates | Antoine Amarilli: research questions
0496 Necessary size of query lineages | Antoine Amarilli: research questions
0497 Path-query determinacy from union views | Antoine Amarilli: research questions
0498 Probabilistic queries on large-treewidth classes | Antoine Amarilli: research questions
0499 Query evaluation with treewidth parameter | Antoine Amarilli: research questions
0500 Recognizing safe probabilistic queries | Antoine Amarilli: research questions
0501 Skyline-query oracle complexity | Antoine Amarilli: research questions
0502 Tractable probability versus tractable lineage | Antoine Amarilli: research questions
0503 Unary logic with counting restrictions | Antoine Amarilli: research questions
0504 Uniform algorithms across tractable CSPs | Antoine Amarilli: research questions
0505 Uniform reliability of homomorphism-closed queries | Antoine Amarilli: research questions
1256 As far as we are aware, despite it being of independent interest, it is unknown whether a computationally efficient analogue of DP-Amplification exists. | Differential Privacy from Axioms
1435 Is the characterisation based on one-boundedness still sound and complete? | Conjunctive Query Containment with Safe Negation and TGD One-Boundedness
1491 It remains an open problem to determine whether or not there is an abstract notion of a semijoin program that can be used to extend […] | Gamma Acyclicity, Annotated Relations, and Consistency Witness Functions
1492 9 Observe that, for monotone queries, it is equivalent whether a fact is impact-relevant, has positive impact, is part of a minimal support, or is […] | Responsibility Measures for Conjunctive Queries with Negation
1514 Are there other natural counting versions that are of interest – for instance in database repair – under which the complexity of RM⊗ ⊗ arb […] | The Descriptive Complexity of Relation Modification Problems
1520 Secondly, can we use our methods to shed light on the polynomial time solvability of {∪, ×}- HOM(A, _)? | Factorised Representations of Join Queries: Tight Bounds and a New Dichotomy
1624 It is still an open question to find the right balance between the granularity (and type) of statistics and the efficiency of a join algorithm. | The Quest for Faster Join Algorithms (Invited Talk)
1626 It remains open whether oblivious, worst-case optimal join algorithms can be developed without requiring all join results to be written back to disk. | Optimal Oblivious Algorithms for Multi-Way Joins
1627 For the general full CQ, creating an algorithm is challenging remains an open problem. | Parallel Query Processing with Heterogeneous Machines
1628 First, while the containment problems studied here are known to be NPTime-hard [24], identifying tighter lower bounds remains an open challenge. | Bag Containment of Join-On-Free Queries
1707 As discussed in §2, it remains an open question whether the quantifier-rank blow-up can be eliminated or significantly reduced in either Theorem 2.1 or 2.3 […] | Equi-Rank Homomorphism Preservation Theorem on Finite Structures
1718 While it is an open problem to produce a WCOJ algorithm relative to CBComb (Q, DC), any such algorithm now immediately results in a WCOJ […] | Partition Constraints for Conjunctive Queries: Bounds and Worst-Case Optimal Joins
1817 What constraints are present in the resulting database of intermediate results beyond those inferred by the chase [1]? | Database Theory in Action: Database Visualization
1831 Do we get a strict hierarchy as in Figure 1? | Adaptive Query Algorithms for Relational Structures Based on Homomorphism Counts
1872 However, it holds that entw ď subw [14].3 Of course, we do not know whether we can construct this data structure in time Op|D|entw q, […] | Generalized Covers for Conjunctive Queries
1925 And, assuming a “true” CQ q ∗ , if we repair a given CQ q repeatedly based on labeled examples for q ∗ , does […] | Query Repairs
2019 We also leave open the problem of filling in the two remaining gaps in Table 1. | Conjunctive Queries on Probabilistic Graphs: The Limits of Approximability
