id	field	math_spans	before_sha256	after_sha256
TCS-0001	definitions	1	0d728e2e59bbc58d2fa920af39e50649c075fe694749a3d4c4d4a85aa31e5553	dd379e2212a31622ef7d6c9cdd64c1985f70c9b76d6c015e6ab27e620a63c2cd
TCS-0001	answer_criterion	2	6b95820a8021a5b74d4a28bc61e32563b795f13594709b00b06401ca2569131a	776d03b1809f5c6a7ad4043a06c102133dffb9bea24db865142c8c78b15c628a
TCS-0001	progress.2.text	1	9e141d7cf4608a1fb8b6e78e6df6c1d4ea7444980455bd81cec026c047c14869	d27e40b5c23d607298e9e3095eb9d43bbe0a27bec8f703857ecf3bf3869b7218
TCS-0001	context_blocks.2.text	2	dfea31db59df884ec4ef5722aa0f76fdf72db4c7cbcf58495449d5ff7e84cc31	0cf9ad0dcdd6b41c42afdad14974326a64c1fb540e41fff6845355a262254018
TCS-0001	textbook_notes.2.caution	2	c8196fd57348fa38e00060b53a7499a15162e06ba82ebab1402d4a1988a2b0ce	02aaf2ccf3545a8bb3a16ee7c5985cc61ceb9249bce6252f50db02e8e23fdf7c
TCS-0002	definitions	1	60074c05dee83c7051a47999e7389e56f9ef17a819d624aaee4fe071f0d81817	745c9c7c8b5ee7d2ae4390084d92b9f7362948f30de3e1705eef70a8a8719dad
TCS-0002	answer_criterion	2	0df3520c7d6cc7f1e62dec5721b8948188db1527606fe828d1710426e99053ff	d5bbf6f20a52029209b3d277fe14b1d351f6600ba364d8a8ee0bccfb59aa0bd5
TCS-0002	formal	1	36d236d65660d1369bae3b787edf95fc5925c2fbabd2c0f5c7b189d2802de781	6acb37a9acf7b53c388a6ce3fc6e94247a8d0c30f9beea791bb0fbef3bbbb442
TCS-0002	progress.0.text	1	2a4eddca8162fb4802a9b552fdb471d21fa42282f16d200e7371d345da5d8c31	20b23f7e668983f92a8a2b699826e0a76f5c144d7c13c13b965608018fc4aba1
TCS-0002	context_blocks.2.text	1	001411f73965771d3476fa27eda470895334b9cb6dfd9d68b7b8b41c763b97b8	8a57b6cd86b72defa47e23d59100f2c46b9045340a6a1574d802b95d8aeb3349
TCS-0003	status_note	1	7fbf3f33dc2d708c1859d95aecb2d25e8e9ef28358a15d62253ffa8a3ee2769b	cafbf9ade30c17b4c2db860f0ba55bb08fa3cff12f234891a5e19c01314d4cc5
TCS-0003	definitions	2	c274f81eceb5816d5954c983fdd41c869b2c41b25e4e16493eb7925645d717e8	783720a292f1bc6a6f54857a708d75ddfc74a15fd3bc0363398101bff8b105a5
TCS-0003	formal	1	88d63174703b943d728fca2251e44f424eb58e55b876c639434f393bf0536fd9	b65f673f7d1d301c9b939ccddcb15525997986dd257b30dee32f366107cb82e7
TCS-0003	working_summary.sentences.1	1	73ddd6dde1e6aa76615a8d9c44ce9624f46dc10fb56f81bb69f6d78f227a1bfc	c5b9a3fe75e3c1d2abe5e1785bd01c88a10b852bf887a7e0a064b27bb996c721
TCS-0003	progress.0.text	1	68b57e14de74bfb25f2596d7b980048df3cccc621aaed71c9c2ad26fd8ece3e0	d3e30e747a9268a98fa181e12114c4b1ccb583958ef986337b76c375c3709aea
TCS-0003	progress.1.text	4	128180e2a3bbccb229eceeb69c7ad6343f05335cda75f5823c3a86a9aa4a6a89	ade205ea12713cc27548024461635c7984dfcaa614ac34b43f5a0111ebd2735f
TCS-0003	progress.3.text	1	938284a051547692b4a710aaba22f9b5957642613885ee044046af1eab854964	4bd4358aa75c16f531ee413c4f3f6cc64f4deef17f486df4c07af8290312b13d
TCS-0003	context_blocks.3.text	1	7489e3ab1b721b35f9f063db6f33d80c8ad35234e664b83ae4d829dd9e8d7b7d	1172ec2f8e9269e5c662977b9dbee8af345101263fd43e06e5ad7d4e0568ba6f
TCS-0003	references.1.title	1	8597ea4515029da4696bccf50593554fa1ea0a7cd44c2dade36a069bc8fba9dc	d5c1ca69d7928c6d5db18599fad0471b84831be1b1e8c53e540de314c2942252
TCS-0003	textbook_notes.0.summary	1	426d04746114823d5b481dcc3598c7f406b9790c65633c0a9ca4b06919eb4106	aa0b9086b15d9a6a13da61a7de4aa2f844e98ad6680aad03e998abcfd6631c88
TCS-0004	definitions	4	ab061c2bd53aacc8ba831445dc207f5698b529047a28edb60e0808dc90f12165	636c01ae2d0eb315c96ff7d5943b4191f3649a57be2a0ac83e6b67d7f55135f0
TCS-0004	formal	2	4e0c70801736b6541a3ffe47e50526b9d38bbe7ddb6df3e38bf738e4c075b9cd	fea0076b24318a83c33ab26d99531ade84ec4776d8e47db8a2bb3c1eb42f84ce
TCS-0004	progress.0.text	2	d18ab93168760b8a29774baced0aaa0109b46e9d3fb66fb9db657401adcd7fc2	22c2d22d0c1c7d711d6f37506eba61f9f9782eb3a7247e300223a57c06191632
TCS-0004	progress.1.text	1	d61242d1b3159766a4333a5a54599e8011f1adb6466ba4bd07b6c6a197f318ec	483a20f9ee60d6f876c135fac7baedd4a907d267a26e2c70115797578188b2a7
TCS-0004	progress.3.text	1	f52ba17a6fd05efb66658ba68df462f96fb165f02077f4074ce4862f2903afb1	aa748baa4aede167574104f6c5ed0d1e191c42a1dce79856d6b735ad05615d0b
TCS-0004	context_blocks.1.text	1	3dcc4269a5bf2758227450d10e1c291194fda6b388831846198550059e23c796	af50d9f22a3d32cbdf2f2d36d91e9b85b09e0b57c9b1825ed2de2b92988c7a62
TCS-0004	context_blocks.2.text	1	89208e047883b8ef78c27ee024fa9677da3aea602d1f78568422b95b77253856	c8d5fcedfb49a9cad46281fbed2ae9eedc323df43b3b73cd68a03c7fd1c075e6
TCS-0004	context_blocks.3.text	1	bbf6fe5dc04c9ac70d129532d27ac742b08ff422aca7e1295a3c339b229fde64	6fb55dec303681e8e1c2f751c86cd33c1273dc2c41b7c2e0729fb791a064039b
TCS-0004	textbook_notes.0.summary	1	d52ef29fd591ce6b211034c8c3475c57201ede528e9caeb74aca36c5eed7d25a	0e0855e67910b0570b2a918b03baa0142b39b047978219af223c993964869a6d
TCS-0005	definitions	4	154e183ed6e3dc4d342216b90a4f96d5b0a33ffd130de6754b76e2743f835f6c	6b445b4b6da585d3633334bbc9ca28b8cc7a71025b7f87953646412444e504e3
TCS-0005	formal	2	7a9ba36213ad36c94b735752954b9c505015a2ece8a4c3706fce53683605c18a	2cc3a54159adce5a8105b5b1e1d18cce1d6141c92d31e970f205fd320686ccaa
TCS-0005	progress.0.text	1	f6bc7c89143331394d7a32f89b15124d1b8e644b8cd08c7d89fd76f0daa7121d	d3ca60ab735fd0bc67d5c32eb8880ba49deb34fb067eb23d1543f0bf94efd8bc
TCS-0005	progress.3.text	1	1d431173943e7afd9c4810ccf3f7edff6d7fb9297be50c23dfeda33fd63cb04d	4721d3c2b8bcdcab77e8d14ca20079787dd30e93d4b58cf850da0812ab09dc69
TCS-0006	definitions	10	deaf7328efdf71154b69e2ceca3fa3cdabc37bac9b07af34fab9a0e540219faf	572b110caaad6a33382c200db4a119a90c448d0b74e987b54bb11e4fac50f963
TCS-0006	formal	4	f2f0f8742c62a21210c8389f0f287404c988607d615b265d7746bbeab945ccc5	3df1e4d2b14efbdd9d11a7138221e7306f3bb1a76aa4f53ea4a0bc1f4fcb8b52
TCS-0006	progress.1.text	1	7cb7cb7fa35219e1de37e02edf10d7c1b4bbe746b1a708347c78588b19ed857e	f2e417a4d2b2d2670899985fd8bc71749b739fb0c668b1a87d2cc106c06931e6
TCS-0006	progress.2.text	5	a62b36d0cf9a0e3e0c22cb3215ff59346ab42887057778dd04b11dd251dee557	b9c790bb8c0185d20c98ddcccca32ce012752a73aed4f75a39f8ab9134526cb4
TCS-0006	progress.3.text	1	e84eb3f5e6abffeb09897da5b5d65a319f2cf1c5d505d21fd5658fd2baa88dfd	58bebe93548c11f69b50e3bfdcb8a2fd0f9ca841ec2d841a2ebf67fed3541bea
TCS-0006	context_blocks.1.text	2	a23606caeaea9c7d3ebffece6e19272f85d9c9444d242aed3bf8c22805fc0ef2	6e0018e8c0d13f3b0fb5b2c486437c42c0bf342ec88049a935f2bb1b5c75bd48
TCS-0007	definitions	13	151565c1d0282da2752d4ccb59437f564ddf5b822a7f59389c1eef20268882d7	9ca2130c7632bd2fba3f4f71827a8e95b8eeb5553f74e27d6a72aa6f406b6636
TCS-0007	answer_criterion	6	16f393c4c03899ca5c777862c5aba4f78911fa1385b90954aada4bf5b629e401	5599033a6322e2421d3e41cfbaa42e45adb0fa769c8eca29a3385c960bc04e41
TCS-0007	formal	3	fc87b64001203ebea66be086d0db027be4e2ed15fd4a3b67208163cbfa0aa9fd	1753f3e16c29d01f18f6f18a5fe82a4610df1caa3a01d4a03fa798317d303623
TCS-0007	working_summary.sentences.1	1	d8c50368d21622a4d2279888d27e5eafa67d1998a4d3071ad38b99c88699b02c	a95fb9167b3e832d4ab881b654dfe3334fa8761d0373caa538a759a0cdc52bc0
TCS-0007	working_summary.sentences.2	1	8bfd0d56f10253bca22f1849c55e169b447533dc5d290b743de34adab7c523e0	91dba84de47bc18c5c11f3dddfaff5d4a93574ae2d31253893643459e7f66088
TCS-0007	progress.0.text	1	d6d29be1dfaa799641600e7b3e14b47f23c92898f526fd4d286d242be9bbe9b5	7af1fb106b81c369c9a45bb3edbcadbc6c180181c158f7cffc543342374aa4cf
TCS-0007	context_blocks.0.text	2	05f4fb3b311222eb6ae5325baf9c7ab973d6aadb750b6842b0e25cf73914e6af	02ea9c4b70a602fbf98b32a096f2c7b93f4b58027ace1d1903587e44dcc93976
TCS-0007	context_blocks.1.text	2	aa887a79901b2699ddb90ad78ba38f33753c3bcfd499a9afb5bc9107d3fb8412	d8edefa67887b28af4355296f0bd625b1f4be2789f76411a144f2cd4794225e7
TCS-0008	definitions	2	3913a7d63cec09976d2c7e75f47ac9653a3b40100408935f9435048dae81c4b3	59ba4b0fb179d75839f7ffc1c194244cd01c166d4e9b377713a2129fe5f2dae4
TCS-0008	formal	2	8882042fabe1d6ac275a5d7a1cc084d20dc8bdb5990ccecf89f6028c6c4349e5	296141c7bf17b29fdf469008fb57fdfc0e84b1102f71dd504c185078990a449c
TCS-0008	progress.5.text	1	02adf2c4968b0931f2b9b3ad631865654517c3947f53acfa1d543220ac5713e9	27cd65d0d5325c7651b0a2ef21382570e37e06d923ca960120fc2cccf02f79c4
TCS-0011	context	3	e097f5107f65206bd16480d1bbd517902b8cbe6b761128762302ac49c25f89e6	1c9733b20501cb9808924dce14b78f7375225a5d249a08864e9c4f2609ac7a2e
TCS-0011	definitions	5	f2c8ed1b22963f350f939badcc286330351f7a91c0c3f883cff4c3f2fab49a96	fc3ecb44dc5ca44de13a9b432a00ccf455cbeaf13bb511a02ec7ded826758269
TCS-0011	answer_criterion	1	e70218a07bf73cd73135ed37e91b69e09976fbc05e268aa6b6966bad73e242f8	3001c976e67372bc1f42914e1b1a224d6aef1301614bcc2ac302b6fa3c30acfa
TCS-0011	formal	8	dd54d20c5fa42bb57e82c51988f007079220a063d12b00d2f0b46a58e51dd58e	7020447f150308ef79f4a6a4f2cce75e8c2de87e29d03e8f70eaf339ed773aa7
TCS-0011	working_summary.sentences.2	1	58aabed657922338a2b4d2dfe25f48312c2899a227a9bd6ec01f5a18610810e3	52b2a83ae0b1ea7795ef5f4cc5c09dee35eecde048a19ad5f957663b87f8e249
TCS-0011	progress.3.text	1	183d395bdf9e5922f87efbf4f56e07806168831ab6499624d88a3fe1daee398b	60c5286b3fa4872f46b662c31371185e540c67db695e5e382746badb2a0386cf
TCS-0011	context_blocks.2.text	1	af27cc08a003b66a7e20aabb6291638cea683a57855b42c1fa58fbb1d33e315f	92ceef1dafde062f8bf728428cc3b058480712f068c2143e51ff01d9d2088a71
