category,category_name,rank_in_category,key,title,question,importance_cs,novelty_note,status_note,sources
1,Approximation algorithms and hardness of approximation,1,metric-k-median-optimal,The optimal approximation threshold for metric k-Median,"For general finite metrics, does every fixed ε>0 admit a polynomial-time (1+2/e+ε)-approximation for k-Median, opening at most k facilities? If not, determine the stronger inapproximability threshold.","Základní otevřená mezera v aproximaci shlukování: jde o konečný dosažitelný poměr, nikoli o další malé zlepšení algoritmu.","TCS-6059 asks about FPT approximation of MATROID median; its full source p. 2 was read. The other k-median records concern capacities, anonymity, local or universal variants.",The STOC 2025 paper gives 2+ε and explicitly identifies the remaining gap to 1+2/e. Polynomial time is required for variable k; an FPT algorithm is insufficient.,https://people.idsia.ch/~grandoni/Pubblicazioni/CGLSS25stoc.pdf
2,Parameterized and exact algorithms,1,edge-multiway-cut-kernel,A polynomial kernel for Edge Multiway Cut,"Can an undirected Edge Multiway Cut instance with cut budget k be reduced in polynomial time to an equivalent instance whose total encoding length is k^O(1), independently of the number of terminals? A randomized polynomial kernel would already resolve the size question.",Jedna z hlavních otevřených otázek kernelizace grafových řezů: zda lze velký vstup stlačit na velikost polynomiální v počtu mazaných hran.,"Existing TCS-5901 selects Vertex Planarization, despite Multiway Cut appearing in its source title. TCS-5945 is Multiway Near-Separator with deletable terminals. Neither is the general edge-cut kernel question.",Keep arbitrary terminal sets and edge deletions. Polynomial kernels for fixed terminal count or for vertex deletion with deletable terminals do not settle it.,https://arxiv.org/abs/2002.08825
3,Fine-grained complexity,1,hyperclique-hypothesis,The Hyperclique Hypothesis,"For every fixed uniformity h≥3 and clique size k>h, is detecting a k-vertex clique in an n-vertex h-uniform hypergraph impossible in O(n^(k−ε)) time for every fixed ε>0?",Samostatný hlavní předpoklad fine-grained complexity pro problémy s vazbami mezi více než dvěma prvky; nese jinou síť podmíněných dolních mezí než hypotézy o obyčejné klice.,No Hyperclique question identified. Prior small-pass algebraic k-Clique concerns ordinary graphs and matrix-multiplication exponents.,"This is a conjectured running-time barrier, not a proven lower bound. Fix h and k; the statement excludes the trivial k=h input-reading case.",https://arxiv.org/abs/2505.17314
4,Pseudorandomness and derandomization,1,optimal-rip,Optimal deterministic restricted-isometry matrices,"For a fixed distortion δ=1/3, can a deterministic algorithm running in poly(N) time construct an m×N rational matrix A with m=O(s log(eN/s)) such that (1−δ)||x||²≤||Ax||²≤(1+δ)||x||² for every s-sparse real vector x? Require polynomial encoding length.",Výrazná mezera mezi náhodnými a explicitními konstrukcemi: optimální komprimované měření řídkých signálů bez náhody.,No restricted-isometry or RIP question found in the saved catalogue or earlier proposals.,Random matrices achieve this row count. Explicit constructions for weaker sparsity regimes or with more rows do not meet the target.,https://www.sciencedirect.com/science/article/pii/S0024379525003143
5,Proof complexity,1,frege-extended-frege,Frege versus Extended Frege,"Does Frege polynomially simulate Extended Frege in proof size? Equivalently, is there a fixed polynomial p such that every tautology with an Extended Frege proof of size s has a Frege proof of size at most p(s)?","Ptá se, zda zavádění jmen pro pomocné formule zásadně zkracuje důkazy. Jde o porovnání síly dvou ústředních důkazových systémů.",Prior small-pass candidate asks for superpolynomial Extended Frege lower bounds; this asks for a separation or simulation between systems. TCS-5332 concerns automation of Resolution.,Proof-size simulation is the target. Do not silently strengthen this to an efficiently computable proof translation.,https://mathweb.ucsd.edu/~sbuss/ResearchWeb/Stanford_February2014/
6,Communication complexity and Boolean function analysis,1,asymptotic-gotsman-linial,The asymptotic Gotsman–Linial conjecture,"Is there a universal C such that every Boolean polynomial threshold function f=sign(p) on {−1,1}^n, with degree(p)≤d, has total influence I(f)≤C d√n?","Základní otázka o citlivosti prahových funkcí nízkého stupně, která propojuje analýzu booleovských funkcí, učení a obvodovou složitost.",No corresponding selected question identified; broad Linial-name matches were unrelated.,The original exact extremal conjecture is false. Kane proved a weaker bound with polylogarithmic factors; neither fact settles the O(d√n) statement.,https://arxiv.org/abs/2108.02288 | https://dspace.mit.edu/server/api/core/bitstreams/7f2e32fd-d615-4dba-97be-f26cd30ca234/content
7,Coding and information theory,1,broadcast-capacity,The capacity region of the general two-receiver broadcast channel,"Give an exact, effectively evaluable characterization of the capacity region of every finite-alphabet discrete memoryless broadcast channel p(y,z|x), for two independent private messages and vanishing average decoding error, without feedback.",Jeden ze základních nevyřešených modelů síťové teorie informace: jeden vysílač posílá různé zprávy dvěma příjemcům.,No broadcast-channel capacity question identified. Earlier Gaussian interference-channel capacity has two transmitters; it is a different network model. Li–Li network coding has meanwhile been added in the parallel large-category pass and is not counted here.,"The proposal asks for the general capacity region, not for the tightness of Marton's bound; a recent counterexample claim concerning that bound is not a full capacity characterization.",https://chandra.ie.cuhk.edu.hk/research.html | https://arxiv.org/abs/2608.19869
8,Algebraic computation,1,shub-smale-tau,The Shub–Smale τ-conjecture,"Is there a universal C such that every nonzero f∈Z[x] has at most (1+τ(f))^C distinct integer roots, where τ(f) is its constant-free straight-line complexity from 1 and x using addition, subtraction and multiplication?",Jedna z hlavních algebraických hypotéz o složitosti výpočtu; její důkaz by mimo jiné oddělil P a NP v modelu výpočtu nad komplexními čísly.,No τ-conjecture or integer-root versus straight-line-complexity question identified. Prior determinant/permanent questions ask about different resources.,Count distinct INTEGER roots and forbid arbitrary free constants. Real-root versions and additive-complexity variants are different conjectures.,https://arxiv.org/abs/math/0304100
9,Lattices and computational number theory,1,polynomial-factor-svp-algorithm,"Polynomial-time, polynomial-factor approximation of Euclidean SVP","Is there a constant C and a classical polynomial-time algorithm that, given a rank-n rational lattice basis, returns a nonzero lattice vector of Euclidean length at most n^C λ1(L)?","Určuje, zda lze nejkratší vektor efektivně aproximovat aspoň do polynomiálního faktoru; je to ústřední mezera mezi algoritmy pro mříže a kryptografickými předpoklady.","TCS-0655 asks to rule out n^ε-GapSVP under a standard assumption for SOME small ε; this is not equivalent to finding a vector within n^C for SOME possibly large C. TCS-0652 concerns dimension-preserving reductions, not this algorithm. TCS-0658 asks for conditional hardness at n^(3/2+ε) for some ε, including quantum algorithms; it likewise does not settle the existence of a classical algorithm at some arbitrarily larger fixed polynomial factor.",Classical search SVP in the Euclidean norm. A hardness result at a smaller polynomial approximation factor does not rule out an algorithm at a larger one.,https://www.cs.umd.edu/~gasarch/open/svp-color.pdf
10,Randomized algorithms and sampling,1,critical-ising-3d,Polynomial mixing of critical three-dimensional Ising dynamics,"On the L×L×L box with free boundary, zero external field and inverse temperature βc(Z³), does single-site heat-bath Glauber dynamics for the nearest-neighbour ferromagnetic Ising model have total-variation mixing time L^O(1)?",Zásadní otázka účinného vzorkování při fázovém přechodu v nejběžnějším prostorovém modelu magnetismu.,No critical Z³ Ising mixing question identified; existing Ising records concern learning and different graph/model settings.,High-dimensional lattice results and the 2024 result at the tree uniqueness threshold do not resolve the three-dimensional lattice critical point. Status is assessed from these primary results and later-result searches.,https://arxiv.org/abs/2202.02301 | https://arxiv.org/abs/2411.10318
