TCS-0001	Does P equal NP?	The P versus NP Problem
TCS-0021	Polynomial-size circuits for NP	Mathematics and Computation (2018 draft)
TCS-0002	NP versus coNP	Mathematics and Computation (2018 draft)
TCS-0015	Explicit superlinear Boolean circuit lower bounds	Mathematics and Computation (2018 draft)
TCS-0016	Exponential circuit lower bounds for SAT	Mathematics and Computation (2018 draft)
TCS-0004	L versus NL	Mathematics and Computation (2018 draft)
TCS-0020	Polynomial-size circuits for EXP	Mathematics and Computation (2018 draft)
TCS-0018	P versus NP intersect coNP	Mathematics and Computation (2018 draft)
TCS-0481	Do single-pair shortest paths require cubic-size min-plus circuits?	Lower Bounds for Tropical Circuits and Dynamic Programs
TCS-0017	Karchmer–Raz–Wigderson formula composition conjecture	Mathematics and Computation (2018 draft)
TCS-0019	Polynomial formulas versus linear circuits	Mathematics and Computation (2018 draft)
TCS-0305	Supercubic uniform formula lower bounds for SAT	SIGACT Open Problems Column
TCS-1039	Explicit superlinear in-place XOR lower bounds	Complexity of Linear Boolean Operators
TCS-0293	Improving SPACE versus NSPACE via Tree Evaluation	Computational Complexity of Discrete Problems
TCS-0301	Excluding one-sided randomized quasilinear-time log-space SAT	SIGACT Open Problems Column
TCS-0302	Excluding quasilinear-time log-space Max Clique	SIGACT Open Problems Column
TCS-0303	Stronger log-space time lower bounds for SAT	SIGACT Open Problems Column
TCS-0304	Stronger uniform depth-three majority lower bounds for SAT	SIGACT Open Problems Column
TCS-1021	Promise-BPP derandomization implying EXP circuit hardness	Pseudorandomness
TCS-1022	Derandomization implying exponential nondeterministic circuit hardness	Pseudorandomness
TCS-0308	Formula versus circuit succinctness	Antoine Amarilli: research questions
TCS-0310	Is weighted falsifiability of unambiguous DNFs in polynomial time?	Is this problem on unambiguous DNFs hard?
TCS-1035	Cost of restricting linear circuits to depth two	Complexity of Linear Boolean Operators
TCS-1037	Asymmetry of XOR complexity under matrix inversion	Complexity of Linear Boolean Operators
TCS-1040	Nonlinear-gate advantages for binary linear operators	Complexity of Linear Boolean Operators
TCS-1034	Largest separation between SUM and OR circuits	Complexity of Linear Boolean Operators
TCS-1036	Unbounded XOR-over-OR complexity separations	Complexity of Linear Boolean Operators
TCS-0306	Efficient negation of d-DNNFs	Antoine Amarilli: research questions
TCS-0307	Efficient smoothing of structured circuits	Antoine Amarilli: research questions
TCS-0014	Cubic monotone formulas for majority	Mathematics and Computation (2018 draft)
TCS-1023	Natural complete problems for randomized classes	Pseudorandomness
TCS-0068	AC0 on trees	Circuits, Logic and Games
TCS-0069	Perfect matchings for grid graphs and AC0	Circuits, Logic and Games
TCS-0070	Prefix diversity bounds for Boolean languages	Circuits, Logic and Games
TCS-0292	Can Sherali–Adams prove the totality of rwPHP(PLS) in low degree?	Computational Complexity of Discrete Problems
TCS-0294	Expected circuit complexity of detecting half the cliques	SIGACT Open Problems Column
TCS-0295	Sampling modular distributions locally	Computational Complexity of Discrete Problems
TCS-0296	Explicit ternary functions resisting ten binary gates	Algorithmic Aspects of Information Theory
TCS-0297	A counting function capturing exactly P with NP access	SIGACT Open Problems Column
TCS-0298	SAT multi-prover proofs using efficient SAT-oracle provers	SIGACT Open Problems Column
TCS-0299	The direct sum of the fork relation	Computational Complexity of Discrete Problems
TCS-0300	The randomized complexity of online labeling	Computational Complexity of Discrete Problems
TCS-1038	Sharp complexity constant for bounded-fanout XOR circuits	Complexity of Linear Boolean Operators
TCS-1144	Is it true that spr(IPn ) = ω(n) or spr(Disjn ) = ω(n)?	Spiky Rank and Its Applications to Rigidity and Circuits
TCS-1150	For example, can one find feasible solutions to prove that any Z with {−1, 0, 1} as its range is good?	Lower Bounds and Separations for Torus Polynomials
TCS-1164	Is Flat Cover(P, ∼E , Q) NP-complete?	Covering a Polyomino-Shaped Stain with Non-Overlapping Identical Stickers
TCS-1172	Describe subgroups Γ ≤ Sn such that under the following restrictions: setting variables equal to each other, setting variables as 1, the group collapses to […]	On CC⁰ Lower Bounds for AND via Torus Polynomials
TCS-1215	For some constant c ≥ 1, there exists an online coloring algorithm that achieves O(nc/g ) colors for graphs with constant odd girth g.	Online Coloring for Graphs of Large Odd Girth
TCS-1216	We do not know if the separation problem is polynomial-time solvable or NP-hard.	Strong ILP Formulations for the p-Regions Problem
TCS-1231	What can be said about other similar types of quantifiers?	A Bookworm Climbs up the Polynomial Hierarchy: Meta-Restoration Complexity in Arithmetic Puzzles
TCS-1233	Some of the open problems in [7] and [14] still remain open.	Tetris Is Hard with Just One Piece Type
TCS-1235	It remains open whether the [ inclusion LDLk ⊊ LDLk is still proper if the depth restriction is removed.	Alternation Depth of Threshold Decision Lists
TCS-1286	We do not know whether St≥3 0 term still belongs to uAC .	On the Complexity of Computing Strahler Numbers
TCS-1332	Since the rules do not contain an analogue of the 50-move rule in chess to limit potential game length, we conjecture that Hive is in […]	Hive Is PSPACE-Hard
TCS-1369	However, it remains open whether there exist functions that exhibit even stronger condensation barriers than what is established in this work (see Table 1).	Bounds for Hardness Condensation in the Query Model
TCS-1556	If π is a pspace-random permutation and T (n) = o(2n/3 ), is NLINπ ∩coNLINπ not contained in BQTIMEπ (T (n))?	Random Permutations in Computational Complexity
TCS-1571	We leave open the intriguing possibility that the information complexity approach can be adapted to parity decision trees.	Direct Sums for Parity Decision Trees
TCS-1602	The most interesting question that remains open is to determine the deterministic query complexity of finding a king in an n-vertex tournament.	Hardness of Finding Kings and Strong Kings
TCS-1603	It remains an open question how the computational complexity would change under more realistic physical constraints, including damping, friction, finite ball diameters and random disturbances.	How Pinball Wizards Simulate a Turing Machine
TCS-1644	Can ideas about nearest neighbor complexity such as connections to mpPTFs be used to obtain new algorithms for nearest neighbor classification and search?	Nearest Neighbor Complexity and Boolean Circuits
TCS-1648	Proving/disproving the conjecture for general circuits is an amazing problem that we leave open.	Polynomial Size, Short-Circuit Resilient Circuits for NC
TCS-1652	Both problems are NP-hard, but we do not know if they are ΣP2 -complete.	A Note on the Complexity of Defensive Domination
TCS-1680	Is One-Sided k-Planarity NP-hard?	Recognizing 2-Layer and Outer k-Planar Graphs
TCS-1754	If ∆ ≥ 3 and T ↑d is constructed as above, then the T ↑d -Cover problem is NP-complete even for simple input graphs.	Computational Complexity of Covering Regular Trees
TCS-1807	Do finite-domain RCSPs (with possibly infinite restriction) exhibit a P vs. NP-hard dichotomy?	Restricted CSPs and F-Free Digraph Algorithmics
TCS-1814	Problem 1: Given k, what is the value of os(k) ?	On the Complexity of Client-Waiter and Waiter-Client Games
TCS-1830	That is, is there a single proof for the sensitivity theorem that works for all k?	Sensitivity and Query Complexity Under Uncertainty
TCS-1857	Is the strict variant of the (s,z,ℓ)-Temporal Cut NP-hard?	Novel Complexity Results for Temporal Separators with Deadlines
TCS-1918	Is it possible to translate our results to these more general cases?	The Complexity of Computing Second Solutions
TCS-1936	Does n2 -Ramsey belong to TFAP?	Total NP Search Problems with Abundant Solutions
TCS-1952	Is it NP-hard to decide whether a simple drawing of an arbitrary graph is pseudospherical?	Separable Drawings: Extendability and Crossing-Free Hamiltonian Cycles
