TCS-1457	Could we take a similar approach using lattice duality?	Could we take a similar approach using lattice duality?
TCS-2957	Furthermore, such an approach does not work for the task of finding an ε2 -minimizer of f , as we do not know how to […]	Furthermore, such an approach does not work for the task of finding an ε2 -minimizer of f , as we do not know how to […]
TCS-3517	Can we give faster sampling-based algorithms for solving LPs?	Can we give faster sampling-based algorithms for solving LPs?
TCS-4733	A hierarchy of semidefinite programs for generalised Einstein-Podolsky-Rosen scenarios — Explicit open question on PDF page 16	Whether this sheds light on a general construction for τ is an open question.
TCS-6470	Variational Quantum Algorithms for Semidefinite Programming — Unresolved-question passage on page 32	Therefore, it remains open to study the effect of the variance of these estimators on the convergence rate of our algorithms.
TCS-2969	Does the competitive ratio of an online (1 + ε)-spanning algorithm for n points in Rd necessarily grow proportionally with ε−f (d) · log n, […]	Does the competitive ratio of an online (1 + ε)-spanning algorithm for n points in Rd necessarily grow proportionally with ε−f (d) · log n, […]
TCS-0480	Does the expected redundancy of optimal alphabetic trees with random weights converge?	For each n >= 2, let $D=(D_1,\ldots,D_n)$ be uniform on the probability simplex, equivalently Dirichlet(1,...,1). Let $C_n(D)=\min_T\sum_{i=1}^n D_i d_T(i)$, where T ranges over full ordered binary trees with leaves 1,...,n in that left-to-right order and d_T(i) is the depth of leaf i, with root dep
TCS-2166	Structural question: For feasible instances of DS-Hypergraph-CA-using-H, does there exist a solution hypergraph whose size is linear in the number of vertices?	Structural question: For feasible instances of DS-Hypergraph-CA-using-H, does there exist a solution hypergraph whose size is linear in the number of vertices?
TCS-4088	Moreover, it remains open to decide if Zadeh’s rule admits Hamiltonian paths on AUSO, a direction suggested by the authors of [1].	Moreover, it remains open to decide if Zadeh’s rule admits Hamiltonian paths on AUSO, a direction suggested by the authors of [1].
TCS-5037	Splitting-Off in Hypergraphs — Explicit open question on PDF page 12	In fact, it remains open to design a strongly polynomial-time algorithm to perform complete element-connectivity preserving reduction operations in the weighted setting [16].
TCS-0695	Tightness of maximum likelihood semidefinite relaxations	Tightness of maximum likelihood semidefinite relaxations
TCS-1889	Bakshi et al. (2022), do not need to assume a condition number or radius bound like in Theorem 1, and we leave as an important […]	Bakshi et al. (2022), do not need to assume a condition number or radius bound like in Theorem 1, and we leave as an important […]
TCS-2623	Our discretization analysis translates their result into an algorithmic guarantee, which indeed enjoys better condition number dependence than prior works on ULMC, although we leave […]	Our discretization analysis translates their result into an algorithmic guarantee, which indeed enjoys better condition number dependence than prior works on ULMC, although we leave […]
