0013 Efficient explicit constant-rate tree codes | Mathematics and Computation (2018 draft)
0177 Algorithmic proof of Tietavainen's bound | TCS Open Problems
0178 Bounded-alphabet approximation of entropy-region faces | Algorithmic Aspects of Information Theory
0179 Coefficient bounds for independence-implication proofs | Algorithmic Aspects of Information Theory
0180 Combinatorial forms of conditional information inequalities | Algorithmic Aspects of Information Theory
0181 Combinatorial forms of non-Shannon inequalities | Algorithmic Aspects of Information Theory
0182 Complexity increase under independent bit noise | Algorithmic Aspects of Information Theory
0183 Deriving rank inequalities from entropy inequalities | Algorithmic Aspects of Information Theory
0184 Entropic matroid approximations approaching unit ratio | Algorithmic Aspects of Information Theory
0185 Entropy optimization underlying matrix multiplication | Algorithmic Aspects of Information Theory
0186 Entropy profiles extending fixed distributions | Algorithmic Aspects of Information Theory
0187 Field dependence of linear-rank inequalities | Algorithmic Aspects of Information Theory
0188 Finite inference systems for structural semigraphoids | Algorithmic Aspects of Information Theory
0189 Finite versus countable-support entropy regions | Algorithmic Aspects of Information Theory
0190 Gaps on entropy-region boundary rays | Algorithmic Aspects of Information Theory
0191 Gaussian versus discrete multiinformation regions | Algorithmic Aspects of Information Theory
0192 Interaction information for pairwise-factorized distributions | Algorithmic Aspects of Information Theory
0193 Maximizing conditional mutual information | Algorithmic Aspects of Information Theory
0194 Maximum entropy versus the Copy lemma | Algorithmic Aspects of Information Theory
0195 Non-entropic extreme entropy-cone rays | Algorithmic Aspects of Information Theory
0196 Polyhedrality of linear-rank inequality cones | Algorithmic Aspects of Information Theory
0197 Proof strength of bounded-copy entropy methods | Algorithmic Aspects of Information Theory
0198 Rational certificates for max-linear information inequalities | Algorithmic Aspects of Information Theory
0199 Recognizing entropic sparse paving matroids | Algorithmic Aspects of Information Theory
0200 Recovering higher entropy-extension profiles | Algorithmic Aspects of Information Theory
0201 Separating entropy regions from group classes | Algorithmic Aspects of Information Theory
0202 Separating two common-information optimization bounds | Algorithmic Aspects of Information Theory
0203 Sharp thresholds for one-bottleneck information transmission | Algorithmic Aspects of Information Theory
0204 The fifth conditional Ingleton inequality | Algorithmic Aspects of Information Theory
0205 The infimum of the Ingleton score | Algorithmic Aspects of Information Theory
1010 Optimal asymptotic binary rate–distance tradeoff | Pseudorandomness
1011 Full-length Reed–Solomon list decoding beyond Johnson | Pseudorandomness
1012 Explicit efficiently decoded binary codes beyond Gilbert–Varshamov | Pseudorandomness
1020 Polynomial-length constant-query locally decodable codes | Pseudorandomness
1107 Reduce linear code equivalence to LIP over nonprime fields | A Survey on Code Equivalence: The State-of-the-Art and Open Questions
1159 Does there exist a prime power q = pℓ and a family of function fields Fi /Fq with ngii = Θq (1), such that each […] | Tracing AG Codes: Toward Meeting the Gilbert-Varshamov Bound
1302 It thus remains open whether any error regime fully restores consistency under equal edge lengths for trees of arbitrary size. | Statistical Inconsistency of Error-Correction Objectives for Perfect Phylogenies
1337 However, it remains an open problem to design a list decoding algorithm for any subclasses of Reed–Solomon codes capable of correcting adversarial errors beyond the […] | Unique Decoding of Reed–Solomon and Related Codes for Semi-Adversarial Errors
1443 Could one get a similar result for the list decoding setting? | Time and Space Efficient Deterministic List Decoding
1444 Can we find suitable choices to improve the MRRW bound? | Higher-Order Delsarte Dual LPs: Lifting, Constructions and Completeness
1530 Do there exist Gabidulin codes of constant column-to-row ratio that are list decodable in the rank metric? | Gabidulin Codes Achieve List Decoding Capacity with an Order-Optimal Column-To-Row Ratio
1620 It remains an open problem whether there are solutions that are efficient when no bound on ∆ is a priori known. | Ultra-Resilient Superimposed Codes: Near-Optimal Construction and Applications
1753 Whether this is because the protocol is suboptimal or because the upper bound is not tight remains open for further investigation. | List Decoding Bounds for Binary Codes with Noiseless Feedback
1771 What is the optimal output-list size for random linear codes and Reed–Solomon codes? | Near-Optimal List-Recovery of Linear Code Families
1912 Can we show that this lower bound actually applies to every q-ary linear code? | List-Recovery of Random Linear Codes over Small Fields
2075 Of course, the main question that we leave open is whether Freivalds’s algorithm can be fully derandomized, i.e., whether there is a deterministic O(ne 2 […] | Matrix Multiplication Verification Using Coding Theory
2424 Is there some p < 1, such that the error effect in the (p, 3)-simple CKP is completely eliminated? | Is This Correct? Let’s Check!
2597 We also note that the argument in our exponential lower bounds for 2-query Hamming RLDCs fail to hold for alphabets other than the binary alphabet, […] | On Relaxed Locally Decodable Codes for Hamming and Insertion-Deletion Errors
2898 Finally, are there more applications of pKt complexity and of Theorem 5? | Optimal Coding Theorems in Time-Bounded Kolmogorov Complexity
2912 Can we develop low-bandwidth evaluation schemes for other classes of functions? | Low-Bandwidth Recovery of Linear Functions of Reed-Solomon-Encoded Data
2948 To this end, the binary InsDel channel offers a more comprehensive model and it remains an open question whether the methods described here can be […] | Explicit and Efficient Construction of Nearly Optimal Rate Codes for the Binary Deletion Channel and the Poisson Repeat Channel
