TCS-6504	Is perfect matching in general graphs in deterministic NC?	The Matching Problem in General Graphs Is in Quasi-NC
TCS-6507	Can directed reachability have near-linear work and polylogarithmic depth?	Parallel Reachability and Shortest Paths on Non-Sparse Digraphs: Near-Linear Work and Sub-Square-Root Depth
TCS-6499	Can distributed MIS be solved in sublogarithmic time on every graph?	Breaking Barriers for Distributed MIS by Faster Degree Reduction
TCS-6505	One cycle versus two: is logarithmic time necessary in low-memory MPC?	O(1)-Round MPC Algorithms for Multi-Dimensional Grid Graph Connectivity, Euclidean MST and DBSCAN
TCS-6506	Can deterministic LOCAL algorithms find an MIS in O(log n) rounds?	Near-Optimal Deterministic Network Decomposition and Ruling Set, and Improved MIS
TCS-0998	Sketching vs. Streaming	Sublinear.info
TCS-0949	Data Structure Lower Bound in the Cell Probe Model	Sublinear.info
TCS-0986	Characterizing Sketchable Distances	Sublinear.info
TCS-0469	What is the deterministic round complexity of maximum independent set in the congested clique?	Adaptive and Scalable Data Structures (Dagstuhl Seminar 25191)
TCS-0940	Lifting sketching resistance to sublinear streaming resistance	SIGACT Open Problems Column
TCS-0996	Relations between Streaming Models	Sublinear.info
TCS-2997	How many rounds does triangle detection require in CONGEST?	Distributed Subgraph Finding — ADGA 2025
TCS-0984	“Ultimate” Deterministic Sparse Recovery	Sublinear.info
TCS-6501	Can a congested clique find a maximal independent set in constant rounds?	When MIS and Maximal Matching are Easy in the Congested Clique
TCS-0533	Local Computation Algorithm for MIS	Sublinear.info
TCS-0994	Graph Matchings	Sublinear.info
TCS-0513	Deciding deterministic LCL complexity on unrooted trees	Jukka Suomela: locality problems
TCS-0514	Deciding randomized LCL complexity on unrooted trees	Jukka Suomela: locality problems
TCS-0524	Can deterministic (Delta+1)-coloring beat square-root dependence on degree?	Open problems related to locality in distributed graph algorithms
TCS-0946	Cut-Sparsification of Hypergraphs	Sublinear.info
TCS-0950	Linear Sketching Over $F_2$	Sublinear.info
TCS-0968	“For All” Guarantee for Computationally Bounded Adversaries	Sublinear.info
TCS-0983	Universal Sketching	Sublinear.info
TCS-0977	Linear Algebra Computation	Sublinear.info
TCS-0987	Deterministic Heavy-Hitters & Fast Matrix Algorithms	Sublinear.info
TCS-0993	Graph Distances	Sublinear.info
TCS-0938	An n log n space barrier for streaming Max-Cut	SIGACT Open Problems Column
TCS-0942	Linear-space lower bounds for two-pass Max-Cut approximation	SIGACT Open Problems Column
TCS-0943	Polynomial-pass barriers to near-exact streaming Max-Cut	SIGACT Open Problems Column
TCS-0944	Square-root pass-space tradeoffs for Max-Cut	SIGACT Open Problems Column
TCS-0515	Intermediate deterministic LCL volume complexities	Jukka Suomela: locality problems
TCS-0517	Can deterministic LOCAL coloring use a near-linear palette in log-star n rounds?	Open problems related to locality in distributed graph algorithms
TCS-0518	Non-signaling LCLs beyond iterated-logarithmic deterministic LOCAL	Jukka Suomela: locality problems
TCS-0520	Promise-free linear-versus-constant dynamic/online-LOCAL separation	Jukka Suomela: locality problems
TCS-0521	Promise-free linear-versus-constant LOCAL/dynamic-LOCAL separation	Jukka Suomela: locality problems
TCS-0523	Randomized LCL volume between log-star and logarithmic	Jukka Suomela: locality problems
TCS-0936	A square-root space barrier for Max-3And	SIGACT Open Problems Column
TCS-0937	A square-root space barrier for Max-kMonarchy	SIGACT Open Problems Column
TCS-0939	Beyond-square-root sketching space for near-half Max-DiCut approximation	SIGACT Open Problems Column
TCS-0948	Streaming Algorithms for Approximating the Number of $H$-Subgraphs	Sublinear.info
TCS-0951	Rényi Entropy Estimation	Sublinear.info
TCS-0954	Metric TSP Cost Approximation	Sublinear.info
TCS-0965	Low Expansion Encoding of Edit Distance	Sublinear.info
TCS-0967	TSP in the Streaming Model	Sublinear.info
TCS-0969	Approximating LIS Length in the Streaming Model	Sublinear.info
TCS-0970	Fast JL Transform for Sparse Vectors	Sublinear.info
TCS-1813	Is the known exponent for distributed even-cycle detection optimal?	Deterministic Even-Cycle Detection in Broadcast CONGEST
TCS-0525	Can bipartite maximal fractional matching be found in sublinear-in-degree rounds?	Open problems related to locality in distributed graph algorithms
TCS-0511	Constant-locality dynamic three-coloring of unrooted trees	Jukka Suomela: locality problems
TCS-0512	Constant-locality non-signaling versus quantum LCL separation	Jukka Suomela: locality problems
TCS-0516	Logarithmic-locality dynamic three-coloring of bipartite graphs	Jukka Suomela: locality problems
TCS-0519	Polynomial-volume maximal matching on bipartite graphs	Jukka Suomela: locality problems
TCS-0522	Quantum speedup for cycle three-coloring	Jukka Suomela: locality problems
TCS-0526	Sublinear-degree LOCAL time for fractional maximal matching	Jukka Suomela: locality problems
TCS-0535	Vertex Connectivity in the LOCAL Model	Sublinear.info
TCS-0729	Stable matching in the semi-streaming model	Frontiers of Parameterized Algorithmics of Matching under Preferences
TCS-0947	Locally Private Heavy Hitters and Other Problems in Streaming	Sublinear.info
TCS-0955	Streaming Online Algorithms	Sublinear.info
TCS-0962	Coding Theory in the Streaming Model	Sublinear.info
TCS-0976	Equivalence of Two MapReduce Models	Sublinear.info
TCS-0979	Modeling of Distributed Computation	Sublinear.info
TCS-0980	Random Walks	Sublinear.info
TCS-0982	The Value of a Reverse Pass	Sublinear.info
TCS-0985	$L_\infty$ Estimation	Sublinear.info
TCS-0988	Deterministic Summary Structures	Sublinear.info
TCS-0527	A self-stabilizing chemical reaction network implementation of a modular clock	Algorithmic Foundations of Programmable Matter
TCS-0528	Computational Complexity of Recent Slide-and-Pack Puzzles	Algorithmic Foundations of Programmable Matter
TCS-0529	Fast parallel reconfiguration without scaling	Algorithmic Foundations of Programmable Matter
TCS-0530	Leader election in grids with faults	Algorithmic Foundations of Programmable Matter
TCS-0531	Minimum number of control alterations (squares in polygon, discs in curved workspace)	Algorithmic Foundations of Programmable Matter
TCS-0532	When can a structure self-fold?	Algorithmic Foundations of Programmable Matter
TCS-0534	Making Edges Happy in the LOCAL Model	Sublinear.info
TCS-0945	Ads, Impressions, and Statistics	Sublinear.info
TCS-0952	Sample Stretching	Sublinear.info
TCS-0953	Separating PDF and CDF Query Models	Sublinear.info
TCS-0956	Succinct Representation for Functions on Graphs	Sublinear.info
TCS-0957	Approximating Rank in the Bounded-Degree Model	Sublinear.info
TCS-0958	Principal Component Analysis with Nonnegativity Constraints	Sublinear.info
TCS-0959	RNA Folding	Sublinear.info
TCS-0960	Submodular Matching Maximization	Sublinear.info
TCS-0961	Applications of Clifford Algebras in Graph Streams	Sublinear.info
TCS-0963	Efficient Measures of “Surprisingness” of Sequences	Sublinear.info
TCS-0964	Homomorphic Hash Functions	Sublinear.info
TCS-0966	Signatures for Set Equality	Sublinear.info
TCS-0971	Graph Frequency Vectors	Sublinear.info
TCS-0972	Rank Lower Bound	Sublinear.info
TCS-0974	Sketching Shift Metrics	Sublinear.info
TCS-0975	Sparse Recovery for Tree Models	Sublinear.info
