category_number,category,key,title,question_cs,importance_cs,sources,near_existing,novelty_note_cs
1,Quantum computation,qltc,Asymptotically good quantum locally testable codes,Existují kvantové kódy s konstantní lokalitou a soundness a současně konstantním rate a relativní vzdáleností?,"Kvantová obdoba jednoho ze základních spojení mezi opravou chyb, lokálním testováním a PCP.",https://www.nature.com/articles/s41534-024-00908-8 | https://quantum-journal.org/papers/q-2024-10-18-1501/,TCS-6446,Quantum PCP je jiná hypotéza; existence dobrých qLDPC bez lokální testovatelnosti už byla vyřešena.
1,Quantum computation,area-law,Area law for general gapped 2D Hamiltonians,"Splňuje jedinečný základní stav obecného lokálního Hamiltoniánu na 2D mřížce s pevnou lokální dimenzí, rovnoměrně omezenými interakcemi a konstantní spektrální mezerou entanglementovou area law?",Základní hranice složitosti kvantových stavů a předpoklad používaný při jejich numerickém popisu.,https://arxiv.org/abs/2103.02492 | https://www.nature.com/articles/s41567-022-01740-7,,V prohledaných formulacích katalogu nebyla nalezena stejná otázka.
1,Quantum computation,memory3d,Self-correcting quantum memory in three dimensions,"Lze v geometricky lokálním 3D systému s omezenými interakcemi pasivně uchovávat qubit při nenulové teplotě po dobu rostoucí s velikostí systému, bez dodatečného zákazu lokálních chyb?","Řeší, zda může kvantová paměť dosáhnout přirozené tepelné stability klasické paměti.",https://arxiv.org/abs/2510.05479 | https://arxiv.org/abs/2103.08622,TCS-4951,"TCS-4951 řeší dobu koherence konkrétní konstrukce; zde jde o obecnou existenci paměti v geometrických 3D systémech. Práce o cored product codes (2025/2026) poskytuje numerickou evidenci konečných velikostí, nikoli asymptotický důkaz; symmetry-protected model zase dodatečně omezuje povolené chyby."
1,Quantum computation,npt,NPT bound entanglement,"Existuje kvantový stav, jehož částečná transpozice není pozitivně semidefinitní, a přesto z něj nelze LOCC destilovat entanglement ani při použití libovolného počtu kopií?",Rozhoduje základní hranici mezi existujícím a využitelným kvantovým provázáním.,https://www.sciencedirect.com/science/article/pii/S0024379524004336,TCS-6459,Otázka NPT distilovatelnosti není totožná s distilovatelným tajným klíčem ani s pouhou existencí bound entanglement.
1,Quantum computation,depolarizing,Quantum capacity of the qubit depolarizing channel,Určit neasistovanou asymptotickou kvantovou kapacitu qubitového depolarizačního kanálu pro všechny hodnoty šumu.,Nezodpovězená základní kapacitní otázka pro kanonický model kvantového šumu.,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.120.160503,,V prohledaných formulacích katalogu nebyla nalezena stejná otázka.
1,Quantum computation,capacity-computable,Computability of quantum channel capacity,"Existuje algoritmus, který z efektivního popisu libovolného konečněrozměrného bezpaměťového kvantového kanálu a ε vypočte jeho kvantovou kapacitu s chybou nejvýše ε?","Ptá se, zda základní informační kapacitu vůbec lze algoritmicky určovat.",https://doi.org/10.1016/j.physrep.2025.06.004,,"Katalog obsahuje Shannonovu kapacitu grafu, nikoli tuto kapacitu kvantového kanálu. Nezaměňovat s nerozhodnutelností jiných kapacit."
1,Quantum computation,dihedral,Polynomial-time quantum algorithm for the dihedral hidden subgroup problem,Lze dihedrální hidden subgroup problem s oracle přístupem řešit v kvantovém čase polynomiálním v logaritmu velikosti grupy?,"Jeden z hlavních nevyřešených cílů kvantových algoritmů po Shorově algoritmu, propojený s mřížkovými problémy.",https://arxiv.org/abs/1112.3333,"TCS-4374, TCS-4811, TCS-5170",Existující výňatky se ptají na realizaci určitého měření či využití výstupu orákula. Obecná polynomialita DHSP v nich formulována není.
1,Quantum computation,quantum-gi,Graph isomorphism in BQP,Existuje polynomiální kvantový algoritmus pro izomorfismus libovolných konečných grafů?,Kanonický kandidát na nové kvantové zrychlení mimo abelovské hidden subgroup problémy.,https://www.scottaaronson.com/writings/qchallenge.html | https://arxiv.org/abs/2512.24423,TCS-4419,Klasická GI v P je už TCS-5750. Kvantová polynomialita je odlišný výpočetní cíl a v prohledaném katalogu chybí.
1,Quantum computation,classical-quantum-verification,Information-theoretic classical verification of quantum computation,"Má každý BQP výpočet interaktivní důkaz s klasickým polynomiálním verifikátorem, jediným efektivním kvantovým proverem a soundness proti neomezenému podvodníkovi, bez kryptografických předpokladů?","Ústřední otázka, zda lze kvantovému výpočtu důvěřovat pouze na základě klasicky kontrolované komunikace.",https://arxiv.org/abs/2604.11952 | https://arxiv.org/abs/1709.06984,"TCS-0030, TCS-0031",Existující karty požadují oracle separaci. Zde je cílem protokol nebo nepodmíněná nemožnost v běžném modelu. Mahadev řeší verzi s kryptografickým předpokladem.
2,Computational geometry and metric spaces,kls,Kannan–Lovász–Simonovits conjecture,Mají všechny izotropní logkonkávní míry dimenzionálně nezávislou Poincarého konstantu?,Ústřední hypotéza vysokodimenzionální geometrie s přímými důsledky pro sampling a optimalizaci.,https://randomstrasse101.math.ethz.ch/posts/KLSConjecture/,TCS-2661,TCS-2661 se ptá na analogii pro Hessian manifolds; obecná KLS v katalogu chybí. Thin-shell a slicing už nepřidávat.
