review_order	id	title	area	confidence	type	action	retain_id	scope_alignment_required	reason	sha256
1	TCS-0126	Parity language	Computational complexity	high	method_specific	propose_removal		False	The parity-subset compatibility property under thinning is a technical combinatorial ingredient for shallow-circuit arguments. Keep the underlying circuit and regular-language lower-bound questions.	9ecce273a69654e670e765f3ec1844865ef4d26311bcf0b48f31a5a51100e5b8
2	TCS-0194	Maximum entropy versus the Copy lemma	Coding and information theory	high	method_specific	propose_removal		False	Comparing the maximum-entropy method with the Copy lemma concerns the relative power of two proof frameworks. The entropy-cone and information-inequality validity targets themselves provide broader coverage.	81323334128754876203d7251cf8427edea9d0133046c61652c28b68a6656e4e
3	TCS-0423	Efficient algorithms for multiparameter persistence	Computational geometry and metric spaces	high	method_specific	propose_removal		False	The concrete target is preventing sparse-matrix fill-in during a particular persistence basis-change procedure. The broad title overstates its scope; general multiparameter-persistence complexity is a stronger representative.	5cb625abc649ec266a19682d6ecb77d54e209157c6c402413e7fb31d9ed2d00c
4	TCS-0866	Learning Quantum Circuits with Queries	Quantum computation	high	model_variant	propose_removal		False	Quantum-circuit learning through value-injection queries uses a specialized intervention interface motivated by a classical test-path method. General quantum learnability and information-access barriers take priority.	23410ceccb7d82fffa5242292442b42a1ecc8086ccf6afa13e63e7804d761b7a
5	TCS-0959	RNA Folding	Distributed, parallel and sublinear algorithms	high	model_variant	propose_removal		False	Approximating simplified RNA folding with polylogarithmic streaming memory combines one application model with a severe access restriction. Core sequence-comparison and general streaming barriers take priority.	9de3c1fb732970a2ea965a7265621ad0d22e297ff4fe71fee90f506a77d9e64e
6	TCS-1039	Explicit superlinear in-place XOR lower bounds	Computational complexity	high	model_variant	propose_removal		False	Superlinear lower bounds for in-place XOR updates add a fixed-register restriction to explicit linear-circuit complexity. The unrestricted explicit linear-map lower bounds are broader representatives.	0b768afc8e59b2a33b72968a696a2d2772b2411bfa54b1e2544a68b34e7289b5
7	TCS-1144	Superlinear spiky rank for Inner Product or Disjointness	Computational complexity	high	method_specific	propose_removal		False	Superlinear spiky rank for Inner Product or Disjointness tests one newly introduced lower-bound measure. Prefer the main rigidity, circuit and communication barriers to an additional measure-specific witness target.	23282ae14480ebb2d5465d23b3e880b0d4fea6da9363a84b21d8ef61666864e6
8	TCS-1157	Relative smartness of distribution-free ERM	Learning theory	high	method_specific	propose_removal		False	Whether ERM achieves the source's relative-smartness benchmark is a follow-up about a preferred learner after another learner establishes feasibility. The general learnability and instance-optimality targets take priority.	380c32043b995b5df03543a899b1adad7fd518b0e39d59de4751cf354fd13ed2
9	TCS-1234	Pass–space tradeoffs for exact streaming histograms	Distributed, parallel and sublinear algorithms	high	quantitative_refinement	propose_removal		False	The remaining exact-histogram pass-space tradeoff distinguishes closely spaced iterated-logarithm bounds. Prefer larger qualitative streaming memory and pass barriers.	49fe032e3501b3bcc9ae046f4d68d14d37127a9b88d6bae28897a100e3fee5b6
10	TCS-1424	Simulating formulas by bounded-width algebraic branching programs	Algebraic computation	high	model_variant	propose_removal		False	Bounded-width formula simulation over two min-plus semirings adds a specialized representation comparison alongside the broader circuit, formula and branching-program separations.	fe9f4e059313e90ff83e64dea6d72ab518ecdb527e51e5641550d8940fdb365c
