inventory_index	category_ids	title	authors	kind	note
270	L01	Quantum Computation and Quantum Information	Michael A. Nielsen; Isaac L. Chuang	book	10th Anniversary Edition; široký základ kvantových výpočtů a informace.
274	L01,L03	Quantum Computing since Democritus	Scott Aaronson	book	Kvantové výpočty propojené se složitostí a vyčíslitelností.
275	L01	Quantum Computing: Lecture Notes	Ronald de Wolf	lecture_notes	Algoritmy a složitost kvantových výpočtů.
48	L02	Computational Geometry	David M. Mount	lecture_notes	Soubor je kurz CMSC 754 z roku 2002, nikoli kniha de Berga a spoluautorů.
10	L02,S04	The Discrepancy Method: Randomness and Complexity	Bernard Chazelle	book	Discrepancy a geometrické algoritmy; identita ověřena z titulní stránky, textová vrstva má chybné kódování.
107	L02,S23	Using the Borsuk–Ulam Theorem	Jiří Matoušek	book	Topologické metody v kombinatorice a geometrii.
21	L03	Computational Complexity	Christos H. Papadimitriou	book	Samostatná učebnice složitosti, odlišná od Arora–Barak.
25	L03	Computational Complexity: A Conceptual Perspective	Oded Goldreich	book	Další systematická učebnice složitosti.
26	L03,S24	The Nature of Computation	Cristopher Moore; Stephan Mertens	book	Soubor moore.pdf obsahuje rozsáhlou knihu; identita ověřena na titulní stránce skenu.
20	L03,S02	Computers and Intractability: A Guide to the Theory of NP-Completeness	Michael R. Garey; David S. Johnson	book	Redukce a klasické NP-úplné problémy.
23	L03,S25	Gems of Theoretical Computer Science	Uwe Schöning; Randall Pruim	book	Přehled základních výsledků; uložená autorská verze z roku 1998.
17	S25,L03	Games, Puzzles, and Computation	Robert A. Hearn; Erik D. Demaine	book	Výpočetní složitost her, hlavolamů a rekonfigurace.
7	L04	Introduction to Algorithms	Thomas H. Cormen; Charles E. Leiserson; Ronald L. Rivest; Clifford Stein	book	Lokální soubor obsahuje druhé vydání.
11	L04	Algorithm Design	Jon Kleinberg; Éva Tardos	book	Široká učebnice návrhu algoritmů; sken bez textové vrstvy.
8	L04	Algorithms	Sanjoy Dasgupta; Christos H. Papadimitriou; Umesh V. Vazirani	book	Autorská verze z července 2006.
5	L04	Algorithms	Jeff Erickson	lecture_notes	Pod názvem 2cultures.pdf jsou rozsáhlá skripta z ledna 2015.
6	L04	The Design and Analysis of Algorithms	Dexter C. Kozen	book	Další systematická učebnice algoritmů.
3	L04	Průvodce labyrintem algoritmů	Martin Mareš; Tomáš Valla	book	Česká učebnice, první vydání 2017.
