0024 Frege lower bounds from circuit hardness | Mathematics and Computation (2018 draft)
0025 Superpolynomial Frege proof lower bounds | Mathematics and Computation (2018 draft)
0071 Proof systems computed by NC0 circuit families. | Circuits, Logic and Games
0767 Short resolution refutations for SAT when parameterized by treewidth | Randomization in Parameterized Complexity
1094 PV₁ proofs of parity circuit lower bounds | Meta-Mathematics of Computational Complexity Theory
1095 PV₁ proofs of monotone clique lower bounds | Meta-Mathematics of Computational Complexity Theory
1096 Unprovability of polynomial circuit upper bounds in S₂¹ | Meta-Mathematics of Computational Complexity Theory
1097 Unprovability of NP circuit upper bounds in T₂¹ | Meta-Mathematics of Computational Complexity Theory
1098 PV₁ cannot verify any polynomial-time SAT solver | Meta-Mathematics of Computational Complexity Theory
1099 Separate two levels of Buss's arithmetic hierarchy | Meta-Mathematics of Computational Complexity Theory
1100 PV₁ cannot prove fixed-polynomial extended-Frege lower bounds | Meta-Mathematics of Computational Complexity Theory
1191 The main problem we leave open is the question of constructing efficient adversaries for all the remaining major proof complexity lower bounds. | Efficient Adversaries
1207 Which finite-domain CSPs are in HerFO? | Hereditary First-Order Logic: the Tractable Quantifier Prefix Classes
1253 Although super-polynomial lower bounds for Res[⊕] remain open, it seems conceivable that we will eventually prove such lower bounds sooner or later. | Hardness of Range Avoidance and Proof Complexity Generators from Demi-Bits
1271 Is it possible to show such a result without relying on Conjecture 3.5? | Multi-Prover Interactive Proof Systems with Leakage
1279 We conjecture that the propositional XOR-PAIRS (which are hard for MICE [5]) would be hard for Q-MICE but it is not a genuine lower bound. | On Proof Systems for #QBF (Short Paper)
1281 However, we leave it is an open question, whether the methods developed in [14] can be extended to SDDs and d-SDNNFs as well. | Proof Systems Based on Structured Circuits
1282 Whether @Red ` Res correctly captures the strength of full CAQE with failed assumptions remains open. | Towards Understanding the Complexity of CAQE: A Proof-Theoretic Analysis of Its Core Procedure
1283 It also remains open to study how different CNF encodings of formulas in the contr rule affect derivation size and tractability. | Beyond Core-Guided MaxSAT
1494 The main problem left open by this work is to exhibit a natural problem in TFZPPdt which is not reducible to Lossy-Code; we conjecture that […] | Total Search Problems in ZPP
1516 Can these techniques be used in order to separate LeastNumber from StrongAvoid? | Separations Above TFNP from Sherali-Adams Lower Bounds
1614 Concretely, could one can prove DAG-like communication lower bounds for the k-player analog SearchkBPHPm n ? | Multiparty Communication Complexity of Collision-Finding and Cutting Planes Proofs of Concise Pigeonhole Principles
1761 This shows that MP-NSR is strictly stronger than resolution; however, its relation to CP remains open. | Tropical Proof Systems: Between R(CP) and Resolution
1838 Are also Q-NS and QU-Res incomparable w.r.t. the qsize measure? | Semi-Algebraic Proof Systems for QBF
1839 Does cost-SR simulate MaxSAT Resolution? | Redundancy Rules for MaxSAT
1905 That is, for suitably defined symmetric analogues of VP and VNP, would super-polynomial lower bounds against symmetric refutations of Boolean CNFs entail a separation of […] | Symmetric Proofs in the Ideal Proof System
1921 Can we bypass this obstacle for concrete proof systems such as tree-like Res(⊕) (resolution over linear equations mod 2) or tree-like cutting planes and obtain […] | On the Automatability of Tree-Like k-DNF Resolution
1976 It is an open question whether the probabilistic independence atoms are already expressible in PCO. | Expressivity Landscape for Logics with Probabilistic Interventionist Counterfactuals
1991 The question whether there exists a sound and complete proof system that captures CE-validity remains open. | Equational Theories and Validity for Logically Constrained Term Rewriting
2036 We leave open, whether the result itself does not hold or if it only requires a different proof. | Polynomial Calculus for Quantified Boolean Logic: Lower Bounds Through Circuits and Degree
