id,title,category,decision,basis,concurrent_addition
TCS-6446,Quantum PCP: a constant promise gap for local Hamiltonians,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0036,Does BPP differ from BQP?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6516,Area law for general gapped 2D Hamiltonians,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6580,Information-theoretic classical verification of quantum computation,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6515,Asymptotically good quantum locally testable codes,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6517,Self-correcting quantum memory in three dimensions,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6518,NPT bound entanglement,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6519,Quantum capacity of the qubit depolarizing channel,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0037,NP outside BQP,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6448,Does a quantum witness have more power than a classical witness?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6520,Computability of quantum channel capacity,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6521,Polynomial-time quantum algorithm for the dihedral hidden subgroup problem,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6522,Graph isomorphism in BQP,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0029,Maximum randomized-versus-quantum gap for total functions,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6449,Quantum versus classical nonuniform advice,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0033,Quantum query complexity versus bounded approximate degree,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0861,Is QMA(2) in BQEXP?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-6447,Strong quantum IOPs with polynomial communication,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0031,Oracle separation of BQP from IP,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0034,Quantum query–space tradeoffs for collisions and distinctness,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0862,Is QRG with constant rounds in PSPACE?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0866,Learning Quantum Circuits with Queries,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0027,Black-box unitary synthesis,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0858,Complexity of the EPR Hamiltonian,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0860,Find the complexity of Quantum Approximate Counting (QXC),Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0030,Oracle separation of BQP from efficient-prover interactive proofs,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0857,Can the QAOA optimize the SK Hamiltonian?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0028,Injective quantum oracles: standard versus erasing access,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0032,Quantum hardness of finding an entire glued-tree path,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0035,Query complexity of high-score cross-entropy sampling,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0859,Does the position of a fanout gate affect the power of QAC0?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-0863,Errors during Non-Clifford Logical Gates,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-0864,Represent GKP Codes Using ZX Diagrams,Quantum computation,quarantine,followup,False
TCS-0865,ZXify Basic QEC,Quantum computation,quarantine,followup,False
TCS-1209,We leave it as an open question whether the log-concavity framework developed here can be adapted to handle such local models.,Quantum computation,quarantine,followup,False
TCS-1230,"We conjecture that full abstraction extends to a language with arbitrary (non-affine) classical control, with respect to the equivalence induced by possible measurement outcomes.",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1259,"10 In fact, it is an open problem to exactly implement FANOUT using QAC0 circuits of any size.",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1261,We conjecture that 2-designs are computationally secure against QAC0 circuits as well.,Quantum computation,quarantine,followup,False
TCS-1262,The bounded-error randomized complexity of the Extremal Forrelation Problem is Ω̃(2n/2 ).,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1263,"In general, we do not know how to compute local density matrices of an accepting history state.",Quantum computation,quarantine,fragment,False
TCS-1272,We leave open the question of whether we can exploit sparsity in the quantum setting as well.,Quantum computation,quarantine,followup,False
TCS-1298,Every element of the Clifford hierarchy is generalized semi-Clifford.,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1309,"However, it remains open to study protocols with entangled measurements on a large number of samples (e.g. c = poly(d)).",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1324,"A proof of the quantum games PCP conjecture was claimed by [25], but it has since been established that the proof had errors, and as […]",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1334,"Moreover, such hardness results appear unlikely: we do not know of any complete problems for even NP ∩ coNP and if the ∃∀-MLH problem were […]",Quantum computation,quarantine,fragment,False
TCS-1341,"An important complexity-theoretic question is whether symmetric quantum circuits are universal for implementing symmetric operations: Given some finite group Γ, can we perform arbitrary Γ-symmetric […]",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1342,We leave it is an interesting open problem to come up with an algorithms – even ones that run in subexponential time – for cloning […],Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1391,We conjecture that our worst-case lower bounds for phaseless stabilizer StateHSP and stabilizer state cloning similarly extend to the average case.,Quantum computation,quarantine,followup,False
TCS-1427,Can we find more applications of the samplizer for pure states?,Quantum computation,quarantine,followup,False
TCS-1436,Can the ideas in [43] still be useful in some quantum problems?,Quantum computation,quarantine,followup,False
TCS-1440,Can we get rid of the limitation on the number of inputs to the classical circuit?,Quantum computation,quarantine,followup,False
TCS-1457,Could we take a similar approach using lattice duality?,Quantum computation,quarantine,followup,False
TCS-1473,"For example, what is the power of QMAW when the states in W are the Absolutely Maximally Entangled states (see review in [31])?",Quantum computation,quarantine,specialized,False
TCS-1474,"Is MaxCut an isolated case, or are there more general ways for classical algorithms to leverage the same structure that DQI does?",Quantum computation,quarantine,followup,False
TCS-1490,"Our protocol moreover relies on the no-PE assumption for soundness; if malicious provers are allowed to share unbounded prior entanglement, known techniques for instantaneous non-local […]",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1493,"We leave open whether our passive quantum monotonicity tester can be modified to achieve perfect completeness, while enjoying similar guarantees on the quantum sample and […]",Quantum computation,quarantine,followup,False
TCS-1495,"Unfortunately, the standard techniques to simulate the controlled-phase gates in this manner do not naively work in our setting (see [17, Subsection 4.1]), and we […]",Quantum computation,quarantine,fragment,False
TCS-1543,"Given the learned unitary Csew , which is 1/poly(n)-close to QAC0 circuit C, does there exist a quasi-polynomial time algorithm to learn a QAC0 circuit […]",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1565,"Moreover, what is the smallest power of p required to show this for all total f ?",Quantum computation,quarantine,specialized,False
TCS-1572,It remains open whether a similar result holds for quantum circuits in either PSPACE-dimension or GapP-dimension (or even Hausdorff dimension).,Quantum computation,quarantine,followup,False
TCS-1642,Can the qubit count be improved beyond I + O(F ) without exceeding gate complexity O(I)?,Quantum computation,quarantine,followup,False
TCS-1681,Embedded PermInv requires at least Ω(N ) queries to an in-place oracle.,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-1706,"It is an open problem to know if those normal forms and new operators can have further applications in simulation, compilation or the synthesis of […]",Quantum computation,quarantine,followup,False
TCS-1709,We leave open the possibility that a ( 1+4 5 )-approximation algorithm can be achieved with a tensor product of one and two-qubit states that […],Quantum computation,quarantine,specialized,False
TCS-1735,"The tightness of Theorem 8 remains an open question, either by showing a strategy attaining n the value (11), or if strong parallel repetition holds […]",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-1769,Can the class of problems with a quantum asymmetric direct sum property be characterized in some generality?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1773,"For example, does QIPU L contain space-bounded classical interactive proofs with ω(log n) public coins, as studied in [20, 28, 11]?",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-1788,Can we encode tr(ρσ) rather than tr(ρσ 2 ) in the amplitudes?,Quantum computation,quarantine,followup,False
TCS-1789,Can we find more applications of quantum approximate k-minimum finding?,Quantum computation,quarantine,followup,False
TCS-1795,"For instance, can similar methods be adapted to reason about the more abstract and expressive constructs found in quantum programming languages?",Quantum computation,quarantine,followup,False
TCS-1799,Is it possible to replace the verifier with some variant that does not lead to NEXP?,Quantum computation,quarantine,specialized,False
TCS-1800,"Do there exist an 1/2 < ϵ ≤ 1 and a 0 < τ < 1 for which AddGapHGPDistτ,ϵ is in coNP?",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-1823,"Can we construct a decision tree of height poly(d) which, on input y, outputs one of the influential coordinates of fy with high probability?",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1824,Is there a procedure to decide the opposite?,Quantum computation,quarantine,fragment,False
TCS-1828,Could variations of qUGC yield stronger results?,Quantum computation,quarantine,followup,False
TCS-1864,"We leave this question open, and conjecture that a similar result holds in the quantum setting with a 1 lower bound of Ω N 2 […]",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-1881,"This interesting model resembles classical catalytic space classes with small errors in resetting, and we leave it as an open question to determine how it […]",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-1882,"Any algorithm that distinguishes p = ud from dTV (p, ud ) > ε with success probability at least .99 requires Ω(min{d1/3 /ε4/3 , d1/2 […]",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-1888,"We leave it as a very interesting open question as to whether or not one can still achieve logarithmic sample complexities in this setting, with […]",Quantum computation,quarantine,followup,False
TCS-1950,Establish a quantum information-theoretic characterization of the performance in learning quantum-to-quantum channels in a query input model.,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1955,"Then we ask, is W≥t [F ] ∈ O(exp(−t))?",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-1961,Are OWSGs and EFI pairs (or PRSGs) equivalent?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-1977,"The question of the minimality in the context of quantum circuits with qubit initialisation, ancillae, and/or qubit discarding remains open.",Quantum computation,quarantine,followup,False
TCS-1983,Can we improve the logarithmic factors in the sample complexity of the samplizer given in Theorem 4?,Quantum computation,quarantine,followup,False
TCS-2029,"In the other direction, we leave open whether FBPP ⊂ FBPPnegl or whether the two classes are incomparable.",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2057,We leave optimality of the quantum algorithm for testing clusterability as an open question.,Quantum computation,quarantine,followup,False
TCS-2094,"We conjecture that the correct rate of decay in Theorem 1 is exponential in the message length, as suggested by the results we obtain in […]",Quantum computation,quarantine,followup,False
TCS-2135,"This is mostly complete, though it remains open what can be said for the HW basis when K is composite.",Quantum computation,quarantine,followup,False
TCS-2200,Does the optimal such relation (i.e. one precisely describing the feasible space) arise at a constant level k (with respect to d)?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-2204,How does k-stabilizer universality evolve when considering quantum communication networks where each party holds more than one qubit?,Quantum computation,quarantine,followup,False
TCS-2221,Do other families of quantum states achieve tightly tuned pseudoentanglement across any cut?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2229,What is the relationship of QMA and QMA(2)?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2290,"Could it be more appropriate to make a distinction on logical qudits of each dimension D, between a “standard” type and a “Fourier” type (possibly […]",Quantum computation,quarantine,followup,False
TCS-2349,Is there a poly(k)-query algorithm for property testing stabilizer-extent-k states?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2385,We leave it as an open problem to give a single algorithm that is optimal for all δ.,Quantum computation,quarantine,followup,False
TCS-2398,We also leave open the optimal communication complexity of equality with small error in the entanglement-assisted setting.,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2404,Can we speed up some other methods for (smooth) convex optimization?,Quantum computation,quarantine,followup,False
TCS-2408,"For instance, would it be possible to perform an RSP-like protocol assuming only the existence of quantum-secure one-way functions?",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2426,"Next, can an analogue of Lemma 38 be shown without assuming the structure on H guaranteed by the Embedding Lemma?",Quantum computation,quarantine,fragment,False
TCS-2450,"We leave as an open question whether known classical lower bounds [1, 26] can be adapted to policy gradient evaluation.",Quantum computation,quarantine,followup,False
TCS-2451,It is worth mentioning that it is unknown whether the adaptive postselection can be efficiently done in PostBQP as discussed in [2].,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2481,"We suspect that Q(MODn ) = Θ(n3/2 ), but we leave open the problem of closing the gap between the upper and lower bounds in […]",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-2482,We conjecture that a GQBP of length t = Ω(n) and width w = O(poly(n)) is strictly stronger than an AQBP of similar length and […],Quantum computation,quarantine,specialized,False
TCS-2505,We leave it open whether the completeness-soundness gap in this lower bound can be improved to an inverse polynomial.,Quantum computation,quarantine,followup,False
TCS-2507,Whether one of the above two drawbacks can be removed by a different rewrite system remains an open question.,Quantum computation,quarantine,followup,False
TCS-2545,"Can we reduce the number of iterations by quantizing SmoothBoost differently, or by quantizing some other boosting approach?",Quantum computation,quarantine,followup,False
TCS-2548,"Second, can we show the log(1/ε)-dependence on the error probability also in the advice-guided case, like we did for basic phase estimation (Theorem 3)?",Quantum computation,quarantine,followup,False
TCS-2559,"Can we achieve the additive complexity, i.e., O(t+polylog(1/ϵ))?",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-2638,Can our polynomial approximation techniques also be used to prove explicit concentration bounds over the choice of random instance?,Quantum computation,quarantine,followup,False
TCS-2642,"Since we are working backwards from the end of the branching program and we do not know how many segments are included in each block, […]",Quantum computation,quarantine,fragment,False
TCS-2650,"Assuming QETH or QSETH, is MQCSP, UMCSP, or SMCSP quantumly hard?",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2671,"For every n-qubit unitary transformation U , does there exists an oracle A : {0, 1}∗ → {0, 1} such that a BQPA machine can […]",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2678,"Consider a quantum algorithm Q that makes T queries to x ∈ {0, 1}N .",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2768,"We conjecture that, as in the qubit case [13], any qutrit unitary with entries in T[ζ] can be exactly synthesised over Clifford+T .",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2769,Finding a general understanding of which circuits behave best is an open question.,Quantum computation,quarantine,fragment,False
TCS-2799,"There exists a poly(n, 1ε ) time algorithm A that outputs a (1 - ε)-approximate cut of a random d-regular graph G with high probability […]",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-2810,"High Dimensional Position Verification We conjecture that the following construction, inspired by the position verification protocol of Unruh [25], could be secure in higher dimensions […]",Quantum computation,quarantine,specialized,False
TCS-2913,Can we prove tight bounds on quantum speed-ups?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2938,Can we find a more efficient iterative formula for the QAOA’s performance than the one in Section 3.2?,Quantum computation,quarantine,followup,False
TCS-2950,"We view the existence of a dual-mode CVQC in the QROM as evidence that our construction template is sound, and we leave constructing quantum null-iO […]",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-2957,"Furthermore, such an approach does not work for the task of finding an ε2 -minimizer of f , as we do not know how to […]",Quantum computation,quarantine,fragment,False
TCS-3028,"Although it is efficient in practice, its complexity is still an open problem, as is left in existing literature [9, 26].",Quantum computation,quarantine,fragment,False
TCS-3033,Is it the same as iterating the A[⊥] construction to a fixpoint?,Quantum computation,quarantine,fragment,False
TCS-3057,We emphasize that we do not bound the degree of Q(d) because we do not know how to represent it as a polynomial in d.,Quantum computation,quarantine,fragment,False
TCS-3083,It remains an open problem to derive a matching lower bound for the randomized communication complexity of ABC. ?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-3130,We conjecture that there exists a constant c > 0 such that when D is √ the distribution over 2D random circuits of depth d […],Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-3131,"While Dotterrer established tight bounds for the size of (co)fillings in the Hamming cube, we do not know whether the bounds of Lemma 3 are […]",Quantum computation,quarantine,followup,False
TCS-3135,"We expect most natural properties to be compression oblivious, but leave as an open question what complexity-theoretic assumptions are needed to show that, e.g., the […]",Quantum computation,quarantine,followup,False
TCS-3140,Any quantum algorithm for finding K disjoint collisions in a random function f : [M ] → [N ] with success probability 2/3 must satisfy […],Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-3217,Can the lower bound of Theorem 1 be extended to the bounded-error setting or to the shared entanglement case?,Quantum computation,quarantine,followup,False
TCS-3218,Would it be possible to establish the post-quantum security of memory hard functions through a similar reduction in the parallel quantum random oracle model?,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-3229,Is there a more interesting class of functions on which we can achieve a quantum speedup?,Quantum computation,quarantine,followup,False
TCS-3257,Can we show that Q Clawn→n2/3 = Ω n2/3 ?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-3275,Error reduction of StoqMA remains open since this class was defined in 2006 [9] because this class does not permit amplification of gap between thresholds […],Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-3276,"A Ω 1ε lower bound for the ε > √1n regime follows from the lower bound on amplitude estimation, but it is an open question […]",Quantum computation,quarantine,followup,False
TCS-3298,(Informal) Our rounding algorithm achieves approximation ratio:  0.498 if k = 1   α(k) = 0.653 if k = 2   0.821 […],Quantum computation,quarantine,followup,False
TCS-3412,"We suspect that the same lower bound holds whenever m ≥ c · n 1 for any constant c > 1− , and we leave […]",Quantum computation,quarantine,followup,False
TCS-3449,"We conjecture this to be the case, but finding a formal proof has been elusive.",Quantum computation,quarantine,fragment,False
TCS-3460,"On the lower bound side, what generalizations of Theorem 4 can we prove that incorporate ε?",Quantum computation,quarantine,followup,False
TCS-3483,Can WZ∗Z2 be recognized by a 2QCFA with bounded error?,Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-3517,Can we give faster sampling-based algorithms for solving LPs?,Quantum computation,quarantine,followup,False
TCS-3573,"Can we prove the conjecture that the purified and discrete query input models are equivalent for classical distributions, with respect to the query complexity of […]",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-3608,In particular we do not know if the theorem still applies if F is merely an equivalence of categories.,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-3618,It is an open question if k-LH is QMA-complete for β − α = O(1) while maintaining k constant [2].,Quantum computation,quarantine,duplicate,False
TCS-3629,Identifying situations where DR in 2D with bounded interaction strength is possible remains an open question.,Quantum computation,quarantine,followup,False
TCS-3652,"Unfortunately, we do not know if tf(d,qiskit) performs better at larger sizes because Qiskit’s circuit transformation is not fast enough to generate the relevant data.",Quantum computation,quarantine,fragment,False
TCS-3702,In this setting there are still many classical tools which we do not know how to extend to the quantum case.,Quantum computation,quarantine,fragment,False
TCS-3704,"This seems a difficult problem to approach however, and thus we leave the following open problem.",Quantum computation,quarantine,fragment,False
TCS-3709,We do not know how to lift Q or Q0 to their analogous communication measures; this is likely to be significantly harder.,Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-3737,Is there any such example in the context of big data and/or machine learning?,Quantum computation,quarantine,followup,False
TCS-3742,The immediate question one could ask is: what upper bound can we give for an online QGES?,Quantum computation,quarantine,specialized,False
TCS-3744,What are other possible applications?,Quantum computation,quarantine,followup,False
TCS-3758,Can one prove that unconditionally?,Quantum computation,quarantine,fragment,False
TCS-3870,2.2.2 Semi-explicit SNGS Hamiltonians via oracle separations It is an open question in quantum complexity theory of whether QCMA is equal to QMA.,Quantum computation,quarantine,duplicate,False
TCS-3880,"The problem of determining its exact value, posed in [25], remains open.",Quantum computation,quarantine,fragment,False
TCS-3881,"We leave open the problem of determining the complexity of BQPO LH k,classical .",Quantum computation,retain,retain after second look: significant or uncertain boundary,False
TCS-3886,"Indeed, whether ∃ · BPP = MA remains an open question [11].",Quantum computation,retain,"retain: independent barrier, broad question or insufficient grounds to discard",False
TCS-4028,"Or, can a relatively general result be proven that excludes some of such functions?",Quantum computation,quarantine,fragment,False
TCS-4035,"We do not know whether all our axioms are independent, nor we have looked at rewrite strategies, or ways of orienting the equations, beyond the […]",Quantum computation,quarantine,followup,False
