101	Michael Fredman	6498	6540	Dynamic optimality and fundamental limits of data structures.
102	Harold Gabow	6538	6511	Exact matching and combinatorial graph algorithms.
103	Zvi Galil	new-superstring	7179	String algorithms and matching-based optimization.
104	Robert Sedgewick	6537	7173	Sorting complexity and the amortized analysis of search trees.
105	David Eppstein	0403	6626	Geometric spanning trees and dynamic graph optimization.
106	Seth Pettie	6536	0388	Optimal comparison algorithms and minimum spanning trees.
107	Timothy Chan	0410	0557	Output-sensitive geometry and the arithmetic complexity of geometric problems.
108	Gary Miller	6507	6504	Work-efficient parallel graph algorithms.
109	Moses Charikar	6587	6513	Approximation barriers in clustering-like graph problems and compression.
110	David Shmoys	6659	6638	Facility location and scheduling approximation.
111	David Williamson	7281	6591	Semidefinite approximation and covering/deletion problems.
112	Sanjeev Khanna	6676	6598	Scheduling hardness and space-limited matching.
113	Chandra Chekuri	6588	new-komlos	Network design and the discrepancy barriers underlying rounding.
114	Aravind Srinivasan	new-beck-fiala	new-matroid-secretary	Probabilistic rounding and online selection under combinatorial constraints.
115	Anna Karlin	6589	6575	Metric TSP and randomized online decision making.
116	Susanne Albers	0935	6676	Scheduling complexity and online service problems.
117	Claire Mathieu	6640	0408	Approximation schemes for packing and geometric optimization.
118	Amos Fiat	new-polylog-kserver	new-matroid-secretary	Randomized online algorithms and secretary-type selection.
119	Yossi Azar	new-polylog-kserver	6638	Online state selection and allocation of work to machines.
120	Nikhil Bansal	new-komlos	new-beck-fiala	The two central vector-balancing conjectures behind algorithmic discrepancy.
121	Niv Buchbinder	7288	new-matroid-secretary	Online combinatorial optimization and competitive analysis.
122	Anupam Gupta	6525	6527	Metric representations and terminal-preserving graph compression.
123	Thomas Rothvoss	7264	7283	Dimension dependence in integer programming and the additive bin-packing gap.
124	Shayan Oveis Gharan	6589	6590	The integrality gaps at the center of symmetric and asymmetric TSP.
125	Aleksander Mądry	7228	0008	Exact network flow and the arithmetic complexity of linear programming.
126	Yin Tat Lee	6574	6572	Convex geometry and the foundations of fast optimization.
127	Aaron Sidford	7263	6585	Shortest paths and the geometry of linear optimization.
128	Richard Peng	6507	0481	Parallel graph computation and algorithmic graph optimization.
129	Yurii Nesterov	0008	6574	Oracle and arithmetic complexity in convex optimization.
130	Arkadi Nemirovski	7231	6578	Convex geometry and complexity bounds for optimization.
131	Aaron Bernstein	0478	6627	Dynamic shortest paths and matching.
132	Danupon Nanongkai	6555	6670	Distributed shortest paths and dynamic connectivity measures.
133	Thatchaphol Saranurak	6625	6626	Dynamic graph decomposition and spanning-forest maintenance.
134	Shiri Chechik	7305	6500	Distance representations, routing and graph sparsification.
135	Karl Bringmann	7179	7220	Fine-grained barriers for exact and approximate string distance.
136	Kasper Green Larsen	0949	6540	Unconditional cell-probe lower bounds.
137	Rasmus Kyng	7228	6585	Nearly-linear network optimization and parallel graph linear algebra.
138	Bernard Chazelle	new-komlos	6526	Discrepancy and the geometry of range spaces.
139	Pankaj Agarwal	0318	7184	Combinatorial geometry and high-dimensional geometric measure.
140	Joseph Mitchell	0408	7185	Geometric optimization and unfolding polyhedral surfaces.
141	Emo Welzl	6573	0411	Randomized linear programming and geometric search.
142	Kenneth Clarkson	6573	0491	Fixed-dimensional optimization and output-sensitive geometry.
143	Sariel Har-Peled	7298	6526	Geometric approximation and small representative sets.
144	Assaf Naor	6524	6529	Metric embedding and dimension reduction.
145	Neil Robertson	6651	7249	Graph minors and the structure of cubic graphs.
146	Maria Chudnovsky	6652	6653	Induced subgraphs and chromatic structure.
147	Jaroslav Nešetřil	6678	7241	Sparse graph classes, logic and structural tractability.
148	Nathan Linial	6525	6604	Metric geometry and Boolean-function analysis.
149	Tomasz Kociumaka	7235	0468	String distance and the limits of grammar compression.
150	Paolo Ferragina	0467	0470	Compressed text representation and metric approximations to string similarity.
151	Gonzalo Navarro	6513	0468	Compression and the complexity of sequence comparison.
152	Pavel Pevzner	new-superstring	6623	Sequence assembly and reconstruction from noisy sequence observations.
153	Bonnie Berger	6669	7220	Scalable sequence comparison and privacy-preserving analysis of many attributes.
154	Richard Lipton	0020	6616	Circuit complexity and exact algebraic counting.
155	Eric Allender	5501	6533	Metacomplexity, circuits and Kolmogorov complexity.
156	Paul Beame	6602	6556	Proof lower bounds and time-space tradeoffs for graph computation.
157	Lance Fortnow	6532	6455	The structure of counting, alternation and space complexity.
158	Michael Sipser	0003	6535	Randomness and small circuit classes.
159	Shmuel Safra	7268	7237	PCP precision and unconditional approximation barriers.
160	Seinosuke Toda	6532	1004	The relation between counting and decision complexity.
161	Jin-Yi Cai	new-counting-dichotomy	7221	The complexity landscape of exact and approximate counting CSPs.
162	Xi Chen	new-counting-dichotomy	7284	Counting complexity and the complexity of equilibrium-type search.
163	Boaz Barak	6656	5501	Average-case computational barriers and metacomplexity.
164	David Steurer	6657	7238	The computational-statistical gaps behind sum-of-squares algorithms.
165	Prasad Raghavendra	0006	7160	The conjectures governing the limits of semidefinite approximation.
166	Nisheeth Vishnoi	6572	6629	Convex geometry, sampling and approximate counting.
167	Amir Yehudayoff	6603	6612	Communication and algebraic lower-bound barriers.
168	Ben Rossman	1053	0017	Small-depth circuits and formula composition.
169	Alexander Sherstov	0033	6450	Approximation polynomials and multiparty communication lower bounds.
170	Jan Krajíček	1099	7273	Bounded arithmetic and the structure of propositional proof systems.
171	Toniann Pitassi	6601	0025	Lower bounds for the strongest standard propositional proof systems.
172	Samuel Buss	1098	1099	Bounded arithmetic and arithmetic-strength proof systems.
173	Jakob Nordström	7239	6663	The power of practical SAT proof mechanisms and general proof lower bounds.
174	Rahul Santhanam	7161	5501	Circuit lower bounds and algorithms that estimate circuit complexity.
175	Manindra Agrawal	6614	7265	Derandomization in computational number theory.
